cube_id	topic
amarbma	Labour market
ambeschkla	Labour market
ausshawarm	Foreign trade
auvekomq	Balance of payments
auvercurrq	Balance of payments
auverdeptq	Balance of payments
auversecq	Balance of payments
babilpobm	Banking
bakredbetgrbm	Banking
bakredinausbm	Banking
bakredsekbm	Banking
bopcapbalq	Balance of payments
bopcurrq	Balance of payments
bopoverq	Balance of payments
bopservq	Balance of payments
capchstocki	Financial markets
capweums	Financial markets
devkum	Exchange rates
devwkibiim	Exchange rates
devwkieffid	Exchange rates
plimoinchq	Prices
plkopr	Prices
plkoprinfla	Prices
rendeiduebd	Interest rates
snbbipo	Money and banking
snbiprogq	SNB forecasts
snbkosiq	Business surveys
snbmoba	Money and banking
snbmonagg	Money and banking
snboffzisa	Interest rates
zavegelade	Payment systems
zavesic	Payment systems
zavezaka	Payment systems
zavezaluba	Payment systems
zavkuzaart	Payment systems
zikredlauf	Interest rates
zikrepro	Interest rates
zimoma	Interest rates
