index,date,value
company,2003-03-01,14.2
company,2004-03-01,16.4
company,2005-03-01,18
company,2006-03-01,25.2
company,2007-03-01,37.5
company,2008-03-01,52
company,2008-06-01,55.1
company,2008-09-01,51.9
company,2008-12-01,47.9
company,2009-03-01,39.4
company,2009-06-01,35.9
company,2009-09-01,34.3
company,2009-12-01,33.8
company,2010-03-01,36.6
company,2010-06-01,41.9
company,2010-09-01,46.3
company,2010-12-01,46.1
company,2011-03-01,53.3
company,2011-06-01,55.7
company,2011-09-01,54
company,2011-12-01,53.1
company,2012-03-01,55.3
company,2012-06-01,54.8
company,2012-09-01,57.6
company,2012-12-01,52
company,2013-03-01,58.5
company,2013-06-01,56.9
company,2013-09-01,60.8
company,2013-12-01,62
company,2014-03-01,64.2
company,2014-06-01,60.3
company,2014-09-01,63.3
company,2014-12-01,59.1
company,2015-03-01,61.3
company,2015-06-01,58.7
company,2015-09-01,56.4
company,2015-12-01,55.8
company,2016-03-01,63.1
company,2016-06-01,59.5
company,2016-09-01,59.8
company,2016-12-01,59.7
company,2017-03-01,62.7
company,2017-06-01,63.6
company,2017-09-01,66.6
company,2017-12-01,68.1
company,2018-03-01,70.1
company,2018-06-01,70.8
company,2018-09-01,74.9
company,2018-12-01,78.2
company,2019-03-01,76
company,2019-06-01,84.5
company,2019-09-01,80.2
company,2019-12-01,80.1
company,2020-03-01,88.5
company,2020-06-01,63.4
company,2020-09-01,71.9
company,2020-12-01,68.8
company,2021-03-01,69.4
company,2021-06-01,84.8
company,2021-09-01,93.8
company,2021-12-01,102.2
company,2022-03-01,108
company,2022-06-01,106.3
company,2022-09-01,110.3
company,2022-12-01,112.6
company,2023-03-01,110.9
company,2023-06-01,111.3
company,2023-09-01,118.9
company,2023-12-01,111.5
company,2024-03-01,107.2
company,2024-06-01,101.5
company,2024-09-01,105.4
company,2024-12-01,97.6
company,2025-03-01,98
company,2025-06-01,96.6
company,2025-09-01,97.3
company,2025-12-01,99.8
company,2026-03-01,99.8
company,2026-06-01,99.4
gesamt,2003-03-01,31.9
gesamt,2004-03-01,36.4
gesamt,2005-03-01,39.1
