level,model,indicator,estimate,date,value
bund,fs,aktiven,Rechnung,1990-01-01,26298.8967711
bund,fs,aktiven,Rechnung,1991-01-01,27699.95819894
bund,fs,aktiven,Rechnung,1992-01-01,33207.59913519
bund,fs,aktiven,Rechnung,1993-01-01,40705.3950991
bund,fs,aktiven,Rechnung,1994-01-01,43441.12000475
bund,fs,aktiven,Rechnung,1995-01-01,49771.98632705
bund,fs,aktiven,Rechnung,1996-01-01,46970.66685763
bund,fs,aktiven,Rechnung,1997-01-01,50282.84120739
bund,fs,aktiven,Rechnung,1998-01-01,62723.03617396
bund,fs,aktiven,Rechnung,1999-01-01,35311.25486982
bund,fs,aktiven,Rechnung,2000-01-01,45869.34576558
bund,fs,aktiven,Rechnung,2001-01-01,36936.82398028
bund,fs,aktiven,Rechnung,2002-01-01,51292.85829962
bund,fs,aktiven,Rechnung,2003-01-01,42396.44993929
bund,fs,aktiven,Rechnung,2004-01-01,38675.42327032
bund,fs,aktiven,Rechnung,2005-01-01,47965.05371185
bund,fs,aktiven,Rechnung,2006-01-01,44538.75739104
bund,fs,aktiven,Rechnung,2007-01-01,60944.83139179
bund,fs,aktiven,Rechnung,2008-01-01,99927.68470709
bund,fs,aktiven,Rechnung,2009-01-01,95454.41314187
bund,fs,aktiven,Rechnung,2010-01-01,100471.75662341
bund,fs,aktiven,Rechnung,2011-01-01,98810.1502018
bund,fs,aktiven,Rechnung,2012-01-01,103582.23413833
bund,fs,aktiven,Rechnung,2013-01-01,105717.2090219
bund,fs,aktiven,Rechnung,2014-01-01,105826.47548438
bund,fs,aktiven,Rechnung,2015-01-01,107530.53629302
bund,fs,aktiven,Rechnung,2016-01-01,102462.85182646
bund,fs,aktiven,Rechnung,2017-01-01,159362.63127735
bund,fs,aktiven,Rechnung,2018-01-01,165170.82523103
bund,fs,aktiven,Rechnung,2019-01-01,173321.4098188
bund,fs,aktiven,Rechnung,2020-01-01,166169.16048555
bund,fs,aktiven,Rechnung,2021-01-01,173532.14049301
bund,fs,aktiven,Rechnung,2022-01-01,181414.42451593
bund,fs,aktiven,Rechnung,2023-01-01,189452.79956791
bund,fs,aktiven,Rechnung,2024-01-01,196920.64572099
bund,fs,aktiven,Rechnung,2025-01-01,202624.72080136
bund,fs,ausgaben,Rechnung,1990-01-01,32637.39172276
bund,fs,ausgaben,Rechnung,1991-01-01,36599.43303003
bund,fs,ausgaben,Rechnung,1992-01-01,38936.17111768
bund,fs,ausgaben,Rechnung,1993-01-01,42396.26344124
bund,fs,ausgaben,Rechnung,1994-01-01,42861.85235647
bund,fs,ausgaben,Rechnung,1995-01-01,42375.15995047
bund,fs,ausgaben,Rechnung,1996-01-01,45597.25336869
bund,fs,ausgaben,Rechnung,1997-01-01,45839.22932665
bund,fs,ausgaben,Rechnung,1998-01-01,48436.00836479
bund,fs,ausgaben,Rechnung,1999-01-01,47700.90836261
bund,fs,ausgaben,Rechnung,2000-01-01,49783.47336685
bund,fs,ausgaben,Rechnung,2001-01-01,52734.5677092
bund,fs,ausgaben,Rechnung,2002-01-01,53443.30186993
bund,fs,ausgaben,Rechnung,2003-01-01,52971.9978135
bund,fs,ausgaben,Rechnung,2004-01-01,54221.22560632
bund,fs,ausgaben,Rechnung,2005-01-01,54191.76634714
bund,fs,ausgaben,Rechnung,2006-01-01,54720.79986802
bund,fs,ausgaben,Rechnung,2007-01-01,64082.45333661
bund,fs,ausgaben,Rechnung,2008-01-01,66124.17735366
bund,fs,ausgaben,Rechnung,2009-01-01,60781.04828776
bund,fs,ausgaben,Rechnung,2010-01-01,62037.72031965
bund,fs,ausgaben,Rechnung,2011-01-01,66165.74356804
bund,fs,ausgaben,Rechnung,2012-01-01,64520.1973925
