Wirtschaftsabteilung,date,value
10-12,1991-07-01,95336
10-12,1991-10-01,93150
10-12,1992-01-01,91806
10-12,1992-04-01,91883
10-12,1992-07-01,90605
10-12,1992-10-01,88900
10-12,1993-01-01,86550
10-12,1993-04-01,88330
10-12,1993-07-01,87591
10-12,1993-10-01,86223
10-12,1994-01-01,83657
10-12,1994-04-01,84496
10-12,1994-07-01,85721
10-12,1994-10-01,84371
10-12,1995-01-01,83236
10-12,1995-04-01,83116
10-12,1995-07-01,83585
10-12,1995-10-01,82835
10-12,1996-01-01,81084
10-12,1996-04-01,81338
10-12,1996-07-01,80910
10-12,1996-10-01,79917
10-12,1997-01-01,78733
10-12,1997-04-01,79293
10-12,1997-07-01,79903
10-12,1997-10-01,77071
10-12,1998-01-01,76691
10-12,1998-04-01,78713
10-12,1998-07-01,79209
10-12,1998-10-01,78233
10-12,1999-01-01,77425
10-12,1999-04-01,77880
10-12,1999-07-01,78688
10-12,1999-10-01,79376
10-12,2000-01-01,78636
10-12,2000-04-01,80918
10-12,2000-07-01,80897
10-12,2000-10-01,81601
10-12,2001-01-01,78433
10-12,2001-04-01,79259
10-12,2001-07-01,80449
10-12,2001-10-01,79575
10-12,2002-01-01,81164
10-12,2002-04-01,81317
10-12,2002-07-01,82338
10-12,2002-10-01,80002
10-12,2003-01-01,78812
10-12,2003-04-01,79864
10-12,2003-07-01,80539
10-12,2003-10-01,80527
10-12,2004-01-01,78946
10-12,2004-04-01,79092
10-12,2004-07-01,80481
10-12,2004-10-01,80085
10-12,2005-01-01,80655
10-12,2005-04-01,80230
10-12,2005-07-01,80964
10-12,2005-10-01,81461
10-12,2006-01-01,78427
10-12,2006-04-01,80400
10-12,2006-07-01,81849
10-12,2006-10-01,82477
10-12,2007-01-01,82338
10-12,2007-04-01,83088
10-12,2007-07-01,83035
10-12,2007-10-01,83404
10-12,2008-01-01,83646
10-12,2008-04-01,84496
10-12,2008-07-01,84199
10-12,2008-10-01,84058
10-12,2009-01-01,83869
10-12,2009-04-01,85193
10-12,2009-07-01,86396
10-12,2009-10-01,84753
10-12,2010-01-01,83961
10-12,2010-04-01,84213
10-12,2010-07-01,85190
10-12,2010-10-01,85298
10-12,2011-01-01,84075
10-12,2011-04-01,84381
10-12,2011-07-01,84839
10-12,2011-10-01,84174
10-12,2012-01-01,84732
10-12,2012-04-01,85670
10-12,2012-07-01,86779
10-12,2012-10-01,85995
10-12,2013-01-01,85974
10-12,2013-04-01,85280
10-12,2013-07-01,86911
10-12,2013-10-01,86321
10-12,2014-01-01,85313
10-12,2014-04-01,86111
10-12,2014-07-01,86907
10-12,2014-10-01,86566
10-12,2015-01-01,87070
10-12,2015-04-01,87594
10-12,2015-07-01,87678
10-12,2015-10-01,87985
10-12,2016-01-01,85747
10-12,2016-04-01,86797
10-12,2016-07-01,86094
10-12,2016-10-01,86897
10-12,2017-01-01,87110
10-12,2017-04-01,86452
10-12,2017-07-01,88004
10-12,2017-10-01,86755
10-12,2018-01-01,86558
10-12,2018-04-01,87591
10-12,2018-07-01,89382
10-12,2018-10-01,87994
10-12,2019-01-01,88322
10-12,2019-04-01,88995
10-12,2019-07-01,90652
10-12,2019-10-01,89355
10-12,2020-01-01,90111
10-12,2020-04-01,90033
10-12,2020-07-01,90250
10-12,2020-10-01,90308
10-12,2021-01-01,88818
10-12,2021-04-01,89446
10-12,2021-07-01,90193
10-12,2021-10-01,92258
10-12,2022-01-01,90651
10-12,2022-04-01,91178
10-12,2022-07-01,91596
10-12,2022-10-01,90956
10-12,2023-01-01,91404
10-12,2023-04-01,91623
10-12,2023-07-01,92086
10-12,2023-10-01,91869
10-12,2024-01-01,92785
10-12,2024-04-01,94948
10-12,2024-07-01,93665
10-12,2024-10-01,93217
10-12,2025-01-01,92434
10-12,2025-04-01,93242
10-12,2025-07-01,93986
10-12,2025-10-01,93739
10-12,2026-01-01,92908
10-33,1991-07-01,872709
10-33,1991-10-01,856824
10-33,1992-01-01,845088
10-33,1992-04-01,837883
10-33,1992-07-01,822502
10-33,1992-10-01,797404
10-33,1993-01-01,790108
10-33,1993-04-01,793861
10-33,1993-07-01,786638
10-33,1993-10-01,769397
10-33,1994-01-01,751045
10-33,1994-04-01,748372
10-33,1994-07-01,755640
10-33,1994-10-01,749372
10-33,1995-01-01,741730
10-33,1995-04-01,742230
10-33,1995-07-01,744854
10-33,1995-10-01,735642
10-33,1996-01-01,729045
10-33,1996-04-01,723109
10-33,1996-07-01,718333
10-33,1996-10-01,704713
10-33,1997-01-01,699308
10-33,1997-04-01,700480
10-33,1997-07-01,700582
10-33,1997-10-01,688997
10-33,1998-01-01,689281
10-33,1998-04-01,691961
10-33,1998-07-01,694167
10-33,1998-10-01,687855
10-33,1999-01-01,684021
10-33,1999-04-01,684560
10-33,1999-07-01,688004
10-33,1999-10-01,686402
10-33,2000-01-01,684953
10-33,2000-04-01,690654
10-33,2000-07-01,699910
10-33,2000-10-01,698859
10-33,2001-01-01,700368
10-33,2001-04-01,703148
10-33,2001-07-01,709977
10-33,2001-10-01,703765
10-33,2002-01-01,693288
10-33,2002-04-01,691456
10-33,2002-07-01,691316
10-33,2002-10-01,681215
10-33,2003-01-01,670935
10-33,2003-04-01,673571
10-33,2003-07-01,669496
10-33,2003-10-01,665468
10-33,2004-01-01,660038
10-33,2004-04-01,661320
10-33,2004-07-01,669756
10-33,2004-10-01,661378
10-33,2005-01-01,662604
10-33,2005-04-01,664014
10-33,2005-07-01,673279
10-33,2005-10-01,670617
10-33,2006-01-01,669539
10-33,2006-04-01,678596
10-33,2006-07-01,691664
10-33,2006-10-01,695799
10-33,2007-01-01,698445
10-33,2007-04-01,705023
10-33,2007-07-01,712561
10-33,2007-10-01,713969
10-33,2008-01-01,719058
10-33,2008-04-01,727176
10-33,2008-07-01,734670
10-33,2008-10-01,724392
10-33,2009-01-01,716300
10-33,2009-04-01,706212
10-33,2009-07-01,701204
10-33,2009-10-01,693653
10-33,2010-01-01,690711
10-33,2010-04-01,691547
10-33,2010-07-01,696292
10-33,2010-10-01,696679
10-33,2011-01-01,694898
10-33,2011-04-01,698109
10-33,2011-07-01,701891
10-33,2011-10-01,698250
10-33,2012-01-01,699671
10-33,2012-04-01,700051
10-33,2012-07-01,701982
10-33,2012-10-01,693782
10-33,2013-01-01,691056
10-33,2013-04-01,689169
10-33,2013-07-01,694302
10-33,2013-10-01,692990
10-33,2014-01-01,692604
10-33,2014-04-01,691115
10-33,2014-07-01,697044
10-33,2014-10-01,692794
10-33,2015-01-01,691203
