Wirtschaftsabteilung,date,value
10-33,2004-01-01,1.03
10-33,2004-04-01,1.06
10-33,2004-07-01,1.03
10-33,2004-10-01,1.03
10-33,2005-01-01,1.04
10-33,2005-04-01,1.05
10-33,2005-07-01,1.04
10-33,2005-10-01,1.06
10-33,2006-01-01,1.09
10-33,2006-04-01,1.1
10-33,2006-07-01,1.1
10-33,2006-10-01,1.13
10-33,2007-01-01,1.14
10-33,2007-04-01,1.15
10-33,2007-07-01,1.14
10-33,2007-10-01,1.14
10-33,2008-01-01,1.12
10-33,2008-04-01,1.13
10-33,2008-07-01,1.07
10-33,2008-10-01,0.98
10-33,2009-01-01,0.94
10-33,2009-04-01,0.93
10-33,2009-07-01,0.96
10-33,2009-10-01,1.01
10-33,2010-01-01,1.05
10-33,2010-04-01,1.08
10-33,2010-07-01,1.08
10-33,2010-10-01,1.09
10-33,2011-01-01,1.11
10-33,2011-04-01,1.11
10-33,2011-07-01,1.03
10-33,2011-10-01,1.04
10-33,2012-01-01,1.06
10-33,2012-04-01,1.05
10-33,2012-07-01,1.02
10-33,2012-10-01,1.03
10-33,2013-01-01,1.04
10-33,2013-04-01,1.04
10-33,2013-07-01,1.04
10-33,2013-10-01,1.04
10-33,2014-01-01,1.06
10-33,2014-04-01,1.06
10-33,2014-07-01,1.04
10-33,2014-10-01,1.04
10-33,2015-01-01,1.01
10-33,2015-04-01,1
10-33,2015-07-01,0.99
10-33,2015-10-01,1
10-33,2016-01-01,1.01
10-33,2016-04-01,1.01
10-33,2016-07-01,1.01
10-33,2016-10-01,1.01
10-33,2017-01-01,1.04
10-33,2017-04-01,1.05
10-33,2017-07-01,1.05
10-33,2017-10-01,1.07
10-33,2018-01-01,1.07
10-33,2018-04-01,1.08
10-33,2018-07-01,1.07
10-33,2018-10-01,1.07
10-33,2019-01-01,1.06
10-33,2019-04-01,1.06
10-33,2019-07-01,1.04
10-33,2019-10-01,1.03
10-33,2020-01-01,0.99
10-33,2020-04-01,0.99
10-33,2020-07-01,0.99
10-33,2020-10-01,1.01
10-33,2021-01-01,1.05
10-33,2021-04-01,1.09
10-33,2021-07-01,1.09
10-33,2021-10-01,1.09
10-33,2022-01-01,1.12
10-33,2022-04-01,1.13
10-33,2022-07-01,1.11
10-33,2022-10-01,1.11
10-33,2023-01-01,1.11
10-33,2023-04-01,1.09
10-33,2023-07-01,1.06
10-33,2023-10-01,1.06
10-33,2024-01-01,1.04
10-33,2024-04-01,1.04
10-33,2024-07-01,1.02
10-33,2024-10-01,1.03
10-33,2025-01-01,1.04
10-33,2025-04-01,1.04
10-33,2025-07-01,1.02
10-33,2025-10-01,1.02
10-33,2026-01-01,1.03
10-33,2026-04-01,1.04
24-25,2004-01-01,1.07
24-25,2004-04-01,1.09
24-25,2004-07-01,1.06
24-25,2004-10-01,1.04
24-25,2005-01-01,1.08
24-25,2005-04-01,1.08
24-25,2005-07-01,1.03
24-25,2005-10-01,1.1
24-25,2006-01-01,1.11
24-25,2006-04-01,1.13
24-25,2006-07-01,1.12
24-25,2006-10-01,1.15
24-25,2007-01-01,1.18
24-25,2007-04-01,1.18
24-25,2007-07-01,1.16
24-25,2007-10-01,1.19
24-25,2008-01-01,1.14
24-25,2008-04-01,1.15
24-25,2008-07-01,1.1
24-25,2008-10-01,0.93
24-25,2009-01-01,0.87
24-25,2009-04-01,0.89
24-25,2009-07-01,0.94
24-25,2009-10-01,1
24-25,2010-01-01,1.04
24-25,2010-04-01,1.1
24-25,2010-07-01,1.08
24-25,2010-10-01,1.11
24-25,2011-01-01,1.14
24-25,2011-04-01,1.13
24-25,2011-07-01,1.02
24-25,2011-10-01,1.03
24-25,2012-01-01,1.05
24-25,2012-04-01,1.06
24-25,2012-07-01,1.02
24-25,2012-10-01,1.01
24-25,2013-01-01,1.06
24-25,2013-04-01,1.07
24-25,2013-07-01,1.04
24-25,2013-10-01,1.05
24-25,2014-01-01,1.08
24-25,2014-04-01,1.07
24-25,2014-07-01,1.05
24-25,2014-10-01,1.04
24-25,2015-01-01,0.98
24-25,2015-04-01,0.98
24-25,2015-07-01,0.99
24-25,2015-10-01,0.98
24-25,2016-01-01,1.01
24-25,2016-04-01,1.01
24-25,2016-07-01,1.01
24-25,2016-10-01,1.02
24-25,2017-01-01,1.04
24-25,2017-04-01,1.06
24-25,2017-07-01,1.06
24-25,2017-10-01,1.08
24-25,2018-01-01,1.1
24-25,2018-04-01,1.09
24-25,2018-07-01,1.09
24-25,2018-10-01,1.12
24-25,2019-01-01,1.1
24-25,2019-04-01,1.05
24-25,2019-07-01,1.03
24-25,2019-10-01,1.02
24-25,2020-01-01,0.97
24-25,2020-04-01,0.96
24-25,2020-07-01,0.97
24-25,2020-10-01,1
24-25,2021-01-01,1.04
24-25,2021-04-01,1.1
24-25,2021-07-01,1.11
24-25,2021-10-01,1.11
24-25,2022-01-01,1.13
24-25,2022-04-01,1.13
24-25,2022-07-01,1.1
24-25,2022-10-01,1.1
24-25,2023-01-01,1.11
24-25,2023-04-01,1.12
24-25,2023-07-01,1.04
24-25,2023-10-01,1.03
24-25,2024-01-01,1.02
24-25,2024-04-01,1.04
24-25,2024-07-01,1.04
24-25,2024-10-01,1.01
24-25,2025-01-01,0.99
24-25,2025-04-01,1.02
24-25,2025-07-01,1.01
24-25,2025-10-01,1
24-25,2026-01-01,1.04
24-25,2026-04-01,1.03
26,2004-01-01,1.05
26,2004-04-01,1.13
26,2004-07-01,1.08
26,2004-10-01,1.09
26,2005-01-01,1.09
26,2005-04-01,1.11
26,2005-07-01,1.11
26,2005-10-01,1.1
26,2006-01-01,1.15
26,2006-04-01,1.16
26,2006-07-01,1.17
26,2006-10-01,1.18
26,2007-01-01,1.19
26,2007-04-01,1.21
26,2007-07-01,1.17
26,2007-10-01,1.2
26,2008-01-01,1.19
26,2008-04-01,1.21
26,2008-07-01,1.11
26,2008-10-01,1
26,2009-01-01,0.94
26,2009-04-01,0.93
26,2009-07-01,0.97
26,2009-10-01,1.04
26,2010-01-01,1.09
26,2010-04-01,1.14
26,2010-07-01,1.14
26,2010-10-01,1.18
26,2011-01-01,1.14
26,2011-04-01,1.16
26,2011-07-01,1.09
26,2011-10-01,1.11
26,2012-01-01,1.09
26,2012-04-01,1.1
26,2012-07-01,1.06
26,2012-10-01,1.07
26,2013-01-01,1.07
26,2013-04-01,1.04
26,2013-07-01,1.06
26,2013-10-01,1.08
26,2014-01-01,1.08
26,2014-04-01,1.06
26,2014-07-01,1.04
26,2014-10-01,1.05
26,2015-01-01,1.04
26,2015-04-01,1.03
26,2015-07-01,1.01
26,2015-10-01,1.02
26,2016-01-01,1
26,2016-04-01,1
26,2016-07-01,0.98
26,2016-10-01,1
26,2017-01-01,1.06
26,2017-04-01,1.1
26,2017-07-01,1.1
26,2017-10-01,1.13
26,2018-01-01,1.11
26,2018-04-01,1.12
26,2018-07-01,1.14
26,2018-10-01,1.12
26,2019-01-01,1.1
26,2019-04-01,1.07
26,2019-07-01,1.05
26,2019-10-01,1.04
26,2020-01-01,0.98
26,2020-04-01,0.99
26,2020-07-01,0.95
26,2020-10-01,1.02
26,2021-01-01,1.07
26,2021-04-01,1.15
26,2021-07-01,1.15
26,2021-10-01,1.14
26,2022-01-01,1.17
26,2022-04-01,1.18
26,2022-07-01,1.17
26,2022-10-01,1.16
26,2023-01-01,1.17
26,2023-04-01,1.12
26,2023-07-01,1.09
26,2023-10-01,1.08
26,2024-01-01,1.05
26,2024-04-01,1
26,2024-07-01,0.98
26,2024-10-01,1
26,2025-01-01,1
26,2025-04-01,1
26,2025-07-01,1.01
26,2025-10-01,1
26,2026-01-01,1.01
26,2026-04-01,1.03
28,2004-01-01,1.01
28,2004-04-01,1.03
28,2004-07-01,1.02
28,2004-10-01,1
28,2005-01-01,1.03
28,2005-04-01,1.06
28,2005-07-01,1.01
28,2005-10-01,1.06
28,2006-01-01,1.06
28,2006-04-01,1.1
28,2006-07-01,1.07
28,2006-10-01,1.14
28,2007-01-01,1.18
28,2007-04-01,1.22
28,2007-07-01,1.19
28,2007-10-01,1.22
28,2008-01-01,1.18
28,2008-04-01,1.17
28,2008-07-01,1.08
28,2008-10-01,0.92
28,2009-01-01,0.87
28,2009-04-01,0.85
28,2009-07-01,0.89
28,2009-10-01,0.94
28,2010-01-01,1.02
28,2010-04-01,1.11
28,2010-07-01,1.12
28,2010-10-01,1.15
28,2011-01-01,1.2
28,2011-04-01,1.19
28,2011-07-01,1.07
28,2011-10-01,1.06
28,2012-01-01,1.08
28,2012-04-01,1.03
28,2012-07-01,1.02
28,2012-10-01,1.03
28,2013-01-01,1.06
28,2013-04-01,1.05
28,2013-07-01,1.05
28,2013-10-01,1.04
28,2014-01-01,1.09
28,2014-04-01,1.08
28,2014-07-01,1.08
28,2014-10-01,1.05
28,2015-01-01,0.98
28,2015-04-01,0.99
28,2015-07-01,0.97
28,2015-10-01,1.02
28,2016-01-01,1.05
28,2016-04-01,1.05
28,2016-07-01,1.03
28,2016-10-01,1.02
28,2017-01-01,1.08
28,2017-04-01,1.09
28,2017-07-01,1.12
28,2017-10-01,1.14
28,2018-01-01,1.14
28,2018-04-01,1.16
