worktype,date,value
hochbau,1998-10-01,80.4
hochbau,1999-04-01,80.9
hochbau,1999-10-01,82.8
hochbau,2000-04-01,84.2
hochbau,2000-10-01,86
hochbau,2001-04-01,87.6
hochbau,2001-10-01,87.8
hochbau,2002-04-01,87.5
hochbau,2002-10-01,86.8
hochbau,2003-04-01,85.7
hochbau,2003-10-01,85.8
hochbau,2004-04-01,85.8
hochbau,2004-10-01,87.3
hochbau,2005-04-01,88.1
hochbau,2005-10-01,88.9
hochbau,2006-04-01,90
hochbau,2006-10-01,92.2
hochbau,2007-04-01,93.9
hochbau,2007-10-01,95.6
hochbau,2008-04-01,97.6
hochbau,2008-10-01,99.2
hochbau,2009-04-01,97.9
hochbau,2009-10-01,97.8
hochbau,2010-04-01,97.5
hochbau,2010-10-01,98.6
hochbau,2011-04-01,99.9
hochbau,2011-10-01,100.4
hochbau,2012-04-01,100.3
hochbau,2012-10-01,100.4
hochbau,2013-04-01,100.6
hochbau,2013-10-01,101.1
hochbau,2014-04-01,101.1
hochbau,2014-10-01,100.8
hochbau,2015-04-01,100.2
hochbau,2015-10-01,100.7
hochbau,2016-04-01,100.1
hochbau,2016-10-01,99.4
hochbau,2017-04-01,99
hochbau,2017-10-01,99.1
hochbau,2018-04-01,99.5
hochbau,2018-10-01,99.7
hochbau,2019-04-01,100.3
hochbau,2019-10-01,100.1
hochbau,2020-04-01,100.3
hochbau,2020-10-01,100
hochbau,2021-04-01,101.5
hochbau,2021-10-01,104.6
hochbau,2022-04-01,109.7
hochbau,2022-10-01,113.2
hochbau,2023-04-01,114.3
hochbau,2023-10-01,114.8
hochbau,2024-04-01,115.2
hochbau,2024-10-01,115.3
hochbau,2025-04-01,115.9
hochbau,2025-10-01,116.3
hochbau,2026-04-01,117
tiefbau,1998-10-01,73
tiefbau,1999-04-01,74.4
tiefbau,1999-10-01,77.2
tiefbau,2000-04-01,78.9
tiefbau,2000-10-01,81.3
tiefbau,2001-04-01,84.3
tiefbau,2001-10-01,83.3
tiefbau,2002-04-01,81.8
tiefbau,2002-10-01,80.8
tiefbau,2003-04-01,80.4
tiefbau,2003-10-01,81.1
tiefbau,2004-04-01,82.7
tiefbau,2004-10-01,84.9
tiefbau,2005-04-01,84.5
tiefbau,2005-10-01,86.6
tiefbau,2006-04-01,87.4
tiefbau,2006-10-01,90
tiefbau,2007-04-01,91.5
tiefbau,2007-10-01,93.1
tiefbau,2008-04-01,94.2
tiefbau,2008-10-01,96.1
tiefbau,2009-04-01,92.4
tiefbau,2009-10-01,92.9
tiefbau,2010-04-01,93.8
tiefbau,2010-10-01,93.8
tiefbau,2011-04-01,95.7
tiefbau,2011-10-01,96.7
tiefbau,2012-04-01,97.3
tiefbau,2012-10-01,97.9
tiefbau,2013-04-01,98.3
tiefbau,2013-10-01,99.2
tiefbau,2014-04-01,98.2
tiefbau,2014-10-01,98.8
tiefbau,2015-04-01,98.2
tiefbau,2015-10-01,98.5
tiefbau,2016-04-01,98.3
tiefbau,2016-10-01,98.6
tiefbau,2017-04-01,98.6
tiefbau,2017-10-01,98.5
tiefbau,2018-04-01,98.3
tiefbau,2018-10-01,99.1
tiefbau,2019-04-01,99.1
tiefbau,2019-10-01,99.7
tiefbau,2020-04-01,99.9
tiefbau,2020-10-01,100
tiefbau,2021-04-01,101.1
tiefbau,2021-10-01,102.4
tiefbau,2022-04-01,107.5
tiefbau,2022-10-01,111.1
tiefbau,2023-04-01,112.4
tiefbau,2023-10-01,113.6
tiefbau,2024-04-01,114.3
tiefbau,2024-10-01,114.7
tiefbau,2025-04-01,115.5
tiefbau,2025-10-01,115.9
tiefbau,2026-04-01,116.9
total,1998-10-01,78.7
total,1999-04-01,79.5
total,1999-10-01,81.6
total,2000-04-01,83.1
total,2000-10-01,85
total,2001-04-01,87
total,2001-10-01,86.9
total,2002-04-01,86.3
total,2002-10-01,85.5
total,2003-04-01,84.6
total,2003-10-01,84.9
total,2004-04-01,85.2
total,2004-10-01,86.9
total,2005-04-01,87.4
total,2005-10-01,88.6
total,2006-04-01,89.6
total,2006-10-01,91.9
total,2007-04-01,93.5
total,2007-10-01,95.3
total,2008-04-01,97
total,2008-10-01,98.7
total,2009-04-01,96.8
total,2009-10-01,96.9
total,2010-04-01,96.9
total,2010-10-01,97.6
total,2011-04-01,99.1
total,2011-10-01,99.7
total,2012-04-01,99.7
total,2012-10-01,99.9
total,2013-04-01,100.1
total,2013-10-01,100.7
total,2014-04-01,100.5
total,2014-10-01,100.4
total,2015-04-01,99.8
total,2015-10-01,100.3
total,2016-04-01,99.7
total,2016-10-01,99.3
total,2017-04-01,98.9
total,2017-10-01,98.9
total,2018-04-01,99.3
total,2018-10-01,99.6
total,2019-04-01,100
total,2019-10-01,100
total,2020-04-01,100.2
total,2020-10-01,100
total,2021-04-01,101.4
total,2021-10-01,104.1
total,2022-04-01,109.2
total,2022-10-01,112.7
total,2023-04-01,113.9
total,2023-10-01,114.5
total,2024-04-01,115
total,2024-10-01,115.2
total,2025-04-01,115.8
total,2025-10-01,116.2
total,2026-04-01,117
