item,date,value
100_1,1982-12-01,72.9171
100_1,1983-01-01,73.2391
100_1,1983-02-01,73.5722
100_1,1983-03-01,74.3022
100_1,1983-04-01,75.0765
100_1,1983-05-01,74.4582
100_1,1983-06-01,75.6674
100_1,1983-07-01,74.6574
100_1,1983-08-01,73.5802
100_1,1983-09-01,73.8059
100_1,1983-10-01,74.6811
100_1,1983-11-01,75.0432
100_1,1983-12-01,75.0767
100_1,1984-01-01,75.8433
100_1,1984-02-01,76.3986
100_1,1984-03-01,77.4933
100_1,1984-04-01,78.1005
100_1,1984-05-01,77.7144
100_1,1984-06-01,78.4681
100_1,1984-07-01,77.6192
100_1,1984-08-01,77.1398
100_1,1984-09-01,76.0686
100_1,1984-10-01,76.9994
100_1,1984-11-01,77.8486
100_1,1984-12-01,77.3462
100_1,1985-01-01,79.0735
100_1,1985-02-01,80.0383
100_1,1985-03-01,80.6058
100_1,1985-04-01,81.0278
100_1,1985-05-01,80.4608
100_1,1985-06-01,80.1113
100_1,1985-07-01,79.2051
100_1,1985-08-01,77.2881
100_1,1985-09-01,77.3188
100_1,1985-10-01,77.9306
100_1,1985-11-01,78.46
100_1,1985-12-01,79.1915
100_1,1986-01-01,79.6808
100_1,1986-02-01,79.639
100_1,1986-03-01,79.98
100_1,1986-04-01,80.4934
100_1,1986-05-01,80.5666
100_1,1986-06-01,81.2011
100_1,1986-07-01,81.0373
100_1,1986-08-01,79.1534
100_1,1986-09-01,78.9608
100_1,1986-10-01,79.3274
100_1,1986-11-01,78.8633
100_1,1986-12-01,79.4339
100_1,1987-01-01,79.9786
100_1,1987-02-01,80.2646
100_1,1987-03-01,80.7968
100_1,1987-04-01,81.1426
100_1,1987-05-01,80.0808
100_1,1987-06-01,81.2119
100_1,1987-07-01,80.9488
100_1,1987-08-01,80.4886
100_1,1987-09-01,79.7491
100_1,1987-10-01,80.1897
100_1,1987-11-01,80.354
100_1,1987-12-01,80.4971
100_1,1988-01-01,81.2187
100_1,1988-02-01,82.1026
100_1,1988-03-01,83.0487
100_1,1988-04-01,83.479
100_1,1988-05-01,83.0711
100_1,1988-06-01,83.4788
100_1,1988-07-01,82.4947
100_1,1988-08-01,81.2282
100_1,1988-09-01,81.264
100_1,1988-10-01,81.8464
100_1,1988-11-01,81.7464
100_1,1988-12-01,81.7763
100_1,1989-01-01,82.1465
100_1,1989-02-01,82.4291
100_1,1989-03-01,82.8144
100_1,1989-04-01,83.3323
100_1,1989-05-01,83.3406
100_1,1989-06-01,84.1376
100_1,1989-07-01,83.4927
100_1,1989-08-01,82.1387
100_1,1989-09-01,82.6897
100_1,1989-10-01,83.2755
100_1,1989-11-01,83.6348
100_1,1989-12-01,84.4989
100_1,1990-01-01,85.8328
100_1,1990-02-01,87.0634
100_1,1990-03-01,87.617
100_1,1990-04-01,88.4959
100_1,1990-05-01,87.9658
100_1,1990-06-01,88.4975
100_1,1990-07-01,88.3328
100_1,1990-08-01,87.7281
100_1,1990-09-01,87.817
100_1,1990-10-01,88.1246
100_1,1990-11-01,87.6287
100_1,1990-12-01,87.9222
100_1,1991-01-01,89.9388
100_1,1991-02-01,90.7776
100_1,1991-03-01,91.7519
100_1,1991-04-01,92.1702
100_1,1991-05-01,91.4116
100_1,1991-06-01,92.9585
100_1,1991-07-01,91.8929
100_1,1991-08-01,91.6296
100_1,1991-09-01,91.3024
100_1,1991-10-01,91.3145
100_1,1991-11-01,92.3523
100_1,1991-12-01,91.6148
100_1,1992-01-01,92.1181
100_1,1992-02-01,92.0307
100_1,1992-03-01,92.6684
100_1,1992-04-01,92.6623
100_1,1992-05-01,91.7218
100_1,1992-06-01,93.1253
100_1,1992-07-01,91.6557
100_1,1992-08-01,90.4203
100_1,1992-09-01,90.7608
100_1,1992-10-01,90.9345
100_1,1992-11-01,91.172
100_1,1992-12-01,90.4783
100_1,1993-01-01,91.4739
100_1,1993-02-01,91.5425
100_1,1993-03-01,92.6014
100_1,1993-04-01,92.6786
100_1,1993-05-01,91.8483
100_1,1993-06-01,91.8061
100_1,1993-07-01,91.1873
100_1,1993-08-01,91.1436
100_1,1993-09-01,90.614
100_1,1993-10-01,90.6541
100_1,1993-11-01,90.6034
100_1,1993-12-01,91.6501
100_1,1994-01-01,91.7347
100_1,1994-02-01,92.0103
100_1,1994-03-01,91.8368
100_1,1994-04-01,91.7262
100_1,1994-05-01,91.6695
100_1,1994-06-01,92.5029
100_1,1994-07-01,92.401
100_1,1994-08-01,91.9113
100_1,1994-09-01,92.3335
100_1,1994-10-01,92.088
100_1,1994-11-01,91.1897
100_1,1994-12-01,91.1651
100_1,1995-01-01,92.5269
100_1,1995-02-01,93.4916
100_1,1995-03-01,92.906
100_1,1995-04-01,92.9003
100_1,1995-05-01,92.5
100_1,1995-06-01,93.5016
100_1,1995-07-01,93.3301
100_1,1995-08-01,92.3876
100_1,1995-09-01,92.4304
100_1,1995-10-01,91.8667
100_1,1995-11-01,91.0877
100_1,1995-12-01,91.0291
100_1,1996-01-01,92.0693
100_1,1996-02-01,92.1374
100_1,1996-03-01,92.6913
100_1,1996-04-01,92.7866
100_1,1996-05-01,92.2039
100_1,1996-06-01,93.432
100_1,1996-07-01,92.6693
100_1,1996-08-01,91.7118
100_1,1996-09-01,91.5452
100_1,1996-10-01,91.4051
100_1,1996-11-01,90.7158
100_1,1996-12-01,91.1403
100_1,1997-01-01,92.2715
100_1,1997-02-01,92.4509
100_1,1997-03-01,92.2008
100_1,1997-04-01,92.4651
100_1,1997-05-01,92.6507
100_1,1997-06-01,93.2946
100_1,1997-07-01,92.766
100_1,1997-08-01,92.4449
100_1,1997-09-01,92.6908
100_1,1997-10-01,92.6652
100_1,1997-11-01,92.6857
100_1,1997-12-01,93.3003
100_1,1998-01-01,93.5911
100_1,1998-02-01,93.6089
100_1,1998-03-01,93.4279
100_1,1998-04-01,93.3496
100_1,1998-05-01,93.5247
100_1,1998-06-01,94.6819
100_1,1998-07-01,93.7531
100_1,1998-08-01,93.2936
100_1,1998-09-01,93.2038
100_1,1998-10-01,93.0314
100_1,1998-11-01,92.6821
100_1,1998-12-01,92.9053
100_1,1999-01-01,93.551
100_1,1999-02-01,93.5206
100_1,1999-03-01,93.2205
100_1,1999-04-01,93.3686
100_1,1999-05-01,93.0333
100_1,1999-06-01,93.8638
100_1,1999-07-01,93.6505
100_1,1999-08-01,93.0556
100_1,1999-09-01,93.2011
100_1,1999-10-01,92.8865
100_1,1999-11-01,92.6881
100_1,1999-12-01,93.4742
100_1,2000-01-01,93.821
100_1,2000-02-01,94.7608
100_1,2000-03-01,94.4102
100_1,2000-04-01,95.066
100_1,2000-05-01,95.1929
100_1,2000-06-01,95.7363
100_1,2000-07-01,94.9813
100_1,2000-08-01,95.212
100_1,2000-09-01,94.9125
100_1,2000-10-01,94.5989
100_1,2000-11-01,94.7651
100_1,2000-12-01,94.3133
100_1,2001-01-01,95.1739
100_1,2001-02-01,95.3325
100_1,2001-03-01,95.5155
100_1,2001-04-01,96.1185
100_1,2001-05-01,96.453
100_1,2001-06-01,97.9824
100_1,2001-07-01,97.6807
100_1,2001-08-01,97.1573
100_1,2001-09-01,97.4076
100_1,2001-10-01,97.9469
100_1,2001-11-01,96.9631
100_1,2001-12-01,97.7163
100_1,2002-01-01,99.3508
100_1,2002-02-01,99.2203
100_1,2002-03-01,99.2133
100_1,2002-04-01,99.5516
100_1,2002-05-01,99.1671
100_1,2002-06-01,99.1889
100_1,2002-07-01,99.0258
100_1,2002-08-01,98.8009
100_1,2002-09-01,99.0222
100_1,2002-10-01,98.8353
100_1,2002-11-01,98.4589
100_1,2002-12-01,98.4338
100_1,2003-01-01,98.8467
100_1,2003-02-01,99.5626
100_1,2003-03-01,100.4362
100_1,2003-04-01,100.3039
100_1,2003-05-01,100.2902
100_1,2003-06-01,100.7895
100_1,2003-07-01,100.0105
100_1,2003-08-01,100.355
100_1,2003-09-01,100.7385
100_1,2003-10-01,100.8116
100_1,2003-11-01,100.5361
100_1,2003-12-01,100.6836
100_1,2004-01-01,101.2015
100_1,2004-02-01,100.8741
100_1,2004-03-01,101.0165
100_1,2004-04-01,101.3288
100_1,2004-05-01,101.1078
100_1,2004-06-01,101.7593
100_1,2004-07-01,100.8312
100_1,2004-08-01,100.1149
100_1,2004-09-01,100.4153
100_1,2004-10-01,100.4209
100_1,2004-11-01,100.0678
100_1,2004-12-01,100.3156
100_1,2005-01-01,100.5928
100_1,2005-02-01,101.1621
100_1,2005-03-01,101.0456
