canton,date,value
1,2002-07-01,3910.6384
1,2002-10-01,3894.16
1,2003-01-01,3887.0938
1,2003-04-01,3851.5732
1,2003-07-01,3842.8003
1,2003-10-01,3857.9194
1,2004-01-01,3872.679
1,2004-04-01,3964.2983
1,2004-07-01,3877.2769
1,2004-10-01,3865.953
1,2005-01-01,3955.077
1,2005-04-01,3932.8228
1,2005-07-01,3913.3792
1,2005-10-01,4037.893
1,2006-01-01,4090.8286
1,2006-04-01,4190.6963
1,2006-07-01,4330.98
1,2006-10-01,4447.865
1,2007-01-01,4646.234
1,2007-04-01,4798.133
1,2007-07-01,5005.935
1,2007-10-01,5073.7993
1,2008-01-01,5207.7124
1,2008-04-01,5429.8203
1,2008-07-01,5540.7065
1,2008-10-01,5441.0063
1,2009-01-01,5653.9478
1,2009-04-01,5805.329
1,2009-07-01,5835.199
1,2009-10-01,5884.059
1,2010-01-01,6069.2817
1,2010-04-01,6325.2886
1,2010-07-01,6465.619
1,2010-10-01,6397.3633
1,2011-01-01,6644.3145
1,2011-04-01,6872.332
1,2011-07-01,7090.2593
1,2011-10-01,7194.543
1,2012-01-01,7458.827
1,2012-04-01,7656.387
1,2012-07-01,7881.2266
1,2012-10-01,7905.525
1,2013-01-01,8098.516
1,2013-04-01,8308.262
1,2013-07-01,8533.874
1,2013-10-01,8532.095
1,2014-01-01,8685.994
1,2014-04-01,8869.052
1,2014-07-01,9023.7705
1,2014-10-01,9010.488
1,2015-01-01,9154.983
1,2015-04-01,9328.286
1,2015-07-01,9516.591
1,2015-10-01,9480.587
1,2016-01-01,9680.425
1,2016-04-01,9747.506
1,2016-07-01,9903.543
1,2016-10-01,9913.431
1,2017-01-01,9951.212
1,2017-04-01,10124.97
1,2017-07-01,10271.169
1,2017-10-01,10168.528
1,2018-01-01,10158.205
1,2018-04-01,10202.323
1,2018-07-01,10232.069
1,2018-10-01,10228.566
1,2019-01-01,10271.903
1,2019-04-01,10520.785
1,2019-07-01,10582.318
1,2019-10-01,10644.918
1,2020-01-01,10647.057
1,2020-04-01,10627.108
1,2020-07-01,10731.429
1,2020-10-01,10728.704
1,2021-01-01,10798.094
1,2021-04-01,10921.786
1,2021-07-01,11042.12
1,2021-10-01,11128.883
1,2022-01-01,11099.244
1,2022-04-01,11336.213
1,2022-07-01,11463.979
1,2022-10-01,11548.358
1,2023-01-01,11695.792
1,2023-04-01,11861.984
1,2023-07-01,11994.182
1,2023-10-01,12192.103
1,2024-01-01,12327.444
1,2024-04-01,12285.597
1,2024-07-01,12381.911
1,2024-10-01,12411.58
1,2025-01-01,12414.094
1,2025-04-01,12430.56
1,2025-07-01,12291.556
1,2025-10-01,12314.469
1,2026-01-01,12226.614
10,2002-07-01,0
10,2002-10-01,0
10,2003-01-01,0
10,2003-04-01,0
10,2003-07-01,0
10,2003-10-01,0
10,2004-01-01,0
10,2004-04-01,0
10,2004-07-01,0
10,2004-10-01,0
10,2005-01-01,0
10,2005-04-01,0
10,2005-07-01,0
10,2005-10-01,0
10,2006-01-01,0
10,2006-04-01,0
10,2006-07-01,0
10,2006-10-01,0
10,2007-01-01,0
10,2007-04-01,15.28567
10,2007-07-01,38.150085
10,2007-10-01,56.059776
10,2008-01-01,97.92246
10,2008-04-01,177.39601
10,2008-07-01,146.99023
10,2008-10-01,141.13142
10,2009-01-01,163.0729
10,2009-04-01,172.63539
10,2009-07-01,187.2046
10,2009-10-01,195.35696
10,2010-01-01,212.13751
10,2010-04-01,242.62456
10,2010-07-01,249.44273
10,2010-10-01,253.98616
10,2011-01-01,285.0601
10,2011-04-01,312.0826
10,2011-07-01,316.59885
10,2011-10-01,306.60242
10,2012-01-01,327.55673
10,2012-04-01,353.1675
10,2012-07-01,377.58234
10,2012-10-01,389.5758
10,2013-01-01,420.05197
10,2013-04-01,453.63803
10,2013-07-01,504.80765
10,2013-10-01,505.41217
10,2014-01-01,511.7492
10,2014-04-01,576.20044
10,2014-07-01,576.1804
10,2014-10-01,575.85114
10,2015-01-01,584.0026
10,2015-04-01,638.5661
10,2015-07-01,658.06683
10,2015-10-01,634.9675
10,2016-01-01,640.8434
10,2016-04-01,680.8195
10,2016-07-01,727.37006
10,2016-10-01,706.28577
10,2017-01-01,715.4459
10,2017-04-01,770.4938
10,2017-07-01,787.1314
10,2017-10-01,782.1245
10,2018-01-01,820.46857
10,2018-04-01,934.4284
10,2018-07-01,975.3574
10,2018-10-01,961.3368
10,2019-01-01,1001.46027
10,2019-04-01,1032.0271
10,2019-07-01,1079.3885
10,2019-10-01,1061.8304
10,2020-01-01,1047.7766
10,2020-04-01,1078.3033
