sector,sex,date,value
P,female,1991-04-01,1672346
P,female,1991-07-01,1665675
P,female,1991-10-01,1659118
P,female,1992-01-01,1663160
P,female,1992-04-01,1670375
P,female,1992-07-01,1669729
P,female,1992-10-01,1654604
P,female,1993-01-01,1648862
P,female,1993-04-01,1659968
P,female,1993-07-01,1672319
P,female,1993-10-01,1674012
P,female,1994-01-01,1666198
P,female,1994-04-01,1653708
P,female,1994-07-01,1665032
P,female,1994-10-01,1676162
P,female,1995-01-01,1668821
P,female,1995-04-01,1657459
P,female,1995-07-01,1655916
P,female,1995-10-01,1665437
P,female,1996-01-01,1662013
P,female,1996-04-01,1667629
P,female,1996-07-01,1672210
P,female,1996-10-01,1671993
P,female,1997-01-01,1674543
P,female,1997-04-01,1680198
P,female,1997-07-01,1694723
P,female,1997-10-01,1702407
P,female,1998-01-01,1708576
P,female,1998-04-01,1721821
P,female,1998-07-01,1729356
P,female,1998-10-01,1729487
P,female,1999-01-01,1729295
P,female,1999-04-01,1735086
P,female,1999-07-01,1743182
P,female,1999-10-01,1745826
P,female,2000-01-01,1745352
P,female,2000-04-01,1748536
P,female,2000-07-01,1758166
P,female,2000-10-01,1771360
P,female,2001-01-01,1783170
P,female,2001-04-01,1789363
P,female,2001-07-01,1799814
P,female,2001-10-01,1809561
P,female,2002-01-01,1815708
P,female,2002-04-01,1824376
P,female,2002-07-01,1836662
P,female,2002-10-01,1834464
P,female,2003-01-01,1820142
P,female,2003-04-01,1822027
P,female,2003-07-01,1831539
P,female,2003-10-01,1834218
P,female,2004-01-01,1830523
P,female,2004-04-01,1829147
P,female,2004-07-01,1832799
P,female,2004-10-01,1837551
P,female,2005-01-01,1838117
P,female,2005-04-01,1842151
P,female,2005-07-01,1856528
P,female,2005-10-01,1865304
P,female,2006-01-01,1870588
P,female,2006-04-01,1882150
P,female,2006-07-01,1899815
P,female,2006-10-01,1912416
P,female,2007-01-01,1913908
P,female,2007-04-01,1923014
P,female,2007-07-01,1944937
P,female,2007-10-01,1965894
P,female,2008-01-01,1980572
P,female,2008-04-01,1998476
P,female,2008-07-01,2017512
P,female,2008-10-01,2025073
P,female,2009-01-01,2026739
P,female,2009-04-01,2030486
P,female,2009-07-01,2030481
P,female,2009-10-01,2022441
P,female,2010-01-01,2003142.4829
P,female,2010-04-01,2007042.6554
P,female,2010-07-01,2015985.0897
P,female,2010-10-01,2028259.065
P,female,2011-01-01,2047313.6602
P,female,2011-04-01,2072809.6955
P,female,2011-07-01,2054399.7807
P,female,2011-10-01,2089776.569
P,female,2012-01-01,2100411.3813
P,female,2012-04-01,2104063.4306
P,female,2012-07-01,2122173.442
P,female,2012-10-01,2112153.5056
P,female,2013-01-01,2119377.3391
P,female,2013-04-01,2131913.2704
P,female,2013-07-01,2150269.273
P,female,2013-10-01,2169359.1175
P,female,2014-01-01,2155466.8521
P,female,2014-04-01,2186147.3481
P,female,2014-07-01,2191010.6126
P,female,2014-10-01,2242188.2704
P,female,2015-01-01,2230832.3533
P,female,2015-04-01,2227663.6788
P,female,2015-07-01,2221031.8856
P,female,2015-10-01,2251337.865
P,female,2016-01-01,2274719.0551
P,female,2016-04-01,2264445.5662
P,female,2016-07-01,2264292.3851
P,female,2016-10-01,2287376.4022
P,female,2017-01-01,2284841.5639
P,female,2017-04-01,2279121.2081
P,female,2017-07-01,2269108.5177
P,female,2017-10-01,2291525.8759
P,female,2018-01-01,2296516.1899
P,female,2018-04-01,2288090.1155
P,female,2018-07-01,2326698.6575
P,female,2018-10-01,2317900.349
P,female,2019-01-01,2310326.3091
P,female,2019-04-01,2330820.0554
P,female,2019-07-01,2331199.7801
P,female,2019-10-01,2353070.7095
P,female,2020-01-01,2331498.4975
P,female,2020-04-01,2281947.9125
P,female,2020-07-01,2309164.8888
P,female,2020-10-01,2348659.8609
P,female,2021-01-01,2302539.6133
P,female,2021-04-01,2303982.2837
P,female,2021-07-01,2351247.844
P,female,2021-10-01,2394677.6042
P,female,2022-01-01,2352461.5117
P,female,2022-04-01,2352635.3901
P,female,2022-07-01,2360568.6936
P,female,2022-10-01,2400052.2476
P,female,2023-01-01,2404097.0715
P,female,2023-04-01,2422728.7693
P,female,2023-07-01,2417032.3865
P,female,2023-10-01,2448481.6124
P,female,2024-01-01,2447940.2332
P,female,2024-04-01,2452699.7665
P,female,2024-07-01,2448833.0785
P,female,2024-10-01,2468284.596
P,female,2025-01-01,2472814.111
P,female,2025-04-01,2472003.2728
P,female,2025-07-01,2467572.3643
P,female,2025-10-01,2469337.5218
P,male,1991-04-01,2369759
P,male,1991-07-01,2373506
P,male,1991-10-01,2326670
P,male,1992-01-01,2297053
P,male,1992-04-01,2319201
P,male,1992-07-01,2328720
P,male,1992-10-01,2290090
P,male,1993-01-01,2248900
P,male,1993-04-01,2279485
P,male,1993-07-01,2312257
P,male,1993-10-01,2279332
P,male,1994-01-01,2244751
P,male,1994-04-01,2247246
P,male,1994-07-01,2269926
P,male,1994-10-01,2264874
P,male,1995-01-01,2247748
P,male,1995-04-01,2253290
P,male,1995-07-01,2262821
P,male,1995-10-01,2250845
P,male,1996-01-01,2232369
P,male,1996-04-01,2238642
P,male,1996-07-01,2247076
P,male,1996-10-01,2226699
P,male,1997-01-01,2203897
P,male,1997-04-01,2207247
P,male,1997-07-01,2218671
P,male,1997-10-01,2214179
P,male,1998-01-01,2207060
P,male,1998-04-01,2227787
P,male,1998-07-01,2245453
