region,date,value
AG,2008-01-01,39586.17092
AG,2009-01-01,38626.48387
AG,2010-01-01,39287.88792
AG,2011-01-01,40175.39036
AG,2012-01-01,40309.14441
AG,2013-01-01,41229.16645
AG,2014-01-01,41857.04587
AG,2015-01-01,41592.75056
AG,2016-01-01,42131.70882
AG,2017-01-01,42758.50104
AG,2018-01-01,43687.13571
AG,2019-01-01,44509.24537
AG,2020-01-01,44108.19224
AG,2021-01-01,44938.39714
AG,2022-01-01,47538.21086
AI,2008-01-01,835.67541
AI,2009-01-01,818.7148
AI,2010-01-01,883.82611
AI,2011-01-01,905.45429
AI,2012-01-01,912.5929000000002
AI,2013-01-01,945.20532
AI,2014-01-01,985.1826
AI,2015-01-01,992.23428
AI,2016-01-01,1008.6843
AI,2017-01-01,1002.78446
AI,2018-01-01,1034.1429
AI,2019-01-01,1046.87968
AI,2020-01-01,1042.92005
AI,2021-01-01,1157.41315
AI,2022-01-01,1237.71858
AR,2008-01-01,2868.35229
AR,2009-01-01,2764.46097
AR,2010-01-01,2890.01509
AR,2011-01-01,2943.4562
AR,2012-01-01,2950.66255
AR,2013-01-01,3054.05788
AR,2014-01-01,3099.52196
AR,2015-01-01,3127.70844
AR,2016-01-01,3147.8499
AR,2017-01-01,3112.6167
AR,2018-01-01,3201.04029
AR,2019-01-01,3254.50915
AR,2020-01-01,3414.4593
AR,2021-01-01,3597.76027
AR,2022-01-01,3748.99843
BE,2008-01-01,73222.43163
BE,2009-01-01,72092.83846
BE,2010-01-01,74500.52053
BE,2011-01-01,75733.94119
BE,2012-01-01,76003.43148
BE,2013-01-01,77331.58119
BE,2014-01-01,78705.81482
BE,2015-01-01,78524.05539
BE,2016-01-01,78336.78608
BE,2017-01-01,78903.20877
BE,2018-01-01,80775.78955
BE,2019-01-01,82365.69844
BE,2020-01-01,80589.16775
BE,2021-01-01,85140.5241
BE,2022-01-01,89362.15439
BL,2008-01-01,18646.315
BL,2009-01-01,18284.41221
BL,2010-01-01,18920.1067
BL,2011-01-01,19240.08331
BL,2012-01-01,19052.42382
BL,2013-01-01,19331.3215
BL,2014-01-01,19948.28137
BL,2015-01-01,20327.19358
BL,2016-01-01,20435.72932
BL,2017-01-01,20728.94502
BL,2018-01-01,20819.445
BL,2019-01-01,20816.19197
BL,2020-01-01,20464.11973
BL,2021-01-01,21615.57753
BL,2022-01-01,22811.9609
BS,2008-01-01,30331.63628
BS,2009-01-01,29895.47961
BS,2010-01-01,30268.87556
BS,2011-01-01,31070.99883
BS,2012-01-01,30870.80272
BS,2013-01-01,31234.56476
BS,2014-01-01,32096.51533
BS,2015-01-01,32764.38987
BS,2016-01-01,35204.04437
BS,2017-01-01,36876.2111
BS,2018-01-01,38110.19693
BS,2019-01-01,38316.71638
BS,2020-01-01,37705.55396
BS,2021-01-01,40025.80893
BS,2022-01-01,41203.45909
FR,2008-01-01,16159.48542
FR,2009-01-01,15753.19622
FR,2010-01-01,16276.14562
FR,2011-01-01,16665.1776
FR,2012-01-01,16822.84707
FR,2013-01-01,17652.88442
FR,2014-01-01,18139.40988
FR,2015-01-01,18257.69489
FR,2016-01-01,18289.33394
FR,2017-01-01,18627.22945
FR,2018-01-01,19066.30713
FR,2019-01-01,19459.65648
FR,2020-01-01,18886.4844
FR,2021-01-01,20276.79785
FR,2022-01-01,21423.64409
GE,2008-01-01,47597.2914
GE,2009-01-01,46480.21062
GE,2010-01-01,48388.04695
GE,2011-01-01,48535.59144
GE,2012-01-01,49396.84318
GE,2013-01-01,50196.61483
GE,2014-01-01,50311.47867
GE,2015-01-01,50042.25798
GE,2016-01-01,50364.83604
GE,2017-01-01,51443.49671
GE,2018-01-01,53899.99455
GE,2019-01-01,54591.22122
GE,2020-01-01,52015.88663
GE,2021-01-01,56228.85977
GE,2022-01-01,61231.33417
GL,2008-01-01,2505.78925
GL,2009-01-01,2433.26553
GL,2010-01-01,2490.82842
GL,2011-01-01,2554.07126
GL,2012-01-01,2575.92307
GL,2013-01-01,2680.91856
GL,2014-01-01,2719.52508
GL,2015-01-01,2736.19469
GL,2016-01-01,2718.89978
GL,2017-01-01,2828.80873
GL,2018-01-01,2790.11952
GL,2019-01-01,2891.24057
GL,2020-01-01,2773.97578
GL,2021-01-01,2988.10374
GL,2022-01-01,3117.55355
GR,2008-01-01,12767.38285
GR,2009-01-01,12782.13281
GR,2010-01-01,13171.80481
GR,2011-01-01,13477.02142
GR,2012-01-01,13660.96887
GR,2013-01-01,14028.60654
GR,2014-01-01,14125.80718
GR,2015-01-01,14011.72557
