sector,asset,date,value
S1,6010,1995-01-01,8910.111
S1,6010,1996-01-01,8835.519
S1,6010,1997-01-01,8784.284
S1,6010,1998-01-01,8445.566
S1,6010,1999-01-01,8186.605
S1,6010,2000-01-01,9841.294
S1,6010,2001-01-01,8953.37
S1,6010,2002-01-01,9446.346
S1,6010,2003-01-01,8757.494
S1,6010,2004-01-01,8904.532
S1,6010,2005-01-01,8753.972
S1,6010,2006-01-01,8863.493
S1,6010,2007-01-01,9070.753
S1,6010,2008-01-01,9914.81
S1,6010,2009-01-01,9923.126
S1,6010,2010-01-01,9663.67
S1,6010,2011-01-01,9778.258
S1,6010,2012-01-01,10642.994
S1,6010,2013-01-01,10931.497
S1,6010,2014-01-01,11441.531
S1,6010,2015-01-01,11482.878
S1,6010,2016-01-01,11144.985
S1,6010,2017-01-01,10613.57
S1,6010,2018-01-01,11181.069
S1,6010,2019-01-01,11303.927
S1,6010,2020-01-01,11627.443
S1,6010,2021-01-01,11777.57
S1,6010,2022-01-01,11521.816
S1,6010,2023-01-01,11919.624
S1,6010,2024-01-01,12076.2767240471
S1,6011,1995-01-01,38447.8281118395
S1,6011,1996-01-01,34293.6968424248
S1,6011,1997-01-01,32408.9597533898
S1,6011,1998-01-01,33015.3686179352
S1,6011,1999-01-01,32678.5288480095
S1,6011,2000-01-01,33989.5044768658
S1,6011,2001-01-01,34825.5763507944
S1,6011,2002-01-01,34768.3570297196
S1,6011,2003-01-01,35608.5759671694
S1,6011,2004-01-01,37876.0620295726
S1,6011,2005-01-01,40760.5695364322
S1,6011,2006-01-01,41455.8570289406
S1,6011,2007-01-01,42076.0665875659
S1,6011,2008-01-01,43179.284852838
S1,6011,2009-01-01,44223.9434039756
S1,6011,2010-01-01,46599.7663522853
S1,6011,2011-01-01,49202.6288338429
S1,6011,2012-01-01,50300.3880658405
S1,6011,2013-01-01,52281.1239258256
S1,6011,2014-01-01,53818.4852903314
S1,6011,2015-01-01,54550.5512855136
S1,6011,2016-01-01,54412.6511017059
S1,6011,2017-01-01,55515.543
S1,6011,2018-01-01,55308.8778516818
S1,6011,2019-01-01,54999.3213914886
S1,6011,2020-01-01,54045.5014306273
S1,6011,2021-01-01,53663.4558580857
S1,6011,2022-01-01,54191.3913066706
S1,6011,2023-01-01,54715.2104848724
S1,6011,2024-01-01,54138.0893451426
S1,P5111_N111_112G,1995-01-01,47357.9391118395
S1,P5111_N111_112G,1996-01-01,43129.2158424248
S1,P5111_N111_112G,1997-01-01,41193.2437533898
S1,P5111_N111_112G,1998-01-01,41460.9346179352
S1,P5111_N111_112G,1999-01-01,40865.1338480095
S1,P5111_N111_112G,2000-01-01,43830.7984768658
S1,P5111_N111_112G,2001-01-01,43778.9463507944
S1,P5111_N111_112G,2002-01-01,44214.7030297196
S1,P5111_N111_112G,2003-01-01,44366.0699671694
S1,P5111_N111_112G,2004-01-01,46780.5940295727
S1,P5111_N111_112G,2005-01-01,49514.5415364322
S1,P5111_N111_112G,2006-01-01,50319.3500289406
S1,P5111_N111_112G,2007-01-01,51146.8195875659
S1,P5111_N111_112G,2008-01-01,53094.094852838
S1,P5111_N111_112G,2009-01-01,54147.0694039756
S1,P5111_N111_112G,2010-01-01,56263.4363522853
S1,P5111_N111_112G,2011-01-01,58980.8868338429
S1,P5111_N111_112G,2012-01-01,60943.3820658405
S1,P5111_N111_112G,2013-01-01,63212.6209258256
S1,P5111_N111_112G,2014-01-01,65260.0162903314
S1,P5111_N111_112G,2015-01-01,66033.4292855136
S1,P5111_N111_112G,2016-01-01,65557.6361017059
S1,P5111_N111_112G,2017-01-01,66129.113
S1,P5111_N111_112G,2018-01-01,66489.9468516818
S1,P5111_N111_112G,2019-01-01,66303.2483914886
S1,P5111_N111_112G,2020-01-01,65672.9444306273
S1,P5111_N111_112G,2021-01-01,65441.0258580857
S1,P5111_N111_112G,2022-01-01,65713.2073066706
S1,P5111_N111_112G,2023-01-01,66634.8344848724
S1,P5111_N111_112G,2024-01-01,66214.3660691898
S1,P5111_N113T117G,1995-01-01,65334.0550502933
S1,P5111_N113T117G,1996-01-01,65654.5475683791
S1,P5111_N113T117G,1997-01-01,70064.8516785962
S1,P5111_N113T117G,1998-01-01,78187.2446415282
S1,P5111_N113T117G,1999-01-01,82499.1950915055
S1,P5111_N113T117G,2000-01-01,87426.9081839229
S1,P5111_N113T117G,2001-01-01,88017.2533397156
S1,P5111_N113T117G,2002-01-01,88387.1462551332
S1,P5111_N113T117G,2003-01-01,86795.2888399837
S1,P5111_N113T117G,2004-01-01,92430.1378981012
S1,P5111_N113T117G,2005-01-01,94606.1076384737
S1,P5111_N113T117G,2006-01-01,101846.003602166
S1,P5111_N113T117G,2007-01-01,111966.414183554
S1,P5111_N113T117G,2008-01-01,114334.792407125
S1,P5111_N113T117G,2009-01-01,101464.810940714
S1,P5111_N113T117G,2010-01-01,105122.448064405
S1,P5111_N113T117G,2011-01-01,106427.218722205
S1,P5111_N113T117G,2012-01-01,110206.912061043
S1,P5111_N113T117G,2013-01-01,111017.197522021
S1,P5111_N113T117G,2014-01-01,113482.77893102
S1,P5111_N113T117G,2015-01-01,114028.320318656
S1,P5111_N113T117G,2016-01-01,118481.140628949
S1,P5111_N113T117G,2017-01-01,125335.024747651
S1,P5111_N113T117G,2018-01-01,129093.05654237
