Tourismusregion,date,value
1,2005-01-01,769258
1,2005-02-01,833786
1,2005-03-01,833861
1,2005-04-01,178306
1,2005-05-01,122382
1,2005-06-01,315895
1,2005-07-01,627198
1,2005-08-01,660301
1,2005-09-01,426415
1,2005-10-01,268170
1,2005-11-01,70513
1,2005-12-01,463449
1,2006-01-01,753602
1,2006-02-01,824486
1,2006-03-01,765878
1,2006-04-01,291041
1,2006-05-01,121990
1,2006-06-01,351254
1,2006-07-01,652850
1,2006-08-01,638024
1,2006-09-01,466754
1,2006-10-01,289997
1,2006-11-01,80643
1,2006-12-01,470016
1,2007-01-01,741982
1,2007-02-01,849378
1,2007-03-01,751843
1,2007-04-01,295415
1,2007-05-01,135539
1,2007-06-01,373245
1,2007-07-01,654110
1,2007-08-01,648582
1,2007-09-01,474208
1,2007-10-01,313372
1,2007-11-01,95644
1,2007-12-01,534457
1,2008-01-01,799868
1,2008-02-01,930161
1,2008-03-01,865067
1,2008-04-01,188050
1,2008-05-01,166150
1,2008-06-01,393466
1,2008-07-01,700996
1,2008-08-01,711367
1,2008-09-01,505532
1,2008-10-01,319836
1,2008-11-01,91286
1,2008-12-01,568069
1,2009-01-01,752558
1,2009-02-01,835145
1,2009-03-01,674679
1,2009-04-01,297427
1,2009-05-01,140470
1,2009-06-01,376757
1,2009-07-01,664744
1,2009-08-01,696399
1,2009-09-01,497692
1,2009-10-01,301133
1,2009-11-01,86770
1,2009-12-01,561662
1,2010-01-01,725818
1,2010-02-01,848204
1,2010-03-01,725084
1,2010-04-01,262600
1,2010-05-01,154644
1,2010-06-01,361006
1,2010-07-01,681760
1,2010-08-01,674556
1,2010-09-01,469650
1,2010-10-01,297118
1,2010-11-01,91696
1,2010-12-01,515319
1,2011-01-01,735501
1,2011-02-01,741403
1,2011-03-01,727250
1,2011-04-01,201500
1,2011-05-01,118869
1,2011-06-01,367241
1,2011-07-01,611426
1,2011-08-01,622887
1,2011-09-01,428509
1,2011-10-01,276320
1,2011-11-01,86596
1,2011-12-01,448120
1,2012-01-01,659415
1,2012-02-01,757634
1,2012-03-01,605805
1,2012-04-01,205943
1,2012-05-01,126073
1,2012-06-01,321642
1,2012-07-01,561577
1,2012-08-01,578222
1,2012-09-01,412569
1,2012-10-01,259701
1,2012-11-01,95258
1,2012-12-01,480356
1,2013-01-01,653991
1,2013-02-01,755369
1,2013-03-01,675898
1,2013-04-01,144601
1,2013-05-01,121291
1,2013-06-01,315460
1,2013-07-01,610900
1,2013-08-01,620260
1,2013-09-01,412067
1,2013-10-01,243091
1,2013-11-01,103228
1,2013-12-01,504819
1,2014-01-01,664165
1,2014-02-01,695793
1,2014-03-01,674577
1,2014-04-01,168161
1,2014-05-01,123722
1,2014-06-01,314578
1,2014-07-01,571050
1,2014-08-01,579022
1,2014-09-01,399574
1,2014-10-01,255493
1,2014-11-01,88846
1,2014-12-01,517244
1,2015-01-01,650546
1,2015-02-01,741060
1,2015-03-01,558640
1,2015-04-01,178813
1,2015-05-01,114405
1,2015-06-01,277134
1,2015-07-01,547336
1,2015-08-01,529269
1,2015-09-01,368155
1,2015-10-01,230763
1,2015-11-01,79952
1,2015-12-01,441228
1,2016-01-01,545363
1,2016-02-01,725448
1,2016-03-01,634209
1,2016-04-01,129802
1,2016-05-01,117993
1,2016-06-01,258105
1,2016-07-01,545586
1,2016-08-01,537299
1,2016-09-01,368887
1,2016-10-01,254137
1,2016-11-01,86352
1,2016-12-01,424266
1,2017-01-01,593615
1,2017-02-01,736328
1,2017-03-01,593792
1,2017-04-01,174053
1,2017-05-01,122298
1,2017-06-01,301563
1,2017-07-01,559521
1,2017-08-01,553927
1,2017-09-01,380421
1,2017-10-01,286081
1,2017-11-01,94225
1,2017-12-01,457535
1,2018-01-01,634844
1,2018-02-01,761280
1,2018-03-01,639483
1,2018-04-01,172397
1,2018-05-01,126838
1,2018-06-01,328962
1,2018-07-01,594646
1,2018-08-01,581173
1,2018-09-01,419246
1,2018-10-01,289917
1,2018-11-01,105172
1,2018-12-01,478254
1,2019-01-01,637742
1,2019-02-01,741960
1,2019-03-01,663645
1,2019-04-01,185907
1,2019-05-01,123351
1,2019-06-01,350836
1,2019-07-01,621993
1,2019-08-01,605885
1,2019-09-01,419769
1,2019-10-01,293094
1,2019-11-01,103977
1,2019-12-01,507857
1,2020-01-01,688449
1,2020-02-01,823347
1,2020-03-01,275259
1,2020-04-01,9589
1,2020-05-01,68155
1,2020-06-01,227065
1,2020-07-01,730394
1,2020-08-01,625876
1,2020-09-01,482859
1,2020-10-01,343231
1,2020-11-01,116343
1,2020-12-01,379403
1,2021-01-01,371760
1,2021-02-01,665292
1,2021-03-01,513004
