coicop,date,value
CP00,2004-12-01,96.9
CP00,2005-01-01,96.5
CP00,2005-02-01,96.8
CP00,2005-03-01,97
CP00,2005-04-01,97.8
CP00,2005-05-01,97.7
CP00,2005-06-01,97.5
CP00,2005-07-01,97
CP00,2005-08-01,97.1
CP00,2005-09-01,97.5
CP00,2005-10-01,98.3
CP00,2005-11-01,98
CP00,2005-12-01,97.9
CP00,2006-01-01,97.9
CP00,2006-02-01,98.1
CP00,2006-03-01,98
CP00,2006-04-01,98.8
CP00,2006-05-01,98.9
CP00,2006-06-01,98.9
CP00,2006-07-01,98.3
CP00,2006-08-01,98.4
CP00,2006-09-01,98.2
CP00,2006-10-01,98.5
CP00,2006-11-01,98.4
CP00,2006-12-01,98.4
CP00,2007-01-01,97.9
CP00,2007-02-01,98.1
CP00,2007-03-01,98.3
CP00,2007-04-01,99.3
CP00,2007-05-01,99.5
CP00,2007-06-01,99.6
CP00,2007-07-01,99
CP00,2007-08-01,98.9
CP00,2007-09-01,99
CP00,2007-10-01,99.8
CP00,2007-11-01,100.2
CP00,2007-12-01,100.4
CP00,2008-01-01,100.4
CP00,2008-02-01,100.4
CP00,2008-03-01,100.7
CP00,2008-04-01,101.5
CP00,2008-05-01,102.1
CP00,2008-06-01,102.4
CP00,2008-07-01,102.2
CP00,2008-08-01,102
CP00,2008-09-01,101.8
CP00,2008-10-01,102.4
CP00,2008-11-01,101.4
CP00,2008-12-01,100.8
CP00,2009-01-01,100.3
CP00,2009-02-01,100.2
CP00,2009-03-01,100
CP00,2009-04-01,100.9
CP00,2009-05-01,100.9
CP00,2009-06-01,101.1
CP00,2009-07-01,100.8
CP00,2009-08-01,100.9
CP00,2009-09-01,100.7
CP00,2009-10-01,101.3
CP00,2009-11-01,101.2
CP00,2009-12-01,100.9
CP00,2010-01-01,101.1
CP00,2010-02-01,101.1
CP00,2010-03-01,101.4
CP00,2010-04-01,102.2
CP00,2010-05-01,101.9
CP00,2010-06-01,101.6
CP00,2010-07-01,101.1
CP00,2010-08-01,101.1
CP00,2010-09-01,100.9
CP00,2010-10-01,101.5
CP00,2010-11-01,101.4
CP00,2010-12-01,101.4
CP00,2011-01-01,101.1
CP00,2011-02-01,101.6
CP00,2011-03-01,102.3
CP00,2011-04-01,102.4
CP00,2011-05-01,102.2
CP00,2011-06-01,102.2
CP00,2011-07-01,101.3
CP00,2011-08-01,100.7
CP00,2011-09-01,101.2
CP00,2011-10-01,101.2
CP00,2011-11-01,100.7
CP00,2011-12-01,101
CP00,2012-01-01,100.2
