sex,worktime,measure,date,value
F,FT,annual,2010-01-01,1834.7675416
F,FT,annual,2011-01-01,1825.4961559
F,FT,annual,2012-01-01,1805.3402444
F,FT,annual,2013-01-01,1789.3548948
F,FT,annual,2014-01-01,1796.6292669
F,FT,annual,2015-01-01,1807.8033829
F,FT,annual,2016-01-01,1815.0597504
F,FT,annual,2017-01-01,1788.4113702
F,FT,annual,2018-01-01,1785.0101511
F,FT,annual,2019-01-01,1790.7163053
F,FT,annual,2020-01-01,1715.3725094
F,FT,annual,2021-01-01,1769.4066815
F,FT,annual,2022-01-01,1757.7023678
F,FT,annual,2023-01-01,1744.4760997
F,FT,annual,2024-01-01,1746.0143031
F,FT,annual,2025-01-01,1734.2553856
F,FT,volume,2010-01-01,1581325612.1
F,FT,volume,2011-01-01,1635666932.1
F,FT,volume,2012-01-01,1625748006.8
F,FT,volume,2013-01-01,1629915323.7
F,FT,volume,2014-01-01,1660759067.7
F,FT,volume,2015-01-01,1703188111.3
F,FT,volume,2016-01-01,1742509949.3
F,FT,volume,2017-01-01,1733716450.3
F,FT,volume,2018-01-01,1728800044.2
F,FT,volume,2019-01-01,1715954987.6
F,FT,volume,2020-01-01,1666355415
F,FT,volume,2021-01-01,1739347069.5
F,FT,volume,2022-01-01,1784879279.9
F,FT,volume,2023-01-01,1805856435.3
F,FT,volume,2024-01-01,1799696854
F,FT,volume,2025-01-01,1800939582.1
F,FT,weekly,2010-01-01,39.681468151
F,FT,weekly,2011-01-01,39.681826174
F,FT,weekly,2012-01-01,39.507708855
F,FT,weekly,2013-01-01,39.480345637
F,FT,weekly,2014-01-01,39.63555701
F,FT,weekly,2015-01-01,39.539121264
F,FT,weekly,2016-01-01,39.57436738
F,FT,weekly,2017-01-01,39.347153599
F,FT,weekly,2018-01-01,39.470754671
F,FT,weekly,2019-01-01,39.594988951
F,FT,weekly,2020-01-01,36.300991412
F,FT,weekly,2021-01-01,37.571937239
F,FT,weekly,2022-01-01,38.391064555
F,FT,weekly,2023-01-01,38.482497535
F,FT,weekly,2024-01-01,38.563630508
F,FT,weekly,2025-01-01,38.421496304
F,PT,annual,2010-01-01,822.93639812
F,PT,annual,2011-01-01,823.01045526
F,PT,annual,2012-01-01,826.53254499
F,PT,annual,2013-01-01,821.58027291
F,PT,annual,2014-01-01,828.58716514
F,PT,annual,2015-01-01,834.52133562
F,PT,annual,2016-01-01,832.93128842
F,PT,annual,2017-01-01,832.43458446
F,PT,annual,2018-01-01,834.36498715
F,PT,annual,2019-01-01,835.26166769
F,PT,annual,2020-01-01,809.65058
F,PT,annual,2021-01-01,837.22794872
F,PT,annual,2022-01-01,855.31699548
F,PT,annual,2023-01-01,861.78532524
F,PT,annual,2024-01-01,864.11594864
