Grossregion,Wirtschaftssektor,Beschäftigungsgrad,Geschlecht,date,value
0,2,1,1,1995-07-01,840797
0,2,1,1,1995-10-01,808448
0,2,1,1,1996-01-01,800880
0,2,1,1,1996-04-01,804005
0,2,1,1,1996-07-01,801004
0,2,1,1,1996-10-01,770356
0,2,1,1,1997-01-01,764201
0,2,1,1,1997-04-01,771234
0,2,1,1,1997-07-01,770195
0,2,1,1,1997-10-01,748682
0,2,1,1,1998-01-01,747973
0,2,1,1,1998-04-01,761828
0,2,1,1,1998-07-01,764953
0,2,1,1,1998-10-01,740094
0,2,1,1,1999-01-01,738197
0,2,1,1,1999-04-01,751621
0,2,1,1,1999-07-01,754392
0,2,1,1,1999-10-01,739519
0,2,1,1,2000-01-01,741958
0,2,1,1,2000-04-01,750948
0,2,1,1,2000-07-01,760216
0,2,1,1,2000-10-01,748819
0,2,1,1,2001-01-01,750960
0,2,1,1,2001-04-01,764656
0,2,1,1,2001-07-01,769395
0,2,1,1,2001-10-01,751710
0,2,1,1,2002-01-01,743901
0,2,1,1,2002-04-01,753135
0,2,1,1,2002-07-01,757029
0,2,1,1,2002-10-01,740040
0,2,1,1,2003-01-01,732733
0,2,1,1,2003-04-01,744188
0,2,1,1,2003-07-01,743448
0,2,1,1,2003-10-01,731917
0,2,1,1,2004-01-01,723805
0,2,1,1,2004-04-01,728690
0,2,1,1,2004-07-01,741342
0,2,1,1,2004-10-01,726683
0,2,1,1,2005-01-01,718738
0,2,1,1,2005-04-01,732237
0,2,1,1,2005-07-01,745988
0,2,1,1,2005-10-01,732409
0,2,1,1,2006-01-01,727980
0,2,1,1,2006-04-01,745160
0,2,1,1,2006-07-01,759438
0,2,1,1,2006-10-01,752800
0,2,1,1,2007-01-01,755706
0,2,1,1,2007-04-01,768560
0,2,1,1,2007-07-01,780237
0,2,1,1,2007-10-01,775089
0,2,1,1,2008-01-01,774992
0,2,1,1,2008-04-01,783889
0,2,1,1,2008-07-01,795273
0,2,1,1,2008-10-01,777320
0,2,1,1,2009-01-01,770262
0,2,1,1,2009-04-01,770891
0,2,1,1,2009-07-01,773886
0,2,1,1,2009-10-01,761259
0,2,1,1,2010-01-01,758574
0,2,1,1,2010-04-01,769004
0,2,1,1,2010-07-01,777039
0,2,1,1,2010-10-01,769666
0,2,1,1,2011-01-01,763430
0,2,1,1,2011-04-01,772608
0,2,1,1,2011-07-01,780690
0,2,1,1,2011-10-01,769983
0,2,1,1,2012-01-01,770834
0,2,1,1,2012-04-01,777674
0,2,1,1,2012-07-01,784272
0,2,1,1,2012-10-01,768960
0,2,1,1,2013-01-01,764707
0,2,1,1,2013-04-01,773002
0,2,1,1,2013-07-01,779800
0,2,1,1,2013-10-01,770148
0,2,1,1,2014-01-01,768104
0,2,1,1,2014-04-01,776005
0,2,1,1,2014-07-01,783035
0,2,1,1,2014-10-01,769257
0,2,1,1,2015-01-01,768839
0,2,1,1,2015-04-01,772665
0,2,1,1,2015-07-01,775569
0,2,1,1,2015-10-01,763413
0,2,1,1,2016-01-01,754471
0,2,1,1,2016-04-01,760190
0,2,1,1,2016-07-01,759861
0,2,1,1,2016-10-01,750880
0,2,1,1,2017-01-01,745464
0,2,1,1,2017-04-01,754826
0,2,1,1,2017-07-01,757407
0,2,1,1,2017-10-01,751217
0,2,1,1,2018-01-01,751635
0,2,1,1,2018-04-01,768017
0,2,1,1,2018-07-01,774793
0,2,1,1,2018-10-01,764527
0,2,1,1,2019-01-01,766646
0,2,1,1,2019-04-01,776713
0,2,1,1,2019-07-01,781494
0,2,1,1,2019-10-01,769924
0,2,1,1,2020-01-01,768313
0,2,1,1,2020-04-01,771037
0,2,1,1,2020-07-01,772168
0,2,1,1,2020-10-01,759950
0,2,1,1,2021-01-01,754456
0,2,1,1,2021-04-01,760721
0,2,1,1,2021-07-01,771522
0,2,1,1,2021-10-01,764094
0,2,1,1,2022-01-01,765869
0,2,1,1,2022-04-01,770540
0,2,1,1,2022-07-01,781799
0,2,1,1,2022-10-01,777320
0,2,1,1,2023-01-01,777119
0,2,1,1,2023-04-01,782663
0,2,1,1,2023-07-01,787398
0,2,1,1,2023-10-01,779656
0,2,1,1,2024-01-01,776166
0,2,1,1,2024-04-01,782245
0,2,1,1,2024-07-01,786559
0,2,1,1,2024-10-01,777587
0,2,1,1,2025-01-01,776399
0,2,1,1,2025-04-01,774094
0,2,1,1,2025-07-01,778408
0,2,1,1,2025-10-01,776489
0,2,1,1,2026-01-01,774658
0,2,1,2,1995-07-01,158058
0,2,1,2,1995-10-01,155637
0,2,1,2,1996-01-01,152185
0,2,1,2,1996-04-01,149985
0,2,1,2,1996-07-01,148522
0,2,1,2,1996-10-01,145879
0,2,1,2,1997-01-01,144192
0,2,1,2,1997-04-01,146333
0,2,1,2,1997-07-01,143543
0,2,1,2,1997-10-01,140288
0,2,1,2,1998-01-01,139831
0,2,1,2,1998-04-01,140463
0,2,1,2,1998-07-01,140820
0,2,1,2,1998-10-01,139802
0,2,1,2,1999-01-01,137999
0,2,1,2,1999-04-01,136482
0,2,1,2,1999-07-01,138858
0,2,1,2,1999-10-01,138183
0,2,1,2,2000-01-01,137043
0,2,1,2,2000-04-01,139000
0,2,1,2,2000-07-01,143204
0,2,1,2,2000-10-01,141748
0,2,1,2,2001-01-01,142091
0,2,1,2,2001-04-01,144465
0,2,1,2,2001-07-01,146911
0,2,1,2,2001-10-01,143378
0,2,1,2,2002-01-01,142378
0,2,1,2,2002-04-01,140616
0,2,1,2,2002-07-01,141391
0,2,1,2,2002-10-01,137804
0,2,1,2,2003-01-01,134474
0,2,1,2,2003-04-01,134149
0,2,1,2,2003-07-01,133455
0,2,1,2,2003-10-01,132331
0,2,1,2,2004-01-01,130750
0,2,1,2,2004-04-01,131012
0,2,1,2,2004-07-01,133561
0,2,1,2,2004-10-01,131099
0,2,1,2,2005-01-01,132330
0,2,1,2,2005-04-01,132132
0,2,1,2,2005-07-01,135668
0,2,1,2,2005-10-01,136250
0,2,1,2,2006-01-01,134562
0,2,1,2,2006-04-01,137836
0,2,1,2,2006-07-01,141364
0,2,1,2,2006-10-01,142125
0,2,1,2,2007-01-01,142922
0,2,1,2,2007-04-01,145249
0,2,1,2,2007-07-01,148131
0,2,1,2,2007-10-01,148703
0,2,1,2,2008-01-01,150276
0,2,1,2,2008-04-01,152188
0,2,1,2,2008-07-01,154411
0,2,1,2,2008-10-01,151694
0,2,1,2,2009-01-01,148779
0,2,1,2,2009-04-01,145586
0,2,1,2,2009-07-01,145025
0,2,1,2,2009-10-01,142241
0,2,1,2,2010-01-01,142059
0,2,1,2,2010-04-01,142777
0,2,1,2,2010-07-01,145088
0,2,1,2,2010-10-01,144840
0,2,1,2,2011-01-01,146194
0,2,1,2,2011-04-01,148202
0,2,1,2,2011-07-01,148888
0,2,1,2,2011-10-01,148217
0,2,1,2,2012-01-01,147908
0,2,1,2,2012-04-01,148753
0,2,1,2,2012-07-01,148931
0,2,1,2,2012-10-01,146920
0,2,1,2,2013-01-01,146912
0,2,1,2,2013-04-01,146778
0,2,1,2,2013-07-01,148163
0,2,1,2,2013-10-01,148144
0,2,1,2,2014-01-01,148981
0,2,1,2,2014-04-01,148768
0,2,1,2,2014-07-01,150046
0,2,1,2,2014-10-01,148815
0,2,1,2,2015-01-01,148557
0,2,1,2,2015-04-01,148353
0,2,1,2,2015-07-01,148597
0,2,1,2,2015-10-01,148024
0,2,1,2,2016-01-01,144868
0,2,1,2,2016-04-01,145288
0,2,1,2,2016-07-01,147291
0,2,1,2,2016-10-01,144145
0,2,1,2,2017-01-01,142512
0,2,1,2,2017-04-01,144949
0,2,1,2,2017-07-01,146140
0,2,1,2,2017-10-01,146063
0,2,1,2,2018-01-01,146831
0,2,1,2,2018-04-01,146137
0,2,1,2,2018-07-01,148244
0,2,1,2,2018-10-01,147366
0,2,1,2,2019-01-01,148749
0,2,1,2,2019-04-01,148984
0,2,1,2,2019-07-01,150166
0,2,1,2,2019-10-01,149386
0,2,1,2,2020-01-01,148354
0,2,1,2,2020-04-01,146727
0,2,1,2,2020-07-01,145154
0,2,1,2,2020-10-01,144496
0,2,1,2,2021-01-01,144051
0,2,1,2,2021-04-01,144170
0,2,1,2,2021-07-01,145716
0,2,1,2,2021-10-01,145687
0,2,1,2,2022-01-01,147492
0,2,1,2,2022-04-01,148057
0,2,1,2,2022-07-01,149649
0,2,1,2,2022-10-01,149369
0,2,1,2,2023-01-01,150659
