indicator,date,value
gdp,1991-01-01,100
gdp,1992-01-01,99.956267007029
gdp,1993-01-01,99.8303385573599
gdp,1994-01-01,101.097941964775
gdp,1995-01-01,101.584088043428
gdp,1996-01-01,102.153128417107
gdp,1997-01-01,104.295909651422
gdp,1998-01-01,107.191282763244
gdp,1999-01-01,108.992177340695
gdp,2000-01-01,112.952099505563
gdp,2001-01-01,114.750520256899
gdp,2002-01-01,115.187042953406
gdp,2003-01-01,114.859655512557
gdp,2004-01-01,117.830993192343
gdp,2005-01-01,121.309464142922
gdp,2006-01-01,126.324788726871
gdp,2007-01-01,131.356549799156
gdp,2008-01-01,134.681967339983
gdp,2009-01-01,132.075993166021
gdp,2010-01-01,136.38250367382
gdp,2011-01-01,138.302306461651
gdp,2012-01-01,139.857012326183
gdp,2013-01-01,142.42496036434
gdp,2014-01-01,146.047430247982
gdp,2015-01-01,148.171694866105
gdp,2016-01-01,151.004131742556
gdp,2017-01-01,153.148913078735
gdp,2018-01-01,158.244839798657
gdp,2019-01-01,160.009779151019
gdp,2020-01-01,156.40114582721301
gdp,2021-01-01,166.060837791244
gdp,2022-01-01,171.929930821442
gdp,2023-01-01,173.349317058977
gdp,2024-01-01,175.759450949378
hours,1991-01-01,100
hours,1992-01-01,99.0794101616306
hours,1993-01-01,98.0566790129359
hours,1994-01-01,98.6111305534356
hours,1995-01-01,97.3486359643148
hours,1996-01-01,95.7569782137457
hours,1997-01-01,95.0867134958063
hours,1998-01-01,96.8101793402253
hours,1999-01-01,98.8569110995027
hours,2000-01-01,99.5519379042826
hours,2001-01-01,98.8506373666785
hours,2002-01-01,98.2720387341605
hours,2003-01-01,98.7091222706844
hours,2004-01-01,100.790415955625
hours,2005-01-01,101.229263599334
hours,2006-01-01,102.777202807552
hours,2007-01-01,104.779779490097
hours,2008-01-01,106.682900680624
hours,2009-01-01,106.62229697005
hours,2010-01-01,107.037578069211
hours,2011-01-01,109.601883183369
hours,2012-01-01,110.464878972605
hours,2013-01-01,110.40306288188
hours,2014-01-01,111.896775111009
hours,2015-01-01,114.493487434881
hours,2016-01-01,116.114468030493
hours,2017-01-01,115.847377371143
hours,2018-01-01,116.465240967211
hours,2019-01-01,117.144356020816
hours,2020-01-01,112.772016468212
hours,2021-01-01,116.03959338474
hours,2022-01-01,118.067947715128
hours,2023-01-01,120.150762865841
hours,2024-01-01,120.318409109626
productivity,1991-01-01,100
productivity,1992-01-01,100.885004103242
productivity,1993-01-01,101.80881053925
productivity,1994-01-01,102.521836426966
productivity,1995-01-01,104.350807833266
productivity,1996-01-01,106.679565628193
productivity,1997-01-01,109.685050431385
productivity,1998-01-01,110.723152765306
productivity,1999-01-01,110.252460984736
productivity,2000-01-01,113.460472878151
productivity,2001-01-01,116.084755054478
productivity,2002-01-01,117.212428313411
productivity,2003-01-01,116.361743342812
productivity,2004-01-01,116.906942068997
productivity,2005-01-01,119.836359398075
productivity,2006-01-01,122.911292851014
productivity,2007-01-01,125.36440755878
productivity,2008-01-01,126.245130644863
productivity,2009-01-01,123.872770442304
productivity,2010-01-01,127.415535865016
productivity,2011-01-01,126.186067652017
productivity,2012-01-01,126.607672616803
productivity,2013-01-01,129.004537235276
productivity,2014-01-01,130.519784956352
productivity,2015-01-01,129.414954671879
productivity,2016-01-01,130.047645486262
productivity,2017-01-01,132.198860737338
productivity,2018-01-01,135.873019696245
productivity,2019-01-01,136.591966174269
productivity,2020-01-01,138.68790390149599
productivity,2021-01-01,143.107049023047
productivity,2022-01-01,145.619479417285
productivity,2023-01-01,144.276501392285
productivity,2024-01-01,146.078602809017
