canton,fuel,date,value
1,DC,2005-01-01,800
1,DC,2005-02-01,801
1,DC,2005-03-01,1221
1,DC,2005-04-01,1117
1,DC,2005-05-01,1146
1,DC,2005-06-01,1314
1,DC,2005-07-01,1095
1,DC,2005-08-01,827
1,DC,2005-09-01,993
1,DC,2005-10-01,1134
1,DC,2005-11-01,1141
1,DC,2005-12-01,1497
1,DC,2006-01-01,1112
1,DC,2006-02-01,926
1,DC,2006-03-01,1331
1,DC,2006-04-01,1031
1,DC,2006-05-01,1289
1,DC,2006-06-01,1619
1,DC,2006-07-01,1260
1,DC,2006-08-01,960
1,DC,2006-09-01,971
1,DC,2006-10-01,1422
1,DC,2006-11-01,1221
1,DC,2006-12-01,1545
1,DC,2007-01-01,940
1,DC,2007-02-01,1032
1,DC,2007-03-01,1467
1,DC,2007-04-01,1315
1,DC,2007-05-01,1428
1,DC,2007-06-01,1995
1,DC,2007-07-01,1709
1,DC,2007-08-01,1207
1,DC,2007-09-01,1240
1,DC,2007-10-01,1498
1,DC,2007-11-01,1505
1,DC,2007-12-01,1959
1,DC,2008-01-01,1302
1,DC,2008-02-01,1313
1,DC,2008-03-01,1402
1,DC,2008-04-01,1623
1,DC,2008-05-01,1548
1,DC,2008-06-01,1784
1,DC,2008-07-01,1798
1,DC,2008-08-01,1121
1,DC,2008-09-01,1247
1,DC,2008-10-01,1481
1,DC,2008-11-01,1488
1,DC,2008-12-01,1846
1,DC,2009-01-01,1009
1,DC,2009-02-01,1012
1,DC,2009-03-01,1201
1,DC,2009-04-01,1337
1,DC,2009-05-01,1178
1,DC,2009-06-01,1529
1,DC,2009-07-01,1411
1,DC,2009-08-01,911
1,DC,2009-09-01,1079
1,DC,2009-10-01,1323
1,DC,2009-11-01,1140
1,DC,2009-12-01,1719
1,DC,2010-01-01,1123
1,DC,2010-02-01,951
1,DC,2010-03-01,1452
1,DC,2010-04-01,1263
1,DC,2010-05-01,1218
1,DC,2010-06-01,1639
1,DC,2010-07-01,1381
1,DC,2010-08-01,1004
1,DC,2010-09-01,1140
1,DC,2010-10-01,1460
1,DC,2010-11-01,1475
1,DC,2010-12-01,2066
1,DC,2011-01-01,1239
1,DC,2011-02-01,1287
1,DC,2011-03-01,1707
1,DC,2011-04-01,1477
1,DC,2011-05-01,1652
1,DC,2011-06-01,1759
1,DC,2011-07-01,1858
1,DC,2011-08-01,1287
1,DC,2011-09-01,1488
1,DC,2011-10-01,1570
1,DC,2011-11-01,1888
1,DC,2011-12-01,2152
1,DC,2012-01-01,1652
1,DC,2012-02-01,1661
1,DC,2012-03-01,1968
1,DC,2012-04-01,1853
1,DC,2012-05-01,2053
1,DC,2012-06-01,2826
1,DC,2012-07-01,1682
1,DC,2012-08-01,1712
1,DC,2012-09-01,1525
1,DC,2012-10-01,1992
1,DC,2012-11-01,2013
1,DC,2012-12-01,2353
1,DC,2013-01-01,1565
1,DC,2013-02-01,1673
1,DC,2013-03-01,1921
1,DC,2013-04-01,1903
1,DC,2013-05-01,1911
1,DC,2013-06-01,2411
1,DC,2013-07-01,1946
1,DC,2013-08-01,1433
1,DC,2013-09-01,1477
1,DC,2013-10-01,1746
1,DC,2013-11-01,1820
1,DC,2013-12-01,2917
1,DC,2014-01-01,1777
1,DC,2014-02-01,1700
1,DC,2014-03-01,1864
1,DC,2014-04-01,1879
1,DC,2014-05-01,1917
1,DC,2014-06-01,2431
1,DC,2014-07-01,2154
1,DC,2014-08-01,1366
1,DC,2014-09-01,1490
1,DC,2014-10-01,1905
1,DC,2014-11-01,2221
1,DC,2014-12-01,3581
1,DC,2015-01-01,1721
1,DC,2015-02-01,1839
1,DC,2015-03-01,2185
1,DC,2015-04-01,1985
1,DC,2015-05-01,2177
1,DC,2015-06-01,3161
1,DC,2015-07-01,3053
1,DC,2015-08-01,1960
1,DC,2015-09-01,1980
1,DC,2015-10-01,2024
1,DC,2015-11-01,2479
1,DC,2015-12-01,3837
1,DC,2016-01-01,1975
1,DC,2016-02-01,1990
1,DC,2016-03-01,2345
1,DC,2016-04-01,2363
