item,date,value
adjustments,1991-01-01,574
adjustments,1992-01-01,427
adjustments,1993-01-01,-151
adjustments,1994-01-01,-1427
adjustments,1995-01-01,10061
adjustments,1996-01-01,4429
adjustments,1997-01-01,4208
adjustments,1998-01-01,9515
adjustments,1999-01-01,8853
adjustments,2000-01-01,3457
adjustments,2001-01-01,5105
adjustments,2002-01-01,-1325
adjustments,2003-01-01,-1510
adjustments,2004-01-01,-2410
adjustments,2005-01-01,-3933
adjustments,2006-01-01,-2845
adjustments,2007-01-01,-4109
adjustments,2008-01-01,-5263
adjustments,2009-01-01,-6447
adjustments,2011-01-01,-2307
adjustments,2012-01-01,-4720
adjustments,2013-01-01,-4305
adjustments,2014-01-01,463
adjustments,2015-01-01,-1377
adjustments,2016-01-01,-1525
adjustments,2017-01-01,-1778
adjustments,2018-01-01,-226
adjustments,2019-01-01,-238
adjustments,2020-01-01,744
adjustments,2021-01-01,1168
adjustments,2022-01-01,-112
adjustments,2023-01-01,-447
adjustments,2024-01-01,-335
birth_surplus,1861-01-01,17300
birth_surplus,1862-01-01,24800
birth_surplus,1863-01-01,24800
birth_surplus,1864-01-01,20100
birth_surplus,1865-01-01,19200
birth_surplus,1866-01-01,23900
birth_surplus,1867-01-01,18211
birth_surplus,1868-01-01,16975
birth_surplus,1869-01-01,14348
birth_surplus,1870-01-01,10457
birth_surplus,1871-01-01,3631
birth_surplus,1872-01-01,20571
birth_surplus,1873-01-01,18896
birth_surplus,1874-01-01,22206
birth_surplus,1875-01-01,21466
birth_surplus,1876-01-01,23967
birth_surplus,1877-01-01,23891
birth_surplus,1878-01-01,22522
birth_surplus,1879-01-01,22529
birth_surplus,1880-01-01,21942
birth_surplus,1881-01-01,21163
birth_surplus,1882-01-01,19840
birth_surplus,1883-01-01,23241
birth_surplus,1884-01-01,23270
birth_surplus,1885-01-01,18801
birth_surplus,1886-01-01,20702
birth_surplus,1887-01-01,22348
birth_surplus,1888-01-01,22869
birth_surplus,1889-01-01,21461
birth_surplus,1890-01-01,16743
birth_surplus,1891-01-01,22413
birth_surplus,1892-01-01,25947
birth_surplus,1893-01-01,23838
birth_surplus,1894-01-01,22257
birth_surplus,1895-01-01,25226
birth_surplus,1896-01-01,32332
birth_surplus,1897-01-01,33679
birth_surplus,1898-01-01,32879
birth_surplus,1899-01-01,36881
birth_surplus,1900-01-01,30710
birth_surplus,1901-01-01,37010
birth_surplus,1902-01-01,38779
birth_surplus,1903-01-01,34198
birth_surplus,1904-01-01,34010
birth_surplus,1905-01-01,32853
birth_surplus,1906-01-01,36391
birth_surplus,1907-01-01,35256
birth_surplus,1908-01-01,38548
birth_surplus,1909-01-01,34696
birth_surplus,1910-01-01,37016
birth_surplus,1911-01-01,31701
birth_surplus,1912-01-01,38094
birth_surplus,1913-01-01,34330
birth_surplus,1914-01-01,33701
birth_surplus,1915-01-01,24021
birth_surplus,1916-01-01,23037
birth_surplus,1917-01-01,18759
birth_surplus,1918-01-01,-2376
birth_surplus,1919-01-01,17193
birth_surplus,1920-01-01,25198
birth_surplus,1921-01-01,31290
birth_surplus,1922-01-01,25998
birth_surplus,1923-01-01,29568
birth_surplus,1924-01-01,24520
birth_surplus,1925-01-01,24693
birth_surplus,1926-01-01,25666
birth_surplus,1927-01-01,20331
birth_surplus,1928-01-01,21531
birth_surplus,1929-01-01,18568
birth_surplus,1930-01-01,22916
birth_surplus,1931-01-01,18835
birth_surplus,1932-01-01,18739
birth_surplus,1933-01-01,20328
birth_surplus,1934-01-01,20471
birth_surplus,1935-01-01,16145
birth_surplus,1936-01-01,17316
birth_surplus,1937-01-01,15206
birth_surplus,1938-01-01,15214
birth_surplus,1939-01-01,14353
birth_surplus,1940-01-01,13356
birth_surplus,1941-01-01,24590
birth_surplus,1942-01-01,31947
birth_surplus,1943-01-01,35640
birth_surplus,1944-01-01,33291
birth_surplus,1945-01-01,37436
birth_surplus,1946-01-01,38850
birth_surplus,1947-01-01,36340
birth_surplus,1948-01-01,38084
birth_surplus,1949-01-01,35811
birth_surplus,1950-01-01,37404
birth_surplus,1951-01-01,31951
birth_surplus,1952-01-01,35925
birth_surplus,1953-01-01,33345
birth_surplus,1954-01-01,34628
birth_surplus,1955-01-01,34965
birth_surplus,1956-01-01,36339
birth_surplus,1957-01-01,39757
birth_surplus,1958-01-01,42140
birth_surplus,1959-01-01,42896
birth_surplus,1960-01-01,42278
birth_surplus,1961-01-01,48234
birth_surplus,1962-01-01,49197
birth_surplus,1963-01-01,53004
birth_surplus,1964-01-01,59281
birth_surplus,1965-01-01,56288
birth_surplus,1966-01-01,53934
birth_surplus,1967-01-01,52275
birth_surplus,1968-01-01,47756
birth_surplus,1969-01-01,44518
birth_surplus,1970-01-01,42125
birth_surplus,1971-01-01,38405
birth_surplus,1972-01-01,34853
birth_surplus,1973-01-01,30528
birth_surplus,1974-01-01,28104
birth_surplus,1975-01-01,22540
birth_surplus,1976-01-01,17104
birth_surplus,1977-01-01,17171
birth_surplus,1978-01-01,13657
birth_surplus,1979-01-01,14532
birth_surplus,1980-01-01,14564
birth_surplus,1981-01-01,13984
birth_surplus,1982-01-01,15712
birth_surplus,1983-01-01,12903
birth_surplus,1984-01-01,16108
birth_surplus,1985-01-01,15101
birth_surplus,1986-01-01,16215
birth_surplus,1987-01-01,16994
birth_surplus,1988-01-01,19697
birth_surplus,1989-01-01,20298
birth_surplus,1990-01-01,20200
birth_surplus,1991-01-01,23566
birth_surplus,1992-01-01,24608
birth_surplus,1993-01-01,21250
birth_surplus,1994-01-01,20993
birth_surplus,1995-01-01,18816
birth_surplus,1996-01-01,20370
birth_surplus,1997-01-01,17745
birth_surplus,1998-01-01,16380
birth_surplus,1999-01-01,15905
birth_surplus,2000-01-01,15930
birth_surplus,2001-01-01,11067
birth_surplus,2002-01-01,10604
birth_surplus,2003-01-01,8778
birth_surplus,2004-01-01,12902
birth_surplus,2005-01-01,11779
birth_surplus,2006-01-01,13088
birth_surplus,2007-01-01,13405
birth_surplus,2008-01-01,15458
birth_surplus,2009-01-01,15810
birth_surplus,2011-01-01,18717
birth_surplus,2012-01-01,17991
birth_surplus,2013-01-01,17770
birth_surplus,2014-01-01,21349
birth_surplus,2015-01-01,18953
birth_surplus,2016-01-01,22919
birth_surplus,2017-01-01,20410
birth_surplus,2018-01-01,20763
birth_surplus,2019-01-01,18392
birth_surplus,2020-01-01,9719
birth_surplus,2021-01-01,18452
birth_surplus,2022-01-01,7946
birth_surplus,2023-01-01,8202
birth_surplus,2024-01-01,6314
deaths,1861-01-01,57520
deaths,1862-01-01,51070
deaths,1863-01-01,54360
deaths,1864-01-01,59500
deaths,1865-01-01,59090
deaths,1866-01-01,56680
deaths,1867-01-01,59116
deaths,1868-01-01,58730
deaths,1869-01-01,63617
deaths,1870-01-01,68751
deaths,1871-01-01,74002
deaths,1872-01-01,59758
deaths,1873-01-01,61676
deaths,1874-01-01,60845
deaths,1875-01-01,66113
deaths,1876-01-01,66819
deaths,1877-01-01,65353
deaths,1878-01-01,65311
deaths,1879-01-01,63651
deaths,1880-01-01,62223
deaths,1881-01-01,63979
deaths,1882-01-01,62849
deaths,1883-01-01,58733
deaths,1884-01-01,58301
deaths,1885-01-01,61548
deaths,1886-01-01,60061
deaths,1887-01-01,58939
deaths,1888-01-01,58229
deaths,1889-01-01,59715
deaths,1890-01-01,61805
deaths,1891-01-01,61183
deaths,1892-01-01,57178
deaths,1893-01-01,61059
deaths,1894-01-01,61885
deaths,1895-01-01,59747
deaths,1896-01-01,56096
deaths,1897-01-01,56399
deaths,1898-01-01,58914
deaths,1899-01-01,57591
deaths,1900-01-01,63606
deaths,1901-01-01,60018
deaths,1902-01-01,57702
deaths,1903-01-01,59626
deaths,1904-01-01,60857
deaths,1905-01-01,61800
deaths,1906-01-01,59204
deaths,1907-01-01,59252
deaths,1908-01-01,57697
deaths,1909-01-01,59416
deaths,1910-01-01,56498
deaths,1911-01-01,59619
deaths,1912-01-01,54102
deaths,1913-01-01,55427
deaths,1914-01-01,53629
deaths,1915-01-01,51524
deaths,1916-01-01,50623
deaths,1917-01-01,53306
deaths,1918-01-01,75034
deaths,1919-01-01,54932
deaths,1920-01-01,55992
deaths,1921-01-01,49518
deaths,1922-01-01,50292
deaths,1923-01-01,45983
deaths,1924-01-01,48988
deaths,1925-01-01,47877
deaths,1926-01-01,46452
deaths,1927-01-01,49202
deaths,1928-01-01,48063
deaths,1929-01-01,50438
deaths,1930-01-01,46939
deaths,1931-01-01,49414
deaths,1932-01-01,49911
deaths,1933-01-01,47181
deaths,1934-01-01,46806
deaths,1935-01-01,50233
deaths,1936-01-01,47650
deaths,1937-01-01,47274
deaths,1938-01-01,48576
deaths,1939-01-01,49484
deaths,1940-01-01,50759
deaths,1941-01-01,47336
deaths,1942-01-01,46928
deaths,1943-01-01,47409
deaths,1944-01-01,52336
deaths,1945-01-01,51086
deaths,1946-01-01,50276
deaths,1947-01-01,51384
deaths,1948-01-01,49679
deaths,1949-01-01,49497
deaths,1950-01-01,47372
deaths,1951-01-01,49952
deaths,1952-01-01,47624
deaths,1953-01-01,49684
deaths,1954-01-01,49113
deaths,1955-01-01,50366
deaths,1956-01-01,51573
deaths,1957-01-01,51066
deaths,1958-01-01,49281
deaths,1959-01-01,50077
