nationality,sex,date,value
1,1,2010-01-01,2939447
1,1,2011-01-01,2958165
1,1,2012-01-01,2975404
1,1,2013-01-01,2993616
1,1,2014-01-01,3013838
1,1,2015-01-01,3035325
1,1,2016-01-01,3057210
1,1,2017-01-01,3078538
1,1,2018-01-01,3099622
1,1,2019-01-01,3118856
1,1,2020-01-01,3135662
1,1,2021-01-01,3154595
1,1,2022-01-01,3168225
1,1,2023-01-01,3182178
1,1,2024-01-01,3196453
1,2,2010-01-01,3164410
1,2,2011-01-01,3180503
1,2,2012-01-01,3193687
1,2,2013-01-01,3208568
1,2,2014-01-01,3225369
1,2,2015-01-01,3243134
1,2,2016-01-01,3261194
1,2,2017-01-01,3279200
1,2,2018-01-01,3296630
1,2,2019-01-01,3311802
1,2,2020-01-01,3323850
1,2,2021-01-01,3340015
1,2,2022-01-01,3351137
1,2,2023-01-01,3362792
1,2,2024-01-01,3374688
1,_T,2010-01-01,6103857
1,_T,2011-01-01,6138668
1,_T,2012-01-01,6169091
1,_T,2013-01-01,6202184
1,_T,2014-01-01,6239207
1,_T,2015-01-01,6278459
1,_T,2016-01-01,6318404
1,_T,2017-01-01,6357738
1,_T,2018-01-01,6396252
1,_T,2019-01-01,6430658
1,_T,2020-01-01,6459512
1,_T,2021-01-01,6494610
1,_T,2022-01-01,6519362
1,_T,2023-01-01,6544970
1,_T,2024-01-01,6571141
2,1,2010-01-01,937979
2,1,2011-01-01,964088
2,1,2012-01-01,993120
2,1,2013-01-01,1028475
2,1,2014-01-01,1060042
2,1,2015-01-01,1086146
2,1,2016-01-01,1116227
2,1,2017-01-01,1127896
2,1,2018-01-01,1137499
2,1,2019-01-01,1150007
2,1,2020-01-01,1166937
2,1,2021-01-01,1183608
2,1,2022-01-01,1211728
2,1,2023-01-01,1269354
2,1,2024-01-01,1303936
2,2,2010-01-01,828298
2,2,2011-01-01,851906
2,2,2012-01-01,876849
2,2,2013-01-01,908972
2,2,2014-01-01,938417
2,2,2015-01-01,962521
2,2,2016-01-01,984919
2,2,2017-01-01,998496
2,2,2018-01-01,1010776
2,2,2019-01-01,1025368
2,2,2020-01-01,1043851
2,2,2021-01-01,1060573
2,2,2022-01-01,1084295
2,2,2023-01-01,1147934
2,2,2024-01-01,1175952
2,_T,2010-01-01,1766277
2,_T,2011-01-01,1815994
2,_T,2012-01-01,1869969
2,_T,2013-01-01,1937447
2,_T,2014-01-01,1998459
2,_T,2015-01-01,2048667
2,_T,2016-01-01,2101146
2,_T,2017-01-01,2126392
2,_T,2018-01-01,2148275
2,_T,2019-01-01,2175375
2,_T,2020-01-01,2210788
2,_T,2021-01-01,2244181
2,_T,2022-01-01,2296023
2,_T,2023-01-01,2417288
2,_T,2024-01-01,2479888
_T,1,2010-01-01,3877426
_T,1,2011-01-01,3922253
_T,1,2012-01-01,3968524
_T,1,2013-01-01,4022091
_T,1,2014-01-01,4073880
_T,1,2015-01-01,4121471
_T,1,2016-01-01,4173437
_T,1,2017-01-01,4206434
_T,1,2018-01-01,4237121
_T,1,2019-01-01,4268863
_T,1,2020-01-01,4302599
_T,1,2021-01-01,4338203
_T,1,2022-01-01,4379953
_T,1,2023-01-01,4451532
_T,1,2024-01-01,4500389
_T,2,2010-01-01,3992708
_T,2,2011-01-01,4032409
_T,2,2012-01-01,4070536
_T,2,2013-01-01,4117540
_T,2,2014-01-01,4163786
_T,2,2015-01-01,4205655
_T,2,2016-01-01,4246113
_T,2,2017-01-01,4277696
_T,2,2018-01-01,4307406
_T,2,2019-01-01,4337170
_T,2,2020-01-01,4367701
_T,2,2021-01-01,4400588
_T,2,2022-01-01,4435432
_T,2,2023-01-01,4510726
_T,2,2024-01-01,4550640
_T,_T,2010-01-01,7870134
_T,_T,2011-01-01,7954662
_T,_T,2012-01-01,8039060
_T,_T,2013-01-01,8139631
_T,_T,2014-01-01,8237666
_T,_T,2015-01-01,8327126
_T,_T,2016-01-01,8419550
_T,_T,2017-01-01,8484130
_T,_T,2018-01-01,8544527
_T,_T,2019-01-01,8606033
_T,_T,2020-01-01,8670300
_T,_T,2021-01-01,8738791
_T,_T,2022-01-01,8815385
_T,_T,2023-01-01,8962258
_T,_T,2024-01-01,9051029
