base,date,value
1963,1963-01-01,99.7
1963,1963-02-01,99.9
1963,1963-03-01,100.2
1963,1963-04-01,100
1963,1963-05-01,100.2
1963,1963-06-01,99.9
1963,1963-07-01,99.8
1963,1963-08-01,99.5
1963,1963-09-01,99.7
1963,1963-10-01,100.2
1963,1963-11-01,100.3
1963,1963-12-01,100.4
1963,1964-01-01,100.2
1963,1964-02-01,100.6
1963,1964-03-01,100.7
1963,1964-04-01,101.4
1963,1964-05-01,101.7
1963,1964-06-01,101.5
1963,1964-07-01,101.2
1963,1964-08-01,101.4
1963,1964-09-01,101.8
1963,1964-10-01,101.9
1963,1964-11-01,102
1963,1964-12-01,101.9
1963,1965-01-01,102
1963,1965-02-01,102.2
1963,1965-03-01,102.3
1963,1965-04-01,101.7
1963,1965-05-01,102.2
1963,1965-06-01,102.6
1963,1965-07-01,102
1963,1965-08-01,101.9
1963,1965-09-01,102
1963,1965-10-01,102.4
1963,1965-11-01,103.1
1963,1965-12-01,103.3
1963,1966-01-01,104.2
1963,1966-02-01,104.4
1963,1966-03-01,104.6
1963,1966-04-01,104.6
1963,1966-05-01,104.9
1963,1966-06-01,104.8
1963,1966-07-01,104.7
1963,1966-08-01,103.8
1963,1966-09-01,104
1963,1966-10-01,104
1963,1966-11-01,104.5
1963,1966-12-01,104.7
1963,1967-01-01,104.6
1963,1967-02-01,104.6
1963,1967-03-01,104.5
1963,1967-04-01,104.3
1963,1967-05-01,105
1963,1967-06-01,105.4
1963,1967-07-01,105.1
1963,1967-08-01,105
1963,1967-09-01,104.8
1963,1967-10-01,104.9
1963,1967-11-01,105.1
1963,1967-12-01,105.2
1963,1968-01-01,105.3
1963,1968-02-01,105.4
1963,1968-03-01,105.1
1963,1968-04-01,104.4
1963,1968-05-01,104.5
1963,1968-06-01,104.3
1963,1968-07-01,104.1
1963,1968-08-01,104
1963,1968-09-01,104.4
1963,1968-10-01,104.6
1963,1968-11-01,104.8
1963,1968-12-01,104.9
1963,1969-01-01,105.4
1963,1969-02-01,105.6
1963,1969-03-01,105.2
1963,1969-04-01,105.6
1963,1969-05-01,106
1963,1969-06-01,106.3
1963,1969-07-01,106.3
1963,1969-08-01,106.2
1963,1969-09-01,106.6
1963,1969-10-01,107.1
1963,1969-11-01,107.7
1963,1969-12-01,108.1
1963,1970-01-01,108.3
1963,1970-02-01,108.9
1963,1970-03-01,109.9
1963,1970-04-01,110
1963,1970-05-01,110.5
1963,1970-06-01,110.3
1963,1970-07-01,110.2
1963,1970-08-01,110
1963,1970-09-01,110.3
1963,1970-10-01,110.8
1963,1970-11-01,111.6
1963,1970-12-01,111.8
