NOGA,ADJUSTMENT,INDICATOR_KE,date,value
47,N,PTOT,2000-01-01,66.27
47,N,PTOT,2000-02-01,66.42
47,N,PTOT,2000-03-01,68.53
47,N,PTOT,2000-04-01,69.29
47,N,PTOT,2000-05-01,75.46
47,N,PTOT,2000-06-01,64.42
47,N,PTOT,2000-07-01,67.72
47,N,PTOT,2000-08-01,66.15
47,N,PTOT,2000-09-01,70.8
47,N,PTOT,2000-10-01,72.2
47,N,PTOT,2000-11-01,78.5
47,N,PTOT,2000-12-01,89.83
47,N,PTOT,2001-01-01,69.61
47,N,PTOT,2001-02-01,65.71
47,N,PTOT,2001-03-01,71.27
47,N,PTOT,2001-04-01,68.67
47,N,PTOT,2001-05-01,75.5
47,N,PTOT,2001-06-01,68.86
47,N,PTOT,2001-07-01,68.59
47,N,PTOT,2001-08-01,68.18
47,N,PTOT,2001-09-01,71.62
47,N,PTOT,2001-10-01,73.22
47,N,PTOT,2001-11-01,79.92
47,N,PTOT,2001-12-01,89.78
47,N,PTOT,2002-01-01,71.31
47,N,PTOT,2002-02-01,66.61
47,N,PTOT,2002-03-01,71.95
47,N,PTOT,2002-04-01,69.36
47,N,PTOT,2002-05-01,74.2
47,N,PTOT,2002-06-01,66.44
47,N,PTOT,2002-07-01,70.22
47,N,PTOT,2002-08-01,68.13
47,N,PTOT,2002-09-01,69.26
47,N,PTOT,2002-10-01,73.72
47,N,PTOT,2002-11-01,77.8
47,N,PTOT,2002-12-01,87.05
47,N,PTOT,2003-01-01,71.71
47,N,PTOT,2003-02-01,65.69
47,N,PTOT,2003-03-01,69.58
47,N,PTOT,2003-04-01,70.96
47,N,PTOT,2003-05-01,75.32
47,N,PTOT,2003-06-01,65.35
47,N,PTOT,2003-07-01,71.46
47,N,PTOT,2003-08-01,65.14
47,N,PTOT,2003-09-01,71.35
47,N,PTOT,2003-10-01,74.88
47,N,PTOT,2003-11-01,74.65
47,N,PTOT,2003-12-01,89.17
47,N,PTOT,2004-01-01,74.02
47,N,PTOT,2004-02-01,67.95
47,N,PTOT,2004-03-01,71.42
47,N,PTOT,2004-04-01,72.25
47,N,PTOT,2004-05-01,73.27
47,N,PTOT,2004-06-01,69.75
47,N,PTOT,2004-07-01,72.26
47,N,PTOT,2004-08-01,68.18
