NOGA,ADJUSTMENT,INDICATOR_KE,date,value
G,N,UEXP,2021-01-01,103.96
G,N,UEXP,2021-04-01,100.18
G,N,UEXP,2021-07-01,96.56
G,N,UEXP,2021-10-01,99.3
G,N,UEXP,2022-01-01,123.43
G,N,UEXP,2022-04-01,122.43
G,N,UEXP,2022-07-01,120.55
G,N,UEXP,2022-10-01,123.45
G,N,UEXP,2023-01-01,111.36
G,N,UEXP,2023-04-01,91.79
G,N,UEXP,2023-07-01,85.89
G,N,UEXP,2023-10-01,92.86
G,N,UEXP,2024-01-01,82.7
G,N,UEXP,2024-04-01,85.26
G,N,UEXP,2024-07-01,80.17
G,N,UEXP,2024-10-01,83.44
G,N,UEXP,2025-01-01,85.67
G,N,UEXP,2025-04-01,77.74
G,N,UEXP,2025-07-01,80.54
G,N,UEXP,2025-10-01,86.11
G,N,UEXP,2026-01-01,84.16
G,N,UINL,2021-01-01,99.39
G,N,UINL,2021-04-01,98.11
G,N,UINL,2021-07-01,96.69
G,N,UINL,2021-10-01,105.81
G,N,UINL,2022-01-01,111.27
G,N,UINL,2022-04-01,108.15
G,N,UINL,2022-07-01,108.31
G,N,UINL,2022-10-01,117.4
G,N,UINL,2023-01-01,106.95
G,N,UINL,2023-04-01,105.19
G,N,UINL,2023-07-01,98.91
G,N,UINL,2023-10-01,109.21
G,N,UINL,2024-01-01,95.43
G,N,UINL,2024-04-01,99.95
G,N,UINL,2024-07-01,96.09
G,N,UINL,2024-10-01,106.21
G,N,UINL,2025-01-01,96.28
G,N,UINL,2025-04-01,100.19
G,N,UINL,2025-07-01,96.18
G,N,UINL,2025-10-01,105.08
G,N,UINL,2026-01-01,95.15
G,N,UTOT,2021-01-01,100.59
G,N,UTOT,2021-04-01,100.45
G,N,UTOT,2021-07-01,96.19
G,N,UTOT,2021-10-01,102.77
G,N,UTOT,2022-01-01,115.11
G,N,UTOT,2022-04-01,115.8
G,N,UTOT,2022-07-01,113.56
G,N,UTOT,2022-10-01,119.78
G,N,UTOT,2023-01-01,107.94
G,N,UTOT,2023-04-01,97.16
G,N,UTOT,2023-07-01,91.8
G,N,UTOT,2023-10-01,100.98
G,N,UTOT,2024-01-01,89.16
G,N,UTOT,2024-04-01,92.9
G,N,UTOT,2024-07-01,87.86
G,N,UTOT,2024-10-01,94.73
G,N,UTOT,2025-01-01,91.03
G,N,UTOT,2025-04-01,88.4
G,N,UTOT,2025-07-01,88.41
G,N,UTOT,2025-10-01,96.7
G,N,UTOT,2026-01-01,89.95
G,W,UEXP,2021-01-01,103.78
G,W,UEXP,2021-04-01,100.97
G,W,UEXP,2021-07-01,96.5
G,W,UEXP,2021-10-01,98.75
G,W,UEXP,2022-01-01,122.33
G,W,UEXP,2022-04-01,123.44
G,W,UEXP,2022-07-01,121.33
G,W,UEXP,2022-10-01,124.55
G,W,UEXP,2023-01-01,110.11
G,W,UEXP,2023-04-01,92.83
G,W,UEXP,2023-07-01,87.13
G,W,UEXP,2023-10-01,94.39
G,W,UEXP,2024-01-01,85.28
G,W,UEXP,2024-04-01,85.56
G,W,UEXP,2024-07-01,80.67
G,W,UEXP,2024-10-01,84.2
G,W,UEXP,2025-01-01,85.96
G,W,UEXP,2025-04-01,78.6
G,W,UEXP,2025-07-01,81.07
G,W,UEXP,2025-10-01,86.82
G,W,UEXP,2026-01-01,84.43
G,W,UINL,2021-01-01,99.6
G,W,UINL,2021-04-01,98.69
G,W,UINL,2021-07-01,96.53
G,W,UINL,2021-10-01,105.18
G,W,UINL,2022-01-01,110.91
G,W,UINL,2022-04-01,108.75
G,W,UINL,2022-07-01,108.77
G,W,UINL,2022-10-01,118.12
G,W,UINL,2023-01-01,106.36
G,W,UINL,2023-04-01,106.01
G,W,UINL,2023-07-01,99.99
G,W,UINL,2023-10-01,110.58
G,W,UINL,2024-01-01,96.15
G,W,UINL,2024-04-01,100.14
G,W,UINL,2024-07-01,96.5
G,W,UINL,2024-10-01,106.89
G,W,UINL,2025-01-01,97.02
G,W,UINL,2025-04-01,101
G,W,UINL,2025-07-01,96.54
G,W,UINL,2025-10-01,105.75
G,W,UINL,2026-01-01,95.79
G,W,UTOT,2021-01-01,100.66
G,W,UTOT,2021-04-01,101.13
G,W,UTOT,2021-07-01,96.08
G,W,UTOT,2021-10-01,102.14
G,W,UTOT,2022-01-01,114.46
G,W,UTOT,2022-04-01,116.58
G,W,UTOT,2022-07-01,114.18
G,W,UTOT,2022-10-01,120.65
G,W,UTOT,2023-01-01,107.09
G,W,UTOT,2023-04-01,98.07
G,W,UTOT,2023-07-01,92.96
G,W,UTOT,2023-10-01,102.45
G,W,UTOT,2024-01-01,90.74
G,W,UTOT,2024-04-01,93.15
G,W,UTOT,2024-07-01,88.32
G,W,UTOT,2024-10-01,95.46
G,W,UTOT,2025-01-01,91.58
G,W,UTOT,2025-04-01,89.24
G,W,UTOT,2025-07-01,88.87
G,W,UTOT,2025-10-01,97.4
G,W,UTOT,2026-01-01,90.44
G,Y,UEXP,2021-01-01,103.24
G,Y,UEXP,2021-04-01,103.34
G,Y,UEXP,2021-07-01,98.81
G,Y,UEXP,2021-10-01,94.62
G,Y,UEXP,2022-01-01,121.56
G,Y,UEXP,2022-04-01,126.39
G,Y,UEXP,2022-07-01,124.23
G,Y,UEXP,2022-10-01,119.45
G,Y,UEXP,2023-01-01,109.41
G,Y,UEXP,2023-04-01,95.16
G,Y,UEXP,2023-07-01,89.22
G,Y,UEXP,2023-10-01,90.58
G,Y,UEXP,2024-01-01,84.56
G,Y,UEXP,2024-04-01,87.78
G,Y,UEXP,2024-07-01,82.67
G,Y,UEXP,2024-10-01,80.83
G,Y,UEXP,2025-01-01,85.17
G,Y,UEXP,2025-04-01,80.62
G,Y,UEXP,2025-07-01,83.07
G,Y,UEXP,2025-10-01,83.41
G,Y,UEXP,2026-01-01,83.39
G,Y,UINL,2021-01-01,102.3
G,Y,UINL,2021-04-01,99.76
G,Y,UINL,2021-07-01,99.48
G,Y,UINL,2021-10-01,98.46
G,Y,UINL,2022-01-01,114.23
G,Y,UINL,2022-04-01,109.78
G,Y,UINL,2022-07-01,112.14
G,Y,UINL,2022-10-01,110.56
G,Y,UINL,2023-01-01,109.82
G,Y,UINL,2023-04-01,106.7
G,Y,UINL,2023-07-01,103.15
G,Y,UINL,2023-10-01,103.46
G,Y,UINL,2024-01-01,99.6
G,Y,UINL,2024-04-01,100.43
G,Y,UINL,2024-07-01,99.74
G,Y,UINL,2024-10-01,100.04
G,Y,UINL,2025-01-01,100.75
G,Y,UINL,2025-04-01,100.97
G,Y,UINL,2025-07-01,99.87
G,Y,UINL,2025-10-01,98.94
G,Y,UINL,2026-01-01,99.28
G,Y,UTOT,2021-01-01,102.22
G,Y,UTOT,2021-04-01,102.62
G,Y,UTOT,2021-07-01,98.69
G,Y,UTOT,2021-10-01,96.47
