flow,partner,level,date,value
export,Africa,group,1990-01-01,1842
export,Africa,group,1991-01-01,1872
export,Africa,group,1992-01-01,1776
export,Africa,group,1993-01-01,1805.543524
export,Africa,group,1994-01-01,1786.853138
export,Africa,group,1995-01-01,1764.940561
export,Africa,group,1996-01-01,1769.069387
export,Africa,group,1997-01-01,1771.411095
export,Africa,group,1998-01-01,1901.005729
export,Africa,group,1999-01-01,1914.525071
export,Africa,group,2000-01-01,2081.180025
export,Africa,group,2001-01-01,2141.754201
export,Africa,group,2002-01-01,2272.714165
export,Africa,group,2003-01-01,2027.271746
export,Africa,group,2004-01-01,2260.393048
export,Africa,group,2005-01-01,2239.640548
export,Africa,group,2006-01-01,2775.570532
export,Africa,group,2007-01-01,3151.677561
export,Africa,group,2008-01-01,3502.35878
export,Africa,group,2009-01-01,3610.711296
export,Africa,group,2010-01-01,3432.220858
export,Africa,group,2011-01-01,3264.02697
export,Africa,group,2012-01-01,3421.95074
export,Africa,group,2013-01-01,5048.319798
export,Africa,group,2014-01-01,3966.903589
export,Africa,group,2015-01-01,3350.253863
export,Africa,group,2016-01-01,3392.574984
export,Africa,group,2017-01-01,3487.809955
export,Africa,group,2018-01-01,3683.976744
export,Africa,group,2019-01-01,3758.4666
export,Africa,group,2020-01-01,3440.027914
export,Africa,group,2021-01-01,3497.909689
export,Africa,group,2022-01-01,3631.330054
export,Africa,group,2023-01-01,3408.341758
export,Africa,group,2024-01-01,3476.195301
export,Africa,group,2025-01-01,3079.117078
export,Asia,group,1990-01-01,15650.43197
export,Asia,group,1991-01-01,15137.502708
export,Asia,group,1992-01-01,15914.802047
export,Asia,group,1993-01-01,17824.813447
export,Asia,group,1994-01-01,18154.714012
export,Asia,group,1995-01-01,18525.873535
export,Asia,group,1996-01-01,19423.536102
export,Asia,group,1997-01-01,21364.749593
export,Asia,group,1998-01-01,18076.821634
export,Asia,group,1999-01-01,19674.652442
export,Asia,group,2000-01-01,24161.054947
export,Asia,group,2001-01-01,24046.480319
export,Asia,group,2002-01-01,25654.961618
export,Asia,group,2003-01-01,25514.51684
export,Asia,group,2004-01-01,28305.352696
export,Asia,group,2005-01-01,29486.128052
export,Asia,group,2006-01-01,34233.410191
export,Asia,group,2007-01-01,38987.128192
export,Asia,group,2008-01-01,43011.838619
export,Asia,group,2009-01-01,38791.353269
export,Asia,group,2010-01-01,44068.175652
export,Asia,group,2011-01-01,48218.87553
export,Asia,group,2012-01-01,98533.093494
export,Asia,group,2013-01-01,153769.065908
export,Asia,group,2014-01-01,105620.801316
export,Asia,group,2015-01-01,108289.99532
export,Asia,group,2016-01-01,98653.364089
export,Asia,group,2017-01-01,104851.445116
export,Asia,group,2018-01-01,106659.055336
export,Asia,group,2019-01-01,89610.547231
export,Asia,group,2020-01-01,72376.703992
export,Asia,group,2021-01-01,110212.920368
export,Asia,group,2022-01-01,128143.378182
export,Asia,group,2023-01-01,134309.994058
export,Asia,group,2024-01-01,126407.439004
export,Asia,group,2025-01-01,111818.248943
export,Australia,country,1990-01-01,694
export,Australia,country,1991-01-01,683
export,Australia,country,1992-01-01,714
export,Australia,country,1993-01-01,742.691058
export,Australia,country,1994-01-01,842.778469
export,Australia,country,1995-01-01,898.874002
export,Australia,country,1996-01-01,834.671611
export,Australia,country,1997-01-01,900.470995
export,Australia,country,1998-01-01,879.857967
export,Australia,country,1999-01-01,1006.575762
export,Australia,country,2000-01-01,1054.490167
export,Australia,country,2001-01-01,1101.158766
export,Australia,country,2002-01-01,1055.336401
export,Australia,country,2003-01-01,1049.714382
export,Australia,country,2004-01-01,1286.987063
export,Australia,country,2005-01-01,1431.373709
export,Australia,country,2006-01-01,1646.067845
export,Australia,country,2007-01-01,1981.94327
export,Australia,country,2008-01-01,2127.039283
export,Australia,country,2009-01-01,1972.899444
export,Australia,country,2010-01-01,2178.524524
export,Australia,country,2011-01-01,2498.635645
export,Australia,country,2012-01-01,3068.848043
export,Australia,country,2013-01-01,2908.768779
export,Australia,country,2014-01-01,2544.695293
export,Australia,country,2015-01-01,2416.647184
export,Australia,country,2016-01-01,2337.844832
export,Australia,country,2017-01-01,2433.536227
export,Australia,country,2018-01-01,2746.623711
export,Australia,country,2019-01-01,2608.505794
export,Australia,country,2020-01-01,2172.255031
export,Australia,country,2021-01-01,2218.81585
export,Australia,country,2022-01-01,2583.899098
export,Australia,country,2023-01-01,2544.642938
export,Australia,country,2024-01-01,2481.622759
export,Australia,country,2025-01-01,2450.475638
export,Austria,country,1990-01-01,3266
export,Austria,country,1991-01-01,3333
export,Austria,country,1992-01-01,3365
export,Austria,country,1993-01-01,3551.212782
export,Austria,country,1994-01-01,3430.845737
export,Austria,country,1995-01-01,3428.894646
export,Austria,country,1996-01-01,3026.393006
export,Austria,country,1997-01-01,3383.253417
export,Austria,country,1998-01-01,3573.933887
export,Austria,country,1999-01-01,3871.096371
export,Austria,country,2000-01-01,4157.677589
export,Austria,country,2001-01-01,4472.727582
export,Austria,country,2002-01-01,4739.534714
export,Austria,country,2003-01-01,4660.639685
export,Austria,country,2004-01-01,4901.195545
export,Austria,country,2005-01-01,5169.106699
export,Austria,country,2006-01-01,5847.873229
export,Austria,country,2007-01-01,6315.724854
export,Austria,country,2008-01-01,5999.389275
export,Austria,country,2009-01-01,5477.873332
export,Austria,country,2010-01-01,6469.359082
export,Austria,country,2011-01-01,6626.404119
export,Austria,country,2012-01-01,8040.360389
export,Austria,country,2013-01-01,8320.382282
export,Austria,country,2014-01-01,7839.79626
export,Austria,country,2015-01-01,7527.046819
export,Austria,country,2016-01-01,7237.228094
export,Austria,country,2017-01-01,8133.721518
export,Austria,country,2018-01-01,7478.902969
export,Austria,country,2019-01-01,6360.797688
export,Austria,country,2020-01-01,7696.098259
export,Austria,country,2021-01-01,9375.203973
export,Austria,country,2022-01-01,10314.923948
export,Austria,country,2023-01-01,9654.476695
export,Austria,country,2024-01-01,7723.892974
export,Austria,country,2025-01-01,9660.542376
export,Belgium,country,1990-01-01,2032
export,Belgium,country,1991-01-01,2067
export,Belgium,country,1992-01-01,2516
export,Belgium,country,1993-01-01,2347
export,Belgium,country,1994-01-01,2367
export,Belgium,country,1995-01-01,2155
export,Belgium,country,1996-01-01,2332
export,Belgium,country,1997-01-01,2614
export,Belgium,country,1998-01-01,2601
export,Belgium,country,1999-01-01,2443
export,Belgium,country,2000-01-01,2579
export,Belgium,country,2001-01-01,2713
export,Belgium,country,2002-01-01,3017
export,Belgium,country,2003-01-01,2758
export,Belgium,country,2004-01-01,2856
export,Belgium,country,2005-01-01,2932
export,Belgium,country,2006-01-01,3238
export,Belgium,country,2007-01-01,3922
export,Belgium,country,2008-01-01,4187
export,Belgium,country,2009-01-01,3890
export,Belgium,country,2010-01-01,3874
export,Belgium,country,2011-01-01,4224
export,Belgium,country,2012-01-01,4991
export,Belgium,country,2013-01-01,5397
export,Belgium,country,2014-01-01,5852
export,Belgium,country,2015-01-01,5608
export,Belgium,country,2016-01-01,6093.785801
export,Belgium,country,2017-01-01,4393.315484
export,Belgium,country,2018-01-01,4393.976796
export,Belgium,country,2019-01-01,4662.3062
export,Belgium,country,2020-01-01,4254.20738
export,Belgium,country,2021-01-01,4625.170431
export,Belgium,country,2022-01-01,4804.225648
export,Belgium,country,2023-01-01,5165.919826
export,Belgium,country,2024-01-01,4879.301773
export,Belgium,country,2025-01-01,4790.110627
export,Brazil,country,1990-01-01,536
export,Brazil,country,1991-01-01,507
export,Brazil,country,1992-01-01,493
export,Brazil,country,1993-01-01,545.932523
export,Brazil,country,1994-01-01,702.309432
export,Brazil,country,1995-01-01,804.135316
export,Brazil,country,1996-01-01,908.354978
export,Brazil,country,1997-01-01,1080.595787
export,Brazil,country,1998-01-01,1228.770176
export,Brazil,country,1999-01-01,1076.549586
export,Brazil,country,2000-01-01,1262.042654
export,Brazil,country,2001-01-01,1236.301219
export,Brazil,country,2002-01-01,1104.752031
export,Brazil,country,2003-01-01,1164.703445
export,Brazil,country,2004-01-01,1250.816346
