origin,sex,date,value
ch,tot,1991-01-01,1.5541299095049945
ch,tot,1991-02-01,1.6005764316680742
ch,tot,1991-03-01,1.640701222826931
ch,tot,1991-04-01,1.5936983698065945
ch,tot,1991-05-01,1.6680732173689006
ch,tot,1991-06-01,1.888092177824505
ch,tot,1991-07-01,2.101303101276394
ch,tot,1991-08-01,2.109842885388552
ch,tot,1991-09-01,1.9963929423350542
ch,tot,1991-10-01,1.8334931521060343
ch,tot,1991-11-01,1.978989072352819
ch,tot,1991-12-01,2.180147435541146
ch,tot,1992-01-01,2.4551036101769697
ch,tot,1992-02-01,2.6077635124859575
ch,tot,1992-03-01,2.595962453337072
ch,tot,1992-04-01,2.4547859885497463
ch,tot,1992-05-01,2.568603712792898
ch,tot,1992-06-01,2.9471546226573553
ch,tot,1992-07-01,3.402722101660855
ch,tot,1992-08-01,3.4971992935121174
ch,tot,1992-09-01,3.3821521938270287
ch,tot,1992-10-01,3.131077578023685
ch,tot,1992-11-01,3.2747084500231716
ch,tot,1992-12-01,3.4920153829531437
ch,tot,1993-01-01,3.6290982526596665
ch,tot,1993-02-01,3.745088730775456
ch,tot,1993-03-01,3.6449084375648773
ch,tot,1993-04-01,3.277951308449794
ch,tot,1993-05-01,3.380840527697319
ch,tot,1993-06-01,3.733019307852887
ch,tot,1993-07-01,4.296644353823059
ch,tot,1993-08-01,4.413778690836758
ch,tot,1993-09-01,4.115786858340183
ch,tot,1993-10-01,3.623517211469665
ch,tot,1993-11-01,3.718802802719665
ch,tot,1993-12-01,3.71080857081067
ch,tot,1994-01-01,3.678509562362343
ch,tot,1994-02-01,3.678509562362343
ch,tot,1994-03-01,3.412512086275313
ch,tot,1994-04-01,3.002097078932075
ch,tot,1994-05-01,2.920994754532076
ch,tot,1994-06-01,3.2009196615358495
ch,tot,1994-07-01,3.7307264395193744
ch,tot,1994-08-01,3.629567046708053
ch,tot,1994-09-01,3.362602151772573
ch,tot,1994-10-01,3.0814732535577316
ch,tot,1994-11-01,3.0814732535577316
ch,tot,1994-12-01,3.206181610884537
ch,tot,1995-01-01,3.332259219058946
ch,tot,1995-02-01,3.2389501065443826
ch,tot,1995-03-01,3.0396292633966713
ch,tot,1995-04-01,2.7356808595331206
ch,tot,1995-05-01,2.648796700390263
ch,tot,1995-06-01,2.826075479076616
ch,tot,1995-07-01,3.2214309932242005
ch,tot,1995-08-01,3.2214309932242005
ch,tot,1995-09-01,2.909442452551599
ch,tot,1995-10-01,2.6646189617765565
ch,tot,1995-11-01,2.754804085578755
ch,tot,1995-12-01,2.7874232186446886
ch,tot,1996-01-01,3.0545669993019193
ch,tot,1996-02-01,3.0545669993019193
ch,tot,1996-03-01,2.8891004413961605
ch,tot,1996-04-01,2.747968815037604
ch,tot,1996-05-01,2.747968815037604
ch,tot,1996-06-01,2.8809425789247927
ch,tot,1996-07-01,3.2966975816537203
ch,tot,1996-08-01,3.2966975816537203
ch,tot,1996-09-01,3.1941959316925597
ch,tot,1996-10-01,2.9881973362710657
ch,tot,1996-11-01,3.167322972099637
ch,tot,1996-12-01,3.248575572629298
ch,tot,1997-01-01,3.580016068459605
ch,tot,1997-02-01,3.580016068459605
ch,tot,1997-03-01,3.3553746660807913
ch,tot,1997-04-01,3.048672922761904
ch,tot,1997-05-01,2.9665094486285715
ch,tot,1997-06-01,3.2282084686095236
ch,tot,1997-07-01,3.64478793348826
ch,tot,1997-08-01,3.64478793348826
ch,tot,1997-09-01,3.3434534660234796
ch,tot,1997-10-01,2.937870747334394
