Offene Stellen,Wirtschaftsabteilung,date,value
1,10-33,2003-04-01,5054
1,10-33,2003-07-01,4022
1,10-33,2003-10-01,4507
1,10-33,2004-01-01,6800
1,10-33,2004-04-01,7124
1,10-33,2004-07-01,5942
1,10-33,2004-10-01,5591
1,10-33,2005-01-01,6404
1,10-33,2005-04-01,6462
1,10-33,2005-07-01,7067
1,10-33,2005-10-01,8642
1,10-33,2006-01-01,10763
1,10-33,2006-04-01,11552
1,10-33,2006-07-01,11237
1,10-33,2006-10-01,11896
1,10-33,2007-01-01,14255
1,10-33,2007-04-01,15629
1,10-33,2007-07-01,15838
1,10-33,2007-10-01,14757
1,10-33,2008-01-01,16347
1,10-33,2008-04-01,15605
1,10-33,2008-07-01,15119
1,10-33,2008-10-01,9126
1,10-33,2009-01-01,6981
1,10-33,2009-04-01,6289
1,10-33,2009-07-01,6101
1,10-33,2009-10-01,6496
1,10-33,2010-01-01,7995
1,10-33,2010-04-01,10017
1,10-33,2010-07-01,10288
1,10-33,2010-10-01,11253
1,10-33,2011-01-01,13419
1,10-33,2011-04-01,13533
1,10-33,2011-07-01,10728
1,10-33,2011-10-01,9931
1,10-33,2012-01-01,10945
1,10-33,2012-04-01,10537
1,10-33,2012-07-01,9957
1,10-33,2012-10-01,8889
1,10-33,2013-01-01,9622
1,10-33,2013-04-01,10023
1,10-33,2013-07-01,10363
1,10-33,2013-10-01,9900
1,10-33,2014-01-01,11332
1,10-33,2014-04-01,11643
1,10-33,2014-07-01,10398
1,10-33,2014-10-01,9937
1,10-33,2015-01-01,8537
1,10-33,2015-04-01,8153
1,10-33,2015-07-01,7647
1,10-33,2015-10-01,7634
1,10-33,2016-01-01,7858
1,10-33,2016-04-01,8173
1,10-33,2016-07-01,8160
1,10-33,2016-10-01,8981
1,10-33,2017-01-01,9842
1,10-33,2017-04-01,10281
1,10-33,2017-07-01,10543
1,10-33,2017-10-01,11019
1,10-33,2018-01-01,12623
1,10-33,2018-04-01,14295
1,10-33,2018-07-01,13476
1,10-33,2018-10-01,14116
1,10-33,2019-01-01,14749
1,10-33,2019-04-01,14523
1,10-33,2019-07-01,13152
1,10-33,2019-10-01,12705
1,10-33,2020-01-01,10484
1,10-33,2020-04-01,8718
1,10-33,2020-07-01,10024
1,10-33,2020-10-01,9906
1,10-33,2021-01-01,11967
1,10-33,2021-04-01,14177
1,10-33,2021-07-01,16208
1,10-33,2021-10-01,16987
1,10-33,2022-01-01,19340
1,10-33,2022-04-01,20158
1,10-33,2022-07-01,20105
1,10-33,2022-10-01,19700
1,10-33,2023-01-01,20931
1,10-33,2023-04-01,22351
1,10-33,2023-07-01,18316
1,10-33,2023-10-01,16660
1,10-33,2024-01-01,15799
1,10-33,2024-04-01,14775
1,10-33,2024-07-01,14741
1,10-33,2024-10-01,13004
1,10-33,2025-01-01,13494
1,10-33,2025-04-01,12744
1,10-33,2025-07-01,12361
1,10-33,2025-10-01,10980
1,10-33,2026-01-01,12882
1,24-25,2003-04-01,1681
1,24-25,2003-07-01,1299
1,24-25,2003-10-01,1439
1,24-25,2004-01-01,1799
1,24-25,2004-04-01,2172
1,24-25,2004-07-01,1671
1,24-25,2004-10-01,1486
1,24-25,2005-01-01,1495
1,24-25,2005-04-01,1513
1,24-25,2005-07-01,1634
1,24-25,2005-10-01,2185
1,24-25,2006-01-01,3037
1,24-25,2006-04-01,3037
1,24-25,2006-07-01,3086
1,24-25,2006-10-01,3572
1,24-25,2007-01-01,3594
1,24-25,2007-04-01,4355
1,24-25,2007-07-01,4608
1,24-25,2007-10-01,4178
1,24-25,2008-01-01,4345
1,24-25,2008-04-01,3854
1,24-25,2008-07-01,3788
1,24-25,2008-10-01,1844
1,24-25,2009-01-01,946
1,24-25,2009-04-01,1078
1,24-25,2009-07-01,1224
1,24-25,2009-10-01,1005
1,24-25,2010-01-01,1304
1,24-25,2010-04-01,1897
1,24-25,2010-07-01,2166
1,24-25,2010-10-01,2280
1,24-25,2011-01-01,2702
1,24-25,2011-04-01,2642
1,24-25,2011-07-01,1975
1,24-25,2011-10-01,1525
1,24-25,2012-01-01,2052
1,24-25,2012-04-01,2002
1,24-25,2012-07-01,1699
1,24-25,2012-10-01,1736
1,24-25,2013-01-01,2003
1,24-25,2013-04-01,2064
1,24-25,2013-07-01,1871
1,24-25,2013-10-01,1736
1,24-25,2014-01-01,2344
1,24-25,2014-04-01,2223
1,24-25,2014-07-01,2024
1,24-25,2014-10-01,2270
1,24-25,2015-01-01,1362
1,24-25,2015-04-01,1461
1,24-25,2015-07-01,834
1,24-25,2015-10-01,1343
1,24-25,2016-01-01,881
1,24-25,2016-04-01,955
1,24-25,2016-07-01,991
1,24-25,2016-10-01,1083
1,24-25,2017-01-01,1404
