measure,date,value
PC,1997-01-01,1.82
PC,1998-01-01,1.85
PC,1999-01-01,1.66
PC,2000-01-01,1.49
PC,2001-01-01,1.26
PC,2002-01-01,1.04
PC,2003-01-01,0.91
PC,2004-01-01,0.91
PC,2005-01-01,0.99
PC,2006-01-01,1.06
PC,2007-01-01,1.07
PC,2008-01-01,0.97
PC,2009-01-01,0.9
PC,2010-01-01,0.92
PC,2011-01-01,0.94
PC,2012-01-01,0.95
PC,2013-01-01,0.97
PC,2014-01-01,1.07
PC,2015-01-01,1.18
PC,2016-01-01,1.3
PC,2017-01-01,1.45
PC,2018-01-01,1.62
PC,2019-01-01,1.66
PC,2020-01-01,1.72
PC,2021-01-01,1.54
PC,2022-01-01,1.31
PC,2023-01-01,1.15
PC,2024-01-01,1.08
PC,2025-01-01,1
V,1995-01-01,46367
V,1996-01-01,54480
V,1997-01-01,62543
V,1998-01-01,64198
V,1999-01-01,58074
V,2000-01-01,52608
V,2001-01-01,45209
V,2002-01-01,37622
V,2003-01-01,33039
V,2004-01-01,33580
V,2005-01-01,36802
V,2006-01-01,39752
V,2007-01-01,40454
V,2008-01-01,37118
V,2009-01-01,34761
V,2010-01-01,36713
V,2011-01-01,38417
V,2012-01-01,39284
V,2013-01-01,40423
V,2014-01-01,45355
V,2015-01-01,50476
V,2016-01-01,56518
V,2017-01-01,64274
V,2018-01-01,72294
V,2019-01-01,75383
V,2020-01-01,78832
V,2021-01-01,71365
V,2022-01-01,61496
V,2023-01-01,54765
V,2024-01-01,51974
V,2025-01-01,48455
