breakdown,adjustment,date,value
bf1,nominal,1994-01-01,101.6753
bf1,nominal,1995-01-01,102.8623
bf1,nominal,1996-01-01,104.0751
bf1,nominal,1997-01-01,104.3607
bf1,nominal,1998-01-01,105.0291
bf1,nominal,1999-01-01,105.0335
bf1,nominal,2000-01-01,106.5601
bf1,nominal,2001-01-01,109.4523
bf1,nominal,2002-01-01,111.3097
bf1,nominal,2003-01-01,112.6006
bf1,nominal,2004-01-01,113.2727
bf1,nominal,2005-01-01,114.6823
bf1,nominal,2006-01-01,115.9748
bf1,nominal,2007-01-01,117.7252
bf1,nominal,2008-01-01,119.8997
bf1,nominal,2009-01-01,122.6482
bf1,nominal,2010-01-01,123.3607
bf1,nominal,2011-01-01,124.538
bf1,nominal,2012-01-01,125.3556
bf1,nominal,2013-01-01,126.1813
bf1,nominal,2014-01-01,127.3374
bf1,nominal,2015-01-01,127.9169
bf1,nominal,2016-01-01,128.4808
bf1,nominal,2017-01-01,129.0149
bf1,nominal,2018-01-01,129.44
bf1,nominal,2019-01-01,130.563
bf1,nominal,2020-01-01,131.6958
bf1,nominal,2021-01-01,131
bf1,nominal,2022-01-01,131.9
bf1,nominal,2023-01-01,134.7
bf1,nominal,2024-01-01,136.7
bf1,nominal,2025-01-01,138.8
bf1,real,1994-01-01,100.7675
bf1,real,1995-01-01,100.1554
bf1,real,1996-01-01,100.5522
bf1,real,1997-01-01,100.3429
bf1,real,1998-01-01,100.924
bf1,real,1999-01-01,100.1208
bf1,real,2000-01-01,100.0173
bf1,real,2001-01-01,101.7257
bf1,real,2002-01-01,102.7914
bf1,real,2003-01-01,103.3239
bf1,real,2004-01-01,103.1128
bf1,real,2005-01-01,103.1867
bf1,real,2006-01-01,103.2556
bf1,real,2007-01-01,104.052
bf1,real,2008-01-01,103.4639
bf1,real,2009-01-01,106.3466
bf1,real,2010-01-01,106.2333
bf1,real,2011-01-01,106.9996
bf1,real,2012-01-01,108.4531
bf1,real,2013-01-01,109.4052
bf1,real,2014-01-01,110.4222
bf1,real,2015-01-01,112.2083
bf1,real,2016-01-01,113.1949
bf1,real,2017-01-01,113.0619
bf1,real,2018-01-01,112.3822
bf1,real,2019-01-01,112.9474
bf1,real,2020-01-01,114.3493
bf1,real,2021-01-01,113.0915
bf1,real,2022-01-01,110.7
bf1,real,2023-01-01,110.7
bf1,real,2024-01-01,111.1
bf1,real,2025-01-01,112.6
f,nominal,1994-01-01,101.3548
f,nominal,1995-01-01,103.1374
f,nominal,1996-01-01,104.6102
f,nominal,1997-01-01,105.2572
f,nominal,1998-01-01,105.8253
f,nominal,1999-01-01,106.5451
f,nominal,2000-01-01,108.2207
f,nominal,2001-01-01,110.9135
f,nominal,2002-01-01,113.4657
f,nominal,2003-01-01,115.3489
f,nominal,2004-01-01,116.6291
f,nominal,2005-01-01,117.8998
f,nominal,2006-01-01,119.404
f,nominal,2007-01-01,121.2448
f,nominal,2008-01-01,123.4565
f,nominal,2009-01-01,126.1104
f,nominal,2010-01-01,127.4486
f,nominal,2011-01-01,128.6623
f,nominal,2012-01-01,129.9345
f,nominal,2013-01-01,130.8195
f,nominal,2014-01-01,132.0748
f,nominal,2015-01-01,132.7308
f,nominal,2016-01-01,133.8545
f,nominal,2017-01-01,134.3559
f,nominal,2018-01-01,134.9771
f,nominal,2019-01-01,136.3428
f,nominal,2020-01-01,137.7223
f,nominal,2021-01-01,138.6
f,nominal,2022-01-01,139.7
f,nominal,2023-01-01,142.2
f,nominal,2024-01-01,145.8
f,nominal,2025-01-01,149.1
f,real,1994-01-01,100.4499
f,real,1995-01-01,100.4233
f,real,1996-01-01,101.0693
f,real,1997-01-01,101.205
f,real,1998-01-01,101.689
f,real,1999-01-01,101.5617
f,real,2000-01-01,101.5758
f,real,2001-01-01,103.0838
f,real,2002-01-01,104.7824
f,real,2003-01-01,105.8458
f,real,2004-01-01,106.1681
f,real,2005-01-01,106.0817
f,real,2006-01-01,106.3087
f,real,2007-01-01,107.1628
f,real,2008-01-01,106.5331
f,real,2009-01-01,109.3485
f,real,2010-01-01,109.7535
f,real,2011-01-01,110.543
f,real,2012-01-01,112.4146
f,real,2013-01-01,113.4267
f,real,2014-01-01,114.5303
f,real,2015-01-01,116.431
f,real,2016-01-01,117.9292
f,real,2017-01-01,117.7425
f,real,2018-01-01,117.1895
f,real,2019-01-01,117.9473
f,real,2020-01-01,118.9847
f,real,2021-01-01,118.9847
f,real,2022-01-01,116.6
f,real,2023-01-01,116.2
f,real,2024-01-01,117.9
f,real,2025-01-01,120.4
f41,nominal,1994-01-01,101.425
f41,nominal,1995-01-01,103.209
f41,nominal,1996-01-01,104.4866
f41,nominal,1997-01-01,104.6917
f41,nominal,1998-01-01,105.0792
f41,nominal,1999-01-01,104.5546
f41,nominal,2000-01-01,106.4994
f41,nominal,2001-01-01,109.4586
f41,nominal,2002-01-01,111.2035
f41,nominal,2003-01-01,112.3026
f41,nominal,2004-01-01,112.7493
f41,nominal,2005-01-01,113.9803
f41,nominal,2006-01-01,115.2148
f41,nominal,2007-01-01,117.1364
f41,nominal,2008-01-01,119.5097
f41,nominal,2009-01-01,121.8478
f41,nominal,2010-01-01,122.735
f41,nominal,2011-01-01,123.978
f41,nominal,2012-01-01,124.8763
f41,nominal,2013-01-01,125.5138
f41,nominal,2014-01-01,126.1369
f41,nominal,2015-01-01,125.8288
f41,nominal,2016-01-01,126.3375
f41,nominal,2017-01-01,126.7017
f41,nominal,2018-01-01,127.3812
f41,nominal,2019-01-01,128.5969
f41,nominal,2020-01-01,129.8243
f41,nominal,2021-01-01,129.8
f41,nominal,2022-01-01,130.4
f41,nominal,2023-01-01,133.4
f41,nominal,2024-01-01,134.5
f41,nominal,2025-01-01,136.2
f41,real,1994-01-01,100.5194
f41,real,1995-01-01,100.493
f41,real,1996-01-01,100.9499
f41,real,1997-01-01,100.6613
f41,real,1998-01-01,100.9721
f41,real,1999-01-01,99.6643
f41,real,2000-01-01,99.9603
f41,real,2001-01-01,101.7316
f41,real,2002-01-01,102.6933
f41,real,2003-01-01,103.0504
f41,real,2004-01-01,102.6363
f41,real,2005-01-01,102.555
f41,real,2006-01-01,102.5789
f41,real,2007-01-01,103.5316
f41,real,2008-01-01,103.1273
f41,real,2009-01-01,105.6525
f41,real,2010-01-01,105.6944
f41,real,2011-01-01,106.5184
f41,real,2012-01-01,108.0385
f41,real,2013-01-01,108.8265
f41,real,2014-01-01,109.3811
f41,real,2015-01-01,110.3766
f41,real,2016-01-01,111.3065
f41,real,2017-01-01,111.0347
f41,real,2018-01-01,110.5946
f41,real,2019-01-01,111.2465
f41,real,2020-01-01,112.9409
f41,real,2021-01-01,112.2633
f41,real,2022-01-01,109.7
f41,real,2023-01-01,109.9
f41,real,2024-01-01,109.6
f41,real,2025-01-01,110.8
gs4,nominal,1994-01-01,101.2816
gs4,nominal,1995-01-01,102.7038
gs4,nominal,1996-01-01,104.0646
gs4,nominal,1997-01-01,104.689
gs4,nominal,1998-01-01,105.4512
gs4,nominal,1999-01-01,105.9795
gs4,nominal,2000-01-01,107.1527
gs4,nominal,2001-01-01,109.6213
gs4,nominal,2002-01-01,111.6605
gs4,nominal,2003-01-01,113.4232
gs4,nominal,2004-01-01,114.7636
gs4,nominal,2005-01-01,115.7462
gs4,nominal,2006-01-01,117.1459
gs4,nominal,2007-01-01,119.0825
gs4,nominal,2008-01-01,121.6109
gs4,nominal,2009-01-01,124.0855
gs4,nominal,2010-01-01,125.2427
gs4,nominal,2011-01-01,126.4326
gs4,nominal,2012-01-01,127.582
gs4,nominal,2013-01-01,128.5665
gs4,nominal,2014-01-01,129.4964
gs4,nominal,2015-01-01,129.928
gs4,nominal,2016-01-01,130.9261
gs4,nominal,2017-01-01,131.4409
gs4,nominal,2018-01-01,132.1533
gs4,nominal,2019-01-01,133.3808
gs4,nominal,2020-01-01,134.6196
gs4,nominal,2021-01-01,134.5
gs4,nominal,2022-01-01,135.8
gs4,nominal,2023-01-01,138
gs4,nominal,2024-01-01,140.6
gs4,nominal,2025-01-01,143.3
gs4,real,1994-01-01,100.3773
gs4,real,1995-01-01,100.001
gs4,real,1996-01-01,100.5421
gs4,real,1997-01-01,100.6586
gs4,real,1998-01-01,101.3295
gs4,real,1999-01-01,101.0225
gs4,real,2000-01-01,100.5734
gs4,real,2001-01-01,101.8828
gs4,real,2002-01-01,103.1153
gs4,real,2003-01-01,104.0788
gs4,real,2004-01-01,104.4699
gs4,real,2005-01-01,104.1439
gs4,real,2006-01-01,104.2982
gs4,real,2007-01-01,105.2516
gs4,real,2008-01-01,104.9404
gs4,real,2009-01-01,107.5928
gs4,real,2010-01-01,107.8539
gs4,real,2011-01-01,108.6272
gs4,real,2012-01-01,110.3792
gs4,real,2013-01-01,111.4732
gs4,real,2014-01-01,112.2942
gs4,real,2015-01-01,113.9722
gs4,real,2016-01-01,115.349
gs4,real,2017-01-01,115.1877
gs4,real,2018-01-01,114.7377
gs4,real,2019-01-01,115.3847
gs4,real,2020-01-01,117.27
gs4,real,2021-01-01,116.4491
gs4,real,2022-01-01,114.3
gs4,real,2023-01-01,113.7
gs4,real,2024-01-01,114.6
gs4,real,2025-01-01,116.6
m,nominal,1994-01-01,101.4868
m,nominal,1995-01-01,102.6484
m,nominal,1996-01-01,103.8808
m,nominal,1997-01-01,104.3098
m,nominal,1998-01-01,105.0827
m,nominal,1999-01-01,105.2374
m,nominal,2000-01-01,106.472
m,nominal,2001-01-01,109.1031
m,nominal,2002-01-01,110.8589
m,nominal,2003-01-01,112.3056
m,nominal,2004-01-01,113.2791
m,nominal,2005-01-01,114.255
m,nominal,2006-01-01,115.5315
m,nominal,2007-01-01,117.4336
m,nominal,2008-01-01,120.0035
m,nominal,2009-01-01,122.5081
m,nominal,2010-01-01,123.3694
m,nominal,2011-01-01,124.5423
m,nominal,2012-01-01,125.4918
m,nominal,2013-01-01,126.4581
m,nominal,2014-01-01,127.324
m,nominal,2015-01-01,127.7082
m,nominal,2016-01-01,128.4617
m,nominal,2017-01-01,128.9911
m,nominal,2018-01-01,129.6265
m,nominal,2019-01-01,130.7425
m,nominal,2020-01-01,131.8682
m,nominal,2021-01-01,130.9
m,nominal,2022-01-01,132.3
m,nominal,2023-01-01,134.5
m,nominal,2024-01-01,136.1
m,nominal,2025-01-01,138.1
m,real,1994-01-01,100.5807
m,real,1995-01-01,99.9472
m,real,1996-01-01,100.3646
m,real,1997-01-01,100.294
m,real,1998-01-01,100.9755
m,real,1999-01-01,100.3151
m,real,2000-01-01,99.9345
m,real,2001-01-01,101.4012
m,real,2002-01-01,102.3751
m,real,2003-01-01,103.0532
m,real,2004-01-01,103.1186
m,real,2005-01-01,102.8021
m,real,2006-01-01,102.8609
m,real,2007-01-01,103.7943
m,real,2008-01-01,103.5534
m,real,2009-01-01,106.225
m,real,2010-01-01,106.2407
m,real,2011-01-01,107.0032
m,real,2012-01-01,108.5709
m,real,2013-01-01,109.6451
m,real,2014-01-01,110.4105
m,real,2015-01-01,112.0252
m,real,2016-01-01,113.178
m,real,2017-01-01,113.041
m,real,2018-01-01,112.5441
m,real,2019-01-01,113.1026
m,real,2020-01-01,114.3929
m,real,2021-01-01,112.9058
m,real,2022-01-01,110.9
m,real,2023-01-01,110.4
m,real,2024-01-01,110.5
m,real,2025-01-01,111.9
tot,nominal,1994-01-01,101.4525
tot,nominal,1995-01-01,102.7757
tot,nominal,1996-01-01,104.0706
tot,nominal,1997-01-01,104.5564
tot,nominal,1998-01-01,105.2759
tot,nominal,1999-01-01,105.5776
tot,nominal,2000-01-01,106.906
tot,nominal,2001-01-01,109.5526
tot,nominal,2002-01-01,111.5166
tot,nominal,2003-01-01,113.0774
tot,nominal,2004-01-01,114.131
tot,nominal,2005-01-01,115.2207
tot,nominal,2006-01-01,116.5891
tot,nominal,2007-01-01,118.4654
tot,nominal,2008-01-01,120.8849
tot,nominal,2009-01-01,123.4352
tot,nominal,2010-01-01,124.4626
tot,nominal,2011-01-01,125.6466
tot,nominal,2012-01-01,126.7001
tot,nominal,2013-01-01,127.6378
tot,nominal,2014-01-01,128.6296
