indicator,date,value
ch.kof.esi.index,2007-04-01,117.03056902177588
ch.kof.esi.index,2007-05-01,116.67994917015244
ch.kof.esi.index,2007-06-01,117.00228473904544
ch.kof.esi.index,2007-07-01,117.14576500461064
ch.kof.esi.index,2007-08-01,117.30627505318904
ch.kof.esi.index,2007-09-01,117.70421138305844
ch.kof.esi.index,2007-10-01,116.25154636915316
ch.kof.esi.index,2007-11-01,117.66837018025248
ch.kof.esi.index,2007-12-01,117.27201182357284
ch.kof.esi.index,2008-01-01,113.90119303716192
ch.kof.esi.index,2008-02-01,114.69075938660798
ch.kof.esi.index,2008-03-01,114.51006417906729
ch.kof.esi.index,2008-04-01,113.21361399345768
ch.kof.esi.index,2008-05-01,112.62156886530605
ch.kof.esi.index,2008-06-01,110.75674905993954
ch.kof.esi.index,2008-07-01,102.3974855040832
ch.kof.esi.index,2008-08-01,101.14704653402336
ch.kof.esi.index,2008-09-01,99.28240999346323
ch.kof.esi.index,2008-10-01,94.9499238953642
ch.kof.esi.index,2008-11-01,91.29359399260136
ch.kof.esi.index,2008-12-01,89.16966342180001
ch.kof.esi.index,2009-01-01,85.06633245527209
ch.kof.esi.index,2009-02-01,82.47602345047942
ch.kof.esi.index,2009-03-01,78.6228903905502
ch.kof.esi.index,2009-04-01,75.07932416386525
ch.kof.esi.index,2009-05-01,77.84064514315614
ch.kof.esi.index,2009-06-01,77.98978551930075
ch.kof.esi.index,2009-07-01,82.87887388039367
ch.kof.esi.index,2009-08-01,83.14912738094284
ch.kof.esi.index,2009-09-01,85.83401193193964
ch.kof.esi.index,2009-10-01,93.18245622252822
ch.kof.esi.index,2009-11-01,96.86053025516036
ch.kof.esi.index,2009-12-01,98.73297620349015
ch.kof.esi.index,2010-01-01,101.15160939250828
ch.kof.esi.index,2010-02-01,103.17079841269292
ch.kof.esi.index,2010-03-01,103.69172481517153
ch.kof.esi.index,2010-04-01,107.95769686585142
ch.kof.esi.index,2010-05-01,108.00184025840078
ch.kof.esi.index,2010-06-01,110.2699888330713
ch.kof.esi.index,2010-07-01,113.16527510745678
ch.kof.esi.index,2010-08-01,113.49678769592944
ch.kof.esi.index,2010-09-01,113.14339690981444
ch.kof.esi.index,2010-10-01,115.52123231777269
ch.kof.esi.index,2010-11-01,115.86939151312774
ch.kof.esi.index,2010-12-01,116.075832921054
ch.kof.esi.index,2011-01-01,115.63266005434429
ch.kof.esi.index,2011-02-01,114.03400163540528
ch.kof.esi.index,2011-03-01,114.4292133155411
ch.kof.esi.index,2011-04-01,114.6314502586207
ch.kof.esi.index,2011-05-01,112.52757670825258
ch.kof.esi.index,2011-06-01,111.74205545480444
ch.kof.esi.index,2011-07-01,106.08354900674826
ch.kof.esi.index,2011-08-01,103.95091887399929
ch.kof.esi.index,2011-09-01,101.29176519736276
ch.kof.esi.index,2011-10-01,99.35224914618269
ch.kof.esi.index,2011-11-01,98.97676763541064
ch.kof.esi.index,2011-12-01,100.12204417276432
ch.kof.esi.index,2012-01-01,96.96601753316028
ch.kof.esi.index,2012-02-01,97.98841135529076
ch.kof.esi.index,2012-03-01,101.29517248356828
ch.kof.esi.index,2012-04-01,102.23967744382831
ch.kof.esi.index,2012-05-01,101.49240016925926
ch.kof.esi.index,2012-06-01,101.64708083650486
ch.kof.esi.index,2012-07-01,100.21129777745948
ch.kof.esi.index,2012-08-01,102.1762648345176
ch.kof.esi.index,2012-09-01,100.8300414962782
ch.kof.esi.index,2012-10-01,100.21393520713178
ch.kof.esi.index,2012-11-01,99.51238230032652
ch.kof.esi.index,2012-12-01,99.39822981309676
ch.kof.esi.index,2013-01-01,102.80389723596709
ch.kof.esi.index,2013-02-01,104.1030862006002
ch.kof.esi.index,2013-03-01,102.8644331720864
ch.kof.esi.index,2013-04-01,101.89481158913703
ch.kof.esi.index,2013-05-01,102.26208598467716
ch.kof.esi.index,2013-06-01,101.7801167592684
ch.kof.esi.index,2013-07-01,103.43883988774442
ch.kof.esi.index,2013-08-01,103.79084407485372
ch.kof.esi.index,2013-09-01,105.10473185103515
ch.kof.esi.index,2013-10-01,106.7379864901841
ch.kof.esi.index,2013-11-01,106.74051881501458
ch.kof.esi.index,2013-12-01,106.92512346388374
ch.kof.esi.index,2014-01-01,106.981227846723
ch.kof.esi.index,2014-02-01,107.55257333809398
ch.kof.esi.index,2014-03-01,107.48017806970938
ch.kof.esi.index,2014-04-01,105.87444566065108
ch.kof.esi.index,2014-05-01,105.72199594527832
ch.kof.esi.index,2014-06-01,106.0845297529226
ch.kof.esi.index,2014-07-01,105.4764280771642
ch.kof.esi.index,2014-08-01,104.6767836389027
ch.kof.esi.index,2014-09-01,104.02942103943629
ch.kof.esi.index,2014-10-01,103.23637904076764
ch.kof.esi.index,2014-11-01,103.0745284280571
ch.kof.esi.index,2014-12-01,103.4753167965155
ch.kof.esi.index,2015-01-01,100.03134851515163
ch.kof.esi.index,2015-02-01,95.53200475144924
ch.kof.esi.index,2015-03-01,97.78336571433348
ch.kof.esi.index,2015-04-01,96.85493877050398
ch.kof.esi.index,2015-05-01,97.53760176134963
ch.kof.esi.index,2015-06-01,97.63449793275224
ch.kof.esi.index,2015-07-01,94.50725910509313
ch.kof.esi.index,2015-08-01,96.26894650039785
ch.kof.esi.index,2015-09-01,94.37337274985806
ch.kof.esi.index,2015-10-01,94.63213738268362
ch.kof.esi.index,2015-11-01,94.463076590824
ch.kof.esi.index,2015-12-01,94.76582352878695
ch.kof.esi.index,2016-01-01,95.77704417247315
ch.kof.esi.index,2016-02-01,95.47934084746244
ch.kof.esi.index,2016-03-01,95.3082630294069
ch.kof.esi.index,2016-04-01,97.48966926484844
ch.kof.esi.index,2016-05-01,97.61328751514353
ch.kof.esi.index,2016-06-01,96.21593894946729
ch.kof.esi.index,2016-07-01,97.45032311668568
ch.kof.esi.index,2016-08-01,96.4343027075255
ch.kof.esi.index,2016-09-01,97.97340688189408
ch.kof.esi.index,2016-10-01,98.51096760158566
ch.kof.esi.index,2016-11-01,98.2299014425637
ch.kof.esi.index,2016-12-01,99.21906495169888
ch.kof.esi.index,2017-01-01,100.1666946943218
ch.kof.esi.index,2017-02-01,100.48126303159331
ch.kof.esi.index,2017-03-01,101.33388017987735
ch.kof.esi.index,2017-04-01,101.34927003499618
ch.kof.esi.index,2017-05-01,101.02762718137492
ch.kof.esi.index,2017-06-01,102.02446684666504
ch.kof.esi.index,2017-07-01,103.89949288329944
ch.kof.esi.index,2017-08-01,104.32530761000646
ch.kof.esi.index,2017-09-01,105.5405723162763
ch.kof.esi.index,2017-10-01,106.4943013394432
ch.kof.esi.index,2017-11-01,106.9577290671267
ch.kof.esi.index,2017-12-01,107.22476230469492
ch.kof.esi.index,2018-01-01,106.22616086894648
ch.kof.esi.index,2018-02-01,107.5128385400417
ch.kof.esi.index,2018-03-01,106.35177605945564
ch.kof.esi.index,2018-04-01,107.14125711991348
ch.kof.esi.index,2018-05-01,108.10943772453491
ch.kof.esi.index,2018-06-01,108.32051224129546
ch.kof.esi.index,2018-07-01,106.5905060555058
ch.kof.esi.index,2018-08-01,107.05230298586848
ch.kof.esi.index,2018-09-01,107.1668601608
ch.kof.esi.index,2018-10-01,108.40715702768496
ch.kof.esi.index,2018-11-01,106.84441180104643
ch.kof.esi.index,2018-12-01,105.52079231370224
ch.kof.esi.index,2019-01-01,103.42554550966646
ch.kof.esi.index,2019-02-01,102.09190705324328
ch.kof.esi.index,2019-03-01,103.26090840553113
ch.kof.esi.index,2019-04-01,102.60317183099431
ch.kof.esi.index,2019-05-01,102.2595425298118
ch.kof.esi.index,2019-06-01,100.71121255845024
ch.kof.esi.index,2019-07-01,101.43377578469727
ch.kof.esi.index,2019-08-01,101.0027333916186
ch.kof.esi.index,2019-09-01,99.94266823569284
ch.kof.esi.index,2019-10-01,99.29971757443188
ch.kof.esi.index,2019-11-01,100.36854298515853
ch.kof.esi.index,2019-12-01,101.25883293739186
ch.kof.esi.index,2020-01-01,100.80582911430982
ch.kof.esi.index,2020-02-01,100.93225190405803
ch.kof.esi.index,2020-03-01,93.947648022475
ch.kof.esi.index,2020-04-01,63.91750215949004
ch.kof.esi.index,2020-05-01,64.60920074972964
ch.kof.esi.index,2020-06-01,74.28607394494793
ch.kof.esi.index,2020-07-01,85.30021215981391
ch.kof.esi.index,2020-08-01,88.70585098673388
ch.kof.esi.index,2020-09-01,91.72137289305142
ch.kof.esi.index,2020-10-01,94.57796445128037
ch.kof.esi.index,2020-11-01,90.58584579161396
ch.kof.esi.index,2020-12-01,93.7422395558262
ch.kof.esi.index,2021-01-01,93.13661985481436
ch.kof.esi.index,2021-02-01,92.63087165983995
ch.kof.esi.index,2021-03-01,98.2947165118996
ch.kof.esi.index,2021-04-01,106.19800796618036
ch.kof.esi.index,2021-05-01,108.06875655213229
ch.kof.esi.index,2021-06-01,109.6998323411301
ch.kof.esi.index,2021-07-01,113.70586389088452
ch.kof.esi.index,2021-08-01,113.07399827156392
ch.kof.esi.index,2021-09-01,115.29675735461991
ch.kof.esi.index,2021-10-01,113.98822584386164
ch.kof.esi.index,2021-11-01,115.10571446146812
ch.kof.esi.index,2021-12-01,112.91997987935326
ch.kof.esi.index,2022-01-01,111.34511890708932
ch.kof.esi.index,2022-02-01,113.63211765305375
ch.kof.esi.index,2022-03-01,113.55734748679411
ch.kof.esi.index,2022-04-01,106.08650993664128
ch.kof.esi.index,2022-05-01,104.6219581851064
ch.kof.esi.index,2022-06-01,104.59577025998456
ch.kof.esi.index,2022-07-01,97.38878588325558
ch.kof.esi.index,2022-08-01,95.60657282900124
ch.kof.esi.index,2022-09-01,93.28339556872638
ch.kof.esi.index,2022-10-01,89.54213251157499
ch.kof.esi.index,2022-11-01,89.26688351643128
ch.kof.esi.index,2022-12-01,89.34267348193873
ch.kof.esi.index,2023-01-01,93.45728779464643
ch.kof.esi.index,2023-02-01,92.81382868725352
ch.kof.esi.index,2023-03-01,92.86164647793788
ch.kof.esi.index,2023-04-01,90.39046345535697
ch.kof.esi.index,2023-05-01,86.96507310449672
ch.kof.esi.index,2023-06-01,88.18850113592289
ch.kof.esi.index,2023-07-01,86.81636677040045
ch.kof.esi.index,2023-08-01,88.931449497981
ch.kof.esi.index,2023-09-01,86.0834347950203
ch.kof.esi.index,2023-10-01,80.05016683906604
ch.kof.esi.index,2023-11-01,81.92481617669583
ch.kof.esi.index,2023-12-01,83.07937412367383
ch.kof.esi.index,2024-01-01,84.18878006019303
ch.kof.esi.index,2024-02-01,86.35326955915428
ch.kof.esi.index,2024-03-01,87.52621238510508
ch.kof.esi.index,2024-04-01,88.88489677349008
ch.kof.esi.index,2024-05-01,90.10471666616762
ch.kof.esi.index,2024-06-01,89.71811872953742
ch.kof.esi.index,2024-07-01,92.0903152728922
ch.kof.esi.index,2024-08-01,92.29853603216978
ch.kof.esi.index,2024-09-01,93.29003500275503
ch.kof.esi.index,2024-10-01,92.4763350571075
ch.kof.esi.index,2024-11-01,91.26961165443404
ch.kof.esi.index,2024-12-01,92.19826105782644
ch.kof.esi.index,2025-01-01,91.94783056428918
ch.kof.esi.index,2025-02-01,92.29719753994334
ch.kof.esi.index,2025-03-01,90.33975441488344
ch.kof.esi.index,2025-04-01,91.46842350664303
ch.kof.esi.index,2025-05-01,91.07523179684884
ch.kof.esi.index,2025-06-01,92.40583057322227
ch.kof.esi.index,2025-07-01,93.52423372231856
ch.kof.esi.index,2025-08-01,90.14088564124226
ch.kof.esi.index,2025-09-01,90.17704543320532
ch.kof.esi.index,2025-10-01,91.22273165035102
ch.kof.esi.index,2025-11-01,93.57428150400663
ch.kof.esi.index,2025-12-01,92.45157851783884
ch.kof.esi.index,2026-01-01,95.50306485823336
ch.kof.esi.index,2026-02-01,94.8133460681072
ch.kof.esi.index,2026-03-01,95.12588950954326
ch.kof.esi.index,2026-04-01,89.82138562637827
ch.kof.esi.index,2026-05-01,90.13883203256565
ch.kof.esi.index,2026-06-01,89.65297608230664
ch.kof.esi.index,2026-07-01,93.50142727554692
ch.kof.esi.index,2026-08-01,95.907852726338
ch.kof.esi.index.v2018,2007-04-01,116.6936316216312
ch.kof.esi.index.v2018,2007-05-01,116.32934250472988
ch.kof.esi.index.v2018,2007-06-01,116.664244647875
ch.kof.esi.index.v2018,2007-07-01,116.58942423113056
ch.kof.esi.index.v2018,2007-08-01,116.75619192434496
ch.kof.esi.index.v2018,2007-09-01,117.16964219967836
ch.kof.esi.index.v2018,2007-10-01,117.63950649969767
ch.kof.esi.index.v2018,2007-11-01,119.1115666028559
ch.kof.esi.index.v2018,2007-12-01,118.69975581957388
ch.kof.esi.index.v2018,2008-01-01,113.54251323171808
ch.kof.esi.index.v2018,2008-02-01,114.36286161428376
ch.kof.esi.index.v2018,2008-03-01,114.17512182351456
ch.kof.esi.index.v2018,2008-04-01,113.48521657860604
ch.kof.esi.index.v2018,2008-05-01,112.87008997952312
ch.kof.esi.index.v2018,2008-06-01,110.93256831059428
