D0,D1,date,value
IV,BB,1991-07-01,372.0068022
IV,BB,1991-10-01,310.9754939
IV,BB,1992-01-01,334.7443484
IV,BB,1992-04-01,353.7799219
IV,BB,1992-07-01,353.9688804
IV,BB,1992-10-01,314.7215112
IV,BB,1993-01-01,311.1205664
IV,BB,1993-04-01,329.3658281
IV,BB,1993-07-01,333.4732633
IV,BB,1993-10-01,309.2724422
IV,BB,1994-01-01,313.1116445
IV,BB,1994-04-01,328.1558097
IV,BB,1994-07-01,337.1102634
IV,BB,1994-10-01,314.3651832
IV,BB,1995-01-01,315.22793
IV,BB,1995-04-01,324.5790324
IV,BB,1995-07-01,330.8438563
IV,BB,1995-10-01,305.592294
IV,BB,1996-01-01,299.1693891
IV,BB,1996-04-01,307.274187
IV,BB,1996-07-01,306.8358615
IV,BB,1996-10-01,285.389079
IV,BB,1997-01-01,282.3340502
IV,BB,1997-04-01,291.3032562
IV,BB,1997-07-01,287.1318489
IV,BB,1997-10-01,272.3104097
IV,BB,1998-01-01,271.5282526
IV,BB,1998-04-01,283.4249882
IV,BB,1998-07-01,285.3881882
IV,BB,1998-10-01,265.5064203
IV,BB,1999-01-01,264.9656247
IV,BB,1999-04-01,277.1653903
IV,BB,1999-07-01,278.2644142
IV,BB,1999-10-01,267.0315906
IV,BB,2000-01-01,269.5854762
IV,BB,2000-04-01,275.9467413
IV,BB,2000-07-01,281.7058782
IV,BB,2000-10-01,269.2923153
IV,BB,2001-01-01,271.7557523
IV,BB,2001-04-01,284.1105785
IV,BB,2001-07-01,287.466258
IV,BB,2001-10-01,270.8048817
IV,BB,2002-01-01,271.8944604
IV,BB,2002-04-01,282.2837576
IV,BB,2002-07-01,286.7883531
IV,BB,2002-10-01,275.2728483
IV,BB,2003-01-01,272.5778252
IV,BB,2003-04-01,283.7159814
IV,BB,2003-07-01,285.8669656
IV,BB,2003-10-01,278.0807889
IV,BB,2004-01-01,273.8793969
IV,BB,2004-04-01,277.7332429
IV,BB,2004-07-01,285.9657592
IV,BB,2004-10-01,276.6508437
IV,BB,2005-01-01,270.554654
IV,BB,2005-04-01,284.0822171
IV,BB,2005-07-01,291.7249682
IV,BB,2005-10-01,281.3662893
IV,BB,2006-01-01,277.7517063
IV,BB,2006-04-01,290.2407763
IV,BB,2006-07-01,296.227655
IV,BB,2006-10-01,287.7627328
IV,BB,2007-01-01,288.3612383
IV,BB,2007-04-01,298.1868225
IV,BB,2007-07-01,305.6162422
IV,BB,2007-10-01,301.0166795
IV,BB,2008-01-01,299.006114
IV,BB,2008-04-01,303.2359391
IV,BB,2008-07-01,308.2474229
IV,BB,2008-10-01,297.1362554
IV,BB,2009-01-01,295.119417
IV,BB,2009-04-01,302.12814530000003
IV,BB,2009-07-01,308.8010669
IV,BB,2009-10-01,300.2654398
IV,BB,2010-01-01,300.1525994
IV,BB,2010-04-01,309.2232505
IV,BB,2010-07-01,314.3641846
IV,BB,2010-10-01,307.4462897
IV,BB,2011-01-01,303.0193415
IV,BB,2011-04-01,310.4621066
IV,BB,2011-07-01,316.6829824
IV,BB,2011-10-01,308.8197185
IV,BB,2012-01-01,308.2031556
IV,BB,2012-04-01,316.0461299
IV,BB,2012-07-01,323.3815065
IV,BB,2012-10-01,314.2662817
IV,BB,2013-01-01,312.6283856
IV,BB,2013-04-01,321.7941738
IV,BB,2013-07-01,326.7274111
IV,BB,2013-10-01,317.8473034
IV,BB,2014-01-01,316.6222951
IV,BB,2014-04-01,325.7129671
IV,BB,2014-07-01,328.2819142
IV,BB,2014-10-01,318.0300295
IV,BB,2015-01-01,318.6975113
IV,BB,2015-04-01,324.9806657
IV,BB,2015-07-01,328.1228682
IV,BB,2015-10-01,318.9056597
IV,BB,2016-01-01,315.4221845
IV,BB,2016-04-01,324.4264723
IV,BB,2016-07-01,325.4545087
IV,BB,2016-10-01,318.9668754
IV,BB,2017-01-01,316.3624381
IV,BB,2017-04-01,325.6324048
IV,BB,2017-07-01,327.6825572
IV,BB,2017-10-01,323.2042597
IV,BB,2018-01-01,322.3283602
IV,BB,2018-04-01,330.4296401
IV,BB,2018-07-01,334.7980912
IV,BB,2018-10-01,324.3171246
IV,BB,2019-01-01,326.3328151
IV,BB,2019-04-01,334.5157476
IV,BB,2019-07-01,337.7884167
IV,BB,2019-10-01,331.1219779
IV,BB,2020-01-01,331.0587688
IV,BB,2020-04-01,335.8567355
IV,BB,2020-07-01,338.3214143
IV,BB,2020-10-01,329.6881645
IV,BB,2021-01-01,327.3804355
IV,BB,2021-04-01,335.3189391
IV,BB,2021-07-01,340.8644224
IV,BB,2021-10-01,333.6710105
IV,BB,2022-01-01,335.56715
IV,BB,2022-04-01,338.6191765
IV,BB,2022-07-01,344.0981201
IV,BB,2022-10-01,340.4768948
IV,BB,2023-01-01,339.7069804
IV,BB,2023-04-01,342.5785932
IV,BB,2023-07-01,345.1017529
IV,BB,2023-10-01,338.7161012
IV,BB,2024-01-01,337.1432854
IV,BB,2024-04-01,342.0522205
IV,BB,2024-07-01,346.5973553
IV,BB,2024-10-01,340.4749666
IV,BB,2025-01-01,340.0627765
IV,BB,2025-04-01,343.8361803
IV,BB,2025-07-01,345.9008996
IV,BB,2025-10-01,343.1384816
IV,ED,1991-07-01,97.8395223
IV,ED,1991-10-01,97.1810086
IV,ED,1992-01-01,96.735239000000007
IV,ED,1992-04-01,97.4901078
IV,ED,1992-07-01,95.0639146
IV,ED,1992-10-01,91.9347714
IV,ED,1993-01-01,90.153558
IV,ED,1993-04-01,91.3033079
IV,ED,1993-07-01,91.266164
IV,ED,1993-10-01,90.8617749
IV,ED,1994-01-01,88.8924178
IV,ED,1994-04-01,89.9176691
IV,ED,1994-07-01,90.0731628
IV,ED,1994-10-01,90.1240472
IV,ED,1995-01-01,90.3546286
IV,ED,1995-04-01,88.7708142
IV,ED,1995-07-01,88.3601841
IV,ED,1995-10-01,87.6843519
IV,ED,1996-01-01,86.0229486
IV,ED,1996-04-01,85.2201901
IV,ED,1996-07-01,85.081135
IV,ED,1996-10-01,85.4783561
IV,ED,1997-01-01,85.2711923
IV,ED,1997-04-01,84.1954238
IV,ED,1997-07-01,85.9600625
IV,ED,1997-10-01,85.5870453
IV,ED,1998-01-01,84.7668589
IV,ED,1998-04-01,84.0700995
IV,ED,1998-07-01,84.7905633
IV,ED,1998-10-01,83.4046329
IV,ED,1999-01-01,81.9471017
IV,ED,1999-04-01,82.0067523
IV,ED,1999-07-01,82.5573766
IV,ED,1999-10-01,82.2601488
IV,ED,2000-01-01,82.312446
IV,ED,2000-04-01,82.4926583
IV,ED,2000-07-01,82.7538105
IV,ED,2000-10-01,81.8915421
IV,ED,2001-01-01,81.1159196
IV,ED,2001-04-01,81.4286516
IV,ED,2001-07-01,81.7760443
IV,ED,2001-10-01,81.739946
IV,ED,2002-01-01,81.3182524
IV,ED,2002-04-01,83.7601324
IV,ED,2002-07-01,84.7764679
IV,ED,2002-10-01,82.6009277
IV,ED,2003-01-01,81.4987721
IV,ED,2003-04-01,81.666079
IV,ED,2003-07-01,82.7501679
IV,ED,2003-10-01,82.1239722
IV,ED,2004-01-01,83.36431
IV,ED,2004-04-01,83.5187202
IV,ED,2004-07-01,84.208679
IV,ED,2004-10-01,83.7097814
IV,ED,2005-01-01,84.1691194
IV,ED,2005-04-01,84.8571085
IV,ED,2005-07-01,86.2698249
IV,ED,2005-10-01,86.4681332
IV,ED,2006-01-01,86.2775615
IV,ED,2006-04-01,86.9642243
IV,ED,2006-07-01,88.1716876
IV,ED,2006-10-01,88.6611112
IV,ED,2007-01-01,89.6915667
IV,ED,2007-04-01,89.4926535
IV,ED,2007-07-01,89.7423818
IV,ED,2007-10-01,89.922747
IV,ED,2008-01-01,90.0508093
IV,ED,2008-04-01,90.5946475
IV,ED,2008-07-01,91.3493517
IV,ED,2008-10-01,90.7829597
IV,ED,2009-01-01,90.5458524
IV,ED,2009-04-01,91.1156686
IV,ED,2009-07-01,91.3663865
IV,ED,2009-10-01,89.8241838
IV,ED,2010-01-01,90.4967673
IV,ED,2010-04-01,90.4762544
IV,ED,2010-07-01,91.0996639
IV,ED,2010-10-01,90.755029
IV,ED,2011-01-01,89.6170607
IV,ED,2011-04-01,90.7171238
IV,ED,2011-07-01,91.1669155
IV,ED,2011-10-01,92.141711
IV,ED,2012-01-01,92.6018418
IV,ED,2012-04-01,92.7459946
IV,ED,2012-07-01,92.8465326
IV,ED,2012-10-01,93.4186527
IV,ED,2013-01-01,93.2822814
IV,ED,2013-04-01,94.417995199999993
IV,ED,2013-07-01,93.1342925
IV,ED,2013-10-01,93.5721709
IV,ED,2014-01-01,92.5867231
IV,ED,2014-04-01,95.5747346
