D0,D1,date,value
A,A,1985-01-01,40969.11187161197
A,A,1985-04-01,44130.65466987154
A,A,1985-07-01,43077.532720958014
A,A,1985-10-01,48266.1
A,A,1986-01-01,51659.21519328092
A,A,1986-04-01,51951.21363858611
A,A,1986-07-01,49902.61437739649
A,A,1986-10-01,53806.1
A,A,1987-01-01,56354.650212427376
A,A,1987-04-01,55939.52922263756
A,A,1987-07-01,59045.2356707537
A,A,1987-10-01,46571.100000000006
A,A,1988-01-01,49335.13614939958
A,A,1988-04-01,51829.85965479411
A,A,1988-07-01,54415.559091827
A,A,1988-10-01,55480.1
A,A,1989-01-01,61362.735352688076
A,A,1989-04-01,69837.85826173381
A,A,1989-07-01,75331.92019343411
A,A,1989-10-01,71267.1
A,A,1990-01-01,66952.59112919675
A,A,1990-04-01,66126.11797125373
A,A,1990-07-01,54851.692591121755
A,A,1990-10-01,53872.09999999999
A,A,1991-01-01,60870.2321106014
A,A,1991-04-01,64716.6190478281
A,A,1991-07-01,68607.90829766823
A,A,1991-10-01,69991.1
A,A,1992-01-01,74088.71422669485
A,A,1992-04-01,79371.79324374688
A,A,1992-07-01,75265.634520486
A,A,1992-10-01,82141.1
A,A,1993-01-01,99724.29435676083
A,A,1993-04-01,108928.21927331155
A,A,1993-07-01,119578.15652753905
A,A,1993-10-01,131555.8999999999
A,A,1994-01-01,130667.59230461348
A,A,1994-04-01,130110.56524409409
A,A,1994-07-01,128256.71434673113
A,A,1994-10-01,132195
A,A,1995-01-01,131460.63646577392
A,A,1995-04-01,132073.2847890276
A,A,1995-07-01,136950.71140346123
A,A,1995-10-01,138685
A,A,1996-01-01,150367.28912846526
A,A,1996-04-01,161765.19121119316
A,A,1996-07-01,168773.1744589053
A,A,1996-10-01,187045.40000000002
A,A,1997-01-01,207421.46376656942
A,A,1997-04-01,226111.83380802206
A,A,1997-07-01,236326.07319917178
A,A,1997-10-01,240761.599999999
A,A,1998-01-01,245377.11996092487
A,A,1998-04-01,236660.36336477156
A,A,1998-07-01,204306.13442250958
A,A,1998-10-01,200659.78
A,A,1999-01-01,242285.1634661374
A,A,1999-04-01,267364.53282192675
A,A,1999-07-01,277429.1272414516
A,A,1999-10-01,302847.963999999
A,A,2000-01-01,336244.835
A,A,2000-04-01,325096.413
A,A,2000-07-01,327867.298
A,A,2000-10-01,308956.38
A,A,2001-01-01,291731.703
A,A,2001-04-01,310969.378
A,A,2001-07-01,243365.27
A,A,2001-10-01,273544.016
A,A,2002-01-01,270709.019
