D0,D1,D2,date,value
CHF,A,D0,1985-01-01,12158.856652093511
CHF,A,D0,1985-04-01,13246.60605842237
CHF,A,D0,1985-07-01,14373.211650583984
CHF,A,D0,1985-10-01,15158.8
CHF,A,D0,1986-01-01,16412.653947058054
CHF,A,D0,1986-04-01,17145.216493340275
CHF,A,D0,1986-07-01,17505.82923357531
CHF,A,D0,1986-10-01,17695.7
CHF,A,D0,1987-01-01,17610.885654561484
CHF,A,D0,1987-04-01,17689.912428947235
CHF,A,D0,1987-07-01,18041.216909030383
CHF,A,D0,1987-10-01,18785.3
CHF,A,D0,1988-01-01,19766.211625571035
CHF,A,D0,1988-04-01,20911.350382905213
CHF,A,D0,1988-07-01,21892.08411750137
CHF,A,D0,1988-10-01,22384.9
CHF,A,D0,1989-01-01,23504.949986134685
CHF,A,D0,1989-04-01,24131.965668015568
CHF,A,D0,1989-07-01,24609.840306913276
CHF,A,D0,1989-10-01,25349.100000000002
CHF,A,D0,1990-01-01,24683.338343167285
CHF,A,D0,1990-04-01,24484.09081555989
CHF,A,D0,1990-07-01,24500.92408813175
CHF,A,D0,1990-10-01,24512.4
CHF,A,D0,1991-01-01,24533.488350642816
CHF,A,D0,1991-04-01,24390.696459658015
CHF,A,D0,1991-07-01,24093.340401408717
CHF,A,D0,1991-10-01,23649.5
CHF,A,D0,1992-01-01,23774.81407248033
CHF,A,D0,1992-04-01,23833.798302831743
CHF,A,D0,1992-07-01,23881.410679475564
CHF,A,D0,1992-10-01,23977.100000000002
CHF,A,D0,1993-01-01,25595.154207511678
CHF,A,D0,1993-04-01,27301.011138219452
CHF,A,D0,1993-07-01,29027.08245586079
CHF,A,D0,1993-10-01,30693.4
CHF,A,D0,1994-01-01,31251.698804622887
CHF,A,D0,1994-04-01,31735.412270853656
CHF,A,D0,1994-07-01,32244.26574649442
CHF,A,D0,1994-10-01,32879
CHF,A,D0,1995-01-01,33625.64685618147
CHF,A,D0,1995-04-01,34488.60497459241
CHF,A,D0,1995-07-01,35356.30089494097
CHF,A,D0,1995-10-01,36114.3
CHF,A,D0,1996-01-01,35016.68844677436
CHF,A,D0,1996-04-01,33810.1309320391
CHF,A,D0,1996-07-01,32633.475578668764
CHF,A,D0,1996-10-01,31606.8
CHF,A,D0,1997-01-01,34093.19897786091
CHF,A,D0,1997-04-01,36810.31399021181
CHF,A,D0,1997-07-01,39691.82503470638
CHF,A,D0,1997-10-01,42693.7
CHF,A,D0,1998-01-01,12491.05081493098
CHF,A,D0,1998-04-01,12624.868219874876
CHF,A,D0,1998-07-01,12772.007674657527
CHF,A,D0,1998-10-01,12968.3
CHF,A,D0,1999-01-01,18022.47725465269
CHF,A,D0,1999-04-01,18720.82096771417
CHF,A,D0,1999-07-01,19558.776785273032
CHF,A,D0,1999-10-01,20489.80742872741
CHF,A,D0,2000-01-01,21872.13483598192
CHF,A,D0,2000-04-01,23908.33083908104
CHF,A,D0,2000-07-01,22964.70101118843
CHF,A,D0,2000-10-01,21289.33227862529
CHF,A,D0,2001-01-01,19158.16887484334
CHF,A,D0,2001-04-01,17100.39880481358
CHF,A,D0,2001-07-01,17287.3184312426
CHF,A,D0,2001-10-01,23304.44801707816
CHF,A,D0,2002-01-01,25532.20387135252
CHF,A,D0,2002-04-01,22354.98491003391
CHF,A,D0,2002-07-01,23668.52902132982
CHF,A,D0,2002-10-01,23399.51977943337
CHF,A,D0,2003-01-01,24878.69885640533
CHF,A,D0,2003-04-01,20789.39033527652
CHF,A,D0,2003-07-01,21977.87522802057
CHF,A,D0,2003-10-01,14118.34593670056
CHF,A,D0,2004-01-01,14195.83910628173
CHF,A,D0,2004-04-01,13285.33448678867
CHF,A,D0,2004-07-01,16393.62383234245
CHF,A,D0,2004-10-01,20012.20194004796
CHF,A,D0,2005-01-01,20326.66674868485
CHF,A,D0,2005-04-01,14078.9985221101
CHF,A,D0,2005-07-01,14064.39724001787
CHF,A,D0,2005-10-01,13605.0975259337
CHF,A,D0,2006-01-01,12981.1567893068
CHF,A,D0,2006-04-01,15260.01163186603
CHF,A,D0,2006-07-01,19390.7957141662
CHF,A,D0,2006-10-01,20037.76159484425
CHF,A,D0,2007-01-01,26236.66455330052
CHF,A,D0,2007-04-01,25688.54066306726
CHF,A,D0,2007-07-01,19594.59451997576
CHF,A,D0,2007-10-01,23442.5060865061
CHF,A,D0,2008-01-01,22205.98324674299
CHF,A,D0,2008-04-01,36908.7683118526
CHF,A,D0,2008-07-01,33150.4736920021
CHF,A,D0,2008-10-01,34287.7705457117
CHF,A,D0,2009-01-01,32925.8587545927
CHF,A,D0,2009-04-01,34733.7986052592
CHF,A,D0,2009-07-01,31289.7991569794
CHF,A,D0,2009-10-01,29565.0571318858
CHF,A,D0,2010-01-01,33039.309732642716
CHF,A,D0,2010-04-01,31339.416515260895
CHF,A,D0,2010-07-01,28930.056104946627
CHF,A,D0,2010-10-01,32582.6729995
CHF,A,D0,2011-01-01,33665.000667173954
CHF,A,D0,2011-04-01,29094.300369218945
CHF,A,D0,2011-07-01,25440.863835722917
CHF,A,D0,2011-10-01,28706.14927365073
CHF,A,D0,2012-01-01,26860.584877337427
CHF,A,D0,2012-04-01,28549.851275894456
CHF,A,D0,2012-07-01,29734.38965036567
CHF,A,D0,2012-10-01,28386.2064062064
CHF,A,D0,2013-01-01,31690.430830112637
CHF,A,D0,2013-04-01,30578.988485533275
CHF,A,D0,2013-07-01,31327.872073656807
CHF,A,D0,2013-10-01,32190.600080600077
CHF,A,D0,2014-01-01,28946.905716403457
CHF,A,D0,2014-04-01,29714.964568031253
CHF,A,D0,2014-07-01,31314.605249081284
CHF,A,D0,2014-10-01,67967.04801497876
CHF,A,D0,2015-01-01,58080.444121436245
CHF,A,D0,2015-04-01,56015.746984751575
CHF,A,D0,2015-07-01,52623.658163110944
CHF,A,D0,2015-10-01,54695.749425537884
CHF,A,D0,2016-01-01,57085.55504544118
CHF,A,D0,2016-04-01,57244.350844576045
CHF,A,D0,2016-07-01,57279.20582345029
CHF,A,D0,2016-10-01,60583.04619053775
CHF,A,D0,2017-01-01,84932.02898830562
CHF,A,D0,2017-04-01,62677.72787795206
CHF,A,D0,2017-07-01,61154.384992215426
CHF,A,D0,2017-10-01,64228.1233293334
CHF,A,D0,2018-01-01,58688.863799805
CHF,A,D0,2018-04-01,68661.22662667267
CHF,A,D0,2018-07-01,71665.30880083366
CHF,A,D0,2018-10-01,70836.7804197932
CHF,A,D0,2019-01-01,70768.57964613177
CHF,A,D0,2019-04-01,67179.40788227368
CHF,A,D0,2019-07-01,62119.811059169806
CHF,A,D0,2019-10-01,68781.34293451993
CHF,A,D0,2020-01-01,69555.49460201242
CHF,A,D0,2020-04-01,69534.92567390527
CHF,A,D0,2020-07-01,74297.07437955085
CHF,A,D0,2020-10-01,69667.69283537584
CHF,A,D0,2021-01-01,69778.4695265419
CHF,A,D0,2021-04-01,65474.41031068592
CHF,A,D0,2021-07-01,63609.79716184161
CHF,A,D0,2021-10-01,79498.82061940289
CHF,A,D0,2022-01-01,76797.97497555304
CHF,A,D0,2022-04-01,73732.49835793414
CHF,A,D0,2022-07-01,73446.84968356173
CHF,A,D0,2022-10-01,70247.62642850063
CHF,A,D0,2023-01-01,67235.3108881084
CHF,A,D0,2023-04-01,64706.876756980746
CHF,A,D0,2023-07-01,66654.2041389935
CHF,A,D0,2023-10-01,59541.04218036872
CHF,A,D0,2024-01-01,60706.86441648511
CHF,A,D0,2024-04-01,62942.08844553695
CHF,A,D0,2024-07-01,58901.728120672684
CHF,A,D0,2024-10-01,55588.41884048641
CHF,A,D0,2025-01-01,63060.45849656122
CHF,A,D0,2025-04-01,60116.40936943067
CHF,A,D0,2025-07-01,57504.70708565882
CHF,A,D0,2025-10-01,54549.626334138346
CHF,A,D0,2026-01-01,49420.95467120425
CHF,A,D1,2004-04-01,20187
CHF,A,D1,2004-07-01,19583
CHF,A,D1,2004-10-01,28184
CHF,A,D1,2005-01-01,23515.1
CHF,A,D1,2005-04-01,29716.8
CHF,A,D1,2005-07-01,29518.3
CHF,A,D1,2005-10-01,27721.8
CHF,A,D1,2006-01-01,30319.1
CHF,A,D1,2006-04-01,35030.9
CHF,A,D1,2006-07-01,32248.2
CHF,A,D1,2006-10-01,39313.6
CHF,A,D1,2007-01-01,39517.5
CHF,A,D1,2007-04-01,48010.9
CHF,A,D1,2007-07-01,63860.8
CHF,A,D1,2007-10-01,51431.5
CHF,A,D1,2008-01-01,79565.8
CHF,A,D1,2008-04-01,60501
CHF,A,D1,2008-07-01,74457.2
CHF,A,D1,2008-10-01,99950.3
CHF,A,D1,2009-01-01,72276.1
CHF,A,D1,2009-04-01,56217.4
CHF,A,D1,2009-07-01,64518.6
CHF,A,D1,2009-10-01,55740.90535695
CHF,A,D1,2010-01-01,58058.55557007
CHF,A,D1,2010-04-01,73629.10014181
CHF,A,D1,2010-07-01,75045.80085300001
CHF,A,D1,2010-10-01,67210.30868685
CHF,A,D1,2011-01-01,60853.95224823
CHF,A,D1,2011-04-01,63655.1160688
CHF,A,D1,2011-07-01,87568.7661823
CHF,A,D1,2011-10-01,71919.2
CHF,A,D1,2012-01-01,61733.966459
CHF,A,D1,2012-04-01,61108.3178806
CHF,A,D1,2012-07-01,61296.7390635
CHF,A,D1,2012-10-01,66794.6007485
CHF,A,D1,2013-01-01,58197.62779125
CHF,A,D1,2013-04-01,59277.2208822
CHF,A,D1,2013-07-01,51150.43677
CHF,A,D1,2013-10-01,51268.10618165
CHF,A,D1,2014-01-01,47698.909
CHF,A,D1,2014-04-01,44363.83675
CHF,A,D1,2014-07-01,63723.388078250005
CHF,A,D1,2014-10-01,61077.654633419086
CHF,A,D1,2015-01-01,70567.94341580603
CHF,A,D1,2015-04-01,48737.31556879701
CHF,A,D1,2015-07-01,52401.29601752406
CHF,A,D1,2015-10-01,43001.227380548706
CHF,A,D1,2016-01-01,47193.528131489926
CHF,A,D1,2016-04-01,53072.90154494462
CHF,A,D1,2016-07-01,36162.968463692436
CHF,A,D1,2016-10-01,38655.10312765053
CHF,A,D1,2017-01-01,27675.42778690951
CHF,A,D1,2017-04-01,30433.155006605368
CHF,A,D1,2017-07-01,29939.482960041612
CHF,A,D1,2017-10-01,28336.39433305935
CHF,A,D1,2018-01-01,25802.714923778105
CHF,A,D1,2018-04-01,29404.741124839144
CHF,A,D1,2018-07-01,28134.671016954107
CHF,A,D1,2018-10-01,28301.665535622556
CHF,A,D1,2019-01-01,25284.77032567423
CHF,A,D1,2019-04-01,30943.705832404172
CHF,A,D1,2019-07-01,36587.642186990386
CHF,A,D1,2019-10-01,33589.33119419697
CHF,A,D1,2020-01-01,63029.18711264069
CHF,A,D1,2020-04-01,38901.508968509115
CHF,A,D1,2020-07-01,35709.92004271291
CHF,A,D1,2020-10-01,39269.89204335843
CHF,A,D1,2021-01-01,41199.9173187363
CHF,A,D1,2021-04-01,31969.700820620164
CHF,A,D1,2021-07-01,33334.6175811725
CHF,A,D1,2021-10-01,32288.32530978972
CHF,A,D1,2022-01-01,42545.25222985326
CHF,A,D1,2022-04-01,54528.2097369778
CHF,A,D1,2022-07-01,72250.42984980647
CHF,A,D1,2022-10-01,51073.27355474762
CHF,A,D1,2023-01-01,36577.0140392391
CHF,A,D1,2023-04-01,37123.75484827111
CHF,A,D1,2023-07-01,40661.541111822306
CHF,A,D1,2023-10-01,41596.19643972786
CHF,A,D1,2024-01-01,34084.67178393401
CHF,A,D1,2024-04-01,31702.479503152485
CHF,A,D1,2024-07-01,35672.33035443814
CHF,A,D1,2024-10-01,55936.25462759148
CHF,A,D1,2025-01-01,35757.29122733819
CHF,A,D1,2025-04-01,48079.66670935006
CHF,A,D1,2025-07-01,35313.06808983176
CHF,A,D1,2025-10-01,38410.3611061854
CHF,A,D1,2026-01-01,49987.07901221631
CHF,A,P,1985-01-01,70961.47900340462
CHF,A,P,1985-04-01,77223.9352750221
CHF,A,P,1985-07-01,83750.66513974634
CHF,A,P,1985-10-01,92221.2999999999
CHF,A,P,1986-01-01,95118.92462086401
CHF,A,P,1986-04-01,97367.63319415937
CHF,A,P,1986-07-01,98975.39581508155
CHF,A,P,1986-10-01,101269.8
CHF,A,P,1987-01-01,102749.76414945761
CHF,A,P,1987-04-01,104213.51114436662
CHF,A,P,1987-07-01,108020.04808955212
CHF,A,P,1987-10-01,106820.09999999999
CHF,A,P,1988-01-01,108516.54495124001
CHF,A,P,1988-04-01,110883.7533046222
CHF,A,P,1988-07-01,113535.52766776022
CHF,A,P,1988-10-01,116413.7
CHF,A,P,1989-01-01,119655.19545656427
CHF,A,P,1989-04-01,122712.49417050651
CHF,A,P,1989-07-01,124463.04901026367
CHF,A,P,1989-10-01,123414.8
CHF,A,P,1990-01-01,116762.11628644659
CHF,A,P,1990-04-01,111509.21568028253
CHF,A,P,1990-07-01,101265.36347414448
CHF,A,P,1990-10-01,95895.1
CHF,A,P,1991-01-01,101281.7576154346
CHF,A,P,1991-04-01,105862.70859054942
CHF,A,P,1991-07-01,110005.48221878642
CHF,A,P,1991-10-01,113637.09999999999
CHF,A,P,1992-01-01,116420.02763251172
CHF,A,P,1992-04-01,117938.32272705372
CHF,A,P,1992-07-01,118267.24963822491
