D0,date,value
B,1999-10-01,553505.9239999999
B,2000-01-01,664756.7335
B,2000-04-01,592610.5416
B,2000-07-01,671401.8184
B,2000-10-01,693764.585168
B,2001-01-01,761895.785345
B,2001-04-01,744508.2794
B,2001-07-01,632884.6973
B,2001-10-01,669592.2654
B,2002-01-01,717071.913
B,2002-04-01,670141.9578
B,2002-07-01,640158.7754
B,2002-10-01,650683.4772
B,2003-01-01,639981.7255
B,2003-04-01,667355.7397
B,2003-07-01,642467.9455
B,2003-10-01,639071.843
B,2004-01-01,723313.051
B,2004-04-01,706245.345
B,2004-07-01,664881.8251
B,2004-10-01,643470.1782
B,2005-01-01,664322.2998
B,2005-04-01,766384.5734
B,2005-07-01,829405.812
B,2005-10-01,777668.1414
B,2006-01-01,891519.8977
B,2006-04-01,869359.218
B,2006-07-01,887945.248
B,2006-10-01,808352.867
B,2007-01-01,1069100.4365
B,2007-04-01,1029151.277
B,2007-07-01,979012.573
B,2007-10-01,1091756.873
B,2008-01-01,964044.7405
B,2008-04-01,806221.9925
B,2008-07-01,831393.702
B,2008-10-01,724260.05
B,2009-01-01,796179.2
B,2009-04-01,815758.1185
B,2009-07-01,729446.11
B,2009-10-01,707590.365
B,2010-01-01,717042.29
B,2010-04-01,708658.325
B,2010-07-01,656418.88
B,2010-10-01,644816.2785
B,2011-01-01,604823.52691
B,2011-04-01,584976.68996
B,2011-07-01,696365.032
B,2011-10-01,703777.9725
B,2012-01-01,687731.41
B,2012-04-01,747057.6275
B,2012-07-01,795143.43
B,2012-10-01,749838.815
B,2013-01-01,786937.025
B,2013-04-01,758116.795
B,2013-07-01,753220.52
B,2013-10-01,767723.6570779999
B,2014-01-01,740573.79310775
B,2014-04-01,726724.26671
B,2014-07-01,751476.67738
B,2014-10-01,751052.9255722499
B,2015-01-01,783849.113868
B,2015-04-01,758118.49046
B,2015-07-01,766799.56192475
B,2015-10-01,780960.6359847859
B,2016-01-01,720921.596238677
B,2016-04-01,755225.993715988
B,2016-07-01,764209.7780102749
B,2016-10-01,776441.7633339108
B,2017-01-01,752758.1599441391
B,2017-04-01,751510.4447776241
B,2017-07-01,739436.8992175829
B,2017-10-01,733710.450160888
B,2018-01-01,742802.3845494249
B,2018-04-01,733011.0547382393
B,2018-07-01,699286.2414405677
B,2018-10-01,709617.9876897554
B,2019-01-01,710216.6327723059
B,2019-04-01,685672.0712182514
B,2019-07-01,711006.3841713135
B,2019-10-01,715474.4422079341
B,2020-01-01,765505.156808587
B,2020-04-01,809889.2148016784
B,2020-07-01,828947.7406785276
B,2020-10-01,795750.0242863459
B,2021-01-01,847125.6710765389
B,2021-04-01,841265.8953360516
B,2021-07-01,842299.235469409
B,2021-10-01,836123.94141938
B,2022-01-01,864380.8872841346
B,2022-04-01,831207.2028399939
B,2022-07-01,802553.3808184699
B,2022-10-01,746845.1097851573
B,2023-01-01,671588.0211531076
B,2023-04-01,660208.7763735548
B,2023-07-01,671047.3363328545
B,2023-10-01,627688.7289705748
B,2024-01-01,690545.4965715946
B,2024-04-01,674949.239601248
B,2024-07-01,664268.17063706
B,2024-10-01,666847.856253238
B,2025-01-01,675441.6874605081
B,2025-04-01,633737.9240174282
B,2025-07-01,648890.149468665
B,2025-10-01,640918.2336617867
GDA,1999-10-01,14610.199999999995
GDA,2000-01-01,17749.674999999996
GDA,2000-04-01,22453.850000000042
GDA,2000-07-01,24138.42499999999
GDA,2000-10-01,25542.799999999952
GDA,2001-01-01,26634.024999999998
GDA,2001-04-01,29256.650000000045
GDA,2001-07-01,27577.97499999994
GDA,2001-10-01,22932.4
GDA,2002-01-01,23354.125000000015
GDA,2002-04-01,20475.950000000004
GDA,2002-07-01,23467.875
GDA,2002-10-01,28910.299999999985
GDA,2003-01-01,28988.42500000005
GDA,2003-04-01,31292.94999999998
GDA,2003-07-01,30334.97500000004
GDA,2003-10-01,37489.800000000054
GDA,2004-01-01,37512.72500000001
GDA,2004-04-01,37010.34999999998
GDA,2004-07-01,35512.57499999996
GDA,2004-10-01,40827.19999999998
GDA,2005-01-01,40243.87500000004
GDA,2005-04-01,40301.25000000006
GDA,2005-07-01,33263.52499999995
GDA,2005-10-01,46955.799999999974
GDA,2006-01-01,43603.51906769539
GDA,2006-04-01,42233.18246302223
GDA,2006-07-01,41201.532901301005
GDA,2006-10-01,69090.80000000003
GDA,2007-01-01,73073.82669039564
GDA,2007-04-01,84007.17686217563
GDA,2007-07-01,90430.70013177763
GDA,2007-10-01,90342.00000000007
GDA,2008-01-01,85279.99442050554
GDA,2008-04-01,91987.5033988116
GDA,2008-07-01,94202.4801305693
GDA,2008-10-01,88903.20000000006
GDA,2009-01-01,98059.30694510238
GDA,2009-04-01,103524.51465064372
GDA,2009-07-01,105643.82906520824
GDA,2009-10-01,109213.19999999998
GDA,2010-01-01,120509.84555953738
GDA,2010-04-01,123423.45405531241
GDA,2010-07-01,125731.48056318476
GDA,2010-10-01,126103.3
GDA,2011-01-01,130365.62814760346
GDA,2011-04-01,128161.46550260983
GDA,2011-07-01,121353.60880335099
GDA,2011-10-01,121888.8
GDA,2012-01-01,124523.62146198167
GDA,2012-04-01,124376.93624724877
GDA,2012-07-01,123903.32442488984
GDA,2012-10-01,130001.79999999997
GDA,2013-01-01,128334.21380132945
GDA,2013-04-01,132355.92156281607
GDA,2013-07-01,114940.15029420627
GDA,2013-10-01,114878.20000000001
GDA,2014-01-01,116703.64494275357
GDA,2014-04-01,122420.50194059392
GDA,2014-07-01,123524.02518678362
GDA,2014-10-01,229337.91220939957
GDA,2015-01-01,229017.14401424595
GDA,2015-04-01,232870.8717766099
GDA,2015-07-01,237768.1020476376
GDA,2015-10-01,245466.53978455937
GDA,2016-01-01,267437.34463827516
GDA,2016-04-01,258252.45183693056
GDA,2016-07-01,255986.0548104772
GDA,2016-10-01,268562.1292877882
GDA,2017-01-01,278262.5719264678
GDA,2017-04-01,274900.45843705477
GDA,2017-07-01,267186.417751569
GDA,2017-10-01,282288.3662924953
GDA,2018-01-01,287317.85592570767
GDA,2018-04-01,250302.6595617806
GDA,2018-07-01,241048.2716726148
GDA,2018-10-01,220323.95531683654
GDA,2019-01-01,227597.22466751083
GDA,2019-04-01,257780.35111317044
GDA,2019-07-01,253523.95409596805
GDA,2019-10-01,285869.8806599305
GDA,2020-01-01,280290.3912121959
GDA,2020-04-01,277133.7751658176
GDA,2020-07-01,275324.73575859395
GDA,2020-10-01,269281.3097720252
GDA,2021-01-01,296615.6167589403
GDA,2021-04-01,302902.9333987508
GDA,2021-07-01,310391.66501285974
GDA,2021-10-01,285153.4594698276
GDA,2022-01-01,308120.4404272413
GDA,2022-04-01,321858.42136760725
GDA,2022-07-01,316639.7734697968
GDA,2022-10-01,309460.35855233227
GDA,2023-01-01,308516.32797235064
GDA,2023-04-01,304713.7358446705
GDA,2023-07-01,304736.21106678585
GDA,2023-10-01,285855.08053714543
GDA,2024-01-01,296494.0461826446
GDA,2024-04-01,314436.3882836009
GDA,2024-07-01,307857.88155246293
GDA,2024-10-01,294323.23886233784
GDA,2025-01-01,301925.95996132534
GDA,2025-04-01,301979.9365973686
GDA,2025-07-01,301109.3323689311
GDA,2025-10-01,292766.4742500837
GSA,2014-10-01,103848.87806952161
GSA,2015-01-01,105207.22032167167
GSA,2015-04-01,103005.33265249836
GSA,2015-07-01,102525.3134956687
GSA,2015-10-01,109497.94505345038
GSA,2016-01-01,95604.7220490437
GSA,2016-04-01,96214.00447884179
GSA,2016-07-01,98365.32548436681
GSA,2016-10-01,105357.85859153954
GSA,2017-01-01,102732.97568999366
GSA,2017-04-01,127966.8769772167
GSA,2017-07-01,135550.01579869477
GSA,2017-10-01,161315.1594244882
GSA,2018-01-01,161858.4476521703
GSA,2018-04-01,162488.8265161345
GSA,2018-07-01,164718.87108455691
GSA,2018-10-01,154976.77714790346
GSA,2019-01-01,166516.82114575236
GSA,2019-04-01,169909.37341336466
GSA,2019-07-01,198117.3951062107
GSA,2019-10-01,214257.25716045048
GSA,2020-01-01,205561.60531803637
GSA,2020-04-01,192291.16335188792
GSA,2020-07-01,184348.7221021215
GSA,2020-10-01,169271.19964923587
GSA,2021-01-01,190932.24554963614
GSA,2021-04-01,199503.5434571857
GSA,2021-07-01,221787.3674600377
GSA,2021-10-01,221180.30349220772
GSA,2022-01-01,239639.0783121632
GSA,2022-04-01,248691.1833883035
GSA,2022-07-01,258881.03116803276
GSA,2022-10-01,242612.94782514873
GSA,2023-01-01,247001.498990227
GSA,2023-04-01,238586.05837851504
GSA,2023-07-01,236320.1977526351
GSA,2023-10-01,206861.43314047484
GSA,2024-01-01,215278.9455619543
GSA,2024-04-01,211253.65833902152
GSA,2024-07-01,209762.92238588317
GSA,2024-10-01,222056.7784828084
GSA,2025-01-01,218667.98707809323
GSA,2025-04-01,202844.1156577778
GSA,2025-07-01,202991.64489404636
GSA,2025-10-01,208091.21017708024
GTA,1999-10-01,10147.5667480118
GTA,2000-01-01,10996.700000000004
GTA,2000-04-01,10700.400000000005
GTA,2000-07-01,12624.500000000004
GTA,2000-10-01,12731.70000000001
GTA,2001-01-01,11437.500000000015
GTA,2001-04-01,12744.500000000002
GTA,2001-07-01,13749.299999999997
GTA,2001-10-01,14029.800000000001
GTA,2002-01-01,15124.049999999994
GTA,2002-04-01,14706.899999999994
GTA,2002-07-01,15641.449999999999
GTA,2002-10-01,16102.900000000001
GTA,2003-01-01,16978.925
GTA,2003-04-01,20318.25
