D0,D1,D2,date,value
A,B,D0,2004-04-01,22481
A,B,D0,2004-07-01,21708
A,B,D0,2004-10-01,31498
A,B,D0,2005-01-01,25705
A,B,D0,2005-04-01,33049
A,B,D0,2005-07-01,32208
A,B,D0,2005-10-01,30466
A,B,D0,2006-01-01,33387
A,B,D0,2006-04-01,37709
A,B,D0,2006-07-01,33946
A,B,D0,2006-10-01,42003
A,B,D0,2007-01-01,41868
A,B,D0,2007-04-01,51754
A,B,D0,2007-07-01,67977
A,B,D0,2007-10-01,56650
A,B,D0,2008-01-01,86551
A,B,D0,2008-04-01,65033
A,B,D0,2008-07-01,81168
A,B,D0,2008-10-01,106708
A,B,D0,2009-01-01,74126
A,B,D0,2009-04-01,58712
A,B,D0,2009-07-01,61002
A,B,D0,2009-10-01,53334
A,B,D0,2010-01-01,54337
A,B,D0,2010-04-01,74196
A,B,D0,2010-07-01,74331
A,B,D0,2010-10-01,65826
A,B,D0,2011-01-01,59661
A,B,D0,2011-04-01,54753
A,B,D0,2011-07-01,87393
A,B,D0,2011-10-01,71254
A,B,D0,2012-01-01,60462
A,B,D0,2012-04-01,60569
A,B,D0,2012-07-01,58928
A,B,D0,2012-10-01,63350
A,B,D0,2013-01-01,56291
A,B,D0,2013-04-01,59396
A,B,D0,2013-07-01,49280
A,B,D0,2013-10-01,50675
A,B,D0,2014-01-01,40861
A,B,D0,2014-04-01,38420
A,B,D0,2014-07-01,59473
A,B,D0,2014-10-01,68416
A,B,D0,2015-01-01,78015
A,B,D0,2015-04-01,52937
A,B,D0,2015-07-01,59033
A,B,D0,2015-10-01,46330.981117613
A,B,D0,2016-01-01,52040.219581708
A,B,D0,2016-04-01,58713.487370496
A,B,D0,2016-07-01,41795.397642666
A,B,D0,2016-10-01,44823.35126960607
A,B,D0,2017-01-01,27762.80060795253
A,B,D0,2017-04-01,30289.18578826785
A,B,D0,2017-07-01,30196.81438435143
A,B,D0,2017-10-01,28441.58568741
A,B,D0,2018-01-01,26389.20498675862
A,B,D0,2018-04-01,29801.325383182
A,B,D0,2018-07-01,28695.823863347
A,B,D0,2018-10-01,30614.38132734
A,B,D0,2019-01-01,25561.992756798
A,B,D0,2019-04-01,29571.990093522
A,B,D0,2019-07-01,36634.582267271
A,B,D0,2019-10-01,32996.629988136
A,B,D0,2020-01-01,65418.133387656
A,B,D0,2020-04-01,39326.237996666
A,B,D0,2020-07-01,36550.176037426
A,B,D0,2020-10-01,39724.52682323701
A,B,D0,2021-01-01,42908.630886781
A,B,D0,2021-04-01,32498.208862946
A,B,D0,2021-07-01,34147.019636454
A,B,D0,2021-10-01,32230.092728819
A,B,D0,2022-01-01,42902.802511241
A,B,D0,2022-04-01,56384.81260496501
A,B,D0,2022-07-01,76090.258026438
A,B,D0,2022-10-01,51601.907131373
A,B,D0,2023-01-01,37348.015711396
A,B,D0,2023-04-01,37203.616775106
A,B,D0,2023-07-01,41215.399118182
A,B,D0,2023-10-01,39251.28690705901
A,B,D0,2024-01-01,34300.892038437
A,B,D0,2024-04-01,32092.70911169401
A,B,D0,2024-07-01,35517.496260533
A,B,D0,2024-10-01,56509.36094337201
A,B,D0,2025-01-01,37398.95063848
A,B,D0,2025-04-01,48550.870631825
A,B,D0,2025-07-01,35927.678895976
A,B,D0,2025-10-01,38923.2507425336
A,B,D1,1985-01-01,0
A,B,D1,1985-04-01,0
A,B,D1,1985-07-01,0
A,B,D1,1985-10-01,0
A,B,D1,1986-01-01,2501.6850310464574
A,B,D1,1986-04-01,2574.5100927735343
A,B,D1,1986-07-01,2684.464324342841
A,B,D1,1986-10-01,2822.4
A,B,D1,1987-01-01,2935.3044445525916
A,B,D1,1987-04-01,2984.9351852349896
A,B,D1,1987-07-01,3056.169832007031
A,B,D1,1987-10-01,2994.4
A,B,D1,1988-01-01,2894.9853286764105
A,B,D1,1988-04-01,3028.063597894956
A,B,D1,1988-07-01,3281.024733599619
A,B,D1,1988-10-01,3722.7
A,B,D1,1989-01-01,4549.842560206707
A,B,D1,1989-04-01,5380.674916380693
A,B,D1,1989-07-01,6000.487309288093
A,B,D1,1989-10-01,6559.4
A,B,D1,1990-01-01,7401.550576765225
A,B,D1,1990-04-01,7126.285372222768
A,B,D1,1990-07-01,6727.96308708635
A,B,D1,1990-10-01,6500.1
A,B,D1,1991-01-01,7519.515561377886
A,B,D1,1991-04-01,8334.929695574043
A,B,D1,1991-07-01,9277.910868674906
A,B,D1,1991-10-01,10008.4
