D0,INLANDAUSLAND,WAEHRUNG,BANKENGRUPPE,date,value
APF,A,CHF,A40,1996-12-01,0
APF,A,CHF,A40,1997-01-01,0
APF,A,CHF,A40,1997-02-01,0
APF,A,CHF,A40,1997-03-01,0
APF,A,CHF,A40,1997-04-01,4
APF,A,CHF,A40,1997-05-01,5
APF,A,CHF,A40,1997-06-01,9
APF,A,CHF,A40,1997-07-01,0
APF,A,CHF,A40,1997-08-01,0
APF,A,CHF,A40,1997-09-01,0
APF,A,CHF,A40,1997-10-01,1
APF,A,CHF,A40,1997-11-01,1
APF,A,CHF,A40,1997-12-01,1
APF,A,CHF,A40,1998-01-01,1
APF,A,CHF,A40,1998-02-01,1
APF,A,CHF,A40,1998-03-01,1
APF,A,CHF,A40,1998-04-01,1
APF,A,CHF,A40,1998-05-01,1
APF,A,CHF,A40,1998-06-01,1
APF,A,CHF,A40,1998-07-01,0
APF,A,CHF,A40,1998-08-01,0
APF,A,CHF,A40,1998-09-01,1
APF,A,CHF,A40,1998-10-01,0
APF,A,CHF,A40,1998-11-01,1
APF,A,CHF,A40,1998-12-01,1
APF,A,CHF,A40,1999-01-01,0
APF,A,CHF,A40,1999-02-01,1
APF,A,CHF,A40,1999-03-01,0
APF,A,CHF,A40,1999-04-01,0
APF,A,CHF,A40,1999-05-01,1
APF,A,CHF,A40,1999-06-01,0
APF,A,CHF,A40,1999-07-01,0
APF,A,CHF,A40,1999-08-01,0
APF,A,CHF,A40,1999-09-01,0
APF,A,CHF,A40,1999-10-01,0
APF,A,CHF,A40,1999-11-01,0
APF,A,CHF,A40,1999-12-01,0
APF,A,CHF,A40,2000-01-01,0
APF,A,CHF,A40,2000-02-01,0
APF,A,CHF,A40,2000-03-01,0
APF,A,CHF,A40,2000-04-01,0
APF,A,CHF,A40,2000-05-01,0
APF,A,CHF,A40,2000-06-01,0
APF,A,CHF,A40,2000-07-01,0
APF,A,CHF,A40,2000-08-01,0
APF,A,CHF,A40,2000-09-01,0
APF,A,CHF,A40,2000-10-01,0
APF,A,CHF,A40,2000-11-01,0
APF,A,CHF,A40,2000-12-01,0
APF,A,CHF,A40,2001-01-01,0
APF,A,CHF,A40,2001-02-01,0
APF,A,CHF,A40,2001-03-01,0
APF,A,CHF,A40,2001-04-01,0
APF,A,CHF,A40,2001-05-01,0
APF,A,CHF,A40,2001-06-01,0
APF,A,CHF,A40,2001-07-01,0
APF,A,CHF,A40,2001-08-01,0
APF,A,CHF,A40,2001-09-01,0
APF,A,CHF,A40,2001-10-01,0
APF,A,CHF,A40,2001-11-01,0
APF,A,CHF,A40,2001-12-01,0
APF,A,CHF,A40,2002-01-01,0
APF,A,CHF,A40,2002-02-01,0
APF,A,CHF,A40,2002-03-01,0
APF,A,CHF,A40,2002-04-01,0
APF,A,CHF,A40,2002-05-01,0
APF,A,CHF,A40,2002-06-01,0
APF,A,CHF,A40,2002-07-01,0
APF,A,CHF,A40,2002-08-01,0
APF,A,CHF,A40,2002-09-01,0
APF,A,CHF,A40,2002-10-01,0
APF,A,CHF,A40,2002-11-01,0
APF,A,CHF,A40,2002-12-01,0
APF,A,CHF,A40,2003-01-01,0
APF,A,CHF,A40,2003-02-01,0
APF,A,CHF,A40,2003-03-01,0
APF,A,CHF,A40,2003-04-01,0
APF,A,CHF,A40,2003-05-01,0
APF,A,CHF,A40,2003-06-01,0
APF,A,CHF,A40,2003-07-01,0
APF,A,CHF,A40,2003-08-01,0
APF,A,CHF,A40,2003-09-01,0
APF,A,CHF,A40,2003-10-01,0
APF,A,CHF,A40,2003-11-01,0
APF,A,CHF,A40,2003-12-01,0
APF,A,CHF,A40,2004-01-01,0
APF,A,CHF,A40,2004-02-01,10
APF,A,CHF,A40,2004-03-01,0
