D0,D1,D2,D3,date,value
AV1,KC5A,G,F,2009-03-01,18595
AV1,KC5A,G,F,2009-04-01,18919
AV1,KC5A,G,F,2009-05-01,16999
AV1,KC5A,G,F,2009-06-01,17627
AV1,KC5A,G,F,2009-07-01,17530
AV1,KC5A,G,F,2009-08-01,18013
AV1,KC5A,G,F,2009-09-01,17955
AV1,KC5A,G,F,2009-10-01,16913
AV1,KC5A,G,F,2009-11-01,16938
AV1,KC5A,G,F,2009-12-01,16775
AV1,KC5A,G,F,2010-01-01,17470
AV1,KC5A,G,F,2010-02-01,17562
AV1,KC5A,G,F,2010-03-01,17038
AV1,KC5A,G,F,2010-04-01,17405
AV1,KC5A,G,F,2010-05-01,17975
AV1,KC5A,G,F,2010-06-01,18015
AV1,KC5A,G,F,2010-07-01,17831
AV1,KC5A,G,F,2010-08-01,17759
AV1,KC5A,G,F,2010-09-01,18685
AV1,KC5A,G,F,2010-10-01,19348
AV1,KC5A,G,F,2010-11-01,17583
AV1,KC5A,G,F,2010-12-01,19890
AV1,KC5A,G,F,2011-01-01,17984
AV1,KC5A,G,F,2011-02-01,18179
AV1,KC5A,G,F,2011-03-01,18513
AV1,KC5A,G,F,2011-04-01,18850
AV1,KC5A,G,F,2011-05-01,18490
AV1,KC5A,G,F,2011-06-01,19612
AV1,KC5A,G,F,2011-07-01,18666
AV1,KC5A,G,F,2011-08-01,17653
AV1,KC5A,G,F,2011-09-01,18340
AV1,KC5A,G,F,2011-10-01,17707
AV1,KC5A,G,F,2011-11-01,18278
AV1,KC5A,G,F,2011-12-01,17842
AV1,KC5A,G,F,2012-01-01,17743
AV1,KC5A,G,F,2012-02-01,18609
AV1,KC5A,G,F,2012-03-01,17844
AV1,KC5A,G,F,2012-04-01,17963
AV1,KC5A,G,F,2012-05-01,17938
AV1,KC5A,G,F,2012-06-01,17756
AV1,KC5A,G,F,2012-07-01,18191
AV1,KC5A,G,F,2012-08-01,18454
AV1,KC5A,G,F,2012-09-01,18509
AV1,KC5A,G,F,2012-10-01,18259
AV1,KC5A,G,F,2012-11-01,17758
AV1,KC5A,G,F,2012-12-01,18365
AV1,KC5A,G,F,2013-01-01,17191
AV1,KC5A,G,F,2013-02-01,17963
AV1,KC5A,G,F,2013-03-01,17847
AV1,KC5A,G,F,2013-04-01,17866
AV1,KC5A,G,F,2013-05-01,17521
AV1,KC5A,G,F,2013-06-01,16906
AV1,KC5A,G,F,2013-07-01,16572
AV1,KC5A,G,F,2013-08-01,16671
AV1,KC5A,G,F,2013-09-01,16637
AV1,KC5A,G,F,2013-10-01,16521
AV1,KC5A,G,F,2013-11-01,17375
AV1,KC5A,G,F,2013-12-01,18301
AV1,KC5A,G,F,2014-01-01,17176
AV1,KC5A,G,F,2014-02-01,18218
AV1,KC5A,G,F,2014-03-01,18463
AV1,KC5A,G,F,2014-04-01,19294
AV1,KC5A,G,F,2014-05-01,19477
AV1,KC5A,G,F,2014-06-01,19429
AV1,KC5A,G,F,2014-07-01,19708
AV1,KC5A,G,F,2014-08-01,20894
AV1,KC5A,G,F,2014-09-01,21869
AV1,KC5A,G,F,2014-10-01,18467
AV1,KC5A,G,F,2014-11-01,18864
AV1,KC5A,G,F,2014-12-01,19276
AV1,KC5A,G,F,2015-01-01,19876
AV1,KC5A,G,F,2015-02-01,18621
AV1,KC5A,G,F,2015-03-01,19326
AV1,KC5A,G,F,2015-04-01,17654
AV1,KC5A,G,F,2015-05-01,20533
AV1,KC5A,G,F,2015-06-01,18479
AV1,KC5A,G,F,2015-07-01,18443
AV1,KC5A,G,F,2015-08-01,18856
AV1,KC5A,G,F,2015-09-01,19061
AV1,KC5A,G,F,2015-10-01,18006
AV1,KC5A,G,F,2015-11-01,17598
AV1,KC5A,G,F,2015-12-01,17501
AV1,KC5A,G,F,2016-01-01,17814
AV1,KC5A,G,F,2016-02-01,18007
AV1,KC5A,G,F,2016-03-01,18082
AV1,KC5A,G,F,2016-04-01,18487
AV1,KC5A,G,F,2016-05-01,18335
AV1,KC5A,G,F,2016-06-01,18180
AV1,KC5A,G,F,2016-07-01,18047
AV1,KC5A,G,F,2016-08-01,17869
AV1,KC5A,G,F,2016-09-01,19169
