D0,D1,D2,D3,date,value
AV1,A,G,F,2009-03-01,80511
AV1,A,G,F,2009-04-01,82035
AV1,A,G,F,2009-05-01,79383
AV1,A,G,F,2009-06-01,80038
AV1,A,G,F,2009-07-01,80842
AV1,A,G,F,2009-08-01,81546
AV1,A,G,F,2009-09-01,81296
AV1,A,G,F,2009-10-01,80950
AV1,A,G,F,2009-11-01,81619
AV1,A,G,F,2009-12-01,79396
AV1,A,G,F,2010-01-01,81694
AV1,A,G,F,2010-02-01,81986
AV1,A,G,F,2010-03-01,82810
AV1,A,G,F,2010-04-01,85998
AV1,A,G,F,2010-05-01,90269
AV1,A,G,F,2010-06-01,86682
AV1,A,G,F,2010-07-01,86083
AV1,A,G,F,2010-08-01,84184
AV1,A,G,F,2010-09-01,85159
AV1,A,G,F,2010-10-01,87310
AV1,A,G,F,2010-11-01,89647
AV1,A,G,F,2010-12-01,85240
AV1,A,G,F,2011-01-01,85090
AV1,A,G,F,2011-02-01,84537
AV1,A,G,F,2011-03-01,86212
AV1,A,G,F,2011-04-01,83678
AV1,A,G,F,2011-05-01,80851
AV1,A,G,F,2011-06-01,81675
AV1,A,G,F,2011-07-01,76642
AV1,A,G,F,2011-08-01,77224
AV1,A,G,F,2011-09-01,83978
AV1,A,G,F,2011-10-01,81532
AV1,A,G,F,2011-11-01,86242
AV1,A,G,F,2011-12-01,84966
AV1,A,G,F,2012-01-01,82796
AV1,A,G,F,2012-02-01,81108
AV1,A,G,F,2012-03-01,83452
AV1,A,G,F,2012-04-01,84530
AV1,A,G,F,2012-05-01,87331
AV1,A,G,F,2012-06-01,87717
AV1,A,G,F,2012-07-01,91343
AV1,A,G,F,2012-08-01,88995
AV1,A,G,F,2012-09-01,88873
AV1,A,G,F,2012-10-01,89662
AV1,A,G,F,2012-11-01,90839
AV1,A,G,F,2012-12-01,90761
AV1,A,G,F,2013-01-01,91757
AV1,A,G,F,2013-02-01,92981
AV1,A,G,F,2013-03-01,96431
AV1,A,G,F,2013-04-01,94388
AV1,A,G,F,2013-05-01,97284
AV1,A,G,F,2013-06-01,97640
AV1,A,G,F,2013-07-01,95999
AV1,A,G,F,2013-08-01,97260
AV1,A,G,F,2013-09-01,96111
AV1,A,G,F,2013-10-01,97336
AV1,A,G,F,2013-11-01,97807
AV1,A,G,F,2013-12-01,103090
AV1,A,G,F,2014-01-01,104193
