D0,D1,date,value
NA,A,1985-01-01,737.6325
NA,A,1985-04-01,867.1999
NA,A,1985-07-01,944.4209000000001
NA,A,1985-10-01,952.7468
NA,A,1986-01-01,897.2911
NA,A,1986-04-01,878.7337
NA,A,1986-07-01,933.2666000000002
NA,A,1986-10-01,1077.7088
NA,A,1987-01-01,1189.6395
NA,A,1987-04-01,1071.1611
NA,A,1987-07-01,693.3063
NA,A,1987-10-01,36.8929
NA,A,1988-01-01,-799.1456
NA,A,1988-04-01,-1344.8761
NA,A,1988-07-01,-1501.3652
NA,A,1988-10-01,-1268.6132
NA,A,1989-01-01,-738.9961
NA,A,1989-04-01,-351.3003
NA,A,1989-07-01,-197.9021
NA,A,1989-10-01,-278.8016
NA,A,1990-01-01,-514.7376
NA,A,1990-04-01,-529.2213
NA,A,1990-07-01,-242.99189999999996
NA,A,1990-10-01,343.9509
NA,A,1991-01-01,1137.0264
NA,A,1991-04-01,1686.9783
NA,A,1991-07-01,1899.2259
NA,A,1991-10-01,1773.7695
NA,A,1992-01-01,1450.5191
NA,A,1992-04-01,1594.0473
NA,A,1992-07-01,2344.2641
NA,A,1992-10-01,3701.1696999999995
NA,A,1993-01-01,5442.3233
NA,A,1993-04-01,6511.1317
NA,A,1993-07-01,6685.1543
NA,A,1993-10-01,5964.3907
NA,A,1994-01-01,4520.6845
NA,A,1994-04-01,3170.291
NA,A,1994-07-01,2085.0532
NA,A,1994-10-01,1264.9714
NA,A,1995-01-01,747.0079
NA,A,1995-04-01,706.7343
NA,A,1995-07-01,1181.1132
NA,A,1995-10-01,2170.1445
NA,A,1996-01-01,3524.011
NA,A,1996-04-01,4531.0801
NA,A,1996-07-01,5041.5346
NA,A,1996-10-01,5055.3745
NA,A,1997-01-01,4612.6612
NA,A,1997-04-01,3903.6868999999997
NA,A,1997-07-01,2968.5129
NA,A,1997-10-01,1807.1391
NA,A,1998-01-01,437.5975562446837
NA,A,1998-04-01,122.02471940071383
NA,A,1998-07-01,504.6898196439784
NA,A,1998-10-01,1529.243163842919
NA,A,1999-01-01,3136.8904678450845
NA,A,1999-04-01,4511.795315258029
NA,A,1999-07-01,5437.4345208047125
NA,A,1999-10-01,5903.7901682318725
NA,A,2000-01-01,6722.029397187887
NA,A,2000-04-01,5648.775210081358
NA,A,2000-07-01,636.781068515352
NA,A,2000-10-01,16146.257956397576
NA,A,2001-01-01,13601.557487456968
NA,A,2001-04-01,1572.7178277470434
NA,A,2001-07-01,6912.053272009527
NA,A,2001-10-01,-1359.720381816957
NA,A,2002-01-01,-3326.0409223105967
NA,A,2002-04-01,6196.04553743494
NA,A,2002-07-01,-2411.9627838227652
NA,A,2002-10-01,426.5839575242746
NA,A,2003-01-01,4806.640557498701
NA,A,2003-04-01,-1247.1498650996812
NA,A,2003-07-01,-7205.791343025097
NA,A,2003-10-01,647.1490814638687
NA,A,2004-01-01,-1039.694845720016
NA,A,2004-04-01,4638.810868124861
NA,A,2004-07-01,-294.7990396119555
NA,A,2004-10-01,-4781.413802590537
NA,A,2005-01-01,439.0093905041794
NA,A,2005-04-01,-2617.5465258042627
NA,A,2005-07-01,-3137.475740713744
NA,A,2005-10-01,-1378.614600969768
NA,A,2006-01-01,-4591.053570906674
NA,A,2006-04-01,291.8523571949216
NA,A,2006-07-01,-3047.11824410473
NA,A,2006-10-01,-2956.463042009787
NA,A,2007-01-01,535.030616398015
NA,A,2007-04-01,166.4119992169347
NA,A,2007-07-01,2612.5644573674986
NA,A,2007-10-01,-2705.3417009429504
NA,A,2008-01-01,11955.6
NA,A,2008-04-01,4900.1
NA,A,2008-07-01,-4303.6
NA,A,2008-10-01,6768.8
NA,A,2009-01-01,1966.5
NA,A,2009-04-01,3792.8
