D0,D1,date,value
A,A,1983-01-01,959
A,A,1983-04-01,961
A,A,1983-07-01,963
A,A,1983-10-01,959
A,A,1984-01-01,967.2
A,A,1984-04-01,984.2
A,A,1984-07-01,999.2
A,A,1984-10-01,1002.2
A,A,1985-01-01,1073.5
A,A,1985-04-01,1099.5
A,A,1985-07-01,1135.5
A,A,1985-10-01,1142.5
A,A,1986-01-01,1185.2
A,A,1986-04-01,1217.8
A,A,1986-07-01,1256.5
A,A,1986-10-01,1276.3
A,A,1987-01-01,1315.2
A,A,1987-04-01,1358.3
A,A,1987-07-01,1400.9
A,A,1987-10-01,1428.8
A,A,1988-01-01,1495.3
A,A,1988-04-01,1555.4
A,A,1988-07-01,1614.1
A,A,1988-10-01,1655.6
A,A,1989-01-01,1746.1
A,A,1989-04-01,1815.1
A,A,1989-07-01,1875.5
A,A,1989-10-01,1920.9
A,A,1990-01-01,1975.29876098
A,A,1990-04-01,2106.48381245
A,A,1990-07-01,2170.31401311
A,A,1990-10-01,2191.18989461
A,A,1991-01-01,2270.11455309
A,A,1991-04-01,2377.43482498
A,A,1991-07-01,2374.35634824
A,A,1991-10-01,2311.18478288
A,A,1992-01-01,2357.62591055
A,A,1992-04-01,2341.76953007
A,A,1992-07-01,2316.91993006
A,A,1992-10-01,2272.5797581
A,A,1993-01-01,2293.0500674
A,A,1993-04-01,2268.94452418
A,A,1993-07-01,2252.86303085
A,A,1993-10-01,2220.30591321
A,A,1994-01-01,2212.27392615
A,A,1994-04-01,2207.38363166
A,A,1994-07-01,2204.1352006
A,A,1994-10-01,2189.5277804
A,A,1995-01-01,2473.40764423
A,A,1995-04-01,2471.9395584700005
A,A,1995-07-01,2474.75983733
A,A,1995-10-01,2481.86655367
A,A,1996-01-01,2493.25829176
A,A,1996-04-01,2493.61062652
A,A,1996-07-01,2482.9263773
A,A,1996-10-01,2461.2121639
A,A,1997-01-01,2428.47852659
A,A,1997-04-01,2403.98614275
A,A,1997-07-01,2387.73816272
A,A,1997-10-01,2379.7262970099996
A,A,1998-01-01,2379.9306754199997
A,A,1998-04-01,2379.04220348
A,A,1998-07-01,2377.04015014
A,A,1998-10-01,2373.91448679
A,A,1999-01-01,2369.6657112
A,A,1999-04-01,2381.14700436
A,A,1999-07-01,2408.36380642
A,A,1999-10-01,2451.3160561
A,A,2000-01-01,2509.99818094
A,A,2000-04-01,2575.49716164
A,A,2000-07-01,2647.80999893
A,A,2000-10-01,2726.9418161699996
A,A,2001-01-01,2812.90592672
A,A,2001-04-01,2889.787475
A,A,2001-07-01,2957.60301699
A,A,2001-10-01,3016.36421911
A,A,2002-01-01,3066.07804238
A,A,2002-04-01,3094.50323977
A,A,2002-07-01,3101.64086871
A,A,2002-10-01,3087.49069379
A,A,2003-01-01,3119.8714462999997
A,A,2003-04-01,3135.52133856
A,A,2003-07-01,3163.0223743499996
A,A,2003-10-01,3202.54403013
A,A,2004-01-01,3254.1250079999995
A,A,2004-04-01,3292.5019219
A,A,2004-07-01,3317.59508567
A,A,2004-10-01,3329.33588289
A,A,2005-01-01,3327.66600358
A,A,2005-04-01,3346.30166471
A,A,2005-07-01,3385.21293023
A,A,2005-10-01,3444.38825172
A,A,2006-01-01,3523.83434866
A,A,2006-04-01,3608.18679549
A,A,2006-07-01,3697.4485452299996
A,A,2006-10-01,3791.60046613
A,A,2007-01-01,3890.6011205699997
A,A,2007-04-01,3981.67536551
A,A,2007-07-01,4064.78113419
A,A,2007-10-01,4139.89801802
A,A,2008-01-01,4207.02700815
A,A,2008-04-01,4263.535422569999
A,A,2008-07-01,4309.4204613
A,A,2008-10-01,4344.65410877
A,A,2009-01-01,4369.182825909999
A,A,2009-04-01,4411.738076099999
A,A,2009-07-01,4472.281539070001
A,A,2009-10-01,4550.815811869999
A,A,2010-01-01,4647.38445282
A,A,2010-04-01,4753.635418169999
A,A,2010-07-01,4869.63021167
A,A,2010-10-01,4995.40751457
A,A,2011-01-01,5130.983618650001
A,A,2011-04-01,5230.517126799999
A,A,2011-07-01,5293.996197660001
A,A,2011-10-01,5321.402926049999
A,A,2012-01-01,5506.14251891
A,A,2012-04-01,5522.58093602
A,A,2012-07-01,5566.31031559
A,A,2012-10-01,5637.44782044
A,A,2013-01-01,5736.1694588
A,A,2013-04-01,5826.06212809
A,A,2013-07-01,5907.17602528
A,A,2013-10-01,5979.37054003
A,A,2014-01-01,6054.71922378
A,A,2014-04-01,6112.60841249
A,A,2014-07-01,6158.17591232
A,A,2014-10-01,6191.33259107
A,A,2015-01-01,6212.09282418
A,A,2015-04-01,6236.25607143
A,A,2015-07-01,6263.9700746
A,A,2015-10-01,6295.4571432
A,A,2016-01-01,6331.1363055
A,A,2016-04-01,6374.96137268
A,A,2016-07-01,6427.23836151
A,A,2016-10-01,6487.97000437
A,A,2017-01-01,6556.86938855
A,A,2017-04-01,6610.84878116
A,A,2017-07-01,6649.57340128
A,A,2017-10-01,6673.06544686
A,A,2018-01-01,6681.6132058
A,A,2018-04-01,6719.521357
A,A,2018-07-01,6787.13667927
A,A,2018-10-01,6884.64455417
A,A,2019-01-01,7012.15674785
A,A,2019-04-01,7081.19073646
A,A,2019-07-01,7091.58964348
A,A,2019-10-01,7043.00137823
A,A,2020-01-01,6934.70406236
A,A,2020-04-01,6890.4700757
A,A,2020-07-01,6909.5800645
A,A,2020-10-01,6991.76903078
A,A,2021-01-01,7136.98713894
A,A,2021-04-01,7284.85525446
A,A,2021-07-01,7435.34917081
A,A,2021-10-01,7588.41470848
A,A,2022-01-01,7744.18315431
A,A,2022-04-01,7888.32980269
A,A,2022-07-01,8021.00634907
A,A,2022-10-01,8142.30935925
A,A,2023-01-01,8252.31773124
A,A,2023-04-01,8365.62501565
A,A,2023-07-01,8482.22030285
A,A,2023-10-01,8602.20325564
A,A,2024-01-01,8725.22391528
A,A,2024-04-01,8814.96871199
A,A,2024-07-01,8871.02697827
A,A,2024-10-01,8893.41771127
A,A,2025-01-01,8826.15932911
A,A,2025-04-01,8851.39318221
A,A,2025-07-01,8860.49929939
A,A,2025-10-01,8857.86737977
A,A,2026-01-01,8848.97979761
A,E,1983-01-01,0
A,E,1983-04-01,0
A,E,1983-07-01,0
A,E,1983-10-01,0
A,E,1984-01-01,0
A,E,1984-04-01,0
A,E,1984-07-01,0
A,E,1984-10-01,0
A,E,1985-01-01,0
A,E,1985-04-01,0
A,E,1985-07-01,0
A,E,1985-10-01,0
A,E,1986-01-01,0
A,E,1986-04-01,0
A,E,1986-07-01,0
A,E,1986-10-01,0
A,E,1987-01-01,0
A,E,1987-04-01,0
A,E,1987-07-01,0
A,E,1987-10-01,0
A,E,1988-01-01,0
A,E,1988-04-01,0
A,E,1988-07-01,0
A,E,1988-10-01,0
A,E,1989-01-01,0
A,E,1989-04-01,0
A,E,1989-07-01,0
A,E,1989-10-01,0
A,E,1990-01-01,244.29281304000003
A,E,1990-04-01,245.99690413
A,E,1990-07-01,251.09183253
A,E,1990-10-01,259.57830213
A,E,1991-01-01,271.45748536
A,E,1991-04-01,280.27019372
A,E,1991-07-01,286.01764416
A,E,1991-10-01,288.70062956
A,E,1992-01-01,344.88082506
A,E,1992-04-01,345.42397036000006
A,E,1992-07-01,347.90613092000007
A,E,1992-10-01,350.77659485
A,E,1993-01-01,370.71705417
A,E,1993-04-01,374.3072016
A,E,1993-07-01,378.83567026
A,E,1993-10-01,382.29951935
A,E,1994-01-01,401.60450548
A,E,1994-04-01,405.89427821
A,E,1994-07-01,412.77530493
A,E,1994-10-01,419.78775452
A,E,1995-01-01,426.64409258
A,E,1995-04-01,431.00104692
A,E,1995-07-01,433.05353026
A,E,1995-10-01,430.35677297999996
A,E,1996-01-01,432.90144202
A,E,1996-04-01,428.58514882
A,E,1996-07-01,428.06244144999994
A,E,1996-10-01,428.62198180999997
A,E,1997-01-01,440.28816035
A,E,1997-04-01,442.22940114999994
A,E,1997-07-01,445.187786
A,E,1997-10-01,446.18619392
A,E,1998-01-01,445.61576123
A,E,1998-04-01,446.95002539000006
A,E,1998-07-01,451.17763428
A,E,1998-10-01,455.32035132
A,E,1999-01-01,459.13905353
A,E,1999-04-01,462.35715762
A,E,1999-07-01,465.32182557
A,E,1999-10-01,465.07067570000004
A,E,2000-01-01,461.26174194
A,E,2000-04-01,466.09700942999996
A,E,2000-07-01,479.81663401
A,E,2000-10-01,499.47854583000003
A,E,2001-01-01,558.87112548
A,E,2001-04-01,573.70490103
A,E,2001-07-01,578.95749159
A,E,2001-10-01,570.76851693
A,E,2002-01-01,559.48015204
A,E,2002-04-01,549.09776476
A,E,2002-07-01,554.61600475
A,E,2002-10-01,564.41652996
A,E,2003-01-01,579.45070169
A,E,2003-04-01,593.6894747
A,E,2003-07-01,602.5760574
A,E,2003-10-01,606.36818007
A,E,2004-01-01,609.21652758
A,E,2004-04-01,607.35018463
A,E,2004-07-01,607.53925328
A,E,2004-10-01,608.14245896
A,E,2005-01-01,609.76322143
A,E,2005-04-01,613.01720293
A,E,2005-07-01,618.6117584
A,E,2005-10-01,625.5699403
A,E,2006-01-01,654.67069555
A,E,2006-04-01,657.74428986
A,E,2006-07-01,655.0737649299999
A,E,2006-10-01,647.33677314
A,E,2007-01-01,615.1320372600001
A,E,2007-04-01,610.7285456100001
A,E,2007-07-01,615.92415152
A,E,2007-10-01,630.93034578
A,E,2008-01-01,650.79313754
A,E,2008-04-01,669.87873904
A,E,2008-07-01,684.8326736
A,E,2008-10-01,695.49239343
A,E,2009-01-01,704.23724043
A,E,2009-04-01,709.87535233
A,E,2009-07-01,716.49194768
A,E,2009-10-01,723.31128369
A,E,2010-01-01,733.00755244
A,E,2010-04-01,733.04477123
A,E,2010-07-01,727.5967580100001
A,E,2010-10-01,716.78464623
A,E,2011-01-01,693.90229461
A,E,2011-04-01,679.1764139300001
A,E,2011-07-01,668.8020891300001
A,E,2011-10-01,663.1622631800001
A,E,2012-01-01,617.83392606
A,E,2012-04-01,616.51007048
A,E,2012-07-01,617.54322972
A,E,2012-10-01,619.27344668
A,E,2013-01-01,625.71578752
A,E,2013-04-01,627.54788638
A,E,2013-07-01,625.1563253
A,E,2013-10-01,618.19084345
A,E,2014-01-01,611.0855983
A,E,2014-04-01,610.44910758
A,E,2014-07-01,615.7090606
A,E,2014-10-01,628.50576513
A,E,2015-01-01,641.81525657
A,E,2015-04-01,659.14759286
A,E,2015-07-01,670.3349888
A,E,2015-10-01,675.21836165
A,E,2016-01-01,678.51404661
A,E,2016-04-01,682.65480142
A,E,2016-07-01,688.85391142
A,E,2016-10-01,698.68118311
A,E,2017-01-01,713.28747352
A,E,2017-04-01,722.41802667
A,E,2017-07-01,724.17902611
A,E,2017-10-01,719.27012589
A,E,2018-01-01,709.42272778
A,E,2018-04-01,704.51622984
A,E,2018-07-01,701.13801537
A,E,2018-10-01,698.86663725
A,E,2019-01-01,706.39195567
A,E,2019-04-01,711.51194617
A,E,2019-07-01,719.31595303
A,E,2019-10-01,729.55046508
A,E,2020-01-01,726.02564761
A,E,2020-04-01,724.47304338
A,E,2020-07-01,734.31519488
A,E,2020-10-01,730.22459596
A,E,2021-01-01,724.65456877
A,E,2021-04-01,728.90353476
A,E,2021-07-01,735.26132107
A,E,2021-10-01,748.09307222
A,E,2022-01-01,776.79690182
A,E,2022-04-01,792.3489787
A,E,2022-07-01,800.16538334
A,E,2022-10-01,800.00665742
A,E,2023-01-01,784.83203834
A,E,2023-04-01,781.80037416
A,E,2023-07-01,782.60087664
A,E,2023-10-01,785.85316497
A,E,2024-01-01,795.66245937
A,E,2024-04-01,800.06336287
A,E,2024-07-01,802.22622133
A,E,2024-10-01,802.29940521
A,E,2025-01-01,801.50747394
A,E,2025-04-01,803.42778508
A,E,2025-07-01,803.74585687
A,E,2025-10-01,803.20764747
A,E,2026-01-01,802.64963572
A,S,1983-01-01,-959
A,S,1983-04-01,-961
A,S,1983-07-01,-963
A,S,1983-10-01,-959
A,S,1984-01-01,-967.2
A,S,1984-04-01,-984.2
A,S,1984-07-01,-999.2
A,S,1984-10-01,-1002.2
A,S,1985-01-01,-1073.5
A,S,1985-04-01,-1099.5
A,S,1985-07-01,-1135.5
A,S,1985-10-01,-1142.5
A,S,1986-01-01,-1185.2
A,S,1986-04-01,-1217.8
A,S,1986-07-01,-1256.5
A,S,1986-10-01,-1276.3
A,S,1987-01-01,-1315.2
A,S,1987-04-01,-1358.3
A,S,1987-07-01,-1400.9
A,S,1987-10-01,-1428.8
A,S,1988-01-01,-1495.3
A,S,1988-04-01,-1555.4
A,S,1988-07-01,-1614.1
A,S,1988-10-01,-1655.6
A,S,1989-01-01,-1746.1
A,S,1989-04-01,-1815.1
A,S,1989-07-01,-1875.5
A,S,1989-10-01,-1920.9
A,S,1990-01-01,-1731.00594794
A,S,1990-04-01,-1860.48690832
A,S,1990-07-01,-1919.22218058
A,S,1990-10-01,-1931.61159248
A,S,1991-01-01,-1998.65706773
A,S,1991-04-01,-2097.16463126
A,S,1991-07-01,-2088.33870408
A,S,1991-10-01,-2022.48415332
A,S,1992-01-01,-2012.74508549
A,S,1992-04-01,-1996.3455597099999
A,S,1992-07-01,-1969.0137991399995
A,S,1992-10-01,-1921.8031632500004
A,S,1993-01-01,-1922.33301323
A,S,1993-04-01,-1894.6373225799996
A,S,1993-07-01,-1874.02736059
A,S,1993-10-01,-1838.00639386
A,S,1994-01-01,-1810.66942067
A,S,1994-04-01,-1801.48935345
A,S,1994-07-01,-1791.35989567
A,S,1994-10-01,-1769.74002588
A,S,1995-01-01,-2046.76355165
A,S,1995-04-01,-2040.9385115500006
A,S,1995-07-01,-2041.7063070699994
A,S,1995-10-01,-2051.50978069
A,S,1996-01-01,-2060.35684974
A,S,1996-04-01,-2065.0254777
A,S,1996-07-01,-2054.86393585
A,S,1996-10-01,-2032.59018209
A,S,1997-01-01,-1988.19036624
A,S,1997-04-01,-1961.7567416
A,S,1997-07-01,-1942.5503767200005
A,S,1997-10-01,-1933.5401030899993
A,S,1998-01-01,-1934.3149141899994
A,S,1998-04-01,-1932.0921780900003
A,S,1998-07-01,-1925.86251586
A,S,1998-10-01,-1918.59413547
A,S,1999-01-01,-1910.52665767
A,S,1999-04-01,-1918.78984674
A,S,1999-07-01,-1943.04198085
A,S,1999-10-01,-1986.2453804
A,S,2000-01-01,-2048.736439
A,S,2000-04-01,-2109.4001522099998
A,S,2000-07-01,-2167.99336492
A,S,2000-10-01,-2227.46327034
A,S,2001-01-01,-2254.03480124
A,S,2001-04-01,-2316.08257397
A,S,2001-07-01,-2378.6455254
A,S,2001-10-01,-2445.59570218
A,S,2002-01-01,-2506.59789034
A,S,2002-04-01,-2545.40547501
A,S,2002-07-01,-2547.0248639600004
A,S,2002-10-01,-2523.07416383
A,S,2003-01-01,-2540.42074461
A,S,2003-04-01,-2541.83186386
A,S,2003-07-01,-2560.4463169499995
A,S,2003-10-01,-2596.17585006
A,S,2004-01-01,-2644.90848042
A,S,2004-04-01,-2685.15173727
A,S,2004-07-01,-2710.05583239
A,S,2004-10-01,-2721.19342393
A,S,2005-01-01,-2717.90278215
A,S,2005-04-01,-2733.28446178
A,S,2005-07-01,-2766.6011718300006
A,S,2005-10-01,-2818.81831142
A,S,2006-01-01,-2869.1636531100003
A,S,2006-04-01,-2950.44250563
A,S,2006-07-01,-3042.3747802999997
A,S,2006-10-01,-3144.26369299
A,S,2007-01-01,-3275.46908331
A,S,2007-04-01,-3370.9468199
A,S,2007-07-01,-3448.85698267
A,S,2007-10-01,-3508.9676722399995
A,S,2008-01-01,-3556.23387061
A,S,2008-04-01,-3593.65668353
A,S,2008-07-01,-3624.5877877
A,S,2008-10-01,-3649.16171534
A,S,2009-01-01,-3664.945585479999
A,S,2009-04-01,-3701.862723769999
A,S,2009-07-01,-3755.789591390001
A,S,2009-10-01,-3827.504528179999
A,S,2010-01-01,-3914.376900379999
A,S,2010-04-01,-4020.590646939999
A,S,2010-07-01,-4142.03345366
A,S,2010-10-01,-4278.62286834
A,S,2011-01-01,-4437.081324040001
A,S,2011-04-01,-4551.340712869999
A,S,2011-07-01,-4625.19410853
A,S,2011-10-01,-4658.240662869999
A,S,2012-01-01,-4888.30859285
A,S,2012-04-01,-4906.07086554
A,S,2012-07-01,-4948.76708587
A,S,2012-10-01,-5018.17437376
A,S,2013-01-01,-5110.45367128
A,S,2013-04-01,-5198.51424171
A,S,2013-07-01,-5282.01969998
A,S,2013-10-01,-5361.17969658
A,S,2014-01-01,-5443.63362548
A,S,2014-04-01,-5502.15930491
A,S,2014-07-01,-5542.46685172
A,S,2014-10-01,-5562.82682594
A,S,2015-01-01,-5570.27756761
A,S,2015-04-01,-5577.10847857
A,S,2015-07-01,-5593.6350858
A,S,2015-10-01,-5620.23878155
A,S,2016-01-01,-5652.62225889
A,S,2016-04-01,-5692.30657126
A,S,2016-07-01,-5738.38445009
A,S,2016-10-01,-5789.28882126
A,S,2017-01-01,-5843.58191503
A,S,2017-04-01,-5888.43075449
A,S,2017-07-01,-5925.39437517
A,S,2017-10-01,-5953.79532097
A,S,2018-01-01,-5972.19047802
A,S,2018-04-01,-6015.00512716
A,S,2018-07-01,-6085.9986639
A,S,2018-10-01,-6185.77791692
A,S,2019-01-01,-6305.76479218
A,S,2019-04-01,-6369.67879029
A,S,2019-07-01,-6372.27369045
A,S,2019-10-01,-6313.45091315
A,S,2020-01-01,-6208.67841475
A,S,2020-04-01,-6165.99703232
A,S,2020-07-01,-6175.26486962
A,S,2020-10-01,-6261.54443482
A,S,2021-01-01,-6412.33257017
A,S,2021-04-01,-6555.9517197
A,S,2021-07-01,-6700.08784974
A,S,2021-10-01,-6840.32163626
A,S,2022-01-01,-6967.38625249
A,S,2022-04-01,-7095.98082399
A,S,2022-07-01,-7220.84096573
A,S,2022-10-01,-7342.30270183
A,S,2023-01-01,-7467.4856929
A,S,2023-04-01,-7583.82464149
A,S,2023-07-01,-7699.61942621
A,S,2023-10-01,-7816.35009067
A,S,2024-01-01,-7929.56145591
A,S,2024-04-01,-8014.90534912
A,S,2024-07-01,-8068.80075694
A,S,2024-10-01,-8091.11830606
A,S,2025-01-01,-8024.65185517
A,S,2025-04-01,-8047.96539713
A,S,2025-07-01,-8056.75344252
A,S,2025-10-01,-8054.6597323
A,S,2026-01-01,-8046.3301618900005
D,A,1983-01-01,150.3
