D0,date,value
A0,1985-01-01,33426.62767306575
A0,1985-04-01,33988.08857077033
A0,1985-07-01,32601.908434733527
A0,1985-10-01,34791.83836612458
A0,1986-01-01,33184.55014943439
A0,1986-04-01,35908.30288423228
A0,1986-07-01,32547.23791181103
A0,1986-10-01,34708.73460989692
A0,1987-01-01,31555.47895461906
A0,1987-04-01,33839.84901765629
A0,1987-07-01,31661.7710987483
A0,1987-10-01,35465.89612495142
A0,1988-01-01,33355.18640344398
A0,1988-04-01,34417.72575112366
A0,1988-07-01,36509.96929438484
A0,1988-10-01,39123.30887778277
A0,1989-01-01,38885.74987422349
A0,1989-04-01,44184.43618268532
A0,1989-07-01,42613.42972707841
A0,1989-10-01,43830.68074688263
A0,1990-01-01,44107.06304488502
A0,1990-04-01,47288.75243195656
A0,1990-07-01,41537.71657009964
A0,1990-10-01,43071.6663188959
A0,1991-01-01,42734.73088241341
A0,1991-04-01,44333.59108481126
A0,1991-07-01,41674.06558063722
A0,1991-10-01,42203.12261915401
A0,1992-01-01,44208.72284610865
A0,1992-04-01,46198.61761152252
A0,1992-07-01,42555.326946696034
A0,1992-10-01,43268.54836196412
A0,1993-01-01,43326.53530162569
A0,1993-04-01,44471.8673149624
A0,1993-07-01,41240.87569027106
A0,1993-10-01,42680.17976189927
A0,1994-01-01,41647.20654035471
A0,1994-04-01,44741.99703074668
A0,1994-07-01,42116.47284881999
A0,1994-10-01,45423.1278613586
A0,1995-01-01,46008.65472810998
A0,1995-04-01,46528.69881014729
A0,1995-07-01,44065.0629086171
A0,1995-10-01,44916.83316101146
A0,1996-01-01,47265.079579898025
A0,1996-04-01,47899.02897774287
A0,1996-07-01,46350.97037069188
A0,1996-10-01,49492.73011762631
A0,1997-01-01,53208.47026262224
A0,1997-04-01,56412.01507135164
A0,1997-07-01,54438.78054608787
A0,1997-10-01,55228.59334715054
A0,1998-01-01,59955.63118067739
A0,1998-04-01,62738.43434868714
A0,1998-07-01,57340.441583890024
A0,1998-10-01,62380.08316325291
A0,1999-01-01,60627.1182698817
A0,1999-04-01,62648.31785349963
A0,1999-07-01,62337.91507486389
A0,1999-10-01,69020.35188576239
A0,2000-01-01,73732.89053898062
A0,2000-04-01,75278.3514849362
A0,2000-07-01,76145.62207856115
A0,2000-10-01,85313.814195196
A0,2001-01-01,80958.109167197
A0,2001-04-01,84255.89891528424
A0,2001-07-01,76054.02241111668
A0,2001-10-01,76319.5168701677
A0,2002-01-01,72929.13960932495
A0,2002-04-01,76509.08119922326
A0,2002-07-01,67904.30194690925
A0,2002-10-01,69051.1168276839
A0,2003-01-01,69393.9896617841
A0,2003-04-01,71853.49230143258
A0,2003-07-01,72675.70166586313
A0,2003-10-01,72992.0522477632
A0,2004-01-01,74025.4295398317
A0,2004-04-01,76731.63562506366
A0,2004-07-01,76250.90362159842
A0,2004-10-01,80333.39749353625
A0,2005-01-01,83206.39899863597
A0,2005-04-01,89524.12923235616
A0,2005-07-01,99344.1386552202
A0,2005-10-01,101869.9172306702
A0,2006-01-01,94856.4426582406
A0,2006-04-01,99954.59381625107
A0,2006-07-01,100487.37570438154
A0,2006-10-01,114408.24316639
A0,2007-01-01,111631.11494243296
A0,2007-04-01,126291.67630006665
A0,2007-07-01,124538.85099172808
A0,2007-10-01,131671.57090475538
A0,2008-01-01,123023.65649110489
A0,2008-04-01,123844.59884562177
