D0,D1,D2,date,value
A0,B,A,2012-01-01,12.867812614428706
A0,B,A,2012-04-01,16.50892941573091
A0,B,A,2012-07-01,13.560196124759853
A0,B,A,2012-10-01,20.438998814232324
A0,B,A,2013-01-01,18.127127119004797
A0,B,A,2013-04-01,17.543054239989335
A0,B,A,2013-07-01,12.169347979685247
A0,B,A,2013-10-01,16.279523236862936
A0,B,A,2014-01-01,11.289205705716563
A0,B,A,2014-04-01,15.259147559520466
A0,B,A,2014-07-01,15.078710813122964
A0,B,A,2014-10-01,23.554484944369808
A0,B,A,2015-01-01,16.28455481261777
A0,B,A,2015-04-01,16.2619921485852
A0,B,A,2015-07-01,9.3169936148803
A0,B,A,2015-10-01,13.469480373661202
A0,B,A,2016-01-01,11.496864457021339
A0,B,A,2016-04-01,10.75810243082385
A0,B,A,2016-07-01,17.430613953944473
A0,B,A,2016-10-01,16.839220929604338
A0,B,A,2017-01-01,14.271915629509461
A0,B,A,2017-04-01,14.29175759846835
A0,B,A,2017-07-01,12.78054432330133
A0,B,A,2017-10-01,11.421330412697762
A0,B,A,2018-01-01,11.93938346363649
A0,B,A,2018-04-01,13.816657593148943
A0,B,A,2018-07-01,9.87468071982619
A0,B,A,2018-10-01,10.64492918505592
A0,B,A,2019-01-01,10.020853344673016
A0,B,A,2019-04-01,9.76395463071076
A0,B,A,2019-07-01,7.777473558411008
A0,B,A,2019-10-01,8.060749260242922
A0,B,A,2020-01-01,10.20946939695999
A0,B,A,2020-04-01,8.397205351553668
A0,B,A,2020-07-01,6.505654063891411
A0,B,A,2020-10-01,9.323253099846493
A0,B,A,2021-01-01,10.524129448792737
A0,B,A,2021-04-01,8.359842842012307
A0,B,A,2021-07-01,5.22475449235988
A0,B,A,2021-10-01,9.306103563078345
A0,B,A,2022-01-01,9.248287852270838
A0,B,A,2022-04-01,8.904757484804678
A0,B,A,2022-07-01,7.37317913521702
A0,B,A,2022-10-01,15.335262929926584
A0,B,A,2023-01-01,21.254914972373037
A0,B,A,2023-04-01,9.993936375317125
A0,B,A,2023-07-01,10.313864427510847
A0,B,A,2023-10-01,2.5994282697761277
A0,B,A,2024-01-01,51.80315311915496
A0,B,A,2024-04-01,10.283728328473
A0,B,A,2024-07-01,8.596007268202
A0,B,A,2024-10-01,11.581692470774
A0,B,A,2025-01-01,10.331959294222
A0,B,A,2025-04-01,10.777931545015
A0,B,A,2025-07-01,10.917378068283
A0,B,A,2025-10-01,15.7563022072062
A0,B,E,2012-01-01,12.189561002779794
A0,B,E,2012-04-01,9.610269023161482
A0,B,E,2012-07-01,12.970760810703778
A0,B,E,2012-10-01,8.517419821823692
A0,B,E,2013-01-01,13.693128806336404
A0,B,E,2013-04-01,11.80054985457535
A0,B,E,2013-07-01,6.959898212360254
A0,B,E,2013-10-01,10.048742621196878
A0,B,E,2014-01-01,3.9673068612154707
A0,B,E,2014-04-01,6.527445543658208
A0,B,E,2014-07-01,8.509774020116438
A0,B,E,2014-10-01,7.794705389465275
A0,B,E,2015-01-01,4.851627090465406
A0,B,E,2015-04-01,4.802846509146482
A0,B,E,2015-07-01,4.705940341252207
A0,B,E,2015-10-01,5.683300480802478
A0,B,E,2016-01-01,3.4389395443069657
A0,B,E,2016-04-01,3.5111250506297766
A0,B,E,2016-07-01,5.828233511873436
A0,B,E,2016-10-01,4.037103178385218
A0,B,E,2017-01-01,12.613076161874954
A0,B,E,2017-04-01,11.260729335812513
A0,B,E,2017-07-01,7.960295229831994
A0,B,E,2017-10-01,6.814821693922033
A0,B,E,2018-01-01,6.885153655209652
A0,B,E,2018-04-01,8.3881222930414
A0,B,E,2018-07-01,7.559453380642647
A0,B,E,2018-10-01,10.99077296173193
A0,B,E,2019-01-01,8.729163812874791
A0,B,E,2019-04-01,3.313632800559743
A0,B,E,2019-07-01,3.647568596473483
A0,B,E,2019-10-01,4.751508229151756
A0,B,E,2020-01-01,2.882596496253001
A0,B,E,2020-04-01,2.8742845320603783
A0,B,E,2020-07-01,2.139676492338582
A0,B,E,2020-10-01,2.181123281026011
A0,B,E,2021-01-01,3.031896477156153
A0,B,E,2021-04-01,3.652520994455787
A0,B,E,2021-07-01,3.16967285
A0,B,E,2021-10-01,4.049688972733391
A0,B,E,2022-01-01,1.979385257711913
A0,B,E,2022-04-01,23.58851573376593
A0,B,E,2022-07-01,2.764915946392985
A0,B,E,2022-10-01,21.317619447572113
A0,B,E,2023-01-01,2.187709907949219
A0,B,E,2023-04-01,3.2410356988427735
A0,B,E,2023-07-01,3.2185299120359665
A0,B,E,2023-10-01,3.260820250398084
A0,B,E,2024-01-01,4.0537393426660095
A0,B,E,2024-04-01,3.76793182253
A0,B,E,2024-07-01,2.521534553946
A0,B,E,2024-10-01,2.78066681
A0,B,E,2025-01-01,3.13661172
A0,B,E,2025-04-01,2.74564502
A0,B,E,2025-07-01,2.18683588
A0,B,E,2025-10-01,2.93083197
A0,B,S,2012-01-01,-0.6782516116489083
A0,B,S,2012-04-01,-6.89866039256943
A0,B,S,2012-07-01,-0.5894353140560732
A0,B,S,2012-10-01,-11.921578992408646
A0,B,S,2013-01-01,-4.433998312668398
A0,B,S,2013-04-01,-5.742504385413991
A0,B,S,2013-07-01,-5.209449767324991
A0,B,S,2013-10-01,-6.230780615666065
A0,B,S,2014-01-01,-7.321898844501097
A0,B,S,2014-04-01,-8.731702015862256
A0,B,S,2014-07-01,-6.568936793006524
A0,B,S,2014-10-01,-15.759779554904537
A0,B,S,2015-01-01,-11.432927722152355
A0,B,S,2015-04-01,-11.459145639438715
A0,B,S,2015-07-01,-4.611053273628092
A0,B,S,2015-10-01,-7.786179892858728
A0,B,S,2016-01-01,-8.057924912714373
A0,B,S,2016-04-01,-7.2469773801940764
A0,B,S,2016-07-01,-11.602380442071041
A0,B,S,2016-10-01,-12.802117751219114
A0,B,S,2017-01-01,-1.6588394676345142
