D0,date,value
B,2000-08-02,1179.34
B,2000-08-03,1176.01
B,2000-08-04,1177.49
B,2000-08-07,1210.56
B,2000-08-08,1242.32
B,2000-08-09,1246.4
B,2000-08-10,1240.33
B,2000-08-11,1251.52
B,2000-08-14,1248.62
B,2000-08-15,1247.36
B,2000-08-16,1259.47
B,2000-08-17,1261.15
B,2000-08-18,1272.04
B,2000-08-21,1270.91
B,2000-08-22,1260.15
B,2000-08-23,1255.6
B,2000-08-24,1241.98
B,2000-08-25,1237.12
B,2000-08-28,1238.04
B,2000-08-29,1229.19
B,2000-08-30,1226.09
B,2000-08-31,1233.17
B,2000-09-01,1246.6
B,2000-09-04,1249.31
B,2000-09-05,1247.77
B,2000-09-06,1245.42
B,2000-09-07,1241.74
B,2000-09-08,1243.12
B,2000-09-11,1247.13
B,2000-09-12,1248.45
B,2000-09-13,1234.44
B,2000-09-14,1239.52
B,2000-09-15,1245.25
B,2000-09-18,1232.35
B,2000-09-19,1215.06
B,2000-09-20,1199.77
B,2000-09-21,1200.57
B,2000-09-22,1196.1
B,2000-09-25,1216.91
B,2000-09-26,1217.96
B,2000-09-27,1211.44
B,2000-09-28,1184.95
B,2000-09-29,1150.51
B,2000-10-02,1182.99
B,2000-10-03,1210.62
B,2000-10-04,1208.57
B,2000-10-05,1215.61
B,2000-10-06,1208.26
B,2000-10-09,1162.48
B,2000-10-10,1155.97
B,2000-10-11,1091.65
B,2000-10-12,1097.17
B,2000-10-13,1103.58
B,2000-10-16,1109.86
B,2000-10-17,1122.55
B,2000-10-18,1109.49
B,2000-10-19,1133.11
B,2000-10-20,1140.61
B,2000-10-23,1166.07
B,2000-10-24,1182.86
B,2000-10-25,1169.66
B,2000-10-26,1201.84
B,2000-10-27,1209.03
B,2000-10-30,1218.02
B,2000-10-31,1242.23
B,2000-11-01,1238.67
B,2000-11-02,1259.36
B,2000-11-03,1255.78
B,2000-11-06,1259.82
B,2000-11-07,1273.15
B,2000-11-08,1250.09
B,2000-11-09,1235.57
B,2000-11-10,1226.27
B,2000-11-13,1210.12
B,2000-11-14,1244.98
B,2000-11-15,1257.57
B,2000-11-16,1267.59
B,2000-11-17,1278.95
B,2000-11-20,1262.11
B,2000-11-21,1268.01
B,2000-11-22,1224.22
B,2000-11-23,1218.96
B,2000-11-24,1223.19
B,2000-11-27,1237.92
B,2000-11-28,1230.4
B,2000-11-29,1215.35
B,2000-11-30,1193.15
B,2000-12-01,1198.28
B,2000-12-04,1203.98
B,2000-12-05,1232.97
B,2000-12-06,1267.02
B,2000-12-07,1259.23
B,2000-12-08,1270.99
B,2000-12-11,1288.45
B,2000-12-12,1290.6
B,2000-12-13,1290.73
B,2000-12-14,1262.84
B,2000-12-15,1251.41
B,2000-12-18,1251.41
B,2000-12-19,1288.68
B,2000-12-20,1276.21
B,2000-12-21,1273.77
B,2000-12-22,1276.84
B,2000-12-25,1276.84
B,2000-12-26,1276.84
B,2000-12-27,1283.28
B,2000-12-28,1295
B,2000-12-29,1297.89
B,2001-01-01,1297.89
B,2001-01-02,1297.89
B,2001-01-03,1274.44
B,2001-01-04,1348.3
B,2001-01-05,1350.65
B,2001-01-08,1364.96
B,2001-01-09,1364.96
B,2001-01-10,1321.89
B,2001-01-11,1325.76
B,2001-01-12,1333.78
B,2001-01-15,1322.89
B,2001-01-16,1322.99
B,2001-01-17,1350.1
B,2001-01-18,1366.79
B,2001-01-19,1370.41
B,2001-01-22,1373.66
B,2001-01-23,1372
B,2001-01-24,1375.35
B,2001-01-25,1380.04
B,2001-01-26,1373.08
B,2001-01-29,1383.18
B,2001-01-30,1389.97
B,2001-01-31,1397.39
B,2001-02-01,1365.61
B,2001-02-02,1383.44
B,2001-02-05,1393.9
B,2001-02-06,1397.24
B,2001-02-07,1392.87
B,2001-02-08,1371.52
B,2001-02-09,1365.38
