D0,date,value
A,1993-01-01,661
A,1993-02-01,437
A,1993-03-01,584
A,1993-04-01,494
A,1993-05-01,414
A,1993-06-01,415
A,1993-07-01,464
A,1993-08-01,351
A,1993-09-01,628
A,1993-10-01,668
A,1993-11-01,373
A,1993-12-01,344
A,1994-01-01,385
A,1994-02-01,264
A,1994-03-01,253
A,1994-04-01,140
A,1994-05-01,173
A,1994-06-01,128
A,1994-07-01,98
A,1994-08-01,104
A,1994-09-01,117
A,1994-10-01,120
A,1994-11-01,150
A,1994-12-01,149
A,1995-01-01,119.9
A,1995-02-01,140.5
A,1995-03-01,184.2
A,1995-04-01,174.8
A,1995-05-01,179.4
A,1995-06-01,379.3
A,1995-07-01,196.6
A,1995-08-01,984.3
A,1995-09-01,341.9
A,1995-10-01,461.6
A,1995-11-01,505.2
A,1995-12-01,301.3
A,1996-01-01,324.9
A,1996-02-01,284.9
A,1996-03-01,345.3
A,1996-04-01,221.9
A,1996-05-01,337.4
A,1996-06-01,481.1
A,1996-07-01,286.4
A,1996-08-01,194.1
A,1996-09-01,484.5
A,1996-10-01,227.6
A,1996-11-01,237.5
A,1996-12-01,207.2
A,1997-01-01,174.2
A,1997-02-01,270.1
A,1997-03-01,237.2
A,1997-04-01,303.5
A,1997-05-01,238.2
A,1997-06-01,303.9
A,1997-07-01,310.1
A,1997-08-01,204.5
A,1997-09-01,292.2
A,1997-10-01,190.8
A,1997-11-01,200.8
A,1997-12-01,217.4
A,1998-01-01,330.4
A,1998-02-01,398.2
A,1998-03-01,482
A,1998-04-01,286.9
A,1998-05-01,316.8
A,1998-06-01,215.9
A,1998-07-01,192.5
A,1998-08-01,189.7
A,1998-09-01,130.7
A,1998-10-01,170
A,1998-11-01,227.5
A,1998-12-01,257.9
A,1999-01-01,308
A,1999-02-01,251.7
A,1999-03-01,252.1
A,1999-04-01,228.2
A,1999-05-01,262.4
A,1999-06-01,166.3
A,1999-07-01,164.3
A,1999-08-01,179.8
A,1999-09-01,195
A,1999-10-01,158.2
A,1999-11-01,346.8
A,1999-12-01,255.7
A,2000-01-01,306.6
A,2000-02-01,258.7
A,2000-03-01,313.8
A,2000-04-01,249.2
A,2000-05-01,379.5
A,2000-06-01,215.7
A,2000-07-01,157.6
A,2000-08-01,213.2
A,2000-09-01,191.1
A,2000-10-01,150.9
A,2000-11-01,181.9
A,2000-12-01,162.1
A,2001-01-01,206.9
A,2001-02-01,151.5
A,2001-03-01,176.4
A,2001-04-01,223
A,2001-05-01,168.9
A,2001-06-01,258.1
A,2001-07-01,268.2
A,2001-08-01,388.1
A,2001-09-01,334.5
A,2001-10-01,277
A,2001-11-01,418.8
A,2001-12-01,508.2
A,2002-01-01,447.1
A,2002-02-01,360.7
A,2002-03-01,711
A,2002-04-01,425.3
A,2002-05-01,573.6
A,2002-06-01,683
A,2002-07-01,574.6
A,2002-08-01,608.1
A,2002-09-01,628.1
A,2002-10-01,679.4
A,2002-11-01,632.6
A,2002-12-01,620
A,2003-01-01,772.1
A,2003-02-01,848.1
A,2003-03-01,1050.8
A,2003-04-01,643.2
A,2003-05-01,717.6
A,2003-06-01,671.3
A,2003-07-01,610.7
A,2003-08-01,513.1
A,2003-09-01,587.6
A,2003-10-01,701.5
A,2003-11-01,431.1
A,2003-12-01,599.1
A,2004-01-01,860.8
A,2004-02-01,823.7
A,2004-03-01,992.3
A,2004-04-01,1015.4
A,2004-05-01,723.2
A,2004-06-01,589.6
A,2004-07-01,595
A,2004-08-01,551
A,2004-09-01,808.5
A,2004-10-01,709.3
A,2004-11-01,602.7
A,2004-12-01,770.1
A,2005-01-01,1093.1
A,2005-02-01,1091.8
A,2005-03-01,1223.7
A,2005-04-01,815.2
A,2005-05-01,762
A,2005-06-01,911.7
A,2005-07-01,1034.1
A,2005-08-01,819.2
A,2005-09-01,791.4
A,2005-10-01,775.2
A,2005-11-01,2019
A,2005-12-01,1773
A,2006-01-01,1806.1
A,2006-02-01,1561.5
A,2006-03-01,2101.9
A,2006-04-01,1415.2
A,2006-05-01,2166.7
A,2006-06-01,1800.4
A,2006-07-01,1677.8999999999999
A,2006-08-01,1149.3
A,2006-09-01,1682.7
A,2006-10-01,2267.7
A,2006-11-01,2315.2
A,2006-12-01,2259.4
A,2007-01-01,3117
A,2007-02-01,2806.9
A,2007-03-01,3315.1000000000004
A,2007-04-01,1831.6
A,2007-05-01,2519.1
A,2007-06-01,2485.3
A,2007-07-01,2948.9
A,2007-08-01,2598.5
A,2007-09-01,2085.7
A,2007-10-01,2944.6
A,2007-11-01,3284.8999999999996
A,2007-12-01,2517.3
A,2008-01-01,4015.2999999999997
A,2008-02-01,2639
A,2008-03-01,2980.2999999999997
A,2008-04-01,2684.9
A,2008-05-01,2261.4
A,2008-06-01,3376.8999999999996
A,2008-07-01,2870.6
A,2008-08-01,2216.8
A,2008-09-01,4214.8
A,2008-10-01,8046.6
A,2008-11-01,4353.4
A,2008-12-01,3765.6
A,2009-01-01,2961.3
A,2009-02-01,3623.3
A,2009-03-01,4195.7
A,2009-04-01,4459.4
A,2009-05-01,4077.1
A,2009-06-01,4301.9
A,2009-07-01,4592.8
A,2009-08-01,3974.1
A,2009-09-01,4927.4000000000005
A,2009-10-01,6506.5
A,2009-11-01,5357.7
A,2009-12-01,6452.7
A,2010-01-01,6009.4000000000005
A,2010-02-01,6127.2
A,2010-03-01,6270.2
A,2010-04-01,5851.1
A,2010-05-01,9044.900000000001
A,2010-06-01,7248
A,2010-07-01,5658.6
A,2010-08-01,4888
A,2010-09-01,5540.3
A,2010-10-01,6555.6
A,2010-11-01,7466.200000000001
A,2010-12-01,6961
A,2011-01-01,8076.3
A,2011-02-01,7040.4000000000005
A,2011-03-01,10993.400000000001
A,2011-04-01,7279.2
A,2011-05-01,8751.199999999999
A,2011-06-01,6531.8
A,2011-07-01,7808.1
A,2011-08-01,14353.699999999999
A,2011-09-01,13007.2
A,2011-10-01,9047.199999999999
A,2011-11-01,7115.7
A,2011-12-01,7770.700000000001
A,2012-01-01,6892
A,2012-02-01,8189.4
A,2012-03-01,7361.5
A,2012-04-01,5518.9000000000005
A,2012-05-01,7059.9000000000005
A,2012-06-01,6709.7
A,2012-07-01,5367.9
A,2012-08-01,7877
A,2012-09-01,7477.9000000000005
A,2012-10-01,6794.2
A,2012-11-01,6449.0999999999995
A,2012-12-01,7194.6
A,2013-01-01,9076.9
A,2013-02-01,8399.8
A,2013-03-01,7270
A,2013-04-01,10034.9
A,2013-05-01,8932
A,2013-06-01,10174.8
A,2013-07-01,8378.3
A,2013-08-01,6705.0999999999995
A,2013-09-01,5967.4
A,2013-10-01,6528.9
A,2013-11-01,7498.4
A,2013-12-01,8620.6
A,2014-01-01,14111.800000000001
A,2014-02-01,9543.5
A,2014-03-01,7722.7
A,2014-04-01,7538.8
A,2014-05-01,5863.2
A,2014-06-01,7170.8
A,2014-07-01,7223.1
A,2014-08-01,6387.2
A,2014-09-01,6267.7
A,2014-10-01,9536.9
A,2014-11-01,7026.4000000000005
A,2014-12-01,9166.1
A,2015-01-01,14860.8
A,2015-02-01,8176.799999999999
A,2015-03-01,12106.599999999999
A,2015-04-01,8196.8
A,2015-05-01,7580.5
A,2015-06-01,7392.9000000000005
A,2015-07-01,8771.7
A,2015-08-01,9064.5
A,2015-09-01,6429.3
A,2015-10-01,7585.8
A,2015-11-01,6614.3
A,2015-12-01,7590.2
A,2016-01-01,10305.800000000001
A,2016-02-01,8119.2
A,2016-03-01,8666.2
A,2016-04-01,7566.5999999999995
A,2016-05-01,7095.1
A,2016-06-01,10010.7
A,2016-07-01,11489.9
A,2016-08-01,7819.700000000001
A,2016-09-01,8365.5
A,2016-10-01,8966.599999999999
A,2016-11-01,12722.7
A,2016-12-01,11217.7
A,2017-01-01,12001.5
A,2017-02-01,9643.9
A,2017-03-01,13748.2
A,2017-04-01,8832.800000000001
A,2017-05-01,11984.4
A,2017-06-01,10135
A,2017-07-01,10089.1
A,2017-08-01,7361.3
A,2017-09-01,8877.5
A,2017-10-01,9976.6
A,2017-11-01,12388
A,2017-12-01,10685.1
A,2018-01-01,11724.3
A,2018-02-01,13157.6
A,2018-03-01,8870.8
A,2018-04-01,7702.7
A,2018-05-01,11129
A,2018-06-01,8439.8
A,2018-07-01,7588.6
A,2018-08-01,5937
A,2018-09-01,6066.9
A,2018-10-01,9083.6
A,2018-11-01,11177.2
A,2018-12-01,7804.9
A,2019-01-01,9521.3
A,2019-02-01,14102.7
A,2019-03-01,7157.5
A,2019-04-01,8438.2
A,2019-05-01,7783.9
A,2019-06-01,11914.5
A,2019-07-01,11690.699999999999
A,2019-08-01,16552
A,2019-09-01,15488.900000000001
