D0,date,value
ASSS,1972-10-01,39.0224649913573
ASSS,1973-01-01,38.5029619091321
ASSS,1973-04-01,43.6105448691189
ASSS,1973-07-01,43.6591866740796
ASSS,1973-10-01,41.1373620098292
ASSS,1974-01-01,31.597764136156002
ASSS,1974-04-01,39.7156577556415
ASSS,1974-07-01,39.4454109749866
ASSS,1974-10-01,31.4582384382492
ASSS,1975-01-01,34.5411080507993
ASSS,1975-04-01,41.6032796976557
ASSS,1975-07-01,31.5040045452432
ASSS,1975-10-01,32.9243228048747
ASSS,1976-01-01,30.9969881741666
ASSS,1976-04-01,32.5818034841304
ASSS,1976-07-01,28.4653098819449
ASSS,1976-10-01,36.4092887469853
ASSS,1977-01-01,32.2497618206429
ASSS,1977-04-01,33.3511231362321
ASSS,1977-07-01,28.975996249327
ASSS,1977-10-01,25.7508012821691
ASSS,1978-01-01,31.3419889876064
ASSS,1978-04-01,34.3160329992077
ASSS,1978-07-01,39.4634728074026
ASSS,1978-10-01,32.4449796451199
ASSS,1979-01-01,30.8647426462796
ASSS,1979-04-01,39.6737193317706
ASSS,1979-07-01,33.4319012111499
ASSS,1979-10-01,45.8176777482997
ASSS,1980-01-01,46.3056159685267
ASSS,1980-04-01,45.3167344260259
ASSS,1980-07-01,43.1194903975373
ASSS,1980-10-01,41.4934814263782
ASSS,1981-01-01,38.0162330546594
ASSS,1981-04-01,34.3793015945744
ASSS,1981-07-01,33.0610617118279
ASSS,1981-10-01,35.6367563609388
ASSS,1982-01-01,34.2876206372872
ASSS,1982-04-01,39.5465169286541
ASSS,1982-07-01,39.9791684308602
ASSS,1982-10-01,36.8391087001219
ASSS,1983-01-01,29.0859180039661
ASSS,1983-04-01,37.8144858153712
ASSS,1983-07-01,38.9769524262833
ASSS,1983-10-01,37.892114193667
ASSS,1984-01-01,42.8428588776477
ASSS,1984-04-01,38.3267823953421
ASSS,1984-07-01,39.767141305481
ASSS,1984-10-01,37.5511687179759
ASSS,1985-01-01,40.7944560014884
ASSS,1985-04-01,42.0801322268755
ASSS,1985-07-01,35.9456611794442
ASSS,1985-10-01,39.6499424140958
ASSS,1986-01-01,43.9731709879994
ASSS,1986-04-01,42.4111413407962
ASSS,1986-07-01,32.7980725797029
ASSS,1986-10-01,39.9445329717477
ASSS,1987-01-01,44.0838381294094
ASSS,1987-04-01,40.8342190746392
ASSS,1987-07-01,40.5259731701692
ASSS,1987-10-01,39.9310157951259
ASSS,1988-01-01,41.7839699481893
ASSS,1988-04-01,39.5882682639431
ASSS,1988-07-01,41.9403790703973
ASSS,1988-10-01,45.8385079363738
ASSS,1989-01-01,46.1503022334318
ASSS,1989-04-01,43.1400707333834
ASSS,1989-07-01,38.068853511153
ASSS,1989-10-01,38.802922350149
ASSS,1990-01-01,39.8033862357106
ASSS,1990-04-01,32.9407452902912
ASSS,1990-07-01,38.9241746032739
ASSS,1990-10-01,26.3348289076699
ASSS,1991-01-01,28.7206663811672
ASSS,1991-04-01,32.2472421794255
ASSS,1991-07-01,38.4937366563991
ASSS,1991-10-01,34.1027417896407
ASSS,1992-01-01,39.5170081509617
ASSS,1992-04-01,27.6187607657175
ASSS,1992-07-01,36.9459824200997
ASSS,1992-10-01,39.138627806686
ASSS,1993-01-01,35.3626998747704
ASSS,1993-04-01,29.8101533122839
ASSS,1993-07-01,31.1474172888452
ASSS,1993-10-01,34.2701395698882
ASSS,1994-01-01,38.3341777004196
ASSS,1994-04-01,36.7977382805385
ASSS,1994-07-01,43.4115906480509
ASSS,1994-10-01,44.8437060480217
ASSS,1995-01-01,38.899428055512
ASSS,1995-04-01,35.2868568921919
ASSS,1995-07-01,35.1096181164489
ASSS,1995-10-01,32.6972367068343
ASSS,1996-01-01,32.4421092656363
ASSS,1996-04-01,26.0908990025427
ASSS,1996-07-01,25.9994514624581
ASSS,1996-10-01,25.7467272364188
ASSS,1997-01-01,28.3982581739583
ASSS,1997-04-01,27.9131519818805
ASSS,1997-07-01,30.6699485017393
ASSS,1997-10-01,30.0233436177753
ASSS,1998-01-01,35.7486129052504
ASSS,1998-04-01,32.7854964868611
ASSS,1998-07-01,35.1729533462199
ASSS,1998-10-01,40.2412533497179
ASSS,1999-01-01,42.503728326652
ASSS,1999-04-01,46.9164395020936
ASSS,1999-07-01,41.6211341083928
ASSS,1999-10-01,44.0275036214098
ASSS,2000-01-01,41.6347464049129
ASSS,2000-04-01,44.7486486929086
ASSS,2000-07-01,39.1422274436748
ASSS,2000-10-01,33.2794461670896
ASSS,2001-01-01,42.9333420482439
ASSS,2001-04-01,44.0465833223412
ASSS,2001-07-01,44.0603513977356
ASSS,2001-10-01,42.8110563761099
ASSS,2002-01-01,45.8336312076875
ASSS,2002-04-01,43.3667122881063
ASSS,2002-07-01,36.8279879752087
ASSS,2002-10-01,34.5577540463049
ASSS,2003-01-01,37.4002076645379
ASSS,2003-04-01,34.080946305806
ASSS,2003-07-01,44.8720036055234
ASSS,2003-10-01,34.7623011988969
ASSS,2004-01-01,31.703980522607
ASSS,2004-04-01,33.611543393566
ASSS,2004-07-01,29.0928643995887
ASSS,2004-10-01,42.178358804521
ASSS,2005-01-01,39.9097544195092
ASSS,2005-04-01,39.3891922534986
ASSS,2005-07-01,35.4016030246895
ASSS,2005-10-01,44.2354359850233
ASSS,2006-01-01,40.8178963177096
ASSS,2006-04-01,37.4642126710392
ASSS,2006-07-01,37.2603474552321
ASSS,2006-10-01,36.5480818798791
ASSS,2007-01-01,34.9753804634993
ASSS,2007-04-01,40.1351436466673
ASSS,2007-07-01,31.8660728747677
ASSS,2007-10-01,42.6332943557509
ASSS,2008-01-01,39.6828081095429
ASSS,2008-04-01,46.3623162027469
ASSS,2008-07-01,39.9895605405892
ASSS,2008-10-01,33.8851675010864
ASSS,2009-01-01,33.409397614111
ASSS,2009-04-01,32.0211151828148
ASSS,2009-07-01,34.3530066335461
ASSS,2009-10-01,32.0197958997367
ASSS,2010-01-01,30.7913454925162
ASSS,2010-04-01,31.0241367883656
ASSS,2010-07-01,40.2691358734145
ASSS,2010-10-01,33.9258787813416
ASSS,2011-01-01,36.2397702189277
ASSS,2011-04-01,20.6603156266191
ASSS,2011-07-01,35.8141328239238
ASSS,2011-10-01,37.7225995539622
ASSS,2012-01-01,34.3819349847379
ASSS,2012-04-01,36.9965023507429
ASSS,2012-07-01,37.0338911417799
ASSS,2012-10-01,45.04666578562
ASSS,2013-01-01,43.0382895707989
ASSS,2013-04-01,36.8517960343383
ASSS,2013-07-01,42.3427323966887
ASSS,2013-10-01,38.3709148948503
ASSS,2014-01-01,39.9476324954051
ASSS,2014-04-01,39.7961251603332
ASSS,2014-07-01,42.9479781357085
ASSS,2014-10-01,37.261875552296
ASSS,2015-01-01,42.3919065024384
ASSS,2015-04-01,41.1825836776071
ASSS,2015-07-01,36.9521919078204
ASSS,2015-10-01,42.412789799226
ASSS,2016-01-01,38.825247676654
ASSS,2016-04-01,40.7023068720143
ASSS,2016-07-01,33.8373155462962
ASSS,2016-10-01,39.3775602161505
ASSS,2017-01-01,33.6618597624305
ASSS,2017-04-01,38.8856457124228
ASSS,2017-07-01,43.4147595912077
ASSS,2017-10-01,39.3536728020006
ASSS,2018-01-01,30.5939996208503
ASSS,2018-04-01,36.5296460669366
ASSS,2018-07-01,34.7314489127381
ASSS,2018-10-01,32.3651240471308
ASSS,2019-01-01,33.2943944602469
ASSS,2019-04-01,34.7000589924854
ASSS,2019-07-01,30.2279868906334
ASSS,2019-10-01,30.367292249265
ASSS,2020-01-01,36.9053460269704
ASSS,2020-04-01,30.4893165563121
ASSS,2020-07-01,38.8818790608463
ASSS,2020-10-01,39.096599830238
ASSS,2021-01-01,38.9947726846624
ASSS,2021-04-01,36.5409756671655
ASSS,2021-07-01,38.7474282984638
ASSS,2021-10-01,34.0883039622947
ASSS,2022-01-01,39.22080623799
ASSS,2022-04-01,31.9155955336829
ASSS,2022-07-01,27.2057793032193
ASSS,2022-10-01,24.8388655905871
ASSS,2023-01-01,32.3245503851335
ASSS,2023-04-01,39.7421835225956
ASSS,2023-07-01,36.8862875628819
ASSS,2023-10-01,27.6769144934626
ASSS,2024-01-01,26.1199174930209
ASSS,2024-04-01,28.5450558182797
ASSS,2024-07-01,37.2259091311181
ASSS,2024-10-01,31.0301205409351
ASSS,2025-01-01,32.2793089899475
ASSS,2025-04-01,35.0805492017974
ASSS,2025-07-01,35.1656515091137
ASSS,2025-10-01,38.3388266033848
ASSS,2026-01-01,31.5533337391175
ASSS,2026-04-01,36.2009124001763
EA,2007-04-01,-7.4845408660543
EA,2007-07-01,3.45749977099279
EA,2007-10-01,11.7898824199797
EA,2008-01-01,12.6551514343979
EA,2008-04-01,24.7255418350963
EA,2008-07-01,34.08010593728
EA,2008-10-01,75.9894682208217
EA,2009-01-01,110.98783245201
EA,2009-04-01,130.444922496901
EA,2009-07-01,117.310895010367
EA,2009-10-01,88.043815185047
EA,2010-01-01,77.2198914728018
EA,2010-04-01,8.57471236526603
EA,2010-07-01,6.3923718378582
EA,2010-10-01,17.6165119011057
EA,2011-01-01,11.698567223930599
EA,2011-04-01,16.4434309076089
EA,2011-07-01,53.8663217787756
EA,2011-10-01,72.7082089747125
EA,2012-01-01,71.3442361611893
EA,2012-04-01,48.8987439703986
EA,2012-07-01,61.922280088469
EA,2012-10-01,66.6802945114611
EA,2013-01-01,62.2172035897785
EA,2013-04-01,47.2539772661004
EA,2013-07-01,54.1485467377247
EA,2013-10-01,44.6662087205506
EA,2014-01-01,39.8957902660085
EA,2014-04-01,30.3851665034444
EA,2014-07-01,33.5875941361094
EA,2014-10-01,50.9589371973087
EA,2015-01-01,52.2198260851182
EA,2015-04-01,50.9134684598382
EA,2015-07-01,64.8729576361047
EA,2015-10-01,73.6349630991411
EA,2016-01-01,68.2466316238531
EA,2016-04-01,70.0397805039585
EA,2016-07-01,60.8523390794036
EA,2016-10-01,58.0961406505297
EA,2017-01-01,48.3194006310933
EA,2017-04-01,48.563738027916
EA,2017-07-01,41.2206549927914
EA,2017-10-01,39.4689248889852
EA,2018-01-01,26.0770075577031
EA,2018-04-01,27.7256263037283
EA,2018-07-01,35.1354199638363
EA,2018-10-01,38.4545301156161
EA,2019-01-01,31.7593284619014
EA,2019-04-01,30.8690523557022
EA,2019-07-01,38.72431183526
EA,2019-10-01,48.5517422264465
EA,2020-01-01,33.0968579662287
EA,2020-04-01,127.917356261534
EA,2020-07-01,111.567639741495
EA,2020-10-01,111.77204895857
EA,2021-01-01,114.915635831427
EA,2021-04-01,90.2881699098282
EA,2021-07-01,28.8059723089225
EA,2021-10-01,23.6895868379753
EA,2022-01-01,29.4760620553642
EA,2022-04-01,30.6792128016186
EA,2022-07-01,27.2921904105282
EA,2022-10-01,39.5218335063067
EA,2023-01-01,6.89515577253666
EA,2023-04-01,22.342228056406
EA,2023-07-01,5.96402292820088
EA,2023-10-01,32.4864133413198
EA,2024-01-01,22.1225109659037
EA,2024-04-01,28.0102170279187
EA,2024-07-01,28.320197292898
EA,2024-10-01,37.5878891444068
EA,2025-01-01,38.0199693204487
EA,2025-04-01,52.834292837179
EA,2025-07-01,46.5600590041166
EA,2025-10-01,63.0388040478663
EA,2026-01-01,58.8415207205432
EA,2026-04-01,66.8365189346089
EL,1972-10-01,17.8750005766697
EL,1973-01-01,4.45036631197846
EL,1973-04-01,3.73877011390929
EL,1973-07-01,-1.49034565304449
EL,1973-10-01,-6.09890105583556
EL,1974-01-01,-1.24180769627488
EL,1974-04-01,-10.4011174103887
EL,1974-07-01,-14.4051772242508
EL,1974-10-01,-9.18480819015144
EL,1975-01-01,-17.4400857719433
EL,1975-04-01,-11.9217221436138
EL,1975-07-01,-18.3961855853928
EL,1975-10-01,-14.3418935553301
EL,1976-01-01,-18.4957431248592
EL,1976-04-01,-6.90270828258059
EL,1976-07-01,-6.17301100017165
EL,1976-10-01,-7.39597862806354
EL,1977-01-01,-19.2225920758109
EL,1977-04-01,-8.9210997051928
EL,1977-07-01,-4.46211110136244
EL,1977-10-01,-10.2350061817594
EL,1978-01-01,-4.37445774540532
EL,1978-04-01,-8.77162195272392
EL,1978-07-01,-3.74603265131989
EL,1978-10-01,-7.10576669837569
EL,1979-01-01,-4.21261060891118
EL,1979-04-01,-2.42723212303911
EL,1979-07-01,-1.60740626215625
EL,1979-10-01,-6.81650478863683
EL,1980-01-01,-2.53374938893525
EL,1980-04-01,-6.52492035557453
EL,1980-07-01,0.223727397653421
EL,1980-10-01,-2.19990521630062
EL,1981-01-01,-9.10426534302154
EL,1981-04-01,-16.4610918957131
EL,1981-07-01,-15.1036865270583
EL,1981-10-01,-18.0297553835734
EL,1982-01-01,-11.3514782095633
EL,1982-04-01,-12.3795861741207
EL,1982-07-01,-19.8358029553429
EL,1982-10-01,-15.4061095769655
EL,1983-01-01,-13.7215525240019
EL,1983-04-01,-12.275743807829
EL,1983-07-01,-12.1352682156664
EL,1983-10-01,-10.2583585942823
EL,1984-01-01,-6.58425768100322
EL,1984-04-01,-6.85212869376259
EL,1984-07-01,-3.30176588824261
EL,1984-10-01,-6.39054858852093
EL,1985-01-01,-4.35786537210628
EL,1985-04-01,-7.35039370643324
EL,1985-07-01,-5.02987754250951
EL,1985-10-01,0.452790372945952
EL,1986-01-01,8.13584037451362
EL,1986-04-01,0.0999703876635343
EL,1986-07-01,-3.32287237659671
EL,1986-10-01,1.85049723247943
EL,1987-01-01,0.660467814563799
EL,1987-04-01,-1.07143215684567
EL,1987-07-01,1.99679665882461
EL,1987-10-01,-0.197012515621868
EL,1988-01-01,-0.0696879573943665
EL,1988-04-01,-0.0595515348443723
EL,1988-07-01,3.24900869847949
EL,1988-10-01,4.2057510135407
EL,1989-01-01,6.54818910770896
EL,1989-04-01,-0.659539449261066
EL,1989-07-01,-7.18857608905015
EL,1989-10-01,-4.5232493392331
EL,1990-01-01,-10.9295446200431
EL,1990-04-01,-13.0013744402539
EL,1990-07-01,-8.14306426715776
EL,1990-10-01,-28.5804752021937
EL,1991-01-01,-31.2844958970898
EL,1991-04-01,-20.1396155903219
EL,1991-07-01,-22.5877326950037
EL,1991-10-01,-29.3133724564811
EL,1992-01-01,-33.2155695841672
EL,1992-04-01,-27.4615652490719
EL,1992-07-01,-31.6623548110128
EL,1992-10-01,-29.7417947713049
EL,1993-01-01,-33.0043815912067
EL,1993-04-01,-22.3177735214539
