D0,D1,date,value
M0,ARS1,1999-01-01,138.279
M0,ARS1,1999-02-01,142.593
M0,ARS1,1999-03-01,146.5009
M0,ARS1,1999-04-01,149.655
M0,ARS1,1999-05-01,150.7474
M0,ARS1,1999-06-01,153.6036
M0,ARS1,1999-07-01,155.0209
M0,ARS1,1999-08-01,150.9214
M0,ARS1,1999-09-01,152.4973
M0,ARS1,1999-10-01,148.7919
M0,ARS1,1999-11-01,155.0782
M0,ARS1,1999-12-01,158.2345
M0,ARS1,2000-01-01,158.5786
M0,ARS1,2000-02-01,163.2138
M0,ARS1,2000-03-01,166.1983
M0,ARS1,2000-04-01,166.0933
M0,ARS1,2000-05-01,171.6868
M0,ARS1,2000-06-01,164.232
M0,ARS1,2000-07-01,164.9248
M0,ARS1,2000-08-01,171.5823
M0,ARS1,2000-09-01,175.5676
M0,ARS1,2000-10-01,176.9064
M0,ARS1,2000-11-01,177.7432
M0,ARS1,2000-12-01,168.8237
M0,ARS1,2001-01-01,162.9538
M0,ARS1,2001-02-01,166.6355
M0,ARS1,2001-03-01,168.8082
M0,ARS1,2001-04-01,171.2737
M0,ARS1,2001-05-01,175.2476
M0,ARS1,2001-06-01,178.3085
M0,ARS1,2001-07-01,176.1023
M0,ARS1,2001-08-01,168.0818
M0,ARS1,2001-09-01,163.917
M0,ARS1,2001-10-01,163.3526
M0,ARS1,2001-11-01,165.3236
M0,ARS1,2001-12-01,164.8917
M0,ARS1,2002-01-01,114.021
M0,ARS1,2002-02-01,83.2805
M0,ARS1,2002-03-01,69.4385
M0,ARS1,2002-04-01,56.091
M0,ARS1,2002-05-01,47.582
M0,ARS1,2002-06-01,42.269
M0,ARS1,2002-07-01,40.5265
M0,ARS1,2002-08-01,41.319
M0,ARS1,2002-09-01,40.9371
M0,ARS1,2002-10-01,40.7109
M0,ARS1,2002-11-01,41.4519
M0,ARS1,2002-12-01,41.05
M0,ARS1,2003-01-01,42.1
M0,ARS1,2003-02-01,42.971
M0,ARS1,2003-03-01,44.1143
M0,ARS1,2003-04-01,47.369
M0,ARS1,2003-05-01,46.123
M0,ARS1,2003-06-01,46.826
M0,ARS1,2003-07-01,48.573
M0,ARS1,2003-08-01,47.1555
M0,ARS1,2003-09-01,47.0782
M0,ARS1,2003-10-01,46.1652
M0,ARS1,2003-11-01,46.2
M0,ARS1,2003-12-01,42.7048
M0,ARS1,2004-01-01,42.821
M0,ARS1,2004-02-01,42.386
M0,ARS1,2004-03-01,43.9422
M0,ARS1,2004-04-01,45.6
M0,ARS1,2004-05-01,44.0242
M0,ARS1,2004-06-01,42.2245
M0,ARS1,2004-07-01,42.0468
M0,ARS1,2004-08-01,41.8964
M0,ARS1,2004-09-01,42.1114
M0,ARS1,2004-10-01,41.55
M0,ARS1,2004-11-01,39.6541
M0,ARS1,2004-12-01,38.5257
M0,ARS1,2005-01-01,39.9314
M0,ARS1,2005-02-01,40.781
M0,ARS1,2005-03-01,40.0257
M0,ARS1,2005-04-01,41.1462
M0,ARS1,2005-05-01,42.0655
M0,ARS1,2005-06-01,43.8109
M0,ARS1,2005-07-01,45.0195
M0,ARS1,2005-08-01,43.6791
M0,ARS1,2005-09-01,43.3536
M0,ARS1,2005-10-01,43.4367
M0,ARS1,2005-11-01,44.1027
M0,ARS1,2005-12-01,43.3043
M0,ARS1,2006-01-01,41.9048
M0,ARS1,2006-02-01,42.437
M0,ARS1,2006-03-01,42.3604
M0,ARS1,2006-04-01,41.7856
M0,ARS1,2006-05-01,39.8719
M0,ARS1,2006-06-01,39.9438
M0,ARS1,2006-07-01,40.069
M0,ARS1,2006-08-01,39.9186
M0,ARS1,2006-09-01,40.0605
M0,ARS1,2006-10-01,40.6082
M0,ARS1,2006-11-01,40.1355
M0,ARS1,2006-12-01,39.4368
M0,ARS1,2007-01-01,40.2724
M0,ARS1,2007-02-01,39.9225
M0,ARS1,2007-03-01,39.2305
M0,ARS1,2007-04-01,39.16
M0,ARS1,2007-05-01,39.595
