D0,D1,date,value
N,A,1992-01-01,83.21
N,A,1992-02-01,79.77
N,A,1992-03-01,76.28
N,A,1992-04-01,75.34
N,A,1992-05-01,77.37
N,A,1992-06-01,80.76
N,A,1992-07-01,87.78
N,A,1992-08-01,92.49
N,A,1992-09-01,94.48
N,A,1992-10-01,92.93
N,A,1992-11-01,88.52
N,A,1992-12-01,88.91
N,A,1993-01-01,87.64
N,A,1993-02-01,84.47
N,A,1993-03-01,81.1
N,A,1993-04-01,83.94
N,A,1993-05-01,86.25
N,A,1993-06-01,87.81
N,A,1993-07-01,85
N,A,1993-08-01,85.81
N,A,1993-09-01,94.28
N,A,1993-10-01,91.75
N,A,1993-11-01,87.65
N,A,1993-12-01,88.52
N,A,1994-01-01,85.22
N,A,1994-02-01,83.55
N,A,1994-03-01,85.74
N,A,1994-04-01,84.88
N,A,1994-05-01,85.23
N,A,1994-06-01,86.45
N,A,1994-07-01,89.62
N,A,1994-08-01,89.38
N,A,1994-09-01,91.07
N,A,1994-10-01,93.42
N,A,1994-11-01,89.33
N,A,1994-12-01,84.77
N,A,1995-01-01,88.48
N,A,1995-02-01,92.12
N,A,1995-03-01,101.36
N,A,1995-04-01,104.35
N,A,1995-05-01,102.87
N,A,1995-06-01,104.62
N,A,1995-07-01,103.82
N,A,1995-08-01,98.43
N,A,1995-09-01,97.24
N,A,1995-10-01,100.49
N,A,1995-11-01,102.46
N,A,1995-12-01,101.16
N,A,1996-01-01,99.89
N,A,1996-02-01,96.62
N,A,1996-03-01,94.55
N,A,1996-04-01,91.2
N,A,1996-05-01,87.32
N,A,1996-06-01,87.75
N,A,1996-07-01,89.6
N,A,1996-08-01,92.69
N,A,1996-09-01,89.38
N,A,1996-10-01,87.61
N,A,1996-11-01,85.97
N,A,1996-12-01,82.35
N,A,1997-01-01,80.71
N,A,1997-02-01,78.25
N,A,1997-03-01,75.6
N,A,1997-04-01,76.68
N,A,1997-05-01,78.53
N,A,1997-06-01,80.26
N,A,1997-07-01,79.39
N,A,1997-08-01,77.69
N,A,1997-09-01,81.9
N,A,1997-10-01,83.29
N,A,1997-11-01,89.15
N,A,1997-12-01,91.59
N,A,1998-01-01,90.35
N,A,1998-02-01,88.34
N,A,1998-03-01,87.56
N,A,1998-04-01,88.79
N,A,1998-05-01,93.51
N,A,1998-06-01,96.76
N,A,1998-07-01,93.24
N,A,1998-08-01,98.97
N,A,1998-09-01,105.71
N,A,1998-10-01,105.52
N,A,1998-11-01,99.42
N,A,1998-12-01,103.7
N,A,1999-01-01,100
N,A,1999-02-01,95.67
N,A,1999-03-01,94.47
N,A,1999-04-01,90.95
N,A,1999-05-01,87.42
N,A,1999-06-01,86.55
N,A,1999-07-01,85.59
N,A,1999-08-01,89.71
N,A,1999-09-01,88.18
N,A,1999-10-01,89.94
N,A,1999-11-01,87.98
N,A,1999-12-01,86.04
N,A,2000-01-01,83.71
N,A,2000-02-01,85
N,A,2000-03-01,86.12
N,A,2000-04-01,87.97
N,A,2000-05-01,87.9
N,A,2000-06-01,89.4
N,A,2000-07-01,89.87
N,A,2000-08-01,87.59
N,A,2000-09-01,89.69
N,A,2000-10-01,93.34
N,A,2000-11-01,93.96
N,A,2000-12-01,94.6
N,A,2001-01-01,96.48
N,A,2001-02-01,97.95
N,A,2001-03-01,102.53
N,A,2001-04-01,101.72
N,A,2001-05-01,95.65
N,A,2001-06-01,94.45
N,A,2001-07-01,97.24
N,A,2001-08-01,98.89
N,A,2001-09-01,105.17
N,A,2001-10-01,105.89
N,A,2001-11-01,102.19
N,A,2001-12-01,102.73
N,A,2002-01-01,101.19
N,A,2002-02-01,100.17
N,A,2002-03-01,99.26
N,A,2002-04-01,98.41
N,A,2002-05-01,99.85
N,A,2002-06-01,99.49
N,A,2002-07-01,106.83
N,A,2002-08-01,107.56
N,A,2002-09-01,106.76
N,A,2002-10-01,106.21
N,A,2002-11-01,106.06
N,A,2002-12-01,107.56
N,A,2003-01-01,108.72
N,A,2003-02-01,107.69
N,A,2003-03-01,106.53
N,A,2003-04-01,103.91
N,A,2003-05-01,102.81
N,A,2003-06-01,99.53
N,A,2003-07-01,96.85
N,A,2003-08-01,96.98
N,A,2003-09-01,95.68
N,A,2003-10-01,95.1
N,A,2003-11-01,91.44
N,A,2003-12-01,93.29
N,A,2004-01-01,91.26
N,A,2004-02-01,90.16
N,A,2004-03-01,91.14
N,A,2004-04-01,90.36
N,A,2004-05-01,96.41
N,A,2004-06-01,100.41
N,A,2004-07-01,97.94
N,A,2004-08-01,97.28
N,A,2004-09-01,98.38
N,A,2004-10-01,96.41
N,A,2004-11-01,96.65
N,A,2004-12-01,99.15
N,A,2005-01-01,96.77
