D0,D1,date,value
K,AR,1999-01-01,115.77376569856312
K,AR,1999-02-01,113.14923582539038
K,AR,1999-03-01,111.23093498143031
K,AR,1999-04-01,109.71003631338985
K,AR,1999-05-01,109.39919674926124
K,AR,1999-06-01,107.49136800545307
K,AR,1999-07-01,106.99368175264259
K,AR,1999-08-01,110.54895340845825
K,AR,1999-09-01,109.11132805839732
K,AR,1999-10-01,111.56824957454181
K,AR,1999-11-01,106.33786654842305
K,AR,1999-12-01,104.23298820741947
K,AR,2000-01-01,103.93357304197255
K,AR,2000-02-01,101.57551010322219
K,AR,2000-03-01,100.4998270281835
K,AR,2000-04-01,101.13242368566529
K,AR,2000-05-01,98.559774683389
K,AR,2000-06-01,103.5640560582201
K,AR,2000-07-01,103.53487285146909
K,AR,2000-08-01,99.28778531798162
K,AR,2000-09-01,96.9973195985628
K,AR,2000-10-01,95.5455389803311
K,AR,2000-11-01,95.18499638869977
K,AR,2000-12-01,100
K,AR,2001-01-01,103.92408346907793
K,AR,2001-02-01,101.85496687315118
K,AR,2001-03-01,100.95450532212091
K,AR,2001-04-01,99.4589252328269
K,AR,2001-05-01,98.02525862600413
K,AR,2001-06-01,97.29949836431786
K,AR,2001-07-01,99.41718322086513
K,AR,2001-08-01,103.50892787250478
K,AR,2001-09-01,105.89502522717513
K,AR,2001-10-01,105.87470670304768
K,AR,2001-11-01,104.31607437945046
K,AR,2001-12-01,103.99914886182695
K,AR,2002-01-01,141.76207719007778
K,AR,2002-02-01,197.24204270568845
K,AR,2002-03-01,230.7669465965392
K,AR,2002-04-01,259.2351936524208
K,AR,2002-05-01,292.9161232307576
K,AR,2002-06-01,320.45486245911735
K,AR,2002-07-01,324.67673114218303
K,AR,2002-08-01,310.26765275228104
K,AR,2002-09-01,307.76722882968215
K,AR,2002-10-01,308.25612408790005
K,AR,2002-11-01,298.86787366688156
K,AR,2002-12-01,300.0383390935429
K,AR,2003-01-01,291.0731900863962
K,AR,2003-02-01,283.74816714610165
K,AR,2003-03-01,277.3744891240732
K,AR,2003-04-01,258.85064344315145
K,AR,2003-05-01,266.9512515749434
K,AR,2003-06-01,263.5461235929148
K,AR,2003-07-01,252.79039824770192
K,AR,2003-08-01,260.11728973969974
K,AR,2003-09-01,259.8157488884069
K,AR,2003-10-01,262.5182715407787
K,AR,2003-11-01,260.2646048755155
K,AR,2003-12-01,280.68070754678183
K,AR,2004-01-01,279.93942312522717
K,AR,2004-02-01,282.1409566383193
K,AR,2004-03-01,272.4977551829406
K,AR,2004-04-01,262.0079181410764
K,AR,2004-05-01,271.02344039127814
K,AR,2004-06-01,280.8336724528006
K,AR,2004-07-01,279.9506708126087
K,AR,2004-08-01,280.10008459129045
K,AR,2004-09-01,276.29416200555386
K,AR,2004-10-01,279.32042742717726
K,AR,2004-11-01,292.3044896728091
K,AR,2004-12-01,297.82264531211473
K,AR,2005-01-01,283.91931648448565
K,AR,2005-02-01,275.7105684882804
K,AR,2005-03-01,277.96882874123526
K,AR,2005-04-01,270.68535749469913
K,AR,2005-05-01,263.04598524833114
K,AR,2005-06-01,249.40233886586327
K,AR,2005-07-01,240.67726093436494
K,AR,2005-08-01,246.47103203542034
K,AR,2005-09-01,246.47847125786933
K,AR,2005-10-01,244.57907082986955
K,AR,2005-11-01,237.08748198246124
K,AR,2005-12-01,238.89430866149993
K,AR,2006-01-01,244.91307475807466
K,AR,2006-02-01,241.4923385003029
K,AR,2006-03-01,239.68467421172383
K,AR,2006-04-01,241.18322641084146
K,AR,2006-05-01,251.55735595211422
K,AR,2006-06-01,249.82223318058817
K,AR,2006-07-01,247.27050035273766
K,AR,2006-08-01,246.93281561827553
K,AR,2006-09-01,243.22262425592265
K,AR,2006-10-01,237.40214124353284
K,AR,2006-11-01,238.3053888343688
K,AR,2006-12-01,240.63086196236
K,AR,2007-01-01,233.59072047343034
K,AR,2007-02-01,234.4932845100293
K,AR,2007-03-01,237.80587461478237
K,AR,2007-04-01,237.30441094232356
K,AR,2007-05-01,233.81695315984575
K,AR,2007-06-01,230.27316038187104
K,AR,2007-07-01,236.54312447472603
K,AR,2007-08-01,238.88379480631903
K,AR,2007-09-01,240.1779144627751
K,AR,2007-10-01,242.81517281196696
K,AR,2007-11-01,250.78183270780022
K,AR,2007-12-01,246.3183501511019
K,AR,2008-01-01,254.0608786199166
K,AR,2008-02-01,256.35559781707417
K,AR,2008-03-01,274.7299896473575
K,AR,2008-04-01,273.3196252537655
K,AR,2008-05-01,263.898629556691
K,AR,2008-06-01,255.19714553946594
K,AR,2008-07-01,255.17895939628082
K,AR,2008-08-01,241.2395386411884
K,AR,2008-09-01,237.71372722641235
K,AR,2008-10-01,241.63463402086447
K,AR,2008-11-01,236.44055019939404
K,AR,2008-12-01,252.52835948664466
K,AR,2009-01-01,257.1591622830615
K,AR,2009-02-01,250.26514227817245
K,AR,2009-03-01,260.68755565859954
K,AR,2009-04-01,264.772238974251
K,AR,2009-05-01,275.0668570494693
K,AR,2009-06-01,284.7572839375157
