D0,date,value
10J0,1988-01-04,4.015
10J0,1988-01-11,4.015
10J0,1988-01-18,4.025
10J0,1988-01-25,4.085
10J0,1988-01-29,4.092
10J0,1988-02-01,4.115
10J0,1988-02-08,4.08
10J0,1988-02-15,4.134
10J0,1988-02-22,4.061
10J0,1988-02-29,4.098
10J0,1988-03-07,4.084
10J0,1988-03-14,4.086
10J0,1988-03-21,4.11
10J0,1988-03-28,4.128
10J0,1988-03-31,3.998
10J0,1988-04-05,4.026
10J0,1988-04-11,4.062
10J0,1988-04-18,4.007
10J0,1988-04-25,3.895
10J0,1988-04-29,3.965
10J0,1988-05-02,4.032
10J0,1988-05-09,4.035
10J0,1988-05-16,4.07
10J0,1988-05-24,4.128
10J0,1988-05-30,4.143
10J0,1988-05-31,4.127
10J0,1988-06-06,4.186
10J0,1988-06-13,4.094
10J0,1988-06-20,4.166
10J0,1988-06-27,4.152
10J0,1988-06-30,4.155
10J0,1988-07-04,4.164
10J0,1988-07-11,4.161
10J0,1988-07-18,4.225
10J0,1988-07-25,4.3
10J0,1988-07-29,4.222
10J0,1988-08-02,4.302
10J0,1988-08-08,4.299
10J0,1988-08-15,4.298
10J0,1988-08-22,4.321
10J0,1988-08-29,4.307
10J0,1988-08-31,4.292
10J0,1988-09-05,4.301
10J0,1988-09-12,4.284
10J0,1988-09-19,4.263
10J0,1988-09-26,4.254
10J0,1988-09-30,4.257
10J0,1988-10-03,4.21
10J0,1988-10-10,4.181
10J0,1988-10-17,4.047
10J0,1988-10-24,4.024
10J0,1988-10-31,4.014
10J0,1988-11-07,4.047
10J0,1988-11-14,4.031
10J0,1988-11-21,4.064
10J0,1988-11-28,4.042
10J0,1988-12-05,3.991
10J0,1988-12-12,4.079
10J0,1988-12-19,4.131
10J0,1988-12-27,4.219
10J0,1988-12-30,4.107
10J0,1989-01-03,4.104
10J0,1989-01-09,4.265
10J0,1989-01-16,4.24
10J0,1989-01-23,4.371
10J0,1989-01-30,4.488
10J0,1989-01-31,4.517
10J0,1989-02-06,4.541
10J0,1989-02-13,4.562
10J0,1989-02-20,4.589
10J0,1989-02-27,4.614
10J0,1989-02-28,4.719
10J0,1989-03-06,4.725
10J0,1989-03-13,4.72
10J0,1989-03-20,4.716
10J0,1989-03-28,4.731
10J0,1989-03-31,4.798
10J0,1989-04-03,4.81
10J0,1989-04-10,4.833
10J0,1989-04-17,4.877
10J0,1989-04-24,4.822
10J0,1989-04-28,5.054
10J0,1989-05-02,5.048
10J0,1989-05-08,5.135
10J0,1989-05-16,5.173
10J0,1989-05-22,5.213
10J0,1989-05-29,5.195
10J0,1989-05-31,5.242
10J0,1989-06-05,5.184
10J0,1989-06-12,5.066
10J0,1989-06-19,5.08
10J0,1989-06-26,5.063
10J0,1989-06-30,5.105
10J0,1989-07-03,5.097
10J0,1989-07-10,5.11
10J0,1989-07-17,5.169
10J0,1989-07-24,5.162
10J0,1989-07-31,5.173
10J0,1989-08-07,5.115
10J0,1989-08-14,5.124
10J0,1989-08-21,5.169
10J0,1989-08-28,5.174
10J0,1989-08-31,5.195
10J0,1989-09-04,5.249
10J0,1989-09-11,5.259
10J0,1989-09-18,5.263
10J0,1989-09-25,5.282
10J0,1989-09-29,5.311
10J0,1989-10-02,5.315
10J0,1989-10-09,5.312
10J0,1989-10-16,5.348
10J0,1989-10-23,5.337
10J0,1989-10-30,5.308
10J0,1989-10-31,5.31
10J0,1989-11-06,5.275
10J0,1989-11-13,5.3
10J0,1989-11-20,5.37
10J0,1989-11-27,5.437
10J0,1989-12-04,5.429
10J0,1989-12-11,5.454
10J0,1989-12-18,5.564
10J0,1989-12-27,5.587
10J0,1989-12-29,5.618
10J0,1990-01-03,5.616
10J0,1990-01-08,5.692
10J0,1990-01-15,5.819
10J0,1990-01-22,5.98
10J0,1990-01-29,6.059
10J0,1990-01-31,6.04
10J0,1990-02-05,6.051
10J0,1990-02-12,6.096
10J0,1990-02-19,6.142
10J0,1990-02-26,6.239
10J0,1990-02-28,6.292
10J0,1990-03-05,6.332
10J0,1990-03-12,6.311
10J0,1990-03-19,6.36
10J0,1990-03-26,6.376
10J0,1990-03-30,6.475
10J0,1990-04-02,6.37
10J0,1990-04-09,6.448
10J0,1990-04-17,6.507
10J0,1990-04-23,6.533
10J0,1990-04-30,6.629
10J0,1990-05-07,6.648
10J0,1990-05-14,6.532
10J0,1990-05-21,6.403
10J0,1990-05-28,6.323
10J0,1990-05-31,6.3
10J0,1990-06-05,6.29
10J0,1990-06-11,6.322
10J0,1990-06-18,6.264
10J0,1990-06-25,6.166
10J0,1990-06-29,6.147
10J0,1990-07-02,6.156
10J0,1990-07-09,6.094
10J0,1990-07-16,6.039
10J0,1990-07-23,6.009
10J0,1990-07-30,6.093
10J0,1990-07-31,6.078
10J0,1990-08-06,6.082
10J0,1990-08-13,6.186
10J0,1990-08-20,6.325
10J0,1990-08-27,6.457
10J0,1990-08-31,6.484
10J0,1990-09-03,6.514
10J0,1990-09-10,6.547
10J0,1990-09-17,6.548
10J0,1990-09-24,6.527
10J0,1990-09-28,6.509
10J0,1990-10-01,6.503
10J0,1990-10-08,6.486
10J0,1990-10-15,6.519
10J0,1990-10-22,6.547
10J0,1990-10-29,6.493
10J0,1990-10-31,6.491
10J0,1990-11-05,6.515
10J0,1990-11-12,6.561
10J0,1990-11-19,6.557
10J0,1990-11-26,6.549
10J0,1990-11-30,6.563
10J0,1990-12-03,6.563
10J0,1990-12-10,6.576
10J0,1990-12-17,6.624
10J0,1990-12-24,6.575
10J0,1990-12-28,6.601
10J0,1991-01-03,6.594
10J0,1991-01-07,6.537
10J0,1991-01-14,6.524
10J0,1991-01-21,6.528
10J0,1991-01-28,6.413
10J0,1991-01-31,6.415
10J0,1991-02-04,6.402
10J0,1991-02-11,6.257
10J0,1991-02-18,6.154
10J0,1991-02-25,6.215
10J0,1991-02-28,6.221
10J0,1991-03-04,6.24
10J0,1991-03-11,6.158
10J0,1991-03-18,6.159
10J0,1991-03-25,6.144
