D0,date,value
AIWFS,2009-08-01,4268.7602051
AIWFS,2009-09-01,5360.5527916
AIWFS,2009-10-01,5360.5527916
AIWFS,2009-11-01,5360.5527916
AIWFS,2009-12-01,5311.84052063
AIWFS,2010-01-01,5311.84052063
AIWFS,2010-02-01,5311.84052063
AIWFS,2010-03-01,5292.55618251
AIWFS,2010-04-01,5292.55618251
AIWFS,2010-05-01,5292.55618251
AIWFS,2010-06-01,5257.53858644
AIWFS,2010-07-01,5257.53858644
AIWFS,2010-08-01,5257.53858644
AIWFS,2010-09-01,4978.64727198
AIWFS,2010-10-01,4978.64727198
AIWFS,2010-11-01,4978.64727198
AIWFS,2010-12-01,4736.54909368
AIWFS,2011-01-01,4843.4760631
AIWFS,2011-02-01,4801.38918707
AIWFS,2011-03-01,4751.57542364
AIWFS,2011-04-01,4650.79708377
AIWFS,2011-05-01,4487.21723356
AIWFS,2011-06-01,4382.23020609
AIWFS,2011-07-01,4211.8441189
AIWFS,2011-08-01,4283.58909039
AIWFS,2011-09-01,4658.951416
AIWFS,2011-10-01,4539.23398191
AIWFS,2011-11-01,4691.66738604
AIWFS,2011-12-01,4734.60915174
AIWFS,2012-01-01,4671.80764141
AIWFS,2012-02-01,4582.5374317
AIWFS,2012-03-01,4586.81188005
AIWFS,2012-04-01,4628.30690939
AIWFS,2012-05-01,4801.12614409
AIWFS,2012-06-01,4745.3939137199995
AIWFS,2012-07-01,4853.0771317
AIWFS,2012-08-01,4787.41502901
AIWFS,2012-09-01,4757.78981393
AIWFS,2012-10-01,4736.74637591
AIWFS,2012-11-01,4683.80897716
AIWFS,2012-12-01,4613.44498129
AIWFS,2013-01-01,4621.00746683
AIWFS,2013-02-01,4642.05090484
AIWFS,2013-03-01,4677.23290278
AIWFS,2013-04-01,4621.66507426
AIWFS,2013-05-01,4720.63499368
AIWFS,2013-06-01,4666.05357633
AIWFS,2013-07-01,4643.69492344
AIWFS,2013-08-01,4639.09167137
AIWFS,2013-09-01,4561.49399369
AIWFS,2013-10-01,4581.87982427
AIWFS,2013-11-01,4563.13801228
AIWFS,2013-12-01,4510.52941724
AIWFS,2014-01-01,4569.38528294
AIWFS,2014-02-01,4484.55392344
AIWFS,2014-03-01,4492.11640898
AIWFS,2014-04-01,4485.86913832
AIWFS,2014-05-01,4541.43696683
AIWFS,2014-06-01,4521.37993997
AIWFS,2014-07-01,4573.33092757
AIWFS,2014-08-01,4570.70049782
AIWFS,2014-09-01,4660.13510939
AIWFS,2014-10-01,4687.42581806
AIWFS,2014-11-01,4641.06449369
AIWFS,2014-12-01,4727.21106806
AIWFS,2015-01-01,4303.71187799
AIWFS,2015-02-01,4392.48888212
AIWFS,2015-03-01,4412.54590898
AIWFS,2015-04-01,4355.66286559
AIWFS,2015-05-01,4275.76356188
AIWFS,2015-06-01,4302.72546683
AIWFS,2015-07-01,4385.91280774
AIWFS,2015-08-01,4471.07297096
AIWFS,2015-09-01,4501.65171683
AIWFS,2015-10-01,4529.60003294
AIWFS,2015-11-01,4644.68133459
AIWFS,2015-12-01,4547.68423749
AIWFS,2016-01-01,4648.95578294
AIWFS,2016-02-01,4538.47773336
AIWFS,2016-03-01,4439.50781394
AIWFS,2016-04-01,4479.95067138
AIWFS,2016-05-01,4568.39887179
AIWFS,2016-06-01,4485.21153088
AIWFS,2016-07-01,4445.42628088
AIWFS,2016-08-01,4504.28214658
AIWFS,2016-09-01,4453.64637386
AIWFS,2016-10-01,4471.7305784
AIWFS,2016-11-01,4510.52941724
AIWFS,2016-12-01,4492.77401642
AIWFS,2017-01-01,4451.0159441
AIWFS,2017-02-01,4470.41536352
AIWFS,2017-03-01,4463.51048543
AIWFS,2017-04-01,4473.374597
AIWFS,2017-05-01,4412.54590898
AIWFS,2017-06-01,4376.70630361
AIWFS,2017-07-01,4487.51315691
AIWFS,2017-08-01,4489.81478295
AIWFS,2017-09-01,4510.20061352
AIWFS,2017-10-01,4609.49933666
AIWFS,2017-11-01,4581.22221683
AIWFS,2017-12-01,4572.67332013
AIWFS,2018-01-01,4463.83928914
AIWFS,2018-02-01,4486.85554947
AIWFS,2018-03-01,4566.09724575
AIWFS,2018-04-01,4678.28507468
AIWFS,2018-05-01,4593.71675815
AIWFS,2018-06-01,4595.49229823
AIWFS,2018-07-01,4564.5189879
AIWFS,2018-08-01,4452.29827861
AIWFS,2018-09-01,4479.35882468
AIWFS,2018-10-01,4568.59615402
AIWFS,2018-11-01,4539.23398191
AIWFS,2018-12-01,4486.52674576
AIWFS,2019-01-01,4573.33092757
AIWFS,2019-02-01,4565.5711598
AIWFS,2019-03-01,4545.90869741
AIWFS,2019-04-01,4643.92508604
AIWFS,2019-05-01,4552.09020732
AIWFS,2019-06-01,4456.34256435
AIWFS,2019-07-01,4476.9914379
AIWFS,2019-08-01,4450.7857815
AIWFS,2019-09-01,4461.76782571
AIWFS,2019-10-01,4478.56969576
AIWFS,2019-11-01,4503.98622323
AIWFS,2019-12-01,4417.9054096
AIWFS,2020-01-01,4385.51824328
AIWFS,2020-02-01,4362.53486332
AIWFS,2020-03-01,4332.2520408
