D0,D1,date,value
D2004PL075P,P,2005-01-01,1.1
D2004PL075P,P,2006-01-01,1.3
D2005PL100P,P,2005-01-01,1.2
D2005PL100P,P,2006-01-01,0.8
D2005PL100P,P,2007-01-01,1.2
D2006PL200P,P,2006-01-01,1.1
D2006PL200P,P,2007-01-01,0.4
D2006PL200P,P,2008-01-01,0.9
D2007PL275P,P,2007-01-01,0.7
D2007PL275P,P,2008-01-01,1.7
D2007PL275P,P,2009-01-01,1.5
D2008PL050P,BI,2005-01-01,1.2
D2008PL050P,BI,2006-01-01,1.1
D2008PL050P,BI,2007-01-01,0.7
D2008PL050P,P,2008-01-01,2.5
D2008PL050P,P,2009-01-01,0.9
D2008PL050P,P,2010-01-01,0.5
D2009PL025P,BI,2006-01-01,1.1
D2009PL025P,BI,2007-01-01,0.7
D2009PL025P,BI,2008-01-01,2.4
D2009PL025P,P,2009-01-01,-0.5
D2009PL025P,P,2010-01-01,0.5
D2009PL025P,P,2011-01-01,0.9
D2010PL025P,BI,2007-01-01,0.7
D2010PL025P,BI,2008-01-01,2.4
D2010PL025P,BI,2009-01-01,-0.5
D2010PL025P,P,2010-01-01,0.7
D2010PL025P,P,2011-01-01,0.4
D2010PL025P,P,2012-01-01,1
D2011PL000P,BI,2008-01-01,2.4
D2011PL000P,BI,2009-01-01,-0.5
D2011PL000P,BI,2010-01-01,0.7
D2011PL000P,P,2011-01-01,0.2
D2011PL000P,P,2012-01-01,-0.3
D2011PL000P,P,2013-01-01,0.4
D2012PL000P,BI,2009-01-01,-0.5
D2012PL000P,BI,2010-01-01,0.7
D2012PL000P,BI,2011-01-01,0.2
D2012PL000P,P,2012-01-01,-0.7
D2012PL000P,P,2013-01-01,-0.1
D2012PL000P,P,2014-01-01,0.4
D2013PL000P,BI,2010-01-01,0.7
D2013PL000P,BI,2011-01-01,0.2
D2013PL000P,BI,2012-01-01,-0.7
D2013PL000P,P,2013-01-01,-0.2
D2013PL000P,P,2014-01-01,0.2
D2013PL000P,P,2015-01-01,0.6
D2014PL000P,BI,2011-01-01,0.2
D2014PL000P,BI,2012-01-01,-0.7
D2014PL000P,BI,2013-01-01,-0.2
D2014PL000P,P,2014-01-01,0
D2014PL000P,P,2015-01-01,-0.1
D2014PL000P,P,2016-01-01,0.3
D2015PL075P,BI,2012-01-01,-0.7
