D0,D1,date,value
D2004PL075P,BI,2001-01-01,1.02
D2004PL075P,BI,2001-04-01,1.5
D2004PL075P,BI,2001-07-01,1.03
D2004PL075P,BI,2001-10-01,0.41
D2004PL075P,BI,2002-01-01,0.56
D2004PL075P,BI,2002-04-01,0.69
D2004PL075P,BI,2002-07-01,0.31
D2004PL075P,BI,2002-10-01,1.01
D2004PL075P,BI,2003-01-01,1.05
D2004PL075P,BI,2003-04-01,0.54
D2004PL075P,BI,2003-07-01,0.45
D2004PL075P,BI,2003-10-01,0.52
D2004PL075P,BI,2004-01-01,0.06
D2004PL075P,BI,2004-04-01,0.87
D2004PL075P,BI,2004-07-01,0.91
D2004PL075P,P,2004-10-01,1.4
D2004PL075P,P,2005-01-01,1.45
D2004PL075P,P,2005-04-01,1.06
D2004PL075P,P,2005-07-01,0.97
D2004PL075P,P,2005-10-01,0.92
D2004PL075P,P,2006-01-01,0.9
D2004PL075P,P,2006-04-01,1.15
D2004PL075P,P,2006-07-01,1.4
D2004PL075P,P,2006-10-01,1.7
D2004PL075P,P,2007-01-01,2
D2004PL075P,P,2007-04-01,2.3
D2004PL075P,P,2007-07-01,2.6
D2005PL100P,BI,2002-01-01,0.56
D2005PL100P,BI,2002-04-01,0.69
D2005PL100P,BI,2002-07-01,0.31
D2005PL100P,BI,2002-10-01,1.01
D2005PL100P,BI,2003-01-01,1.05
D2005PL100P,BI,2003-04-01,0.5
D2005PL100P,BI,2003-07-01,0.4
D2005PL100P,BI,2003-10-01,0.5
D2005PL100P,BI,2004-01-01,0.06
D2005PL100P,BI,2004-04-01,0.87
D2005PL100P,BI,2004-07-01,0.91
D2005PL100P,BI,2004-10-01,1.4
D2005PL100P,BI,2005-01-01,1.4
D2005PL100P,BI,2005-04-01,1.1
D2005PL100P,BI,2005-07-01,1.2
D2005PL100P,P,2005-10-01,1.1
D2005PL100P,P,2006-01-01,1.03
D2005PL100P,P,2006-04-01,0.9
D2005PL100P,P,2006-07-01,0.7
D2005PL100P,P,2006-10-01,0.75
D2005PL100P,P,2007-01-01,0.83
D2005PL100P,P,2007-04-01,1.05
D2005PL100P,P,2007-07-01,1.3
D2005PL100P,P,2007-10-01,1.6
D2005PL100P,P,2008-01-01,1.93
D2005PL100P,P,2008-04-01,2.3
D2005PL100P,P,2008-07-01,2.7
D2006PL200P,BI,2003-01-01,1.05
D2006PL200P,BI,2003-04-01,0.5
D2006PL200P,BI,2003-07-01,0.4
D2006PL200P,BI,2003-10-01,0.5
D2006PL200P,BI,2004-01-01,0.06
D2006PL200P,BI,2004-04-01,0.87
D2006PL200P,BI,2004-07-01,0.91
D2006PL200P,BI,2004-10-01,1.38
D2006PL200P,BI,2005-01-01,1.35
D2006PL200P,BI,2005-04-01,1.06
D2006PL200P,BI,2005-07-01,1.18
D2006PL200P,BI,2005-10-01,1.1
D2006PL200P,BI,2006-01-01,1.23
D2006PL200P,BI,2006-04-01,1.33
D2006PL200P,BI,2006-07-01,1.2
D2006PL200P,P,2006-10-01,0.5
D2006PL200P,P,2007-01-01,0.4
D2006PL200P,P,2007-04-01,0.31
D2006PL200P,P,2007-07-01,0.44
D2006PL200P,P,2007-10-01,0.65
D2006PL200P,P,2008-01-01,0.74
D2006PL200P,P,2008-04-01,0.85
D2006PL200P,P,2008-07-01,1
D2006PL200P,P,2008-10-01,1.17
D2006PL200P,P,2009-01-01,1.38
D2006PL200P,P,2009-04-01,1.64
D2006PL200P,P,2009-07-01,1.9
D2007PL275P,BI,2004-01-01,0.06
D2007PL275P,BI,2004-04-01,0.87
