D0,date,value
AI,2011-01-01,0.29
AI,2011-04-01,0.27
AI,2011-07-01,0.01
AI,2011-10-01,-0.11
AI,2012-01-01,0.12
AI,2012-04-01,0.02
AI,2012-07-01,-0.23
AI,2012-10-01,0.01
AI,2013-01-01,0.03
AI,2013-04-01,0.12
AI,2013-07-01,0.19
AI,2013-10-01,0.08
AI,2014-01-01,0.21
AI,2014-04-01,0.09
AI,2014-07-01,0.16
AI,2014-10-01,0.11
AI,2015-01-01,-0.31
AI,2015-04-01,-0.09
AI,2015-07-01,0.06
AI,2015-10-01,0.09
AI,2016-01-01,0.14
AI,2016-04-01,0.05
AI,2016-07-01,0.09
AI,2016-10-01,0.21
AI,2017-01-01,0.19
AI,2017-04-01,0.22
AI,2017-07-01,0.37
AI,2017-10-01,0.21
AI,2018-01-01,0.21
AI,2018-04-01,0.05
AI,2018-07-01,0.28
AI,2018-10-01,0.21
AI,2019-01-01,0.26
AI,2019-04-01,0.24
AI,2019-07-01,0.16
AI,2019-10-01,0.14
AI,2020-01-01,0.06
AI,2020-04-01,-0.44
AI,2020-07-01,-0.07
AI,2020-10-01,0.15
AI,2021-01-01,0.23
AI,2021-04-01,0.47
AI,2021-07-01,0.21
AI,2021-10-01,0.39
AI,2022-01-01,0.41
AI,2022-04-01,0.51
AI,2022-07-01,0.25
AI,2022-10-01,0.11
AI,2023-01-01,0.3
AI,2023-04-01,0.22
AI,2023-07-01,0.24
AI,2023-10-01,0.07
AI,2024-01-01,-0.02
AI,2024-04-01,0.22
AI,2024-07-01,0.11
AI,2024-10-01,0.04
AI,2025-01-01,0.16
AI,2025-04-01,0.02
AI,2025-07-01,0
AI,2025-10-01,0.09
AI,2026-01-01,0.13
BERW,2011-01-01,0.33
BERW,2011-04-01,0.37
BERW,2011-07-01,0.09
BERW,2011-10-01,-0.08
BERW,2012-01-01,0.04
BERW,2012-04-01,0.06
BERW,2012-07-01,-0.01
BERW,2012-10-01,-0.01
BERW,2013-01-01,0.23
BERW,2013-04-01,0.2
BERW,2013-07-01,0.19
BERW,2013-10-01,0.33
BERW,2014-01-01,0.17
BERW,2014-04-01,0.27
BERW,2014-07-01,0.18
BERW,2014-10-01,0.19
BERW,2015-01-01,-0.12
BERW,2015-04-01,0.02
BERW,2015-07-01,-0.02
BERW,2015-10-01,-0.03
BERW,2016-01-01,0.1
BERW,2016-04-01,0.09
BERW,2016-07-01,0.08
BERW,2016-10-01,0.14
BERW,2017-01-01,0.3
BERW,2017-04-01,0.23
BERW,2017-07-01,0.37
BERW,2017-10-01,0.27
BERW,2018-01-01,0.41
BERW,2018-04-01,0.42
BERW,2018-07-01,0.47
BERW,2018-10-01,0.34
BERW,2019-01-01,0.43
BERW,2019-04-01,0.43
BERW,2019-07-01,0.27
BERW,2019-10-01,0.25
BERW,2020-01-01,0.31
BERW,2020-04-01,-0.19
BERW,2020-07-01,-0.09
BERW,2020-10-01,-0.09
BERW,2021-01-01,0.35
BERW,2021-04-01,0.6
BERW,2021-07-01,0.42
BERW,2021-10-01,0.69
BERW,2022-01-01,0.68
BERW,2022-04-01,0.59
BERW,2022-07-01,0.52
BERW,2022-10-01,0.46
BERW,2023-01-01,0.61
BERW,2023-04-01,0.48
BERW,2023-07-01,0.27
BERW,2023-10-01,0.27
BERW,2024-01-01,0.33
BERW,2024-04-01,0.26
BERW,2024-07-01,0.27
BERW,2024-10-01,0.15
BERW,2025-01-01,0.34
BERW,2025-04-01,0.19
BERW,2025-07-01,0.09
BERW,2025-10-01,0.2
