D0,date,value
G,1975-01-01,1188
G,1975-02-01,1040
G,1975-03-01,689
G,1975-04-01,797
G,1975-05-01,474
G,1975-06-01,550
G,1975-07-01,518
G,1975-08-01,330
G,1975-09-01,443
G,1975-10-01,559
G,1975-11-01,334
G,1975-12-01,518
G,1976-01-01,287
G,1976-02-01,286
G,1976-03-01,405
G,1976-04-01,533
G,1976-05-01,409
G,1976-06-01,440
G,1976-07-01,493
G,1976-08-01,454
G,1976-09-01,518
G,1976-10-01,550
G,1976-11-01,541
G,1976-12-01,662
G,1977-01-01,576
G,1977-02-01,594
G,1977-03-01,729
G,1977-04-01,865
G,1977-05-01,959
G,1977-06-01,770
G,1977-07-01,687
G,1977-08-01,592
G,1977-09-01,631
G,1977-10-01,654
G,1977-11-01,553
G,1977-12-01,684
G,1978-01-01,533
G,1978-02-01,290
G,1978-03-01,422
G,1978-04-01,499
G,1978-05-01,409
G,1978-06-01,628
G,1978-07-01,744
G,1978-08-01,541
G,1978-09-01,446
G,1978-10-01,443
G,1978-11-01,241
G,1978-12-01,272
G,1979-01-01,267
G,1979-02-01,229
G,1979-03-01,263
G,1979-04-01,368
G,1979-05-01,331
G,1979-06-01,431
G,1979-07-01,614
G,1979-08-01,364
G,1979-09-01,515
G,1979-10-01,678
G,1979-11-01,582
G,1979-12-01,1001
G,1980-01-01,733
G,1980-02-01,720
G,1980-03-01,775
G,1980-04-01,1134
G,1980-05-01,860
G,1980-06-01,956
G,1980-07-01,1034
G,1980-08-01,862
G,1980-09-01,951
G,1980-10-01,1019
G,1980-11-01,876
G,1980-12-01,987
G,1981-01-01,807
G,1981-02-01,1021
G,1981-03-01,942
G,1981-04-01,1373
G,1981-05-01,1174
G,1981-06-01,1588
G,1981-07-01,1531
G,1981-08-01,1181
G,1981-09-01,1438
G,1981-10-01,1472
G,1981-11-01,1635
G,1981-12-01,1694
G,1982-01-01,1027
G,1982-02-01,1328
G,1982-03-01,882
G,1982-04-01,880
G,1982-05-01,632
G,1982-06-01,637
G,1982-07-01,780
G,1982-08-01,926
G,1982-09-01,612
G,1982-10-01,694
G,1982-11-01,741
G,1982-12-01,694
G,1983-01-01,872
G,1983-02-01,493
G,1983-03-01,838
G,1983-04-01,471
G,1983-05-01,1193
G,1983-06-01,703
G,1983-07-01,910
G,1983-08-01,1066
G,1983-09-01,828
G,1983-10-01,990
G,1983-11-01,741
G,1983-12-01,878
G,1984-01-01,1172
G,1984-02-01,586
G,1984-03-01,826
G,1984-04-01,1158
G,1984-05-01,601
G,1984-06-01,1078
G,1984-07-01,1005
G,1984-08-01,916
G,1984-09-01,967
G,1984-10-01,1072
G,1984-11-01,910
G,1984-12-01,1300
G,1985-01-01,721
G,1985-02-01,938
G,1985-03-01,973
G,1985-04-01,1268
G,1985-05-01,1191
G,1985-06-01,996
G,1985-07-01,1120
G,1985-08-01,731
G,1985-09-01,1326
G,1985-10-01,1151
G,1985-11-01,881
G,1985-12-01,1224
G,1986-01-01,914
G,1986-02-01,904
G,1986-03-01,1024
G,1986-04-01,628
G,1986-05-01,723
G,1986-06-01,1319
G,1986-07-01,1022
G,1986-08-01,671
G,1986-09-01,1297
G,1986-10-01,1009
G,1986-11-01,885
G,1986-12-01,1142
G,1987-01-01,437
G,1987-02-01,1117
G,1987-03-01,717
G,1987-04-01,999
G,1987-05-01,681
G,1987-06-01,1333
G,1987-07-01,1066
G,1987-08-01,1006
G,1987-09-01,904
G,1987-10-01,926
G,1987-11-01,1192
G,1987-12-01,1126
G,1988-01-01,342
G,1988-02-01,75
G,1988-03-01,78
G,1988-04-01,87
G,1988-05-01,86
G,1988-06-01,109
G,1988-07-01,123
G,1988-08-01,90
G,1988-09-01,79
G,1988-10-01,119
G,1988-11-01,144
G,1988-12-01,293
G,1989-01-01,482
G,1989-02-01,528
G,1989-03-01,571
G,1989-04-01,495
G,1989-05-01,711
G,1989-06-01,479
G,1989-07-01,510
G,1989-08-01,1099
G,1989-09-01,1381
G,1989-10-01,1017
G,1989-11-01,1214
G,1989-12-01,893
G,1990-01-01,784
G,1990-02-01,830
G,1990-03-01,814
G,1990-04-01,815
G,1990-05-01,822
G,1990-06-01,766
G,1990-07-01,787
G,1990-08-01,813
G,1990-09-01,741
G,1990-10-01,710
G,1990-11-01,703
G,1990-12-01,724
G,1991-01-01,732
G,1991-02-01,668
G,1991-03-01,673
G,1991-04-01,617
G,1991-05-01,671
G,1991-06-01,629
G,1991-07-01,591
G,1991-08-01,559
G,1991-09-01,533
G,1991-10-01,524
G,1991-11-01,519
G,1991-12-01,552
G,1992-01-01,518
G,1992-02-01,503
G,1992-03-01,470
G,1992-04-01,468
G,1992-05-01,489
G,1992-06-01,464
G,1992-07-01,492
G,1992-08-01,496
G,1992-09-01,797
G,1992-10-01,789
G,1992-11-01,1330
G,1992-12-01,1461
G,1993-01-01,1314
G,1993-02-01,2135
G,1993-03-01,1332
G,1993-04-01,487
G,1993-05-01,974
G,1993-06-01,1583
G,1993-07-01,1074
G,1993-08-01,1619
G,1993-09-01,973
G,1993-10-01,784
G,1993-11-01,967
G,1993-12-01,876
G,1994-01-01,1079
G,1994-02-01,1789
G,1994-03-01,1848
G,1994-04-01,1933
G,1994-05-01,2314
G,1994-06-01,1148
G,1994-07-01,1293
G,1994-08-01,1201
G,1994-09-01,1417
G,1994-10-01,1330
G,1994-11-01,1387
G,1994-12-01,1036
G,1995-01-01,2096
G,1995-02-01,1776
G,1995-03-01,2452
G,1995-04-01,2816
G,1995-05-01,2121
G,1995-06-01,2222
G,1995-07-01,1547
G,1995-08-01,1728
G,1995-09-01,1566
G,1995-10-01,408
G,1995-11-01,784
G,1995-12-01,1037
G,1996-01-01,1174
G,1996-02-01,1197
G,1996-03-01,1388
G,1996-04-01,1516
G,1996-05-01,1566
G,1996-06-01,2035
G,1996-07-01,2221
G,1996-08-01,2118
G,1996-09-01,1244
G,1996-10-01,1558
G,1996-11-01,2464
G,1996-12-01,2280
G,1997-01-01,515
G,1997-02-01,1474
G,1997-03-01,2127
G,1997-04-01,1332
G,1997-05-01,1779
G,1997-06-01,2727
G,1997-07-01,1943
G,1997-08-01,1550
G,1997-09-01,1713
G,1997-10-01,1580
G,1997-11-01,1149
G,1997-12-01,736
G,1998-01-01,1663
G,1998-02-01,1929
G,1998-03-01,2097
G,1998-04-01,2690
G,1998-05-01,5997
G,1998-06-01,7239
G,1998-07-01,9696
G,1998-08-01,8710
G,1998-09-01,9780
G,1998-10-01,11871
G,1998-11-01,12663
G,1998-12-01,13583
G,1999-01-01,12565
G,1999-02-01,13265
G,1999-03-01,14467
G,1999-04-01,13760
G,1999-05-01,16372
G,1999-06-01,20005
G,1999-07-01,19274
G,1999-08-01,21455
G,1999-09-01,18966
G,1999-10-01,16213
G,1999-11-01,16629
G,1999-12-01,19520
G,2000-01-01,20445
G,2000-02-01,20454
G,2000-03-01,18719
G,2000-04-01,15417
G,2000-05-01,16713
G,2000-06-01,21261
G,2000-07-01,21473
G,2000-08-01,20706
G,2000-09-01,21438
G,2000-10-01,17637
G,2000-11-01,17712
G,2000-12-01,19779
G,2001-01-01,17972
G,2001-02-01,17210
G,2001-03-01,17364
G,2001-04-01,15766
G,2001-05-01,17555
G,2001-06-01,21049
G,2001-07-01,18466
G,2001-08-01,17118
G,2001-09-01,19365
G,2001-10-01,13561
G,2001-11-01,15236
G,2001-12-01,19184
G,2002-01-01,18614
G,2002-02-01,17410
G,2002-03-01,19601
G,2002-04-01,18915
G,2002-05-01,22130
G,2002-06-01,25808
G,2002-07-01,22265
G,2002-08-01,22348
G,2002-09-01,24428
G,2002-10-01,22556
G,2002-11-01,21256
G,2002-12-01,23648
G,2003-01-01,19448
G,2003-02-01,18172
G,2003-03-01,22468
G,2003-04-01,22323
G,2003-05-01,24727
G,2003-06-01,28236
G,2003-07-01,26289
G,2003-08-01,25476
G,2003-09-01,25931
G,2003-10-01,21461
G,2003-11-01,21248
G,2003-12-01,22672
G,2004-01-01,21419
G,2004-02-01,20559
G,2004-03-01,21042
G,2004-04-01,21450
G,2004-05-01,19441
G,2004-06-01,24523
G,2004-07-01,24455
