D0,D1,date,value
B,B,1984-12-01,23749
B,B,1985-01-01,22193
B,B,1985-02-01,22235
B,B,1985-03-01,22318
B,B,1985-04-01,21968
B,B,1985-05-01,22106
B,B,1985-06-01,22225
B,B,1985-07-01,21624
B,B,1985-08-01,21735
B,B,1985-09-01,21762
B,B,1985-10-01,21747
B,B,1985-11-01,22254
B,B,1985-12-01,23280
B,B,1986-01-01,22366
B,B,1986-02-01,22285
B,B,1986-03-01,22504
B,B,1986-04-01,22104
B,B,1986-05-01,22053
B,B,1986-06-01,22056
B,B,1986-07-01,21890
B,B,1986-08-01,22079
B,B,1986-09-01,22026
B,B,1986-10-01,22203
B,B,1986-11-01,22748
B,B,1986-12-01,24408
B,B,1987-01-01,22857
B,B,1987-02-01,22852
B,B,1987-03-01,22672
B,B,1987-04-01,22776
B,B,1987-05-01,22723
B,B,1987-06-01,22837
B,B,1987-07-01,22653
B,B,1987-08-01,22591
B,B,1987-09-01,22784
B,B,1987-10-01,23023
B,B,1987-11-01,23485
B,B,1987-12-01,24641
B,B,1988-01-01,23680
B,B,1988-02-01,23608
B,B,1988-03-01,23927
B,B,1988-04-01,23809
B,B,1988-05-01,23726
B,B,1988-06-01,23954
B,B,1988-07-01,23810
B,B,1988-08-01,23899
B,B,1988-09-01,24195
B,B,1988-10-01,24116
B,B,1988-11-01,24668
B,B,1988-12-01,26301
B,B,1989-01-01,24802
B,B,1989-02-01,24728
B,B,1989-03-01,24913
B,B,1989-04-01,24814
B,B,1989-05-01,24384
B,B,1989-06-01,24551
B,B,1989-07-01,24254
B,B,1989-08-01,24273
B,B,1989-09-01,24444
B,B,1989-10-01,24209
B,B,1989-11-01,24698
B,B,1989-12-01,26164
B,B,1990-01-01,24303
B,B,1990-02-01,24234
B,B,1990-03-01,24183
B,B,1990-04-01,23939
B,B,1990-05-01,23821
B,B,1990-06-01,23997
B,B,1990-07-01,23811
B,B,1990-08-01,23756
B,B,1990-09-01,23842
B,B,1990-10-01,23855
B,B,1990-11-01,24453
B,B,1990-12-01,26342
B,B,1991-01-01,24593
B,B,1991-02-01,24735
B,B,1991-03-01,24883
B,B,1991-04-01,24686
B,B,1991-05-01,24589
B,B,1991-06-01,24743
B,B,1991-07-01,24584
B,B,1991-08-01,24624
B,B,1991-09-01,24594
B,B,1991-10-01,24738
B,B,1991-11-01,25157
B,B,1991-12-01,26298
B,B,1992-01-01,25015
B,B,1992-02-01,24956
B,B,1992-03-01,24907
B,B,1992-04-01,24981
B,B,1992-05-01,24856
B,B,1992-06-01,24767
B,B,1992-07-01,24514
B,B,1992-08-01,24481
B,B,1992-09-01,24461
B,B,1992-10-01,24497
B,B,1992-11-01,24979
B,B,1992-12-01,26851
B,B,1993-01-01,25426
B,B,1993-02-01,25195
B,B,1993-03-01,25249
B,B,1993-04-01,25243
B,B,1993-05-01,25189
B,B,1993-06-01,25125
B,B,1993-07-01,24913
B,B,1993-08-01,24828
B,B,1993-09-01,25140
B,B,1993-10-01,25202
B,B,1993-11-01,25703
B,B,1993-12-01,26963
