D0,date,value
BMF0,2014-12-01,190
BMF0,2015-01-01,162.7
BMF0,2015-02-01,139.9
BMF0,2015-03-01,163.8
BMF0,2015-04-01,156.8
BMF0,2015-05-01,149.2
BMF0,2015-06-01,182.9
BMF0,2015-07-01,198.4
BMF0,2015-08-01,154.3
BMF0,2015-09-01,172.5
BMF0,2015-10-01,171.2
BMF0,2015-11-01,165.9
BMF0,2015-12-01,200.8
BMF0,2016-01-01,157.7
BMF0,2016-02-01,164.9
BMF0,2016-03-01,181.2
BMF0,2016-04-01,170
BMF0,2016-05-01,179.3
BMF0,2016-06-01,189.3
BMF0,2016-07-01,209.2
BMF0,2016-08-01,183.1
BMF0,2016-09-01,178.5
BMF0,2016-10-01,169.4
BMF0,2016-11-01,172.2
BMF0,2016-12-01,190.5
BMF0,2017-01-01,162
BMF0,2017-02-01,153
BMF0,2017-03-01,182.6
BMF0,2017-04-01,164.4
BMF0,2017-05-01,192.3
BMF0,2017-06-01,196.8
BMF0,2017-07-01,223.8
BMF0,2017-08-01,197.2
BMF0,2017-09-01,188.2
BMF0,2017-10-01,198
BMF0,2017-11-01,191.7
BMF0,2017-12-01,251.1
BMF0,2018-01-01,245.8
BMF0,2018-02-01,194.9
BMF0,2018-03-01,220.5
BMF0,2018-04-01,216.3
BMF0,2018-05-01,233.4
BMF0,2018-06-01,224.5
BMF0,2018-07-01,266.4
BMF0,2018-08-01,225.4
BMF0,2018-09-01,204.6
BMF0,2018-10-01,230.7
BMF0,2018-11-01,230.7
BMF0,2018-12-01,290.4
BMF0,2019-01-01,286
BMF0,2019-02-01,239.6
BMF0,2019-03-01,253.1
BMF0,2019-04-01,269
BMF0,2019-05-01,260.3
BMF0,2019-06-01,260.3
BMF0,2019-07-01,330.6
BMF0,2019-08-01,253
BMF0,2019-09-01,255.4
BMF0,2019-10-01,283.3
BMF0,2019-11-01,263.8
BMF0,2019-12-01,355.1
BMF0,2020-01-01,309.9
BMF0,2020-02-01,243.5
BMF0,2020-03-01,238.7
BMF0,2020-04-01,200.8
BMF0,2020-05-01,198.8
BMF0,2020-06-01,244.3
BMF0,2020-07-01,278.8
BMF0,2020-08-01,236.9
BMF0,2020-09-01,257.4
BMF0,2020-10-01,247.2
BMF0,2020-11-01,263.6
BMF0,2020-12-01,352
BMF0,2021-01-01,274.5
BMF0,2021-02-01,267
BMF0,2021-03-01,306.9
BMF0,2021-04-01,273.2
BMF0,2021-05-01,288.9
BMF0,2021-06-01,330.7
BMF0,2021-07-01,352.1
BMF0,2021-08-01,327.9
BMF0,2021-09-01,317.9
BMF0,2021-10-01,319
BMF0,2021-11-01,373.7
BMF0,2021-12-01,402.8
BMF0,2022-01-01,321.3
BMF0,2022-02-01,301.2
BMF0,2022-03-01,371.1
BMF0,2022-04-01,334.7
BMF0,2022-05-01,368.3
BMF0,2022-06-01,363.8
BMF0,2022-07-01,369
BMF0,2022-08-01,367.9
BMF0,2022-09-01,342.4
BMF0,2022-10-01,318.2
BMF0,2022-11-01,357.8
BMF0,2022-12-01,395.4
BMF0,2023-01-01,369.3
BMF0,2023-02-01,307.5
BMF0,2023-03-01,343
BMF0,2023-04-01,299.3
BMF0,2023-05-01,344.9
BMF0,2023-06-01,322.4
BMF0,2023-07-01,340.3
BMF0,2023-08-01,331.3
BMF0,2023-09-01,301.3
BMF0,2023-10-01,331
BMF0,2023-11-01,338.6
BMF0,2023-12-01,379.5
BMF0,2024-01-01,366.8
BMF0,2024-02-01,311.7
BMF0,2024-03-01,301.1
BMF0,2024-04-01,344.7
BMF0,2024-05-01,327.1
BMF0,2024-06-01,303.9
BMF0,2024-07-01,378.6
BMF0,2024-08-01,316.1
BMF0,2024-09-01,306.9
