D0,date,value
149990,1987-09-01,306666
149990,1987-10-01,445056
149990,1987-11-01,523417
149990,1987-12-01,787555
149990,1988-01-01,678724
149990,1988-02-01,799172
149990,1988-03-01,1084525
149990,1988-04-01,1075095
149990,1988-05-01,1392103
149990,1988-06-01,2149157
149990,1988-07-01,2621622
149990,1988-08-01,2618883
149990,1988-09-01,2656301
149990,1988-10-01,2690242
149990,1988-11-01,2865920
149990,1988-12-01,3436666
149990,1989-01-01,3058714
149990,1989-02-01,3314464
149990,1989-03-01,3822595
149990,1989-04-01,3583229
149990,1989-05-01,3917020
149990,1989-06-01,3872757
149990,1989-07-01,3741044
149990,1989-08-01,3667681
149990,1989-09-01,3559845
149990,1989-10-01,3907554
149990,1989-11-01,3912092
149990,1989-12-01,4282358
149990,1990-01-01,3856766
149990,1990-02-01,3655443
149990,1990-03-01,4152326
149990,1990-04-01,3889502
149990,1990-05-01,4356596
149990,1990-06-01,4005757
149990,1990-07-01,4320518
149990,1990-08-01,4042712
149990,1990-09-01,3751833
149990,1990-10-01,4475505
149990,1990-11-01,4262764
149990,1990-12-01,4596060
149990,1991-01-01,4168861
149990,1991-02-01,3878363
149990,1991-03-01,4193507
149990,1991-04-01,4693396
149990,1991-05-01,4471014
149990,1991-06-01,3894882
149990,1991-07-01,4777861
149990,1991-08-01,4292101
149990,1991-09-01,4157111
149990,1991-10-01,4563462
149990,1991-11-01,4238363
149990,1991-12-01,5017337
149990,1992-01-01,4152878
149990,1992-02-01,3974718
149990,1992-03-01,4515846
149990,1992-04-01,4256198
149990,1992-05-01,4068005
149990,1992-06-01,4402850
149990,1992-07-01,4541203
149990,1992-08-01,3821066
149990,1992-09-01,4178455
149990,1992-10-01,4317028
149990,1992-11-01,4169369
149990,1992-12-01,5198334
149990,1993-01-01,3846034
149990,1993-02-01,3984466
149990,1993-03-01,4746301
149990,1993-04-01,4297266
149990,1993-05-01,4042024
149990,1993-06-01,4631585
149990,1993-07-01,4535250
149990,1993-08-01,4148122
149990,1993-09-01,4332288
149990,1993-10-01,4380207
149990,1993-11-01,5026448
149990,1993-12-01,6760078
149990,1994-01-01,5252547
149990,1994-02-01,5436189
149990,1994-03-01,6996335
149990,1994-04-01,5779574
149990,1994-05-01,6235906
149990,1994-06-01,6450750
149990,1994-07-01,6314764
149990,1994-08-01,6087603
149990,1994-09-01,6128837
149990,1994-10-01,6160200
149990,1994-11-01,6479561
149990,1994-12-01,7964762
149990,1995-01-01,6256505
149990,1995-02-01,5968194
149990,1995-03-01,7158172
149990,1995-04-01,5719529
149990,1995-05-01,7066433
149990,1995-06-01,6744768
149990,1995-07-01,6540196
149990,1995-08-01,6434383
149990,1995-09-01,6136918
149990,1995-10-01,6927717
149990,1995-11-01,6953996
149990,1995-12-01,7739825
149990,1996-01-01,7074044
149990,1996-02-01,6857654
149990,1996-03-01,7126999
149990,1996-04-01,7257099
149990,1996-05-01,7722087
149990,1996-06-01,6828201
149990,1996-07-01,8108470
149990,1996-08-01,6773292
149990,1996-09-01,6940608
149990,1996-10-01,7993917
149990,1996-11-01,7375013
149990,1996-12-01,9343929
149990,1997-01-01,7407352
149990,1997-02-01,7145580
149990,1997-03-01,7339646
149990,1997-04-01,8745202
149990,1997-05-01,7862483
149990,1997-06-01,8047048
149990,1997-07-01,8826472
149990,1997-08-01,7006698
149990,1997-09-01,8026311
149990,1997-10-01,8727673
149990,1997-11-01,7630789
149990,1997-12-01,10760413
149990,1998-01-01,7774527
149990,1998-02-01,7787559
149990,1998-03-01,9301292
149990,1998-04-01,8698391
149990,1998-05-01,8387100
149990,1998-06-01,8999771
149990,1998-07-01,9762185
149990,1998-08-01,8120074
149990,1998-09-01,8817201
149990,1998-10-01,9186516
149990,1998-11-01,8951471
149990,1998-12-01,11629700
149990,1999-01-01,8208414
149990,1999-02-01,8408608
149990,1999-03-01,10781549
149990,1999-04-01,9634135
149990,1999-05-01,9474852
149990,1999-06-01,10397764
149990,1999-07-01,10124857
149990,1999-08-01,8983823
149990,1999-09-01,9114754
149990,1999-10-01,8939247
149990,1999-11-01,9730691
149990,1999-12-01,11881322
149990,2000-01-01,9114080
149990,2000-02-01,9368747
149990,2000-03-01,10784928
149990,2000-04-01,8726796
149990,2000-05-01,11219622
149990,2000-06-01,9985187
149990,2000-07-01,10182657
149990,2000-08-01,9787833
149990,2000-09-01,9183100
149990,2000-10-01,10350357
149990,2000-11-01,10450493
149990,2000-12-01,11885818
149990,2001-01-01,10695287
149990,2001-02-01,9768240
149990,2001-03-01,11158711
149990,2001-04-01,10247828
149990,2001-05-01,11257158
149990,2001-06-01,10661450
149990,2001-07-01,11808281
149990,2001-08-01,10882381
149990,2001-09-01,9914286
149990,2001-10-01,12315245
149990,2001-11-01,11675863
149990,2001-12-01,12439844
149990,2002-01-01,12384535
149990,2002-02-01,10788544
149990,2002-03-01,11539144
149990,2002-04-01,12266873
149990,2002-05-01,12460670
149990,2002-06-01,10944414
149990,2002-07-01,13663563
149990,2002-08-01,11252429
149990,2002-09-01,11471182
149990,2002-10-01,13115663
149990,2002-11-01,12039622
149990,2002-12-01,15269678
149990,2003-01-01,12459219
149990,2003-02-01,11513118
149990,2003-03-01,13142840
149990,2003-04-01,12935063
149990,2003-05-01,13248936
149990,2003-06-01,13237092
149990,2003-07-01,15036957
149990,2003-08-01,11683736
149990,2003-09-01,13323046
149990,2003-10-01,14636083
149990,2003-11-01,12723470
149990,2003-12-01,17878074
149990,2004-01-01,13166955
149990,2004-02-01,12665114
149990,2004-03-01,15648263
149990,2004-04-01,13966308
149990,2004-05-01,12730494
149990,2004-06-01,15425583
149990,2004-07-01,14888575
149990,2004-08-01,13761699
149990,2004-09-01,14444304
149990,2004-10-01,14792791
149990,2004-11-01,16458650
149990,2004-12-01,20744309
149990,2005-01-01,15310163
149990,2005-02-01,14979341
149990,2005-03-01,17651199
149990,2005-04-01,16385109
149990,2005-05-01,16948749
149990,2005-06-01,17842418
149990,2005-07-01,18969702
149990,2005-08-01,18937487
149990,2005-09-01,18378816
149990,2005-10-01,18801077
149990,2005-11-01,21099501
149990,2005-12-01,25926113
149990,2006-01-01,21760537
149990,2006-02-01,20205740
149990,2006-03-01,24104278
149990,2006-04-01,19409106
149990,2006-05-01,24231924
149990,2006-06-01,22154073
149990,2006-07-01,22485910
149990,2006-08-01,22116352
149990,2006-09-01,21199559
149990,2006-10-01,24370742
149990,2006-11-01,25188722
149990,2006-12-01,28880823
149990,2007-01-01,25995321
149990,2007-02-01,23823382
149990,2007-03-01,26663473
149990,2007-04-01,24099501
149990,2007-05-01,26445574
149990,2007-06-01,25148680
149990,2007-07-01,26933697
149990,2007-08-01,24973134
149990,2007-09-01,22151805
149990,2007-10-01,27802657
149990,2007-11-01,27025291
149990,2007-12-01,29752960
149990,2008-01-01,26577287
149990,2008-02-01,25603742
149990,2008-03-01,26154507
149990,2008-04-01,26928173
149990,2008-05-01,26280547
149990,2008-06-01,26141154
149990,2008-07-01,29254802
149990,2008-08-01,23148655
149990,2008-09-01,26735284
149990,2008-10-01,28310379
149990,2008-11-01,24816081
149990,2008-12-01,34532236
149990,2009-01-01,25755584
149990,2009-02-01,25337229
149990,2009-03-01,30259523
149990,2009-04-01,27212040
149990,2009-05-01,26169490
149990,2009-06-01,28495678
149990,2009-07-01,29427316
149990,2009-08-01,25452452
149990,2009-09-01,27025390
149990,2009-10-01,28066081
149990,2009-11-01,27964761
149990,2009-12-01,35523246
149990,2010-01-01,26252874
149990,2010-02-01,26212894
149990,2010-03-01,32910706
149990,2010-04-01,28035471
149990,2010-05-01,28245463
149990,2010-06-01,29336633
149990,2010-07-01,29176608
149990,2010-08-01,27135083
149990,2010-09-01,27437346
149990,2010-10-01,27419652
149990,2010-11-01,30278444
149990,2010-12-01,35721309
149990,2011-01-01,28195693
149990,2011-02-01,26640093
149990,2011-03-01,32052164
149990,2011-04-01,27225838
149990,2011-05-01,30715955
149990,2011-06-01,28652896
149990,2011-07-01,28955025
149990,2011-08-01,28847208
149990,2011-09-01,28670203
149990,2011-10-01,28798084
149990,2011-11-01,29955011
149990,2011-12-01,35192651
149990,2012-01-01,30081054
149990,2012-02-01,28746322
149990,2012-03-01,30399814
149990,2012-04-01,29117151
149990,2012-05-01,30426561
149990,2012-06-01,29274065
149990,2012-07-01,31503802
149990,2012-08-01,28711575
149990,2012-09-01,26186460
149990,2012-10-01,32439631
149990,2012-11-01,30954311
149990,2012-12-01,34886945
149990,2013-01-01,30521396
149990,2013-02-01,28524851
149990,2013-03-01,30066907
149990,2013-04-01,32129907
149990,2013-05-01,31655040
149990,2013-06-01,28135003
149990,2013-07-01,33722432
149990,2013-08-01,28015944
149990,2013-09-01,28891941
149990,2013-10-01,32057414
149990,2013-11-01,29938296
149990,2013-12-01,37183071
149990,2014-01-01,31390691
149990,2014-02-01,29421889
149990,2014-03-01,31567658
149990,2014-04-01,31283090
149990,2014-05-01,31180996
149990,2014-06-01,30709737
149990,2014-07-01,33532765
149990,2014-08-01,27387035
149990,2014-09-01,30910531
149990,2014-10-01,32829017
149990,2014-11-01,29040982
149990,2014-12-01,39730958
149990,2015-01-01,30674722
149990,2015-02-01,29501312
149990,2015-03-01,34990604
149990,2015-04-01,31860074
149990,2015-05-01,30302849
149990,2015-06-01,33212415
149990,2015-07-01,34056837
149990,2015-08-01,29586905
149990,2015-09-01,31175259
149990,2015-10-01,32274595
149990,2015-11-01,32103822
149990,2015-12-01,39834223
149990,2016-01-01,30095423
149990,2016-02-01,32810736
149990,2016-03-01,34067757
149990,2016-04-01,32446724
149990,2016-05-01,33588495
