D0,date,value
DZ0,2014-12-01,3956654
DZ0,2015-01-01,4009822
DZ0,2015-02-01,4161289
DZ0,2015-03-01,4318024
DZ0,2015-04-01,4419942
DZ0,2015-05-01,4544023
DZ0,2015-06-01,4662326
DZ0,2015-07-01,4760675
DZ0,2015-08-01,4848605
DZ0,2015-09-01,4947569
DZ0,2015-10-01,5007050
DZ0,2015-11-01,5071627
DZ0,2015-12-01,5160328
DZ0,2016-01-01,5191193
DZ0,2016-02-01,5280174
DZ0,2016-03-01,5345740
DZ0,2016-04-01,5410191
DZ0,2016-05-01,5463111
DZ0,2016-06-01,5500262
DZ0,2016-07-01,5549103
DZ0,2016-08-01,5583636
DZ0,2016-09-01,5632844
DZ0,2016-10-01,5660115
DZ0,2016-11-01,5683299
DZ0,2016-12-01,5704171
DZ0,2017-01-01,5831760
DZ0,2017-02-01,5858883
DZ0,2017-03-01,5898649
DZ0,2017-04-01,5945125
DZ0,2017-05-01,5964658
DZ0,2017-06-01,5989022
DZ0,2017-07-01,6004998
DZ0,2017-08-01,6020656
DZ0,2017-09-01,6034781
DZ0,2017-10-01,6063562
DZ0,2017-11-01,6124139
DZ0,2017-12-01,6156690
DZ0,2018-01-01,6161693
DZ0,2018-02-01,6189573
DZ0,2018-03-01,6223739
DZ0,2018-04-01,6243411
DZ0,2018-05-01,6272878
DZ0,2018-06-01,6302940
DZ0,2018-07-01,6341510
DZ0,2018-08-01,6363969
DZ0,2018-09-01,6418836
DZ0,2018-10-01,6454416
DZ0,2018-11-01,6546531
DZ0,2018-12-01,6591956
DZ0,2019-01-01,6671596
DZ0,2019-02-01,6707856
DZ0,2019-03-01,6736153
DZ0,2019-04-01,6796486
DZ0,2019-05-01,6856448
DZ0,2019-06-01,6888575
DZ0,2019-07-01,6893870
DZ0,2019-08-01,6938317
DZ0,2019-09-01,6934471
DZ0,2019-10-01,6945529
DZ0,2019-11-01,6956405
DZ0,2019-12-01,6984201
DZ0,2020-01-01,6991648
DZ0,2020-02-01,7012371
DZ0,2020-03-01,7015847
DZ0,2020-04-01,7030420
