D0,D1,D2,D3,D4,date,value
BE,D,IZ,II,BMF,2017-05-01,0.22245
BE,D,IZ,II,BMF,2017-06-01,0.51908
BE,D,IZ,II,BMF,2017-07-01,0.65007143
BE,D,IZ,II,BMF,2017-08-01,0.93380818
BE,D,IZ,II,BMF,2017-09-01,0.92430041
BE,D,IZ,II,BMF,2017-10-01,0.81062854
BE,D,IZ,II,BMF,2017-11-01,1.68670784
BE,D,IZ,II,BMF,2017-12-01,3.10863424
BE,D,IZ,II,BMF,2018-01-01,2.50802774
BE,D,IZ,II,BMF,2018-02-01,8.78537079
BE,D,IZ,II,BMF,2018-03-01,23.3526105
BE,D,IZ,II,BMF,2018-04-01,33.24398819
BE,D,IZ,II,BMF,2018-05-01,51.41404636
BE,D,IZ,II,BMF,2018-06-01,106.25140643
BE,D,IZ,II,BMF,2018-07-01,229.32073933
BE,D,IZ,II,BMF,2018-08-01,293.30239643
BE,D,IZ,II,BMF,2018-09-01,357.51394504
BE,D,IZ,II,BMF,2018-10-01,500.95006251
BE,D,IZ,II,BMF,2018-11-01,616.8770354
BE,D,IZ,II,BMF,2018-12-01,833.47174817
BE,D,IZ,II,BMF,2019-01-01,662.09408348
BE,D,IZ,II,BMF,2019-02-01,744.66025804
BE,D,IZ,II,BMF,2019-03-01,1029.35537245
BE,D,IZ,II,BMF,2019-04-01,1220.99104426
BE,D,IZ,II,BMF,2019-05-01,1493.77734981
BE,D,IZ,II,BMF,2019-06-01,1571.7349309
BE,D,IZ,II,BMF,2019-07-01,1820.66219575
BE,D,IZ,II,BMF,2019-08-01,1731.24389172
BE,D,IZ,II,BMF,2019-09-01,1799.93077703
BE,D,IZ,II,BMF,2019-10-01,2002.37346916
BE,D,IZ,II,BMF,2019-11-01,2234.75301428
BE,D,IZ,II,BMF,2019-12-01,2927.46703785
BE,D,IZ,II,BMF,2020-01-01,2244.16811153
BE,D,IZ,II,BMF,2020-02-01,2365.11208425
BE,D,IZ,II,BMF,2020-03-01,2227.03125168
BE,D,IZ,II,BMF,2020-04-01,1771.18406493
BE,D,IZ,II,BMF,2020-05-01,2231.30381816
BE,D,IZ,II,BMF,2020-06-01,2555.95045645
BE,D,IZ,II,BMF,2020-07-01,2891.47567645
BE,D,IZ,II,BMF,2020-08-01,2634.43960418
BE,D,IZ,II,BMF,2020-09-01,2689.65889543
BE,D,IZ,II,TT,2017-05-01,0.469
BE,D,IZ,II,TT,2017-06-01,1.449
BE,D,IZ,II,TT,2017-07-01,1.842
BE,D,IZ,II,TT,2017-08-01,2.84
BE,D,IZ,II,TT,2017-09-01,2.919
BE,D,IZ,II,TT,2017-10-01,2.784
BE,D,IZ,II,TT,2017-11-01,5.027
BE,D,IZ,II,TT,2017-12-01,7.391
BE,D,IZ,II,TT,2018-01-01,6.625
BE,D,IZ,II,TT,2018-02-01,20.532
BE,D,IZ,II,TT,2018-03-01,56.374
BE,D,IZ,II,TT,2018-04-01,83.463
BE,D,IZ,II,TT,2018-05-01,127.398
BE,D,IZ,II,TT,2018-06-01,245.819
BE,D,IZ,II,TT,2018-07-01,487.363
