D0,D1,D2,date,value
T,LAS,ATA,2022-01-01,5532.549
T,LAS,ATA,2022-02-01,4581.904
T,LAS,ATA,2022-03-01,6536.27
T,LAS,ATA,2022-04-01,5529.432
T,LAS,ATA,2022-05-01,5763.281
T,LAS,ATA,2022-06-01,5970.888
T,LAS,ATA,2022-07-01,5463.772
T,LAS,ATA,2022-08-01,5886.204
T,LAS,ATA,2022-09-01,5565.586
T,LAS,ATA,2022-10-01,5237.192
T,LAS,ATA,2022-11-01,5512.583000000001
T,LAS,ATA,2022-12-01,5670.874
T,LAS,ATA,2023-01-01,5706.461
T,LAS,ATA,2023-02-01,4796.066000000001
T,LAS,ATA,2023-03-01,6272.868
T,LAS,ATA,2023-04-01,5256.046
T,LAS,ATA,2023-05-01,5818.06
T,LAS,ATA,2023-06-01,5620.763
T,LAS,ATA,2023-07-01,5420.614
T,LAS,ATA,2023-08-01,5556.339
T,LAS,ATA,2023-09-01,5205.933
T,LAS,ATA,2023-10-01,5569.667
T,LAS,ATA,2023-11-01,5425.355
T,LAS,ATA,2023-12-01,5267.140999999999
T,LAS,ATA,2024-01-01,5649.369
T,LAS,ATA,2024-02-01,5254.53
T,LAS,ATA,2024-03-01,5138.997
T,LAS,ATA,2024-04-01,5675.446
T,LAS,ATA,2024-05-01,5854.569
T,LAS,ATA,2024-06-01,4863.816
T,LAS,ATA,2024-07-01,6026.959
T,LAS,ATA,2024-08-01,5208.347
T,LAS,ATA,2024-09-01,5241.015
T,LAS,ATA,2024-10-01,5645.631
T,LAS,ATA,2024-11-01,5083.217
T,LAS,ATA,2024-12-01,5564.677
T,LAS,ATA,2025-01-01,5390.195
T,LAS,ATA,2025-02-01,4886.634
T,LAS,ATA,2025-03-01,6023.956
T,LAS,ATA,2025-04-01,5214.225
T,LAS,ATA,2025-05-01,5484.05
T,LAS,ATA,2025-06-01,5192.794
T,LAS,ATA,2025-07-01,5691.827
T,LAS,ATA,2025-08-01,4971.193
T,LAS,ATA,2025-09-01,5036.791
T,LAS,ATA,2025-10-01,5490.992
T,LAS,ATA,2025-11-01,4577.503
T,LAS,ATA,2025-12-01,5519.009
T,LAS,ATA,2026-01-01,5265.032
T,LAS,ATA,2026-02-01,4523.242
T,LAS,ATA,2026-03-01,5712.038
