D0,D1,D2,date,value
FH,L1015J,25PQP,2009-05-01,3
FH,L1015J,25PQP,2009-06-01,3.3575
FH,L1015J,25PQP,2009-07-01,3.26
FH,L1015J,25PQP,2009-08-01,3.2
FH,L1015J,25PQP,2009-09-01,3
FH,L1015J,25PQP,2009-10-01,3.1125
FH,L1015J,25PQP,2009-11-01,3
FH,L1015J,25PQP,2009-12-01,3.1
FH,L1015J,25PQP,2010-01-01,2.9875
FH,L1015J,25PQP,2010-02-01,3.01
FH,L1015J,25PQP,2010-03-01,2.95
FH,L1015J,25PQP,2010-04-01,2.935
FH,L1015J,25PQP,2010-05-01,2.9
FH,L1015J,25PQP,2010-06-01,2.75
FH,L1015J,25PQP,2010-07-01,2.625
FH,L1015J,25PQP,2010-08-01,2.55
FH,L1015J,25PQP,2010-09-01,2.5
FH,L1015J,25PQP,2010-10-01,2.5
FH,L1015J,25PQP,2010-11-01,2.56
FH,L1015J,25PQP,2010-12-01,2.65
FH,L1015J,25PQP,2011-01-01,2.75
FH,L1015J,25PQP,2011-02-01,2.85
FH,L1015J,25PQP,2011-03-01,2.85
FH,L1015J,25PQP,2011-04-01,2.95
FH,L1015J,25PQP,2011-05-01,3
FH,L1015J,25PQP,2011-06-01,2.7275
FH,L1015J,25PQP,2011-07-01,2.8
FH,L1015J,25PQP,2011-08-01,2.45
FH,L1015J,25PQP,2011-09-01,2.35
FH,L1015J,25PQP,2011-10-01,2.2625
FH,L1015J,25PQP,2011-11-01,2.25
FH,L1015J,25PQP,2011-12-01,2.15
FH,L1015J,25PQP,2012-01-01,2.15
FH,L1015J,25PQP,2012-02-01,1.95
FH,L1015J,25PQP,2012-03-01,1.9
FH,L1015J,25PQP,2012-04-01,1.95
FH,L1015J,25PQP,2012-05-01,1.95
FH,L1015J,25PQP,2012-06-01,1.85
FH,L1015J,25PQP,2012-07-01,1.8775
FH,L1015J,25PQP,2012-08-01,1.9
FH,L1015J,25PQP,2012-09-01,1.895
FH,L1015J,25PQP,2012-10-01,1.85
FH,L1015J,25PQP,2012-11-01,1.9
FH,L1015J,25PQP,2012-12-01,1.85
FH,L1015J,25PQP,2013-01-01,1.9
FH,L1015J,25PQP,2013-02-01,1.975
FH,L1015J,25PQP,2013-03-01,2.08
FH,L1015J,25PQP,2013-04-01,2.02
FH,L1015J,25PQP,2013-05-01,2.05
FH,L1015J,25PQP,2013-06-01,2.095
FH,L1015J,25PQP,2013-07-01,2.195
FH,L1015J,25PQP,2013-08-01,2.4
FH,L1015J,25PQP,2013-09-01,2.25
FH,L1015J,25PQP,2013-10-01,2.3025
FH,L1015J,25PQP,2013-11-01,2.48
FH,L1015J,25PQP,2013-12-01,2.32
FH,L1015J,25PQP,2014-01-01,2.3475
FH,L1015J,25PQP,2014-02-01,2.368
FH,L1015J,25PQP,2014-03-01,2.4
FH,L1015J,25PQP,2014-04-01,2.295
FH,L1015J,25PQP,2014-05-01,2.15
FH,L1015J,25PQP,2014-06-01,2.135
FH,L1015J,25PQP,2014-07-01,2.04
FH,L1015J,25PQP,2014-08-01,1.95
FH,L1015J,25PQP,2014-09-01,1.9
FH,L1015J,25PQP,2014-10-01,1.88
FH,L1015J,25PQP,2014-11-01,1.75
FH,L1015J,25PQP,2014-12-01,1.7193
FH,L1015J,25PQP,2015-01-01,1.3
FH,L1015J,25PQP,2015-02-01,1.1643
FH,L1015J,25PQP,2015-03-01,1.2762
FH,L1015J,25PQP,2015-04-01,1.3462
FH,L1015J,25PQP,2015-05-01,1.58
FH,L1015J,25PQP,2015-06-01,1.54
FH,L1015J,25PQP,2015-07-01,1.77
FH,L1015J,25PQP,2015-08-01,1.185
FH,L1015J,25PQP,2015-09-01,1.7925
FH,L1015J,25PQP,2015-10-01,1.5625
FH,L1015J,25PQP,2015-11-01,1.7
FH,L1015J,25PQP,2015-12-01,1.7
FH,L1015J,25PQP,2016-01-01,1.6525
FH,L1015J,25PQP,2016-02-01,1.5875
FH,L1015J,25PQP,2016-03-01,1.435
FH,L1015J,25PQP,2016-04-01,1.41
FH,L1015J,25PQP,2016-05-01,1.45
FH,L1015J,25PQP,2016-06-01,1.3125
FH,L1015J,25PQP,2016-07-01,1.296
FH,L1015J,25PQP,2016-08-01,1.33
FH,L1015J,25PQP,2016-09-01,1.34
