D0,D1,date,value
025Q,10,2007-12-01,4.25
025Q,10,2008-01-01,4.1
025Q,10,2008-02-01,4.2
025Q,10,2008-03-01,4.25
025Q,10,2008-04-01,4.4
025Q,10,2008-05-01,4.5
025Q,10,2008-06-01,4.6
025Q,10,2008-07-01,4.45
025Q,10,2008-08-01,4.2
025Q,10,2008-09-01,4.25
025Q,10,2008-10-01,4.22
025Q,10,2008-11-01,3.42
025Q,10,2008-12-01,3.45
025Q,10,2009-01-01,3.37
025Q,10,2009-02-01,3.38
025Q,10,2009-03-01,3.38
025Q,10,2009-04-01,3.3
025Q,10,2009-05-01,3.63
025Q,10,2009-06-01,3.56
025Q,10,2009-07-01,3.44
025Q,10,2009-08-01,3.35
025Q,10,2009-09-01,3.35
025Q,10,2009-10-01,3.4
025Q,10,2009-11-01,3.31
025Q,10,2009-12-01,3.35
025Q,10,2010-01-01,3.3
025Q,10,2010-02-01,3.2
025Q,10,2010-03-01,3.2
025Q,10,2010-04-01,3.14
025Q,10,2010-05-01,2.92
025Q,10,2010-06-01,2.85
025Q,10,2010-07-01,2.84
025Q,10,2010-08-01,2.55
025Q,10,2010-09-01,2.68
025Q,10,2010-10-01,2.75
025Q,10,2010-11-01,2.9
025Q,10,2010-12-01,3.05
025Q,10,2011-01-01,3.19
025Q,10,2011-02-01,3.2
025Q,10,2011-03-01,3.23
025Q,10,2011-04-01,3.3
025Q,10,2011-05-01,3.11
025Q,10,2011-06-01,3.05
025Q,10,2011-07-01,2.85
025Q,10,2011-08-01,2.6
025Q,10,2011-09-01,2.45
025Q,10,2011-10-01,2.51
025Q,10,2011-11-01,2.42
025Q,10,2011-12-01,2.3
025Q,10,2012-01-01,2.2
025Q,10,2012-02-01,2.13
025Q,10,2012-03-01,2.2
025Q,10,2012-04-01,2.15
025Q,10,2012-05-01,2
025Q,10,2012-06-01,2.07
025Q,10,2012-07-01,2.04
025Q,10,2012-08-01,2.02
025Q,10,2012-09-01,2.05
025Q,10,2012-10-01,2
025Q,10,2012-11-01,2
025Q,10,2012-12-01,2.02
025Q,10,2013-01-01,2.28
025Q,10,2013-02-01,2.25
025Q,10,2013-03-01,2.25
025Q,10,2013-04-01,2.15
025Q,10,2013-05-01,2.3
025Q,10,2013-06-01,2.65
025Q,10,2013-07-01,2.6
025Q,10,2013-08-01,2.75
025Q,10,2013-09-01,2.65
025Q,10,2013-10-01,2.6
025Q,10,2013-11-01,2.58
025Q,10,2013-12-01,2.75
025Q,10,2014-01-01,2.52
025Q,10,2014-02-01,2.46
025Q,10,2014-03-01,2.44
025Q,10,2014-04-01,2.33
025Q,10,2014-05-01,2.21
025Q,10,2014-06-01,2.17
025Q,10,2014-07-01,2.11
025Q,10,2014-08-01,1.98
025Q,10,2014-09-01,2
025Q,10,2014-10-01,1.95
025Q,10,2014-11-01,1.84
025Q,10,2014-12-01,1.71
025Q,10,2015-01-01,1.58
025Q,10,2015-02-01,1.8
025Q,10,2015-03-01,1.85
025Q,10,2015-04-01,1.86
025Q,10,2015-05-01,1.9
025Q,10,2015-06-01,1.99
025Q,10,2015-07-01,1.95
025Q,10,2015-08-01,1.91
025Q,10,2015-09-01,1.91
025Q,10,2015-10-01,1.8
025Q,10,2015-11-01,1.8
025Q,10,2015-12-01,1.85
025Q,10,2016-01-01,1.73
025Q,10,2016-02-01,1.64
025Q,10,2016-03-01,1.61
025Q,10,2016-04-01,1.6
025Q,10,2016-05-01,1.59
025Q,10,2016-06-01,1.5
025Q,10,2016-07-01,1.49
025Q,10,2016-08-01,1.47
025Q,10,2016-09-01,1.46
025Q,10,2016-10-01,1.5
025Q,10,2016-11-01,1.6
025Q,10,2016-12-01,1.7
025Q,10,2017-01-01,1.7
025Q,10,2017-02-01,1.6
025Q,10,2017-03-01,1.65
025Q,10,2017-04-01,1.6
025Q,10,2017-05-01,1.57
025Q,10,2017-06-01,1.555
025Q,10,2017-07-01,1.645
025Q,10,2017-08-01,1.545
025Q,10,2017-09-01,1.575
025Q,10,2017-10-01,1.5699999999999998
025Q,10,2017-11-01,1.5599999999999998
025Q,10,2017-12-01,1.55
025Q,10,2018-01-01,1.69
025Q,10,2018-02-01,1.7500000000000002
025Q,10,2018-03-01,1.68
025Q,10,2018-04-01,1.7000000000000002
025Q,10,2018-05-01,1.66
025Q,10,2018-06-01,1.67
025Q,10,2018-07-01,1.6824999999999999
025Q,10,2018-08-01,1.6425000000000003
025Q,10,2018-09-01,1.7000000000000002
025Q,10,2018-10-01,1.6962499999999998
025Q,10,2018-11-01,1.6425000000000003
025Q,10,2018-12-01,1.5599999999999998
025Q,10,2019-01-01,1.5150000000000001
025Q,10,2019-02-01,1.46
025Q,10,2019-03-01,1.3
025Q,10,2019-04-01,1.35
025Q,10,2019-05-01,1.25
025Q,10,2019-06-01,1.195
025Q,10,2019-07-01,1.15
025Q,10,2019-08-01,1.11
025Q,10,2019-09-01,1.155
025Q,10,2019-10-01,1.2
025Q,10,2019-11-01,1.2
025Q,10,2019-12-01,1.2
025Q,10,2020-01-01,1.16
025Q,10,2020-02-01,1.0999999999999999
025Q,10,2020-03-01,1.2975
025Q,10,2020-04-01,1.2574999999999998
025Q,10,2020-05-01,1.2
025Q,10,2020-06-01,1.22
025Q,10,2020-07-01,1.2
025Q,10,2020-08-01,1.2254999999999998
025Q,10,2020-09-01,1.2
025Q,10,2020-10-01,1.2
025Q,10,2020-11-01,1.2
025Q,10,2020-12-01,1.2
025Q,10,2021-01-01,1.2
025Q,10,2021-02-01,1.2850000000000001
025Q,10,2021-03-01,1.3
025Q,10,2021-04-01,1.3
025Q,10,2021-05-01,1.3
025Q,10,2021-06-01,1.295
025Q,10,2021-07-01,1.25
025Q,10,2021-08-01,1.22
025Q,10,2021-09-01,1.3
025Q,10,2021-10-01,1.368
025Q,10,2021-11-01,1.3299999999999998
025Q,10,2021-12-01,1.31225
025Q,10,2022-01-01,1.4575
025Q,10,2022-02-01,1.64825
025Q,10,2022-03-01,1.9800000000000002
025Q,10,2022-04-01,2.3
025Q,10,2022-05-01,2.4
025Q,10,2022-06-01,2.87
025Q,10,2022-07-01,2.42
025Q,10,2022-08-01,2.8040000000000003
025Q,10,2022-09-01,3.2
025Q,10,2022-10-01,3.1
025Q,10,2022-11-01,2.7749999999999995
025Q,10,2022-12-01,3.1325
025Q,10,2023-01-01,2.8115
