D0,date,value
1TGT,1972-01-01,0
1TGT,1972-02-01,0
1TGT,1972-03-01,0.125
1TGT,1972-04-01,0.25
1TGT,1972-05-01,1.5
1TGT,1972-06-01,1.625
1TGT,1972-07-01,0
1TGT,1972-08-01,0
1TGT,1972-09-01,0.5
1TGT,1972-10-01,1.5
1TGT,1972-11-01,4.25
1TGT,1972-12-01,4.5
1TGT,1973-01-01,2.25
1TGT,1973-02-01,4.5
1TGT,1973-03-01,2
1TGT,1973-04-01,0.875
1TGT,1973-05-01,0
1TGT,1973-06-01,15.5
1TGT,1973-07-01,2
1TGT,1973-08-01,1
1TGT,1973-09-01,1
1TGT,1973-10-01,4
1TGT,1973-11-01,8.5
1TGT,1973-12-01,2.5
1TGT,1974-01-01,3.25
1TGT,1974-02-01,5
1TGT,1974-03-01,4
1TGT,1974-04-01,1
1TGT,1974-05-01,4
1TGT,1974-06-01,4
1TGT,1974-07-01,2.5
1TGT,1974-08-01,6
1TGT,1974-09-01,1
1TGT,1974-10-01,0.25
1TGT,1974-11-01,3
1TGT,1974-12-01,1
1TGT,1975-01-01,0.5
1TGT,1975-02-01,1
1TGT,1975-03-01,1
1TGT,1975-04-01,1
1TGT,1975-05-01,1
1TGT,1975-06-01,0.5
1TGT,1975-07-01,3
1TGT,1975-08-01,0.375
1TGT,1975-09-01,2.5
1TGT,1975-10-01,0.75
1TGT,1975-11-01,2
1TGT,1975-12-01,2
1TGT,1976-01-01,0.5
1TGT,1976-02-01,0.75
1TGT,1976-03-01,0.5
1TGT,1976-04-01,0.5
1TGT,1976-05-01,0.5
1TGT,1976-06-01,0.25
1TGT,1976-07-01,1.5
1TGT,1976-08-01,0.5
1TGT,1976-09-01,0
1TGT,1976-10-01,0
1TGT,1976-11-01,0
1TGT,1976-12-01,0
1TGT,1977-01-01,0
1TGT,1977-02-01,0.125
1TGT,1977-03-01,0
1TGT,1977-04-01,3.5
1TGT,1977-05-01,1.5
1TGT,1977-06-01,1
1TGT,1977-07-01,1
1TGT,1977-08-01,0.5
1TGT,1977-09-01,0
1TGT,1977-10-01,0
1TGT,1977-11-01,0
1TGT,1977-12-01,0
1TGT,1978-01-01,0
1TGT,1978-02-01,0
1TGT,1978-03-01,0
1TGT,1978-04-01,0
1TGT,1978-05-01,0
1TGT,1978-06-01,0.25
1TGT,1978-07-01,0.25
1TGT,1978-08-01,0
1TGT,1978-09-01,-1.25
1TGT,1978-10-01,-0.375
1TGT,1978-11-01,-0.5
1TGT,1978-12-01,-0.375
1TGT,1979-01-01,-0.0625
1TGT,1979-02-01,-0.25
1TGT,1979-03-01,-0.125
1TGT,1979-04-01,0.25
