"date","ts","n_retried","retried_ids","n_recovered","recovered_ids","n_still_failing","still_failing_ids"
"2026-06-12","2026-06-12T13:50:07Z",1,"ch_adecco_sjmi",1,"ch_adecco_sjmi",0,""
"2026-06-15","2026-06-15T12:43:31Z",1,"ch_adecco_sjmi",1,"ch_adecco_sjmi",0,""
"2026-06-18","2026-06-18T21:58:58Z",12,"ch_fso_cpi;ch_fso_ppi;ch_fso_wage_idx;ch_fso_pop;ch_fso_unemp_rate;ch_fso_labour_productivity;ch_fso_ets;ch_fso_gfcf_detail;ch_fso_hours_worked;ch_fso_gdp_region;ch_fso_construction_prices;ch_fso_trade_partner",0,"",12,"ch_fso_cpi;ch_fso_ppi;ch_fso_wage_idx;ch_fso_pop;ch_fso_unemp_rate;ch_fso_labour_productivity;ch_fso_ets;ch_fso_gfcf_detail;ch_fso_hours_worked;ch_fso_gdp_region;ch_fso_construction_prices;ch_fso_trade_partner"
"2026-06-22","2026-06-22T15:58:19Z",1,"ch_adecco_sjmi",0,"",1,"ch_adecco_sjmi"
"2026-07-03","2026-07-03T11:22:26Z",1,"ch_adecco_sjmi",1,"ch_adecco_sjmi",0,""
"2026-07-09","2026-07-09T15:27:14Z",1,"ch_adecco_sjmi",0,"",1,"ch_adecco_sjmi"
"2026-07-10","2026-07-10T15:12:46Z",1,"ch_adecco_sjmi",0,"",1,"ch_adecco_sjmi"
"2026-07-11","2026-07-11T14:38:21Z",1,"ch_adecco_sjmi",0,"",1,"ch_adecco_sjmi"
"2026-07-12","2026-07-12T14:42:12Z",1,"ch_adecco_sjmi",0,"",1,"ch_adecco_sjmi"
"2026-07-22","2026-07-22T14:59:30Z",2,"ch_kof_barometer;ch_kof_esi",0,"",2,"ch_kof_barometer;ch_kof_esi"
"2026-07-24","2026-07-24T14:57:46Z",2,"ch_kof_barometer;ch_kof_esi",0,"",2,"ch_kof_barometer;ch_kof_esi"
"2026-07-25","2026-07-25T14:44:44Z",2,"ch_kof_barometer;ch_kof_esi",0,"",2,"ch_kof_barometer;ch_kof_esi"
