"date","pipeline","run_through","n_skipped","skipped_ids","recently_updated","n_stale","stale_ids","n_datasets"
"2026-06-03","green","green","0","","green","0","","70"
"2026-06-04","green","green","0","","green","0","","70"
"2026-06-06","green","green","0","","green","0","","70"
"2026-06-07","green","green","0","","green","0","","70"
"2026-06-08","green","green","0","","green","0","","70"
"2026-06-09","green","green","0","","green","0","","70"
"2026-06-10","green","green","0","","green","0","","70"
"2026-06-11","green","green","0","","green","0","","70"
"2026-06-12","green","green","0","","green","0","","70"
"2026-06-13","green","green","0","","green","0","","70"
"2026-06-14","green","green","0","","green","0","","70"
"2026-06-15","green","green","0","","green","0","","70"
"2026-06-16","green","green","0","","green","0","","70"
"2026-06-17","green","green","0","","green","0","","70"
"2026-06-18","green","red","12","ch_fso_cpi;ch_fso_ppi;ch_fso_wage_idx;ch_fso_pop;ch_fso_unemp_rate;ch_fso_labour_productivity;ch_fso_ets;ch_fso_gfcf_detail;ch_fso_hours_worked;ch_fso_gdp_region;ch_fso_construction_prices;ch_fso_trade_partner","green","0","","70"
"2026-06-19","green","green","0","","green","0","","70"
"2026-06-20","green","green","0","","green","0","","70"
"2026-06-21","green","green","0","","green","0","","70"
"2026-06-22","green","red","1","ch_adecco_sjmi","green","0","","70"
"2026-06-23","green","green","0","","green","0","","70"
"2026-06-24","green","green","0","","green","0","","70"
"2026-06-25","green","green","0","","green","0","","70"
"2026-06-26","green","green","0","","green","0","","70"
